Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Russell Wilson,PIT,QB,1.0,16.0,341.56,21.35,544.03,34.0,0.63,4047.72,252.98,7.45,30.67,1.91,10.69,0.67,42.69,2.67,89.92,5.62,498.77,31.17,5.43,30.36,1.9,2.28,0.14,2.74,0.17,633.95,39.62,30.36,1.9,1.0,326.18,20.39,20.19,7.98,19.86,4.03,2.36,0.31,2.38,6.92,1.64,0.8,22.15,326.18,20.39,20.19,7.98,19.86,4.03,2.36,0.31,2.64,6.67,1.64,0.77,23.07,326.18,20.39,20.19,7.98,19.86,4.03,2.36,0.31,2.38,6.92,1.64,0.8,22.15,3,19.04,323.67,9.0
Carson Wentz,KC,QB,1.0,13.86,297.57,21.33,487.71,35.02,0.61,3434.86,248.64,7.13,28.14,2.1,9.0,0.64,29.43,2.12,58.86,4.34,256.43,19.11,4.27,22.86,1.7,0.57,0.03,3.0,0.22,546.57,39.35,22.86,1.7,1.0,262.07,19.28,18.89,5.09,20.95,2.57,2.0,2.57,2.43,4.29,1.63,0.61,21.75,262.07,19.28,18.89,5.09,20.95,2.57,2.0,2.57,2.43,4.29,1.63,0.61,22.6,262.07,19.28,18.89,5.09,20.95,2.86,1.71,2.57,2.43,4.29,1.63,0.61,21.75,2,16.53,281.03,12.0
Deshaun Watson,CLE,QB,2.0,7.0,126.0,18.0,204.0,29.14,0.62,1699.0,242.71,8.33,19.0,2.71,8.0,1.14,19.0,2.71,36.0,5.14,269.0,38.43,7.47,14.0,2.0,2.0,0.29,1.0,0.14,240.0,34.29,14.0,2.0,0.84,168.8,24.11,23.3,10.75,21.8,1.0,0.0,1.0,1.0,4.0,2.5,1.33,20.5,168.8,24.11,23.3,10.75,21.8,1.0,0.0,1.0,1.0,4.0,2.5,1.33,21.5,168.8,24.11,23.3,10.75,21.8,1.0,0.0,1.0,1.0,4.0,2.5,1.33,20.5,1,6.52,110.85,36.0
Aaron Rodgers,NYJ,QB,2.0,10.23,237.13,22.75,367.64,35.24,0.65,2601.0,248.85,7.06,23.69,2.31,6.46,0.72,27.79,2.87,38.51,3.64,210.67,19.66,5.39,14.87,1.44,1.13,0.07,2.08,0.18,406.15,38.88,14.87,1.44,0.9,211.35,19.88,22.08,8.18,19.27,1.67,0.72,1.21,3.26,3.38,2.23,0.48,20.35,211.35,19.88,22.08,8.18,19.27,1.67,0.72,1.21,3.26,3.38,2.23,0.48,21.07,211.35,19.88,22.08,8.18,19.27,1.67,0.72,1.21,3.26,3.38,2.23,0.48,20.35,3,11.36,193.07,24.0
Tom Brady,FA,QB,0.0,14.97,362.64,24.22,547.21,36.51,0.66,4334.49,289.89,7.95,31.38,2.11,6.36,0.41,30.18,1.97,26.69,1.81,39.79,2.83,1.47,8.49,0.59,0.31,0.02,2.13,0.13,573.9,38.33,8.49,0.59,1.0,291.19,19.58,19.04,7.49,19.38,3.38,0.26,4.13,3.13,4.08,0.99,0.47,20.7,291.19,19.58,19.04,7.49,19.38,3.38,0.26,4.13,3.13,4.08,0.99,0.47,20.99,291.19,19.58,19.04,7.49,19.38,3.38,0.26,4.13,3.13,4.08,0.99,0.47,20.7,3,20.5,348.58,3.0
Cam Newton,FA,QB,0.0,15.74,286.13,18.17,496.92,31.6,0.58,3409.95,216.87,6.86,22.56,1.43,14.87,0.94,35.05,2.23,125.72,7.96,640.62,40.42,4.99,42.41,2.68,6.15,0.39,1.56,0.1,622.64,39.56,42.41,2.68,1.0,297.1,18.84,16.61,8.2,18.24,5.21,2.0,1.59,3.15,3.79,0.8,0.33,19.15,297.1,18.84,16.61,8.2,18.24,5.21,2.0,1.59,3.15,3.79,0.8,0.33,20.48,297.1,18.84,16.61,8.2,18.24,5.21,2.0,1.59,3.15,3.79,0.8,0.33,19.15,3,15.6,265.19,14.0
Drew Brees,FA,QB,0.0,15.9,412.1,25.94,580.46,36.55,0.71,4613.08,290.4,7.97,27.51,1.73,10.1,0.64,22.92,1.45,29.51,1.85,14.26,0.9,0.51,6.79,0.43,1.9,0.11,1.23,0.08,609.97,38.4,6.79,0.43,1.0,284.62,17.92,17.51,5.51,19.52,3.1,4.28,1.38,4.92,2.21,0.9,0.24,19.8,284.62,17.92,17.51,5.51,19.52,3.1,4.28,1.38,4.92,2.21,0.9,0.24,20.01,284.62,17.92,17.51,5.51,19.52,3.1,4.28,1.38,4.92,2.21,0.9,0.24,19.8,3,19.09,324.5,8.0
Kirk Cousins,ATL,QB,1.0,16.0,365.41,22.84,557.23,34.83,0.65,4311.77,269.48,7.73,26.69,1.67,12.54,0.78,34.85,2.18,42.79,2.67,144.28,9.02,3.25,15.31,0.96,4.1,0.26,4.28,0.27,600.03,37.5,15.31,0.96,1.0,285.05,17.82,16.52,7.51,17.66,6.23,0.36,2.67,2.1,4.64,0.73,0.41,18.71,285.05,17.82,16.52,7.51,17.66,6.23,0.36,2.67,2.1,4.64,0.73,0.41,19.19,285.05,17.82,16.52,7.51,17.66,6.23,0.36,2.67,2.1,4.64,0.73,0.41,18.71,3,19.17,325.95,7.0
Alex Smith,FA,QB,0.0,15.1,334.18,22.15,497.31,32.96,0.67,3846.51,254.95,7.73,22.56,1.49,5.97,0.39,34.23,2.26,59.38,3.92,313.0,20.65,5.12,17.56,1.16,2.13,0.14,1.67,0.11,556.69,36.88,17.56,1.16,1.0,274.37,18.17,16.27,7.54,17.95,3.59,3.59,2.0,2.0,3.92,0.69,0.37,18.56,274.37,18.17,16.27,7.54,17.95,3.59,3.59,2.0,2.0,3.92,0.69,0.37,19.14,274.37,18.17,16.27,7.54,17.95,3.59,3.59,2.0,2.0,3.92,0.69,0.37,18.56,3,21.43,364.35,1.0
Ben Roethlisberger,FA,QB,0.0,14.44,347.59,24.12,538.23,37.31,0.64,4108.13,285.27,7.64,27.54,1.91,13.95,0.97,19.87,1.38,23.59,1.62,36.69,2.51,1.5,5.03,0.34,0.26,0.02,1.15,0.08,561.82,38.92,5.03,0.34,1.0,255.16,17.71,17.93,8.06,17.22,4.0,0.9,5.36,1.18,3.0,0.5,0.26,18.83,255.16,17.71,17.93,8.06,17.22,4.0,0.9,5.36,1.18,3.0,0.5,0.26,19.01,255.16,17.71,17.93,8.06,17.22,4.0,0.9,5.36,1.18,3.0,0.5,0.26,18.83,3,14.54,247.16,17.0
