Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Jalen Hurts,PHI,QB,1.0,16.28,331.28,20.32,507.13,31.11,0.65,3744.51,230.24,7.41,22.03,1.35,12.08,0.73,35.49,2.19,157.21,9.69,663.1,41.17,4.23,66.51,4.09,13.97,0.86,3.92,0.23,664.33,40.79,66.51,4.09,1.0,369.83,22.79,24.71,7.65,22.44,2.49,0.21,1.26,4.13,8.21,3.26,1.13,26.06,369.83,22.79,24.71,7.65,22.44,2.49,0.21,1.26,4.13,8.21,3.26,1.13,28.11,369.83,22.79,24.71,7.65,22.44,2.49,0.21,1.26,4.13,8.21,3.26,1.13,26.06,3,24.28,412.84,2.0
Josh Allen,BUF,QB,1.0,17.0,381.56,22.45,584.33,34.37,0.65,4318.92,254.05,7.4,31.26,1.84,16.67,0.98,26.51,1.56,115.97,6.82,613.13,36.06,5.25,54.38,3.2,12.03,0.71,4.15,0.25,700.31,41.2,54.38,3.2,1.0,411.98,24.23,24.05,7.71,23.82,1.36,2.13,0.46,4.64,8.41,3.47,1.01,26.4,411.98,24.23,24.05,7.71,23.82,1.36,2.13,0.46,4.64,8.41,3.47,1.01,27.99,411.98,24.23,24.05,7.71,23.82,1.36,2.13,0.46,4.64,8.41,3.47,1.01,26.4,3,21.97,373.55,3.0
Patrick Mahomes II,KC,QB,1.0,16.36,413.31,25.26,616.33,37.66,0.67,4522.74,275.9,7.32,31.62,1.92,13.38,0.82,26.85,1.64,70.49,4.32,380.23,23.28,5.42,26.28,1.61,1.23,0.07,2.33,0.15,686.82,41.99,26.28,1.61,1.0,336.75,20.5,19.95,6.41,21.1,1.79,2.82,4.03,3.62,4.1,1.6,0.42,22.18,336.75,20.5,19.95,6.41,21.1,1.79,2.82,4.03,3.62,4.1,1.6,0.42,22.98,336.75,20.5,19.95,6.41,21.1,1.79,2.82,4.03,3.62,4.1,1.6,0.42,22.18,3,16.85,286.47,11.0
Lamar Jackson,BAL,QB,1.0,14.56,274.08,18.74,415.72,28.54,0.65,3228.15,219.9,7.7,21.38,1.46,7.62,0.54,34.28,2.36,137.33,9.47,800.85,55.77,5.89,47.95,3.36,4.18,0.28,4.67,0.31,553.05,38.01,47.95,3.36,1.0,305.08,20.91,19.88,9.76,19.41,3.38,2.15,2.21,2.79,4.03,0.87,0.37,20.88,305.08,20.91,19.88,9.76,19.41,3.38,2.15,2.21,2.79,4.03,0.87,0.37,22.56,305.08,20.91,19.88,9.76,19.41,3.38,2.15,2.21,2.79,4.03,0.87,0.37,20.88,3,19.07,324.2,5.0
Justin Herbert,LAC,QB,1.0,14.44,358.13,24.52,540.46,37.09,0.66,3738.36,256.27,6.91,23.13,1.59,8.59,0.59,31.51,2.19,53.64,3.76,214.82,15.28,4.0,17.49,1.21,2.23,0.17,1.51,0.1,594.1,40.84,17.49,1.21,1.0,268.73,18.6,20.26,7.92,18.19,4.15,1.46,1.77,3.36,3.69,1.04,0.37,20.92,268.73,18.6,20.26,7.92,18.19,4.15,1.46,1.77,3.36,3.69,1.04,0.37,21.53,268.73,18.6,20.26,7.92,18.19,4.15,1.46,1.77,3.36,3.69,1.04,0.37,20.92,3,15.77,268.06,13.0
Dak Prescott,DAL,QB,1.0,15.62,371.79,23.67,540.36,34.49,0.68,4084.51,259.92,7.53,32.77,2.09,10.64,0.72,33.21,2.09,51.72,3.35,216.77,13.95,4.17,19.05,1.25,1.64,0.1,2.15,0.14,592.08,37.83,19.05,1.25,1.0,314.3,19.96,19.29,8.54,19.13,3.21,2.44,2.64,1.62,5.72,0.88,0.58,20.71,314.3,19.96,19.29,8.54,19.13,3.21,2.44,2.64,1.62,5.72,0.88,0.58,21.33,314.3,19.96,19.29,8.54,19.13,3.21,2.44,2.64,1.62,5.72,0.88,0.58,20.71,3,18.43,313.38,8.0
Kyler Murray,ARI,QB,1.0,9.38,213.38,22.58,321.13,34.09,0.66,2148.79,227.09,6.66,12.46,1.3,6.03,0.63,21.13,2.25,54.41,5.73,306.97,32.39,5.65,18.08,1.92,3.21,0.35,0.51,0.05,375.54,39.82,18.08,1.92,0.92,182.13,19.24,19.55,5.34,20.98,1.46,1.0,2.26,2.85,1.82,0.99,0.23,19.88,182.13,19.24,19.55,5.34,20.98,1.46,1.0,2.26,2.85,1.82,0.99,0.23,20.84,182.13,19.24,19.55,5.34,20.98,1.46,1.0,2.26,2.85,1.82,0.99,0.23,19.88,3,10.52,178.86,26.0
Justin Fields,PIT,QB,2.0,13.41,211.05,15.83,346.41,25.99,0.61,2408.97,180.64,6.95,15.33,1.14,9.62,0.71,46.0,3.42,127.9,9.47,757.31,55.53,5.83,46.49,3.42,4.82,0.35,3.59,0.28,474.31,35.45,46.49,3.42,1.0,246.03,18.21,16.56,8.97,17.2,5.05,1.64,0.72,1.67,4.33,0.85,0.5,18.49,246.03,18.21,16.56,8.97,17.2,5.05,1.64,0.72,1.67,4.33,0.85,0.5,20.2,246.03,18.21,16.56,8.97,17.2,5.05,1.64,0.72,1.67,4.33,0.85,0.5,18.49,3,14.37,244.3,16.0
C.J. Stroud,HOU,QB,1.0,15.0,319.0,21.27,499.0,33.27,0.64,4108.0,273.87,8.23,23.0,1.53,5.0,0.33,38.0,2.53,39.0,2.6,167.0,11.13,4.28,17.0,1.13,3.0,0.2,4.0,0.27,538.0,35.87,17.0,1.13,1.0,280.1,18.67,18.3,8.96,17.67,4.0,3.0,2.0,4.0,2.0,0.67,0.15,18.92,280.1,18.67,18.3,8.96,17.67,4.0,3.0,2.0,4.0,2.0,0.67,0.15,19.48,280.1,18.67,18.3,8.96,17.67,4.0,3.0,2.0,4.0,2.0,0.67,0.15,18.92,1,26.47,449.91,1.0
Russell Wilson,PIT,QB,1.0,14.9,291.82,19.58,451.41,30.29,0.64,3190.82,214.24,7.07,23.33,1.57,8.56,0.57,46.33,3.11,69.79,4.67,308.38,20.65,4.46,31.49,2.1,2.9,0.19,3.82,0.25,521.21,34.96,31.49,2.1,1.0,255.83,17.18,16.66,5.2,18.8,2.85,4.28,4.31,1.85,1.62,0.31,0.13,18.24,255.83,17.18,16.66,5.2,18.8,2.85,4.28,4.31,1.85,1.62,0.31,0.13,19.29,255.83,17.18,16.66,5.2,18.8,2.85,4.28,4.31,1.85,1.62,0.31,0.13,18.24,3,17.67,300.46,9.0
Kirk Cousins,ATL,QB,1.0,11.13,285.33,26.09,421.77,38.22,0.68,3093.05,282.42,7.39,22.36,2.09,7.51,0.65,25.56,2.23,19.9,1.77,52.69,4.2,2.36,7.49,0.7,0.62,0.04,3.54,0.38,441.67,39.99,7.49,0.7,0.92,209.17,18.99,19.18,6.78,19.28,2.97,0.92,2.79,2.28,2.15,0.64,0.27,18.89,209.17,18.99,19.18,6.78,19.28,2.97,0.92,3.05,1.92,2.26,0.61,0.28,19.21,209.17,18.99,19.18,6.78,19.28,2.97,0.92,2.79,2.28,2.15,0.64,0.27,18.89,3,12.79,217.35,23.0
Joe Burrow,CIN,QB,1.0,12.41,301.13,24.29,443.72,35.93,0.68,3113.82,245.85,6.87,22.33,1.72,8.36,0.66,31.13,2.48,43.46,3.39,134.92,10.31,3.0,12.59,0.99,1.49,0.09,1.62,0.12,487.18,39.32,12.59,0.99,0.97,226.47,17.49,17.15,8.41,16.83,3.49,1.64,1.44,2.72,3.13,0.88,0.32,18.43,226.47,17.49,17.15,8.41,16.83,3.49,1.64,1.69,2.46,3.13,0.8,0.32,18.87,226.47,17.49,17.15,8.41,16.83,3.49,1.64,1.44,2.72,3.13,0.88,0.32,18.43,3,12.87,218.74,21.0
Trevor Lawrence,JAC,QB,1.0,16.36,373.23,22.82,573.03,35.04,0.65,4002.41,244.9,6.99,21.1,1.29,12.77,0.79,32.64,2.0,68.26,4.18,326.18,19.99,4.77,23.92,1.46,4.05,0.25,7.31,0.45,641.28,39.21,23.92,1.46,1.0,277.33,16.97,16.09,6.82,17.18,4.33,4.56,3.15,1.1,3.21,0.37,0.26,17.99,277.33,16.97,16.09,6.82,17.18,4.33,4.56,3.15,1.1,3.21,0.37,0.26,18.73,277.33,16.97,16.09,6.82,17.18,4.33,4.56,3.15,1.1,3.21,0.37,0.26,17.99,3,18.62,316.48,7.0
Brock Purdy,SF,QB,2.0,14.0,252.57,17.37,365.71,25.22,0.68,3449.71,234.69,9.19,25.86,1.8,9.0,0.62,23.14,1.6,34.14,2.44,106.57,6.84,2.8,12.14,0.83,1.71,0.12,1.43,0.09,399.86,27.66,12.14,0.83,0.98,250.51,17.19,19.21,7.33,17.25,3.0,2.0,2.0,4.14,2.86,1.0,0.24,18.32,250.51,17.19,19.21,7.33,17.25,3.0,2.0,2.0,4.14,2.86,1.0,0.24,18.73,250.51,17.19,19.21,7.33,17.25,3.0,2.0,2.0,4.14,2.86,1.0,0.24,18.32,2,18.89,321.14,6.0
