Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Josh Allen,BUF,QB,1.0,16.9,377.54,22.36,591.62,35.02,0.64,4362.72,258.34,7.39,35.46,2.1,13.85,0.81,30.49,1.8,122.51,7.25,736.26,43.47,5.97,48.51,2.87,6.85,0.4,4.59,0.27,714.13,42.26,48.51,2.87,1.0,413.02,24.45,24.9,8.35,23.54,1.9,0.92,1.36,3.69,9.03,3.6,1.2,26.84,413.02,24.45,24.9,8.35,23.54,1.9,0.92,1.36,3.69,9.03,3.6,1.2,28.27,413.02,24.45,24.9,8.35,23.54,1.9,0.92,1.36,3.69,9.03,3.6,1.2,26.84,3,21.07,358.23,4.0
Jalen Hurts,PHI,QB,1.0,15.0,272.0,18.13,420.82,28.06,0.64,3287.41,219.16,7.76,18.82,1.26,6.56,0.44,32.36,2.15,147.87,9.86,724.51,48.3,4.98,59.87,3.99,11.21,0.75,2.0,0.13,568.69,37.92,59.87,3.99,1.0,340.08,22.67,23.53,7.66,22.53,2.54,0.62,1.74,2.31,7.79,2.96,1.42,25.23,340.08,22.67,23.53,7.66,22.53,2.54,0.62,1.74,2.31,7.79,2.96,1.42,27.23,340.08,22.67,23.53,7.66,22.53,2.54,0.62,1.74,2.31,7.79,2.96,1.42,25.23,3,26.0,441.99,1.0
Patrick Mahomes II,KC,QB,1.0,16.79,430.64,25.65,644.41,38.38,0.67,5089.49,303.19,7.9,39.67,2.36,11.64,0.69,26.1,1.55,62.38,3.72,358.77,21.35,5.75,24.59,1.46,3.28,0.2,1.23,0.07,706.79,42.1,24.59,1.46,1.0,409.57,24.4,23.67,7.01,24.66,1.38,0.64,2.77,4.33,7.67,3.37,0.89,26.42,409.57,24.4,23.67,7.01,24.66,1.38,0.64,2.77,4.33,7.67,3.37,0.89,27.15,409.57,24.4,23.67,7.01,24.66,1.38,0.64,2.77,4.33,7.67,3.37,0.89,26.42,3,22.35,379.87,2.0
Kyler Murray,ARI,QB,1.0,12.28,289.87,23.6,430.56,35.11,0.67,2896.26,232.81,6.64,17.79,1.42,8.28,0.67,26.74,2.2,79.15,6.37,460.41,37.36,5.87,26.49,2.13,4.33,0.34,1.69,0.14,509.72,41.48,26.49,2.13,1.0,252.76,20.29,20.53,7.8,19.87,2.26,1.21,2.54,2.51,3.77,1.04,0.45,21.85,252.76,20.29,20.53,7.8,19.87,2.26,1.21,2.54,2.51,3.77,1.04,0.45,22.91,252.76,20.29,20.53,7.8,19.87,2.26,1.21,2.54,2.51,3.77,1.04,0.45,21.85,3,13.96,237.3,19.0
Joe Burrow,CIN,QB,1.0,16.03,388.87,24.34,565.79,35.48,0.69,4359.92,272.16,7.71,33.13,2.04,11.79,0.73,42.64,2.69,62.77,3.89,210.85,13.12,3.34,18.49,1.16,4.03,0.25,2.85,0.19,628.56,39.36,18.49,1.16,1.0,338.98,21.01,19.67,8.05,20.41,2.62,1.31,3.69,3.69,4.72,1.14,0.42,21.46,338.98,21.01,19.67,8.05,20.41,2.62,1.31,4.33,3.05,4.72,0.94,0.42,21.92,338.98,21.01,19.67,8.05,20.41,2.62,1.31,3.69,3.69,4.72,1.14,0.42,21.46,3,19.75,335.68,5.0
Justin Herbert,LAC,QB,1.0,16.79,459.97,27.38,681.41,40.56,0.67,4768.18,283.97,7.01,28.95,1.73,11.28,0.67,35.59,2.12,56.41,3.37,195.67,11.7,3.41,20.13,1.2,1.28,0.08,2.28,0.14,737.82,43.92,20.13,1.2,1.0,322.04,19.22,19.55,6.67,19.55,4.18,2.36,2.92,4.0,3.33,0.87,0.28,21.23,322.04,19.22,19.55,6.67,19.55,4.18,2.36,2.92,4.0,3.33,0.87,0.28,21.83,322.04,19.22,19.55,6.67,19.55,4.18,2.36,2.92,4.0,3.33,0.87,0.28,21.23,3,17.43,296.36,10.0
Lamar Jackson,BAL,QB,1.0,12.31,218.03,17.76,345.49,28.15,0.63,2458.92,200.2,7.1,17.67,1.43,8.74,0.71,29.38,2.4,122.46,9.93,789.49,64.08,6.49,48.69,3.96,3.15,0.25,2.46,0.2,467.95,38.08,48.69,3.96,1.0,255.75,20.73,18.27,10.76,18.85,2.26,2.59,2.51,2.49,2.46,0.67,0.25,19.72,255.75,20.73,18.27,10.76,18.85,2.26,2.59,2.51,2.49,2.46,0.67,0.25,21.7,255.75,20.73,18.27,10.76,18.85,2.26,2.59,2.51,2.49,2.46,0.67,0.25,19.72,3,13.16,223.74,21.0
Dak Prescott,DAL,QB,1.0,12.31,287.92,23.61,428.15,35.15,0.67,3164.46,262.14,7.42,25.15,2.01,12.59,1.04,21.54,1.76,43.0,3.54,163.64,13.97,3.9,14.79,1.29,1.21,0.13,2.49,0.21,471.15,38.69,14.79,1.29,0.97,235.86,19.55,19.85,7.71,19.18,3.31,1.38,1.79,2.44,3.38,0.94,0.48,20.11,235.86,19.55,19.85,7.71,19.18,3.31,1.38,1.79,2.44,3.38,0.94,0.48,20.76,235.86,19.55,19.85,7.71,19.18,3.31,1.38,1.79,2.44,3.38,0.94,0.48,20.11,3,10.42,177.13,30.0
Tom Brady,FA,QB,0.0,16.9,479.59,28.36,716.79,42.39,0.67,4847.23,286.88,6.78,31.15,1.85,10.08,0.6,21.9,1.29,28.85,1.71,20.74,1.22,0.74,7.41,0.44,1.46,0.09,3.44,0.21,745.64,44.1,7.41,0.44,1.0,314.86,18.65,18.51,7.6,18.35,5.74,1.92,3.92,1.46,3.85,0.6,0.36,20.17,314.86,18.65,18.51,7.6,18.35,5.74,1.92,3.92,1.46,3.85,0.6,0.36,20.39,314.86,18.65,18.51,7.6,18.35,5.74,1.92,3.92,1.46,3.85,0.6,0.36,20.17,3,19.29,327.98,6.0
Kirk Cousins,ATL,QB,1.0,16.64,402.97,24.19,608.95,36.54,0.66,4434.49,266.44,7.31,30.64,1.85,12.1,0.72,40.67,2.44,30.59,1.84,107.67,6.5,3.52,10.74,0.65,1.64,0.1,2.95,0.18,639.54,38.39,10.74,0.65,1.0,307.43,18.5,18.22,6.82,18.8,4.64,2.51,2.59,4.62,2.28,0.71,0.16,19.63,307.43,18.5,18.22,6.82,18.8,4.64,2.51,3.23,3.72,2.54,0.61,0.18,19.89,307.43,18.5,18.22,6.82,18.8,4.64,2.51,2.59,4.62,2.28,0.71,0.16,19.63,3,17.23,292.94,12.0
Aaron Rodgers,NYJ,QB,1.0,16.64,356.36,21.45,537.54,32.32,0.67,3864.64,232.83,7.2,31.08,1.88,9.23,0.55,30.26,1.82,34.15,2.05,101.44,6.12,2.96,9.87,0.6,1.72,0.11,2.77,0.17,571.69,34.37,9.87,0.6,1.0,287.02,17.35,18.74,4.83,19.2,4.08,3.67,4.97,2.38,1.54,0.6,0.13,19.29,287.02,17.35,18.74,4.83,19.2,4.08,3.67,4.33,3.03,1.54,0.65,0.13,19.65,287.02,17.35,18.74,4.83,19.2,4.08,3.67,4.97,2.38,1.54,0.6,0.13,19.29,3,18.54,315.16,8.0
Daniel Jones,MIN,QB,1.0,14.51,291.41,20.16,441.08,30.61,0.66,2978.9,206.56,6.75,13.31,0.92,6.03,0.44,38.46,2.6,99.49,6.73,573.64,38.41,5.68,42.38,2.78,5.1,0.34,3.31,0.24,540.56,37.33,42.38,2.78,1.0,252.42,17.22,16.56,7.33,17.14,4.87,2.79,2.23,2.18,2.44,0.48,0.2,18.04,252.42,17.22,16.56,7.33,17.14,4.87,2.79,2.23,2.18,2.44,0.48,0.2,19.42,252.42,17.22,16.56,7.33,17.14,4.87,2.79,2.23,2.18,2.44,0.48,0.2,18.04,3,18.46,313.9,9.0
Justin Fields,PIT,QB,2.0,14.14,182.57,12.93,304.29,21.57,0.6,2135.71,151.29,7.02,14.14,0.97,10.71,0.76,49.57,3.48,134.86,9.34,936.43,64.43,6.77,52.71,3.62,6.29,0.43,2.86,0.21,439.14,30.91,52.71,3.62,1.0,258.4,17.88,16.3,9.68,16.51,5.14,1.0,2.0,2.86,3.14,0.84,0.28,17.39,258.4,17.88,16.3,9.68,16.51,5.14,1.0,2.0,2.86,3.14,0.84,0.28,19.2,258.4,17.88,16.3,9.68,16.51,5.14,1.0,2.0,2.86,3.14,0.84,0.28,17.39,2,15.26,259.46,16.0
Trevor Lawrence,JAC,QB,1.0,17.0,379.0,22.29,589.14,34.65,0.64,3978.14,234.01,6.76,21.29,1.25,10.57,0.62,28.43,1.67,65.14,3.83,303.29,17.84,4.66,25.57,1.5,4.14,0.24,7.86,0.46,654.29,38.49,25.57,1.5,1.0,278.64,16.39,16.07,7.16,16.37,6.71,2.0,3.43,1.29,3.57,0.43,0.3,17.68,278.64,16.39,16.07,7.16,16.37,6.71,2.0,3.43,1.29,3.57,0.43,0.3,18.44,278.64,16.39,16.07,7.16,16.37,6.71,2.0,3.43,1.29,3.57,0.43,0.3,17.68,2,21.61,367.44,3.0
Russell Wilson,PIT,QB,1.0,14.85,292.97,19.69,469.41,31.54,0.62,3489.18,234.61,7.45,20.77,1.4,9.92,0.66,48.54,3.26,54.79,3.67,277.1,18.48,4.96,20.38,1.37,2.64,0.18,1.95,0.13,524.21,35.22,20.38,1.37,1.0,253.27,17.03,15.92,6.92,17.17,5.82,2.9,1.46,1.72,2.95,0.48,0.25,17.63,253.27,17.03,15.92,6.92,17.17,5.82,2.9,1.46,1.72,2.95,0.48,0.25,18.31,253.27,17.03,15.92,6.92,17.17,5.82,2.9,1.46,1.72,2.95,0.48,0.25,17.63,3,17.28,293.82,11.0
Derek Carr,NO,QB,1.0,15.62,340.95,21.72,535.33,34.21,0.63,3910.31,249.27,7.28,24.05,1.55,13.49,0.86,30.23,1.92,29.64,1.88,107.44,6.88,3.78,10.36,0.67,0.31,0.02,2.1,0.13,564.97,36.09,10.36,0.67,1.0,247.56,15.84,17.48,6.14,16.49,5.33,1.15,4.92,4.1,0.1,0.37,0.01,17.67,247.56,15.84,17.48,6.14,16.49,5.33,1.15,4.92,4.1,0.1,0.37,0.01,18.0,247.56,15.84,17.48,6.14,16.49,5.33,1.15,4.92,4.1,0.1,0.37,0.01,17.67,3,12.77,217.1,23.0
Jared Goff,DET,QB,1.0,16.03,367.95,23.01,559.56,34.96,0.66,4082.26,253.8,7.27,25.51,1.58,7.87,0.5,26.08,1.66,28.18,1.76,79.26,5.02,3.13,5.46,0.34,0.41,0.03,4.51,0.29,587.74,36.71,5.46,0.34,1.0,263.94,16.39,15.52,7.71,16.09,6.08,3.28,2.05,1.69,2.92,0.42,0.23,17.09,263.94,16.39,15.52,7.71,16.09,6.08,3.28,2.05,1.69,2.92,0.42,0.23,17.26,263.94,16.39,15.52,7.71,16.09,6.08,3.28,2.05,1.69,2.92,0.42,0.23,17.09,3,19.15,325.49,7.0
Tua Tagovailoa,MIA,QB,1.0,12.69,252.54,19.86,385.64,30.35,0.66,3140.67,245.88,8.08,21.26,1.66,8.21,0.65,20.64,1.64,29.85,2.38,88.87,7.09,2.96,7.23,0.59,1.08,0.09,1.0,0.08,415.49,32.74,7.23,0.59,1.0,216.55,16.99,15.8,8.65,16.2,3.97,4.44,1.1,0.9,2.28,0.34,0.22,16.73,216.55,16.99,15.8,8.65,16.2,3.97,4.44,1.1,0.9,2.28,0.34,0.22,17.02,216.55,16.99,15.8,8.65,16.2,3.97,4.44,1.1,0.9,2.28,0.34,0.22,16.73,3,16.25,276.33,14.0
Ryan Tannehill,FA,QB,0.0,13.69,259.74,18.73,393.82,28.45,0.66,2974.77,216.27,7.62,17.1,1.22,8.15,0.58,35.67,2.62,40.31,2.92,159.33,11.01,3.74,18.41,1.28,3.79,0.26,2.41,0.18,434.13,31.38,18.41,1.28,1.0,215.49,15.43,14.6,5.8,16.31,6.46,1.56,1.62,3.28,0.77,0.45,0.06,16.11,215.49,15.43,14.6,5.8,16.31,6.46,1.56,1.62,3.28,0.77,0.45,0.06,16.75,215.49,15.43,14.6,5.8,16.31,6.46,1.56,1.62,3.28,0.77,0.45,0.06,16.11,3,15.17,257.82,17.0
Jimmy Garoppolo,LAR,QB,2.0,11.51,219.51,18.82,324.87,27.88,0.67,2651.51,225.88,8.09,16.1,1.39,6.15,0.52,20.1,1.73,25.51,2.16,36.79,3.22,1.52,11.21,0.95,2.05,0.17,2.05,0.17,350.38,30.04,11.21,0.95,0.98,176.67,15.11,15.82,5.92,15.99,3.87,2.31,4.33,0.1,0.9,0.1,0.08,15.72,176.67,15.11,15.82,5.92,15.99,3.87,2.31,4.33,0.1,0.9,0.1,0.08,16.19,176.67,15.11,15.82,5.92,15.99,3.87,2.31,4.33,0.1,0.9,0.1,0.08,15.72,3,15.93,270.86,15.0
Matthew Stafford,LAR,QB,1.0,11.77,270.41,22.94,402.49,34.03,0.67,3009.51,248.52,7.29,19.59,1.5,10.51,0.89,30.18,2.76,19.51,1.59,28.28,2.01,1.18,5.21,0.41,0.64,0.07,2.54,0.25,422.0,35.63,5.21,0.41,0.96,191.35,15.26,14.21,4.73,16.9,4.97,2.18,1.41,2.33,0.87,0.35,0.06,15.82,191.35,15.26,14.21,4.73,16.9,4.97,2.18,1.41,2.33,0.87,0.35,0.06,16.03,191.35,15.26,14.21,4.73,16.9,4.97,2.18,1.41,2.33,0.87,0.35,0.06,15.82,3,10.49,178.25,28.0
Matt Ryan,FA,QB,0.0,13.69,335.97,24.77,503.31,37.09,0.67,3446.9,252.52,6.82,16.77,1.22,12.54,0.95,38.82,2.9,30.54,2.23,75.33,5.56,2.51,8.9,0.67,1.1,0.08,4.54,0.35,533.85,39.32,8.9,0.67,1.0,198.17,14.41,12.66,6.84,14.6,8.03,1.74,1.26,1.21,1.46,0.24,0.11,15.3,198.17,14.41,12.66,6.84,14.6,8.03,1.74,1.26,1.21,1.46,0.24,0.11,15.63,198.17,14.41,12.66,6.84,14.6,8.03,1.74,1.26,1.21,1.46,0.24,0.11,15.3,3,10.72,182.23,27.0
Deshaun Watson,CLE,QB,1.0,7.38,138.03,17.52,221.59,29.11,0.6,1615.24,199.91,6.81,10.59,1.29,5.28,0.78,24.0,3.29,43.45,5.95,212.1,28.97,4.87,12.9,1.71,1.28,0.17,0.41,0.03,265.03,35.06,12.9,1.71,0.81,129.93,16.24,16.26,5.68,17.22,2.86,0.28,1.28,2.55,0.41,0.61,0.03,14.53,129.93,16.24,16.26,5.68,17.22,2.86,0.28,1.28,2.55,0.41,0.61,0.03,15.39,129.93,16.24,16.26,5.68,17.22,2.86,0.28,1.28,2.55,0.41,0.61,0.03,14.53,3,7.46,126.83,39.0
Kenny Pickett,PHI,QB,2.0,13.0,245.0,18.85,389.0,29.92,0.63,2404.0,184.92,6.18,7.0,0.54,9.0,0.69,27.0,2.08,55.0,4.23,237.0,18.23,4.31,23.0,1.77,3.0,0.23,1.0,0.08,444.0,34.15,23.0,1.77,1.0,159.0,12.23,13.3,4.33,13.88,8.0,4.0,0.0,1.0,0.0,0.08,0.0,14.4,159.0,12.23,13.3,4.33,13.88,8.0,4.0,0.0,1.0,0.0,0.08,0.0,15.29,159.0,12.23,13.3,4.33,13.88,8.0,4.0,1.0,0.0,0.0,0.0,0.0,14.29,1,13.44,228.41,20.0
Mac Jones,JAC,QB,2.0,14.86,306.29,20.61,464.57,31.31,0.66,3226.71,216.79,6.93,16.29,1.08,11.57,0.78,32.29,2.21,46.14,3.14,109.71,7.38,2.39,14.86,0.98,0.71,0.05,1.57,0.1,510.71,34.45,14.86,0.98,1.0,197.36,13.24,13.17,5.82,13.95,8.29,2.29,2.0,2.29,0.0,0.18,0.0,14.53,197.36,13.24,13.17,5.82,13.95,8.29,2.29,2.0,2.29,0.0,0.18,0.0,15.02,197.36,13.24,13.17,5.82,13.95,8.29,2.29,2.0,2.29,0.0,0.18,0.0,14.53,2,13.04,221.6,22.0
Carson Wentz,KC,QB,2.0,10.72,218.56,20.78,354.05,33.63,0.61,2307.31,216.76,6.46,15.62,1.43,9.1,0.95,30.0,2.99,34.05,3.07,138.56,12.49,4.02,10.51,0.85,1.41,0.14,2.33,0.19,388.1,36.7,10.51,0.85,0.92,167.89,15.57,12.29,8.79,14.96,5.51,0.87,1.33,1.51,1.49,0.47,0.23,14.36,167.89,15.57,12.29,8.79,14.96,5.51,0.87,1.33,1.51,1.49,0.47,0.23,14.79,167.89,15.57,12.29,8.79,14.96,5.51,0.87,1.33,1.51,1.49,0.47,0.23,14.36,3,8.84,150.26,34.0
Davis Mills,HOU,QB,1.0,14.43,283.71,19.69,454.71,31.47,0.63,2988.29,207.03,6.58,16.71,1.16,13.57,0.93,31.0,2.16,28.0,1.92,89.71,6.11,3.11,7.14,0.49,1.43,0.09,2.43,0.17,482.71,33.39,7.14,0.49,1.0,188.14,13.04,11.49,6.25,13.61,7.71,3.14,2.0,0.57,1.0,0.14,0.07,13.66,188.14,13.04,11.49,6.25,13.61,7.71,3.14,1.29,1.29,1.0,0.19,0.07,13.98,188.14,13.04,11.49,6.25,13.61,7.71,3.14,1.29,1.29,1.0,0.19,0.07,13.74,2,11.68,198.61,24.0
Sam Darnold,MIN,QB,2.0,8.15,137.13,15.81,231.18,26.74,0.59,1607.1,194.98,7.45,7.72,1.02,6.38,0.69,18.97,2.12,32.77,4.12,147.13,17.92,4.4,13.13,1.63,2.77,0.34,2.51,0.31,263.95,30.86,13.13,1.63,0.86,115.83,14.42,14.41,7.72,14.19,4.38,0.62,1.26,1.38,0.51,0.38,0.05,12.93,115.83,14.42,14.41,7.72,14.19,4.38,0.62,1.26,1.64,0.26,0.38,0.02,13.7,115.83,14.42,14.41,7.72,14.19,4.38,0.62,1.26,1.38,0.51,0.38,0.05,12.93,3,8.34,141.72,36.0
Geno Smith,SEA,QB,1.0,9.68,213.34,17.81,306.42,25.59,0.71,2289.7,190.02,7.32,16.04,1.3,5.57,0.4,26.75,2.66,35.77,3.04,188.19,13.82,4.15,12.34,0.98,0.85,0.12,2.26,0.21,342.19,28.63,12.34,0.98,0.76,169.57,14.12,13.4,4.86,14.78,2.7,1.42,0.94,4.15,0.47,0.65,0.03,12.9,169.57,14.12,13.4,4.86,14.78,2.7,1.42,0.94,4.15,0.47,0.65,0.03,13.39,169.57,14.12,13.4,4.86,14.78,2.7,1.42,0.94,4.15,0.47,0.65,0.03,12.9,3,10.11,171.94,31.0
Baker Mayfield,TB,QB,1.0,12.92,225.0,17.33,371.77,28.67,0.61,2523.77,193.51,6.74,13.44,1.01,9.28,0.72,36.77,2.88,34.9,2.68,108.33,8.27,3.08,9.41,0.71,1.0,0.08,2.46,0.19,406.67,31.35,9.41,0.71,1.0,158.88,12.1,11.11,5.03,13.26,8.26,2.46,1.64,0.26,0.31,0.04,0.02,12.97,158.88,12.1,11.11,5.03,13.26,8.26,2.46,1.64,0.26,0.31,0.04,0.02,13.33,158.88,12.1,11.11,5.03,13.26,8.26,2.46,1.64,0.26,0.31,0.04,0.02,12.97,3,11.55,196.32,25.0
Andy Dalton,CAR,QB,1.0,12.15,221.9,18.33,336.97,27.98,0.66,2451.41,200.25,7.19,15.03,1.21,8.9,0.77,23.1,1.95,26.21,2.15,65.79,5.97,2.79,5.49,0.44,0.0,0.0,1.0,0.08,363.18,30.12,5.49,0.44,0.97,156.13,12.72,12.21,6.62,12.98,7.51,2.51,0.74,0.64,0.74,0.12,0.06,12.93,156.13,12.72,12.21,6.62,12.98,7.51,2.51,0.74,0.64,0.74,0.12,0.06,13.15,156.13,12.72,12.21,6.62,12.98,7.51,2.51,0.74,0.64,0.74,0.12,0.06,12.93,3,10.44,177.54,29.0
Taylor Heinicke,LAC,QB,2.0,9.97,186.74,17.84,294.64,28.32,0.63,2082.38,201.25,7.12,12.92,1.28,7.69,0.67,22.03,2.07,33.64,3.26,144.05,14.11,4.29,9.18,0.96,0.9,0.09,3.72,0.39,328.28,31.58,9.18,0.96,0.88,140.03,13.67,13.06,4.92,13.36,5.62,1.79,1.15,1.15,0.26,0.14,0.02,12.54,140.03,13.67,13.06,4.92,13.36,5.62,1.79,1.15,1.15,0.26,0.14,0.02,13.02,140.03,13.67,13.06,4.92,13.36,5.62,1.79,1.15,1.15,0.26,0.14,0.02,12.54,3,9.24,157.04,33.0
Brock Purdy,SF,QB,1.0,9.0,114.0,12.67,170.0,18.89,0.67,1374.0,152.67,8.08,13.0,1.44,4.0,0.44,11.0,1.22,22.0,2.44,13.0,1.44,0.59,5.0,0.56,1.0,0.11,0.0,0.0,192.0,21.33,5.0,0.56,0.93,110.3,12.26,16.5,8.92,11.61,3.0,2.0,2.0,2.0,0.0,0.29,0.0,12.73,110.3,12.26,16.5,8.92,11.61,3.0,2.0,2.0,2.0,0.0,0.29,0.0,13.01,110.3,12.26,16.5,8.92,11.61,3.0,2.0,2.0,2.0,0.0,0.29,0.0,12.73,1,9.25,157.23,32.0
