Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Peyton Manning,FA,QB,0.0,16.0,409.62,25.6,611.46,38.22,0.67,4912.33,307.02,8.03,42.9,2.68,13.31,0.83,17.67,1.1,25.95,1.62,-22.72,-1.42,-0.86,2.38,0.15,0.26,0.02,3.03,0.19,637.41,39.84,2.38,0.15,1.0,337.5,21.09,22.58,8.06,20.52,3.03,2.0,0.36,4.33,6.28,2.07,0.76,23.58,337.5,21.09,22.58,8.06,20.52,3.03,2.0,0.36,4.33,6.28,2.07,0.76,23.65,337.5,21.09,22.58,8.06,20.52,3.03,2.0,0.36,4.33,6.28,2.07,0.76,23.58,3,17.69,300.72,5.0
Aaron Rodgers,NYJ,QB,1.0,14.21,306.13,21.54,464.31,32.63,0.66,3899.1,275.3,8.44,32.72,2.26,5.56,0.42,28.56,2.05,40.79,2.92,229.77,15.85,5.53,17.18,1.19,1.49,0.09,1.69,0.1,505.1,35.56,17.18,1.19,0.98,305.68,21.22,22.63,8.58,20.31,2.74,0.95,1.51,1.0,8.0,1.75,1.3,22.95,305.68,21.22,22.63,8.58,20.31,2.74,0.95,1.51,1.0,8.0,1.75,1.3,23.54,305.68,21.22,22.63,8.58,20.31,2.74,0.95,1.51,1.0,8.0,1.75,1.3,22.95,3,22.65,385.06,1.0
Andrew Luck,FA,QB,0.0,16.0,366.31,22.9,605.33,37.83,0.61,4480.54,280.03,7.39,33.9,2.12,14.41,0.9,29.72,1.86,63.54,3.97,297.82,18.61,4.69,20.44,1.28,3.46,0.22,4.87,0.31,668.87,41.8,20.44,1.28,1.0,328.93,20.55,20.25,7.76,20.15,1.46,3.26,2.59,2.13,6.56,1.56,0.76,22.38,328.93,20.55,20.25,7.76,20.15,1.46,3.26,2.59,2.13,6.56,1.56,0.76,23.02,328.93,20.55,20.25,7.76,20.15,1.46,3.26,2.59,2.13,6.56,1.56,0.76,22.38,3,19.74,335.51,3.0
Drew Brees,FA,QB,0.0,16.0,449.95,28.12,657.82,41.11,0.68,5028.92,314.31,7.64,35.56,2.22,15.92,0.99,30.74,1.92,27.82,1.74,57.44,3.59,2.03,5.59,0.35,1.51,0.09,2.54,0.16,685.64,42.85,5.59,0.35,1.0,321.31,20.08,18.98,7.08,20.18,2.79,1.85,3.18,3.46,4.72,1.15,0.43,21.52,321.31,20.08,18.98,7.08,20.18,2.54,2.1,3.18,3.46,4.72,1.15,0.43,21.69,321.31,20.08,18.98,7.08,20.18,2.54,2.1,3.18,3.46,4.72,1.15,0.43,21.52,3,16.37,278.21,9.0
Russell Wilson,PIT,QB,1.0,16.0,274.44,17.15,434.41,27.15,0.63,3408.13,213.01,7.86,22.15,1.38,7.82,0.49,41.59,2.6,109.9,6.87,732.59,45.79,6.58,39.87,2.49,4.51,0.28,1.59,0.1,544.31,34.02,39.87,2.49,1.0,307.49,19.22,18.0,8.46,18.51,4.36,1.62,2.64,4.05,3.33,0.87,0.28,19.25,307.49,19.22,18.0,8.46,18.51,4.36,1.62,2.64,4.15,3.23,0.87,0.26,20.49,307.49,19.22,18.0,8.46,18.51,4.36,1.62,2.64,4.05,3.33,0.87,0.28,19.25,3,20.37,346.21,2.0
Cam Newton,FA,QB,0.0,14.72,271.54,18.47,458.21,31.2,0.59,3267.72,222.13,7.12,19.64,1.33,12.26,0.84,39.08,2.66,107.51,7.31,571.51,38.8,5.3,45.62,3.11,5.56,0.38,3.77,0.27,565.72,38.51,45.62,3.11,1.0,269.07,18.24,15.87,8.3,17.6,4.74,2.54,1.97,2.38,3.08,0.59,0.27,18.25,269.07,18.24,15.87,8.3,17.6,4.74,2.54,1.72,2.64,3.08,0.64,0.27,19.83,269.07,18.24,15.87,8.3,17.6,4.74,2.54,1.97,2.38,3.08,0.59,0.27,18.25,3,16.45,279.68,8.0
Tom Brady,FA,QB,0.0,16.0,377.67,23.6,599.44,37.47,0.63,4242.64,265.16,7.08,31.05,1.94,9.41,0.59,26.49,1.65,33.64,2.1,44.44,2.77,1.3,9.46,0.59,0.41,0.03,2.69,0.17,633.08,39.56,9.46,0.59,1.0,277.78,17.36,17.59,8.18,16.85,5.49,1.87,1.05,4.54,3.05,0.93,0.24,18.98,277.78,17.36,17.59,8.18,16.85,5.49,1.62,1.31,4.54,3.05,0.93,0.24,19.28,277.78,17.36,17.59,8.18,16.85,5.49,1.62,1.31,4.54,3.05,0.93,0.24,18.98,3,16.5,280.47,7.0
Tony Romo,FA,QB,0.0,15.1,326.15,21.56,482.49,31.89,0.68,3859.41,255.2,8.07,32.62,2.17,10.28,0.68,31.26,2.07,24.87,1.64,53.87,3.57,2.16,3.85,0.26,0.1,0.01,2.49,0.17,507.36,33.53,3.85,0.26,1.0,266.23,17.63,17.98,6.82,17.88,3.64,1.08,4.0,3.79,2.59,0.75,0.21,18.77,266.23,17.63,17.98,6.82,17.88,3.64,1.33,3.74,3.79,2.59,0.75,0.21,18.9,266.23,17.63,17.98,6.82,17.88,3.9,1.08,3.74,3.79,2.59,0.75,0.21,18.77,3,15.84,269.28,11.0
Matt Ryan,FA,QB,0.0,16.0,421.87,26.37,632.56,39.54,0.67,4650.67,290.67,7.35,27.9,1.74,14.77,0.93,34.03,2.13,26.44,1.65,121.51,7.59,4.46,8.41,0.52,0.1,0.01,2.51,0.15,659.0,41.19,8.41,0.52,1.0,276.95,17.31,16.05,6.47,17.78,4.41,3.38,2.41,3.1,2.69,0.6,0.21,18.59,276.95,17.31,16.05,6.47,17.78,4.41,4.03,1.77,3.1,2.69,0.6,0.21,18.85,276.95,17.31,16.05,6.47,17.78,4.41,3.38,2.41,3.36,2.44,0.6,0.19,18.56,3,14.79,251.47,15.0
Matthew Stafford,LAR,QB,1.0,16.0,372.44,23.28,623.03,38.93,0.6,4430.59,276.91,7.11,23.59,1.48,14.31,0.89,37.72,2.36,40.64,2.54,90.23,5.64,2.23,9.33,0.58,2.21,0.13,3.36,0.21,663.67,41.48,9.33,0.58,1.0,260.95,16.31,16.19,7.34,16.26,6.03,1.0,2.82,3.15,3.0,0.63,0.23,18.13,260.95,16.31,16.19,7.34,16.26,6.03,1.0,2.82,3.15,3.0,0.63,0.23,18.42,260.95,16.31,16.19,7.34,16.26,6.03,1.0,2.82,3.15,3.0,0.63,0.23,18.13,3,15.94,271.05,10.0
