Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Andrew Luck,FA,QB,0.0,15.86,418.41,26.35,626.03,39.44,0.66,4544.31,286.45,7.27,37.9,2.39,14.72,0.93,21.17,1.34,48.48,3.07,174.62,11.11,3.51,13.1,0.83,0.28,0.02,1.55,0.1,674.52,42.51,13.1,0.83,1.0,324.41,20.45,22.06,6.63,20.86,2.86,1.14,1.55,8.9,1.41,1.99,0.11,23.12,324.41,20.45,22.06,6.63,20.86,3.72,0.28,1.55,8.9,1.41,1.99,0.11,23.53,324.41,20.45,22.06,6.63,20.86,2.86,1.14,1.55,8.9,1.41,1.99,0.11,23.12,3,10.25,174.22,28.0
Deshaun Watson,CLE,QB,1.0,13.43,282.43,20.54,419.0,30.87,0.66,3460.43,255.28,8.27,24.0,1.93,8.71,0.73,49.71,3.55,81.0,5.89,470.43,35.58,6.11,27.57,2.04,4.14,0.3,2.43,0.18,500.0,36.76,27.57,2.04,0.95,285.3,21.7,22.01,9.35,20.31,3.14,0.71,1.71,3.14,4.71,1.64,0.7,21.57,285.3,21.7,22.01,9.35,20.31,3.14,0.71,1.71,3.86,4.0,1.64,0.62,22.5,285.3,21.7,22.01,9.35,20.31,3.14,0.71,1.71,3.14,4.71,1.64,0.7,21.57,2,18.76,318.94,9.0
Cam Newton,FA,QB,0.0,14.62,307.44,21.16,480.38,32.94,0.64,3382.85,232.36,7.05,22.97,1.58,13.87,0.95,31.26,2.13,109.62,7.47,542.97,36.88,4.9,37.74,2.58,4.62,0.32,0.46,0.03,590.0,40.41,37.74,2.58,1.0,284.03,19.48,19.75,7.51,19.29,3.28,2.64,1.15,3.74,3.79,1.12,0.36,21.17,284.03,19.48,19.75,7.51,19.29,3.28,2.64,1.15,3.74,3.79,1.12,0.36,22.46,284.03,19.48,19.75,7.51,19.29,3.28,2.64,1.15,3.74,3.79,1.12,0.36,21.17,3,13.66,232.3,21.0
Matt Ryan,FA,QB,0.0,16.0,396.46,24.78,580.15,36.26,0.68,4713.49,294.59,8.13,31.46,1.97,8.28,0.52,36.87,2.3,32.95,2.06,128.79,8.05,3.92,13.77,0.86,1.92,0.12,4.18,0.26,613.1,38.32,13.77,0.86,1.0,321.05,20.06,19.22,7.11,20.16,3.05,2.23,4.21,2.05,4.46,0.88,0.45,20.92,321.05,20.06,19.22,7.11,20.16,3.05,2.23,4.21,2.05,4.46,0.88,0.45,21.35,321.05,20.06,19.22,7.11,20.16,3.05,2.23,4.21,2.05,4.46,0.88,0.45,20.92,3,23.38,397.41,1.0
Russell Wilson,PIT,QB,1.0,16.0,302.62,18.91,471.51,29.47,0.65,3664.26,229.02,7.81,33.31,2.08,8.44,0.53,47.92,3.0,74.69,4.67,417.85,26.11,5.55,25.62,1.6,0.87,0.05,2.26,0.14,546.21,34.14,25.62,1.6,1.0,307.96,19.25,19.92,6.8,19.53,3.41,2.1,3.21,3.44,3.85,1.01,0.39,20.56,307.96,19.25,19.92,6.8,19.53,3.41,2.1,3.21,3.54,3.74,1.01,0.38,21.35,307.96,19.25,19.92,6.8,19.53,3.41,2.1,3.21,3.44,3.85,1.01,0.39,20.56,3,18.59,316.1,10.0
Ben Roethlisberger,FA,QB,0.0,15.54,415.69,26.67,628.74,40.36,0.66,4769.51,306.13,7.58,31.95,2.05,15.18,0.97,22.51,1.44,28.69,1.84,76.31,4.83,2.55,10.18,0.64,2.03,0.13,1.74,0.11,657.44,42.2,10.18,0.64,1.0,311.29,19.96,19.39,7.98,19.44,3.36,1.64,4.67,2.23,3.64,0.64,0.3,20.83,311.29,19.96,19.39,7.98,19.44,3.36,2.28,4.03,2.23,3.64,0.64,0.3,21.16,311.29,19.96,19.39,7.98,19.44,3.36,2.28,4.03,2.23,3.64,0.64,0.3,20.83,3,17.0,288.97,13.0
Carson Wentz,KC,QB,2.0,12.03,285.67,23.91,432.13,35.94,0.67,3203.54,268.39,7.48,23.56,1.98,7.72,0.64,30.44,2.57,42.92,3.54,151.67,12.28,3.29,13.97,1.13,0.21,0.01,4.92,0.43,475.05,39.48,13.97,1.13,1.0,217.41,18.13,19.47,6.15,18.9,2.85,0.72,2.85,4.08,1.54,1.12,0.22,20.53,217.41,18.13,19.47,6.15,18.9,2.85,0.72,2.85,4.08,1.54,1.12,0.22,21.1,217.41,18.13,19.47,6.15,18.9,2.95,0.62,2.85,4.08,1.54,1.12,0.22,20.53,3,12.06,205.1,24.0
Patrick Mahomes II,KC,QB,1.0,11.71,279.86,23.39,424.29,35.89,0.65,3721.86,308.69,8.6,35.71,2.23,8.86,0.82,19.14,1.73,44.86,4.68,197.14,15.0,3.64,13.14,1.09,1.43,0.09,1.43,0.09,469.14,40.57,13.14,1.09,0.79,300.83,21.59,21.83,4.83,18.9,0.29,0.71,2.14,1.43,7.14,2.14,1.19,20.4,300.83,21.59,21.83,4.83,18.9,0.29,0.71,2.14,1.43,7.14,2.14,1.19,20.94,300.83,21.59,21.83,4.83,18.9,0.29,0.71,2.14,1.43,7.14,2.14,1.19,20.4,2,19.63,333.79,6.0
Aaron Rodgers,NYJ,QB,1.0,13.69,319.08,23.12,506.28,36.54,0.63,3731.08,267.7,7.32,24.23,1.84,3.54,0.34,40.64,2.99,40.59,3.03,242.59,17.76,5.92,17.95,1.33,1.69,0.1,2.59,0.18,546.87,39.58,17.95,1.33,0.96,272.5,19.7,20.0,8.79,18.75,2.38,2.77,2.92,2.46,3.15,1.16,0.33,19.92,272.5,19.7,20.0,8.79,18.75,2.38,2.77,2.92,2.46,3.15,1.16,0.33,20.59,272.5,19.7,20.0,8.79,18.75,2.38,2.77,2.92,2.46,3.15,1.16,0.33,19.92,3,21.23,360.85,5.0
Drew Brees,FA,QB,0.0,15.36,380.62,24.76,519.92,33.8,0.73,4204.41,273.44,8.1,30.21,1.97,6.79,0.44,18.79,1.22,30.69,2.0,19.23,1.26,0.64,9.56,0.63,3.28,0.22,1.05,0.07,550.62,35.8,9.56,0.63,1.0,296.11,19.32,17.6,8.76,18.74,3.64,3.51,1.79,1.85,4.56,0.75,0.51,19.47,296.11,19.32,17.6,8.76,18.74,4.28,2.87,1.79,1.85,4.56,0.75,0.51,19.78,296.11,19.32,17.6,8.76,18.74,3.64,3.51,1.79,1.85,4.56,0.75,0.51,19.47,3,22.37,380.22,3.0
