Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Taylor Heinicke,ATL,QB,2.0,6.91,117.32,15.97,196.96,27.63,0.57,1348.16,186.93,6.76,8.04,1.11,5.42,0.75,13.39,1.78,22.16,3.1,131.7,20.69,6.74,6.61,0.98,0.96,0.16,1.43,0.15,219.12,30.73,6.61,0.98,0.78,96.91,13.87,13.76,3.88,15.66,3.39,1.92,1.06,0.44,0.1,0.05,0.01,11.72,96.91,13.87,13.76,3.88,15.66,3.39,1.92,1.06,0.44,0.1,0.05,0.01,12.21,96.91,13.87,13.76,3.88,15.66,3.39,1.92,1.06,0.44,0.1,0.05,0.01,11.72,5,9.0,153.07,38.0
Jimmy Garoppolo,LAR,QB,2.0,8.73,152.08,16.9,228.89,25.58,0.66,1760.8,192.79,7.5,10.5,1.15,7.91,0.99,16.34,1.9,22.12,2.59,38.15,4.67,1.78,8.0,0.89,0.79,0.06,0.79,0.06,251.01,28.17,8.0,0.89,0.89,112.9,12.24,12.17,6.46,12.66,4.57,1.5,1.67,0.66,0.34,0.14,0.03,11.77,112.9,12.24,12.17,6.46,12.66,4.57,1.5,1.67,0.66,0.34,0.14,0.03,12.21,112.9,12.24,12.17,6.46,12.66,4.57,1.5,1.67,0.66,0.34,0.14,0.03,11.77,5,8.41,143.0,41.0
Will Levis,TEN,QB,1.0,9.0,149.0,16.56,255.0,28.33,0.58,1808.0,200.89,7.09,8.0,0.89,4.0,0.44,28.0,3.11,25.0,2.78,57.0,6.33,2.28,7.0,0.78,1.0,0.11,4.0,0.44,280.0,31.11,7.0,0.78,0.93,106.1,11.79,11.5,7.83,11.54,6.0,1.0,1.0,0.0,1.0,0.12,0.12,11.74,106.1,11.79,11.5,7.83,11.54,6.0,1.0,1.0,0.0,1.0,0.12,0.12,12.12,106.1,11.79,11.5,7.83,11.54,6.0,1.0,1.0,0.0,1.0,0.12,0.12,11.74,1,10.6,180.27,27.0
Easton Stick,LAC,QB,2.0,4.76,104.38,20.92,163.59,32.77,0.66,1061.33,212.46,6.34,2.82,0.56,0.94,0.19,13.16,2.63,25.44,5.14,135.22,26.95,4.89,10.34,2.07,0.94,0.19,3.76,0.75,189.03,37.9,10.34,2.07,0.69,64.0,12.8,15.04,4.95,13.83,1.94,1.88,0.94,0.0,0.0,0.0,0.0,11.05,64.0,12.8,15.04,4.95,13.83,1.94,1.88,0.94,0.0,0.0,0.0,0.0,12.09,64.0,12.8,15.04,4.95,13.83,1.94,1.88,0.94,0.0,0.0,0.0,0.0,11.05,4,9.16,155.75,36.0
Gardner Minshew II,LV,QB,2.0,11.73,211.2,16.2,339.24,26.0,0.62,2330.68,184.16,7.29,11.0,0.93,6.58,0.55,23.97,1.88,24.69,2.07,70.41,5.36,2.35,5.15,0.43,2.13,0.17,3.48,0.26,363.93,28.08,5.15,0.43,0.88,146.05,11.71,10.38,7.88,11.71,7.11,2.23,0.87,0.66,0.86,0.15,0.1,10.99,146.05,11.71,10.38,7.88,11.71,7.11,2.23,0.87,0.66,0.86,0.15,0.1,11.21,146.05,11.71,10.38,7.88,11.71,7.11,2.23,0.87,0.66,0.86,0.15,0.1,10.99,5,11.79,200.51,22.0
Desmond Ridder,ARI,QB,2.0,11.86,198.71,17.07,310.0,26.69,0.64,2228.0,185.62,6.98,9.14,0.71,8.57,0.57,24.71,2.12,42.43,3.66,156.14,13.76,3.74,14.0,1.14,3.57,0.24,5.57,0.48,352.43,30.36,14.0,1.14,0.9,145.44,11.73,8.81,7.01,11.84,7.29,1.71,0.71,0.71,1.43,0.18,0.11,10.55,145.44,11.73,8.81,7.01,11.84,7.29,1.71,0.71,0.71,1.43,0.18,0.11,11.13,145.44,11.73,8.81,7.01,11.84,7.29,1.71,0.71,0.71,1.43,0.18,0.11,10.55,2,13.06,221.94,15.0
Tyson Bagent,CHI,QB,1.0,5.0,94.0,18.8,143.0,28.6,0.66,859.0,171.8,6.01,3.0,0.6,6.0,1.2,5.0,1.0,23.0,4.6,109.0,21.8,4.74,11.0,2.2,2.0,0.4,2.0,0.4,166.0,33.2,11.0,2.2,0.72,59.3,11.86,12.9,4.87,13.07,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.88,59.3,11.86,12.9,4.87,13.07,4.0,0.0,1.0,0.0,0.0,0.0,0.0,10.98,59.3,11.86,12.9,4.87,13.07,4.0,0.0,1.0,0.0,0.0,0.0,0.0,9.88,1,0.54,9.26,48.0
Tommy DeVito,NYG,QB,2.0,10.0,114.0,11.4,178.0,17.8,0.64,1101.0,110.1,6.19,8.0,0.8,3.0,0.3,37.0,3.7,36.0,3.6,195.0,19.5,5.42,7.0,0.7,1.0,0.1,1.0,0.1,214.0,21.4,7.0,0.7,0.96,96.5,9.65,10.45,7.31,9.61,7.0,1.0,1.0,1.0,0.0,0.11,0.0,9.95,96.5,9.65,10.45,7.31,9.61,7.0,1.0,1.0,1.0,0.0,0.11,0.0,10.3,96.5,9.65,10.45,7.31,9.61,7.0,1.0,1.0,1.0,0.0,0.11,0.0,9.95,1,9.13,155.21,37.0
Carson Wentz,KC,QB,2.0,5.35,94.45,13.22,150.82,20.31,0.67,986.92,133.47,6.66,7.23,1.16,4.11,0.67,12.76,1.77,23.55,6.41,87.72,22.04,3.57,6.5,1.56,1.16,0.36,0.9,0.07,174.37,26.73,6.5,1.56,0.63,81.2,14.33,13.07,15.18,12.28,2.73,0.33,0.51,0.58,1.19,0.8,0.7,9.25,81.2,14.33,13.07,15.18,12.28,2.73,0.33,0.51,0.58,1.19,0.8,0.7,10.03,81.2,14.33,13.07,15.18,12.28,2.73,0.33,0.51,0.58,1.19,0.8,0.7,9.25,5,8.26,140.34,42.0
Nick Mullens,MIN,QB,1.0,4.56,77.03,16.41,113.09,24.01,0.72,969.88,198.72,8.42,5.13,1.07,5.65,1.09,8.14,1.55,7.5,1.51,17.68,3.6,2.07,2.75,0.56,0.0,0.0,0.16,0.02,120.59,25.52,2.75,0.56,0.67,55.12,11.46,14.06,6.03,10.39,2.59,0.08,0.62,1.27,0.0,0.42,0.0,8.8,55.12,11.46,14.06,6.03,10.39,2.59,0.08,0.62,1.27,0.0,0.42,0.0,9.08,55.12,11.46,14.06,6.03,10.39,2.59,0.08,0.62,1.27,0.0,0.42,0.0,8.8,5,0.0,0.0,72.5
