Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Sam Bradford,FA,QB,0.0,1.62,16.1,5.92,24.92,9.04,0.23,141.74,53.78,2.19,0.82,0.33,1.03,0.34,2.05,0.77,0.72,0.27,1.49,0.44,0.74,0.26,0.08,0.0,0.0,0.51,0.17,25.64,9.32,0.26,0.08,0.37,6.02,2.46,2.1,2.66,2.4,1.51,0.0,0.0,0.0,0.1,0.1,0.1,1.47,6.02,2.46,2.1,2.66,2.4,1.51,0.0,0.0,0.0,0.1,0.1,0.1,1.51,6.02,2.46,2.1,2.66,2.4,1.51,0.0,0.0,0.0,0.1,0.1,0.1,1.47,3,0.0,0.0,71.0
Taylor Heinicke,ATL,QB,2.0,4.57,25.29,4.45,41.0,7.07,0.72,231.43,40.95,6.86,0.71,0.12,2.14,0.36,1.71,0.52,3.86,0.88,22.71,4.26,5.0,1.43,0.24,0.0,0.0,0.0,0.0,44.86,7.95,1.43,0.24,0.64,10.1,1.83,0.28,3.51,1.82,4.57,0.0,0.0,0.0,0.0,0.0,0.0,1.18,10.1,1.83,0.28,3.51,1.82,4.57,0.0,0.0,0.0,0.0,0.0,0.0,1.3,10.1,1.83,0.28,3.51,1.82,4.57,0.0,0.0,0.0,0.0,0.0,0.0,1.18,3,0.0,0.0,71.0
Nate Sudfeld,DET,QB,3.0,1.71,6.14,5.79,8.0,7.29,0.59,54.0,46.14,9.52,0.71,0.36,0.0,0.0,0.86,0.86,1.71,1.0,4.86,5.57,5.57,0.29,0.29,0.0,0.0,0.0,0.0,9.71,8.29,0.29,0.29,0.39,5.53,3.85,3.85,2.37,2.04,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.72,5.53,3.85,3.85,2.37,2.04,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.86,5.53,3.85,3.85,2.37,2.04,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.72,3,0.0,0.0,71.0
David Fales,FA,QB,0.0,2.0,4.0,2.0,5.93,2.97,0.09,36.55,18.28,0.85,0.14,0.07,0.14,0.07,1.0,0.5,0.55,0.28,1.1,0.55,0.28,0.14,0.07,0.14,0.07,0.0,0.0,6.48,3.24,0.14,0.07,0.44,2.68,1.34,1.34,1.89,1.14,1.86,0.0,0.0,0.14,0.0,0.14,0.0,0.64,2.68,1.34,1.34,1.89,1.14,1.86,0.0,0.0,0.14,0.0,0.14,0.0,0.68,2.68,1.34,1.34,1.89,1.14,1.86,0.0,0.0,0.14,0.0,0.14,0.0,0.64,3,0.0,0.0,71.0
Sean Mannion,FA,QB,0.0,3.21,10.46,3.19,18.03,5.5,0.6,105.64,32.68,6.33,0.0,0.0,1.28,0.43,0.31,0.06,6.56,2.06,-5.72,-1.88,-0.89,1.21,0.36,0.0,0.0,0.74,0.23,24.59,7.57,1.21,0.36,0.58,0.86,0.22,-0.11,0.74,0.34,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.86,0.22,-0.11,0.74,0.34,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.86,0.22,-0.11,0.74,0.34,3.21,0.0,0.0,0.0,0.0,0.0,0.0,0.49,3,0.0,0.0,71.0
Ryan Griffin,FA,QB,0.0,2.0,2.0,1.0,4.0,2.0,0.5,18.0,9.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,-1.0,-0.5,-0.25,1.0,0.5,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.5,0.44,0.6,0.3,0.3,0.57,0.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.6,0.3,0.3,0.57,0.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.6,0.3,0.3,0.57,0.57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,1,0.0,0.0,71.0
Trace McSorley,FA,QB,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.28,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.1,0.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,71.0
Matt Cassel,FA,QB,0.0,1.36,4.36,2.18,8.67,4.33,0.17,31.74,15.87,1.29,0.1,0.05,0.46,0.23,1.08,0.54,0.51,0.26,3.33,1.67,1.67,0.26,0.13,0.0,0.0,0.21,0.1,9.18,4.59,0.26,0.13,0.34,0.68,0.34,0.34,1.78,0.38,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.68,0.34,0.34,1.78,0.38,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.68,0.34,0.34,1.78,0.38,1.36,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3,0.0,0.0,71.0
Geno Smith,SEA,QB,1.0,2.13,2.41,1.13,4.72,2.05,0.12,23.79,11.28,1.12,0.1,0.05,0.0,0.0,0.56,0.21,2.46,0.62,1.74,0.72,0.37,0.46,0.15,0.0,0.0,0.46,0.15,7.18,2.67,0.46,0.15,0.41,0.61,0.42,0.5,1.0,0.38,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.61,0.42,0.5,1.0,0.38,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.61,0.42,0.5,1.0,0.38,2.13,0.0,0.0,0.0,0.0,0.0,0.0,0.28,3,0.0,0.0,71.0
Mark Sanchez,FA,QB,0.0,1.29,5.43,2.71,10.0,5.0,0.15,39.43,19.71,1.13,0.0,0.0,0.86,0.43,2.0,1.0,0.29,0.14,2.29,1.14,2.29,0.29,0.14,0.0,0.0,0.0,0.0,10.29,5.14,0.29,0.14,0.33,0.09,0.04,0.04,1.07,0.05,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.09,0.04,0.04,1.07,0.05,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.09,0.04,0.04,1.07,0.05,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.24,2,0.0,0.0,71.0
