Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Lamar Jackson,BAL,QB,1.0,15.1,233.23,15.51,361.28,24.01,0.64,2692.28,178.97,7.42,26.51,1.76,7.62,0.51,26.13,1.73,162.13,10.75,1024.74,68.02,6.29,58.97,3.91,6.79,0.45,3.49,0.23,523.41,34.76,58.97,3.91,1.0,343.33,22.82,22.86,6.52,23.51,2.21,3.23,1.49,2.95,5.23,4.16,0.75,24.32,343.33,22.82,22.86,6.52,23.51,2.21,3.23,1.49,2.95,5.23,4.16,0.75,26.27,343.33,22.82,22.86,6.52,23.51,2.21,3.23,1.49,2.95,5.23,4.16,0.75,24.32,3,20.14,342.3,8.0
Kyler Murray,ARI,QB,1.0,16.0,367.57,22.97,553.43,34.59,0.66,3899.86,243.74,7.05,24.29,1.51,12.0,0.75,33.0,2.06,121.57,7.6,740.43,46.28,6.07,44.86,2.8,9.0,0.56,3.43,0.21,675.0,42.19,44.86,2.8,1.0,364.01,22.75,23.53,8.9,21.55,2.86,3.29,1.0,2.0,6.86,1.36,0.81,24.29,364.01,22.75,23.53,8.9,21.55,2.86,3.29,1.0,2.0,6.86,1.36,0.81,25.69,364.01,22.75,23.53,8.9,21.55,2.86,3.29,1.0,2.0,6.86,1.36,0.81,24.29,2,23.61,401.44,3.0
Josh Allen,BUF,QB,1.0,15.59,340.67,21.65,517.69,33.04,0.65,3917.59,249.28,7.47,29.87,1.89,9.95,0.64,29.28,1.89,102.46,6.6,465.36,30.43,4.57,39.33,2.55,8.26,0.53,5.08,0.33,620.15,39.63,39.33,2.55,1.0,357.37,22.78,23.63,8.23,22.09,2.03,3.08,2.77,1.67,6.05,1.03,0.73,24.0,357.37,22.78,23.63,8.23,22.09,2.03,3.08,2.77,1.67,6.05,1.03,0.73,25.28,357.37,22.78,23.63,8.23,22.09,2.03,3.08,2.77,1.67,6.05,1.03,0.73,24.0,3,23.94,407.02,2.0
Justin Herbert,LAC,QB,1.0,15.0,396.0,26.4,595.0,39.67,0.67,4336.0,289.07,7.29,31.0,2.07,10.0,0.67,32.0,2.13,55.0,3.67,234.0,15.6,4.25,20.0,1.33,5.0,0.33,1.0,0.07,650.0,43.33,20.0,1.33,1.0,342.8,22.85,23.2,7.79,22.39,2.0,3.0,1.0,4.0,5.0,1.5,0.5,24.48,342.8,22.85,23.2,7.79,22.39,2.0,3.0,1.0,4.0,5.0,1.5,0.5,25.14,342.8,22.85,23.2,7.79,22.39,2.0,3.0,1.0,4.0,5.0,1.5,0.5,24.48,1,23.03,391.51,5.0
Patrick Mahomes II,KC,QB,1.0,14.85,371.08,24.97,560.51,37.71,0.66,4594.82,309.07,8.2,36.15,2.42,6.36,0.43,21.13,1.42,56.92,3.82,281.23,18.9,4.95,19.15,1.29,2.0,0.13,2.0,0.13,617.44,41.53,19.15,1.29,1.0,361.4,24.27,22.17,7.31,24.16,1.15,0.62,5.82,1.1,6.15,1.06,0.74,24.46,361.4,24.27,22.17,7.31,24.16,1.15,0.62,5.82,1.1,6.15,1.06,0.74,25.1,361.4,24.27,22.17,7.31,24.16,1.15,0.62,5.82,1.1,6.15,1.06,0.74,24.46,3,24.87,422.77,1.0
Deshaun Watson,CLE,QB,1.0,15.74,365.64,23.21,527.44,33.49,0.69,4506.54,285.78,8.53,30.49,1.93,8.49,0.54,49.05,3.11,88.87,5.64,447.03,28.38,5.02,30.69,1.95,4.23,0.27,3.0,0.19,616.31,39.13,30.69,1.95,1.0,360.45,22.88,22.56,7.17,23.15,2.72,1.38,3.15,4.26,4.23,1.18,0.42,23.81,360.45,22.88,22.56,7.17,23.15,2.72,1.38,3.15,4.36,4.13,1.18,0.41,24.77,360.45,22.88,22.56,7.17,23.15,2.72,1.38,3.15,4.26,4.23,1.18,0.42,23.81,3,23.13,393.26,4.0
Aaron Rodgers,NYJ,QB,1.0,16.0,367.13,22.94,544.31,34.02,0.68,4235.46,264.72,7.8,40.0,2.5,4.44,0.28,27.08,1.69,40.56,2.54,170.03,10.63,4.18,13.97,0.87,2.38,0.15,2.62,0.16,584.87,36.56,13.97,0.87,1.0,352.5,22.03,21.96,7.36,22.18,3.0,2.21,1.56,4.69,4.54,2.05,0.4,23.24,352.5,22.03,21.96,7.36,22.18,3.26,1.95,1.56,4.69,4.54,2.05,0.4,23.68,352.5,22.03,21.96,7.36,22.18,3.0,2.21,1.56,4.69,4.54,2.05,0.4,23.24,3,22.9,389.34,6.0
Russell Wilson,PIT,QB,1.0,16.0,362.31,22.64,533.79,33.37,0.68,4107.49,256.72,7.71,37.18,2.32,10.33,0.64,47.67,2.98,79.31,4.96,455.1,28.44,5.71,22.74,1.42,2.05,0.13,3.28,0.2,613.1,38.32,22.74,1.42,1.0,354.96,22.19,20.99,8.09,21.58,3.26,2.26,3.46,2.59,4.44,0.82,0.39,22.18,354.96,22.19,20.99,8.09,21.58,3.26,2.26,3.46,2.59,4.44,0.82,0.39,22.89,354.96,22.19,20.99,8.09,21.58,3.26,2.26,3.46,2.59,4.44,0.82,0.39,22.18,3,19.13,325.27,9.0
Dak Prescott,DAL,QB,1.0,8.95,232.79,27.86,349.08,41.39,0.67,2845.13,341.41,8.22,15.72,1.78,6.21,0.74,18.05,2.01,32.56,3.62,161.92,18.32,5.1,12.56,1.49,3.31,0.47,3.05,0.45,381.64,45.01,12.56,1.49,0.82,207.62,25.19,26.42,10.45,22.92,1.82,1.15,0.97,1.23,3.77,1.44,1.14,21.37,207.62,25.19,26.42,10.45,22.92,1.82,1.15,0.97,1.23,3.77,1.44,1.14,22.11,207.62,25.19,26.42,10.45,22.92,1.82,1.15,0.97,1.23,3.77,1.44,1.14,21.37,3,14.93,253.88,20.0
Tom Brady,FA,QB,0.0,16.0,391.15,24.45,606.67,37.91,0.65,4456.79,278.55,7.35,34.77,2.17,10.87,0.68,22.54,1.41,28.26,1.77,16.15,1.01,0.62,6.92,0.44,2.9,0.18,1.1,0.07,634.92,39.68,6.92,0.44,1.0,322.76,20.18,20.76,8.21,19.49,5.9,1.08,2.0,3.0,4.03,0.82,0.35,21.35,322.76,20.18,20.76,8.21,19.49,5.9,1.08,2.0,3.0,4.03,0.82,0.35,21.56,322.76,20.18,20.76,8.21,19.49,6.15,0.82,2.0,3.0,4.03,0.82,0.35,21.35,3,18.86,320.54,10.0
