Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Lamar Jackson,BAL,QB,1.0,16.23,302.1,18.57,454.46,27.98,0.66,3847.38,235.42,8.41,34.18,2.08,5.08,0.33,26.9,1.68,138.54,8.57,875.41,54.19,6.34,47.26,2.94,4.15,0.26,4.95,0.3,593.0,36.55,47.26,2.94,1.0,390.11,23.88,22.68,7.23,24.2,1.23,1.46,2.0,4.92,6.62,3.32,0.71,25.11,390.11,23.88,22.68,7.23,24.2,1.23,1.46,2.0,4.92,6.62,3.32,0.71,26.58,390.11,23.88,22.68,7.23,24.2,1.23,1.46,2.0,4.92,6.62,3.32,0.71,25.11,7,16.69,283.73,8.0
Jalen Hurts,PHI,QB,1.0,15.51,280.62,18.0,416.54,26.69,0.68,3229.72,207.55,7.82,19.69,1.27,7.67,0.48,37.49,2.42,153.33,9.91,636.92,41.25,4.15,64.05,4.13,14.15,0.91,4.69,0.3,569.87,36.6,64.05,4.13,1.0,339.88,21.91,23.0,7.88,21.42,2.15,1.28,2.38,4.05,5.64,1.97,0.66,23.58,339.88,21.91,23.0,7.88,21.42,2.15,1.28,2.38,4.05,5.64,1.97,0.66,25.65,339.88,21.91,23.0,7.88,21.42,2.15,1.28,2.38,4.05,5.64,1.97,0.66,23.58,5,22.59,384.11,2.0
Josh Allen,BUF,QB,1.0,17.0,332.64,19.57,516.85,30.4,0.64,3938.44,231.67,7.63,28.97,1.71,9.9,0.58,18.51,1.09,106.77,6.28,554.33,32.61,5.18,52.23,3.07,12.26,0.72,2.82,0.17,623.62,36.68,52.23,3.07,1.0,394.52,23.2,23.38,10.75,21.2,3.03,1.41,0.74,5.54,6.28,2.49,0.64,23.95,394.52,23.2,23.38,10.75,21.2,3.03,1.41,0.74,5.54,6.28,2.49,0.64,25.48,394.52,23.2,23.38,10.75,21.2,3.03,1.41,0.74,5.54,6.28,2.49,0.64,23.95,7,16.71,284.06,7.0
Jayden Daniels,WAS,QB,1.0,17.0,331.0,19.47,480.0,28.24,0.69,3568.0,209.88,7.43,25.0,1.47,9.0,0.53,47.0,2.76,148.0,8.71,891.0,52.41,6.02,55.0,3.24,6.0,0.35,0.0,0.0,628.0,36.94,55.0,3.24,1.0,364.7,21.45,22.2,9.6,19.95,4.0,1.0,1.0,5.0,6.0,1.83,0.55,22.68,364.7,21.45,22.2,9.6,19.95,4.0,1.0,1.0,5.0,6.0,1.83,0.55,24.3,364.7,21.45,22.2,9.6,19.95,4.0,1.0,1.0,5.0,6.0,1.83,0.55,22.68,1,24.42,415.1,1.0
Baker Mayfield,TB,QB,1.0,16.49,374.85,22.55,544.87,32.89,0.68,4143.38,249.17,7.55,34.49,2.05,13.64,0.82,39.59,2.42,57.54,3.46,293.23,17.48,5.01,20.21,1.2,2.28,0.14,2.26,0.14,602.41,36.36,20.21,1.2,1.0,330.84,19.79,20.58,6.73,20.02,4.03,0.72,3.67,3.97,4.1,1.25,0.37,21.37,330.84,19.79,20.58,6.73,20.02,4.03,0.72,3.67,3.97,4.1,1.25,0.37,21.97,330.84,19.79,20.58,6.73,20.02,4.03,0.72,3.67,3.97,4.1,1.25,0.37,21.37,7,7.53,127.98,42.0
Bo Nix,DEN,QB,1.0,17.0,376.0,22.12,567.0,33.35,0.66,3775.0,222.06,6.66,29.0,1.71,12.0,0.71,24.0,1.41,92.0,5.41,430.0,25.29,4.67,41.0,2.41,4.0,0.24,0.0,0.0,659.0,38.76,41.0,2.41,1.0,328.1,19.3,19.3,7.03,19.4,3.0,4.0,3.0,4.0,3.0,0.7,0.21,20.4,328.1,19.3,19.3,7.03,19.4,3.0,4.0,3.0,4.0,3.0,0.7,0.21,21.61,328.1,19.3,19.3,7.03,19.4,3.0,4.0,3.0,4.0,3.0,0.7,0.21,20.4,1,21.19,360.27,3.0
Joe Burrow,CIN,QB,1.0,15.21,400.31,26.12,574.1,37.62,0.7,4208.92,271.96,7.22,35.1,2.22,8.54,0.57,41.13,2.67,42.67,2.84,177.97,11.4,4.15,14.72,0.96,1.79,0.11,3.77,0.23,616.77,40.46,14.72,0.96,0.99,321.94,20.55,19.07,8.34,19.81,3.15,1.26,3.62,1.56,5.62,0.89,0.57,21.0,321.94,20.55,19.07,8.34,19.81,3.15,1.26,3.72,1.46,5.62,0.86,0.57,21.46,321.94,20.55,19.07,8.34,19.81,3.15,1.26,3.62,1.56,5.62,0.89,0.57,21.0,5,15.96,271.39,10.0
Patrick Mahomes II,KC,QB,1.0,16.1,398.72,24.76,591.97,36.75,0.67,4128.98,256.08,6.96,27.79,1.72,11.87,0.74,32.67,2.03,62.67,3.89,333.26,20.69,5.32,23.59,1.47,1.69,0.1,0.77,0.05,654.64,40.65,23.59,1.47,1.0,307.11,19.03,17.68,5.28,20.57,1.15,6.26,3.41,2.56,2.72,0.81,0.24,20.31,307.11,19.03,17.68,5.28,20.57,1.15,6.26,3.41,2.56,2.72,0.81,0.24,21.04,307.11,19.03,17.68,5.28,20.57,1.15,6.26,3.41,2.56,2.72,0.81,0.24,20.31,8,7.66,130.15,41.0
Brock Purdy,SF,QB,1.0,14.64,282.97,19.06,422.95,28.5,0.67,3715.28,249.38,8.74,22.1,1.5,10.92,0.73,28.18,1.9,54.56,3.7,245.31,16.26,4.14,25.51,1.71,3.82,0.25,2.44,0.16,477.51,32.19,25.51,1.71,0.99,268.77,18.09,19.85,7.87,17.74,3.0,2.64,2.0,4.05,2.95,0.92,0.24,19.38,268.77,18.09,19.85,7.87,17.74,3.0,2.64,2.0,4.05,2.95,0.92,0.24,20.24,268.77,18.09,19.85,7.87,17.74,3.0,2.64,2.0,4.05,2.95,0.92,0.24,19.38,3,18.6,316.25,6.0
Kyler Murray,ARI,QB,1.0,14.08,310.15,22.08,455.51,32.62,0.68,3172.74,224.95,6.91,17.46,1.25,9.05,0.64,26.41,1.94,68.15,4.98,472.1,33.29,6.76,23.51,1.72,4.28,0.31,2.77,0.17,523.67,37.6,23.51,1.72,0.97,257.81,18.41,18.45,6.42,19.13,3.67,1.64,2.74,3.54,2.49,0.79,0.21,19.27,257.81,18.41,18.45,6.42,19.13,3.67,1.64,2.74,2.9,3.13,0.79,0.27,20.19,257.81,18.41,18.45,6.42,19.13,3.67,1.64,2.74,2.9,3.13,0.79,0.27,19.34,6,11.64,197.86,16.0
