Player,TEAM,POS,DPCHT,G,pass_CMP,pass_CMP_mean,pass_ATT,pass_ATT_mean,pass_PCT,pass_YDS,pass_YDS_mean,pass_Y/A,pass_TD,pass_TD_mean,pass_INT,pass_INT_mean,pass_SACKS,pass_SACKS_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,FL,FL_mean,OPP,OPP_mean,FD,FD_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Josh Allen,BUF,QB,1.0,16.64,391.51,23.51,608.05,36.48,0.64,4306.95,258.8,7.09,34.62,2.08,13.1,0.78,27.23,1.64,115.54,6.94,649.36,38.79,5.55,48.67,2.92,6.82,0.41,3.87,0.24,723.59,43.41,48.67,2.92,1.0,402.17,24.15,24.13,8.01,23.49,1.85,2.51,2.31,3.23,6.74,1.57,0.72,25.49,402.17,24.15,24.13,8.01,23.49,1.85,2.51,2.31,3.23,6.74,1.57,0.72,26.95,402.17,24.15,24.13,8.01,23.49,1.85,2.51,2.31,3.23,6.74,1.57,0.72,25.49,3,20.83,354.16,5.0
Deshaun Watson,CLE,QB,1.0,15.71,368.0,23.4,530.0,33.71,0.69,4545.57,288.69,8.56,31.0,1.97,8.43,0.54,47.57,3.02,87.71,5.58,435.14,27.69,4.96,30.43,1.94,4.14,0.27,3.0,0.19,617.71,39.29,30.43,1.94,1.0,363.71,23.12,22.69,6.99,23.55,2.57,1.43,3.29,4.29,4.14,1.17,0.42,24.01,363.71,23.12,22.69,6.99,23.55,2.57,1.43,3.29,4.29,4.14,1.17,0.42,24.98,363.71,23.12,22.69,6.99,23.55,2.57,1.43,3.29,4.29,4.14,1.17,0.42,24.01,3,23.33,396.68,1.0
Kyler Murray,ARI,QB,1.0,14.72,345.41,23.5,507.0,34.44,0.68,3827.51,260.89,7.58,24.1,1.64,10.72,0.72,31.72,2.16,100.05,6.76,536.95,35.98,5.26,32.13,2.15,6.44,0.43,1.23,0.08,607.05,41.2,32.13,2.15,1.0,329.71,22.39,22.64,7.96,21.83,2.95,1.82,1.64,3.28,5.03,1.34,0.55,23.74,329.71,22.39,22.64,7.96,21.83,2.95,1.82,1.64,3.28,5.03,1.34,0.55,24.81,329.71,22.39,22.64,7.96,21.83,2.95,1.82,1.64,3.28,5.03,1.34,0.55,23.74,3,19.11,324.85,9.0
Justin Herbert,LAC,QB,1.0,16.43,429.57,26.16,650.0,39.57,0.66,4820.29,293.26,7.41,36.0,2.19,13.57,0.82,31.29,1.91,60.71,3.7,282.57,17.14,4.64,25.71,1.56,3.57,0.22,1.0,0.06,710.71,43.27,25.71,1.56,1.0,380.51,23.15,22.13,8.3,22.33,2.71,3.0,1.0,4.0,5.71,1.45,0.54,24.02,380.51,23.15,22.13,8.3,22.33,2.71,3.0,1.0,4.0,5.71,1.45,0.54,24.8,380.51,23.15,22.13,8.3,22.33,2.71,3.0,1.0,4.0,5.71,1.45,0.54,24.02,2,21.11,358.9,4.0
Lamar Jackson,BAL,QB,1.0,13.08,246.92,19.09,382.41,29.57,0.64,2875.08,222.46,7.51,20.62,1.54,11.26,0.89,34.15,2.68,144.72,11.08,873.05,66.4,5.99,53.79,4.12,3.79,0.28,3.15,0.24,527.13,40.66,53.79,4.12,1.0,293.05,22.24,21.01,9.21,21.21,2.44,1.77,3.08,1.82,3.97,1.98,0.51,22.51,293.05,22.24,21.01,9.21,21.21,2.44,1.77,3.08,1.82,3.97,1.98,0.51,24.56,293.05,22.24,21.01,9.21,21.21,2.44,1.77,3.08,1.82,3.97,1.98,0.51,22.51,3,14.31,243.3,22.0
Tom Brady,FA,QB,0.0,16.64,451.97,27.1,680.18,40.81,0.66,5011.74,300.71,7.36,40.28,2.42,11.59,0.7,22.26,1.34,28.31,1.71,56.95,3.37,2.04,11.33,0.67,2.36,0.15,2.28,0.14,708.49,42.52,11.33,0.67,1.0,365.48,21.94,23.6,8.52,21.01,5.36,0.31,2.0,2.36,6.62,1.22,0.7,23.97,365.48,21.94,23.6,8.52,21.01,5.36,0.31,2.0,2.36,6.62,1.22,0.7,24.31,365.48,21.94,23.6,8.52,21.01,5.46,0.21,2.0,2.36,6.62,1.22,0.7,23.97,3,20.19,343.23,7.0
Patrick Mahomes II,KC,QB,1.0,16.18,412.21,25.45,622.21,38.41,0.66,4723.69,292.61,7.63,36.13,2.24,10.38,0.63,25.33,1.56,62.62,3.86,345.56,21.23,5.49,22.95,1.41,2.0,0.12,3.28,0.2,684.82,42.27,22.95,1.41,1.0,367.32,22.75,22.08,8.13,22.09,3.67,0.21,4.13,2.92,5.26,1.02,0.5,23.48,367.32,22.75,22.08,8.13,22.09,3.67,0.21,4.13,2.92,5.26,1.02,0.5,24.19,367.32,22.75,22.08,8.13,22.09,3.67,0.21,4.13,2.92,5.26,1.02,0.5,23.48,3,20.32,345.36,6.0
Aaron Rodgers,NYJ,QB,1.0,16.0,366.21,22.89,533.62,33.35,0.69,4149.77,259.36,7.78,38.69,2.42,4.26,0.27,28.05,1.76,35.62,2.23,121.72,7.61,3.37,11.18,0.7,2.79,0.18,0.92,0.06,569.23,35.58,11.18,0.7,1.0,343.76,21.48,22.28,7.31,21.5,3.0,1.36,3.03,4.36,4.26,1.44,0.36,22.71,343.76,21.48,22.28,7.31,21.5,3.1,1.26,3.03,4.36,4.26,1.44,0.36,23.06,343.76,21.48,22.28,7.31,21.5,3.0,1.36,3.03,4.36,4.26,1.44,0.36,22.71,3,23.05,391.89,2.0
Dak Prescott,DAL,QB,1.0,13.18,341.33,26.65,500.1,39.08,0.68,3830.59,304.85,7.77,29.1,2.14,8.56,0.67,24.15,1.87,40.72,3.18,145.85,12.39,3.82,8.49,0.81,1.72,0.21,4.82,0.41,540.82,42.26,8.49,0.81,0.93,283.12,22.58,24.25,9.36,21.11,3.77,0.26,1.59,1.69,5.87,1.38,0.95,22.49,283.12,22.58,24.25,9.36,21.11,3.77,0.26,1.59,1.69,5.87,1.38,0.95,22.89,283.12,22.58,24.25,9.36,21.11,3.77,0.26,1.59,1.69,5.87,1.38,0.95,22.49,3,17.13,291.14,14.0
Matthew Stafford,LAR,QB,1.0,15.82,365.08,23.06,550.49,34.85,0.66,4435.54,281.72,8.07,34.9,2.2,13.97,0.86,30.82,1.97,30.0,1.93,63.05,4.26,2.19,8.72,0.56,0.0,0.0,1.85,0.13,580.49,36.79,8.72,0.56,0.99,309.26,19.61,19.87,5.98,20.59,3.03,3.95,1.92,4.44,2.49,0.86,0.21,20.72,309.26,19.61,19.87,5.98,20.59,3.03,3.95,1.92,4.44,2.49,0.86,0.21,21.0,309.26,19.61,19.87,5.98,20.59,3.03,3.95,1.92,4.44,2.49,0.86,0.21,20.72,3,15.86,269.61,18.0
