Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Austin Seibert,WAS,K,1.0,9,27,3.0,30,3.33,0.9,55,43.89,0,0.0,10,1.11,7,0.78,8,0.89,2,0.22,22,2.44,24,2.67,0.92,114,12.67,0.93,115.0,12.78,11.0,4.49,10.96,0,0,4,2,3,1.25,0.5,10.94,115.0,12.78,11.0,4.49,10.96,0,0,4,1,4,1.25,0.8,11.18,115.0,12.78,11.0,4.49,10.96,0,0,4,2,3,1.25,0.5,10.94
Brandon Aubrey,DAL,K,1.0,17,40,2.35,47,2.76,0.85,65,47.88,0,0.0,4,0.24,8,0.47,14,0.82,14,0.82,30,1.76,30,1.76,1.0,171,10.06,1.0,192.0,11.29,11.0,5.3,9.3,3,1,4,4,5,1.12,0.42,10.71,192.0,11.29,11.0,5.3,9.3,3,1,4,4,5,1.12,0.42,10.71,192.0,11.29,11.0,5.3,9.3,3,1,4,4,5,1.12,0.42,10.71
Will Reichard,MIN,K,1.0,13,24,1.85,30,2.31,0.8,58,40.0,0,0.0,5,0.38,6,0.46,5,0.38,8,0.62,38,2.92,38,2.92,1.0,128,9.85,1.0,131.0,10.08,11.0,4.19,8.8,3,2,0,5,3,1.6,0.3,10.66,131.0,10.08,11.0,4.19,8.8,3,2,0,5,3,1.6,0.3,10.66,131.0,10.08,11.0,4.19,8.8,3,2,0,5,3,1.6,0.3,10.66
Ka'imi Fairbairn,HOU,K,1.0,17,36,2.12,42,2.47,0.86,59,40.65,0,0.0,8,0.47,11,0.65,4,0.24,13,0.76,34,2.0,36,2.12,0.94,162,9.53,1.0,172.0,10.12,11.0,5.28,8.34,4,1,3,5,4,1.12,0.31,10.16,172.0,10.12,11.0,5.28,8.34,4,1,3,5,4,1.12,0.31,10.16,172.0,10.12,11.0,5.28,8.34,4,1,3,5,4,1.12,0.31,10.16
Cameron Dicker,LAC,K,1.0,17,39,2.29,42,2.47,0.93,59,43.88,1,0.06,9,0.53,9,0.53,11,0.65,9,0.53,33,1.94,36,2.12,0.92,162,9.53,1.0,179.0,10.53,10.0,4.91,8.83,5,0,4,4,4,0.89,0.31,9.79,179.0,10.53,10.0,4.91,8.83,5,0,4,4,4,0.89,0.31,9.79,179.0,10.53,10.0,4.91,8.83,5,0,4,4,4,0.89,0.31,9.79
Chad Ryland,ARI,K,1.0,13,28,2.15,32,2.46,0.88,58,42.46,0,0.0,6,0.46,11,0.85,7,0.54,4,0.31,26,2.0,27,2.08,0.96,123,9.46,1.0,125.0,9.62,10.0,4.52,8.24,4,2,1,2,4,0.86,0.44,9.66,125.0,9.62,10.0,4.52,8.24,4,2,1,2,4,0.86,0.44,9.66,125.0,9.62,10.0,4.52,8.24,4,1,2,2,4,0.86,0.44,9.66
Jason Sanders,MIA,K,1.0,17,37,2.18,41,2.41,0.9,57,45.41,0,0.0,7,0.41,13,0.76,5,0.29,12,0.71,26,1.53,28,1.65,0.93,151,8.88,1.0,166.0,9.76,10.0,4.82,8.23,4,2,4,4,3,0.7,0.21,9.23,166.0,9.76,10.0,4.82,8.23,4,2,4,4,3,0.7,0.21,9.23,166.0,9.76,10.0,4.82,8.23,4,2,4,4,3,0.7,0.21,9.23
Jake Bates,DET,K,1.0,17,26,1.53,29,1.71,0.9,58,37.35,0,0.0,3,0.18,10,0.59,7,0.41,6,0.35,64,3.76,67,3.94,0.96,154,9.06,1.0,161.0,9.47,10.0,3.73,8.51,4,3,3,6,1,0.7,0.06,9.16,161.0,9.47,10.0,3.73,8.51,4,4,2,6,1,0.7,0.06,9.16,161.0,9.47,10.0,3.73,8.51,4,3,3,6,1,0.7,0.06,9.16
Chris Boswell,PIT,K,1.0,17,41,2.41,44,2.59,0.93,57,45.12,0,0.0,9,0.53,12,0.71,7,0.41,13,0.76,35,2.06,35,2.06,1.0,167,9.82,1.0,191.0,11.24,8.0,6.46,8.8,3,6,1,1,6,0.7,0.55,9.1,191.0,11.24,8.0,6.46,8.8,3,6,1,1,6,0.7,0.55,9.1,191.0,11.24,8.0,6.46,8.8,3,5,2,1,6,0.7,0.55,9.1
Brandon McManus,GB,K,1.0,11,20,1.82,21,1.91,0.95,55,38.27,0,0.0,5,0.45,9,0.82,3,0.27,3,0.27,30,2.73,30,2.73,1.0,93,8.45,1.0,99.0,9.0,10.0,3.77,8.07,3,2,1,5,0,0.83,0.0,8.95,99.0,9.0,10.0,3.77,8.07,3,2,1,4,1,0.83,0.1,9.08,99.0,9.0,10.0,3.77,8.07,3,2,1,5,0,0.83,0.0,8.95
Chase McLaughlin,TB,K,1.0,17,30,1.76,32,1.88,0.94,56,37.76,0,0.0,11,0.65,7,0.41,4,0.24,8,0.47,54,3.18,56,3.29,0.96,152,8.94,1.0,164.0,9.65,9.0,4.68,8.19,4,4,2,3,4,0.7,0.31,8.92,164.0,9.65,9.0,4.68,8.19,4,4,2,3,4,0.7,0.31,8.92,164.0,9.65,9.0,4.68,8.19,4,4,2,3,4,0.7,0.31,8.92
Matthew Wright,TEN,K,1.0,5,15,3.0,16,3.2,0.94,50,42.0,0,0.0,3,0.6,8,1.6,3,0.6,1,0.2,6,1.2,6,1.2,1.0,54,10.8,0.72,56.0,11.2,13.0,4.44,9.64,1,1,0,0,3,1.5,1.5,9.21,56.0,11.2,13.0,4.44,9.64,1,1,0,1,2,1.5,0.67,8.79,56.0,11.2,13.0,4.44,9.64,1,1,0,0,3,1.5,1.5,9.21
John Parker Romo,NE,K,1.0,4,11,2.75,12,3.0,0.92,55,45.0,0,0.0,3,0.75,3,0.75,4,1.0,1,0.25,7,1.75,8,2.0,0.88,44,11.0,0.65,46.0,11.5,13.0,3.7,10.36,1,0,0,1,2,3.0,1.0,8.71,46.0,11.5,13.0,3.7,10.36,1,0,0,2,1,3.0,0.33,8.33,46.0,11.5,13.0,3.7,10.36,1,0,0,1,2,3.0,1.0,8.71
Wil Lutz,DEN,K,1.0,17,31,1.82,34,2.0,0.91,55,38.06,0,0.0,2,0.12,13,0.76,11,0.65,5,0.29,46,2.71,46,2.71,1.0,148,8.71,1.0,160.0,9.41,8.0,5.48,7.68,7,2,1,3,4,0.7,0.31,8.3,160.0,9.41,8.0,5.48,7.68,7,2,1,4,3,0.7,0.21,8.19,160.0,9.41,8.0,5.48,7.68,7,2,1,4,3,0.7,0.21,8.19
Brayden Narveson,FA,K,0.0,7,12,1.71,18,2.57,0.67,47,30.14,0,0.0,4,0.57,3,0.43,5,0.71,0,0.0,18,2.57,18,2.57,1.0,72,10.29,0.84,59.0,8.43,11.0,4.47,7.24,2,1,0,4,0,1.33,0.0,7.99,59.0,8.43,11.0,4.47,7.24,2,1,0,3,1,1.33,0.17,8.18,59.0,8.43,11.0,4.47,7.24,2,1,0,4,0,1.33,0.0,7.99
Justin Tucker,BAL,K,1.0,17,22,1.29,30,1.76,0.73,56,33.59,0,0.0,4,0.24,7,0.41,5,0.29,6,0.35,60,3.53,62,3.65,0.97,152,8.94,1.0,143.0,8.41,8.0,3.52,7.67,6,2,3,5,1,0.55,0.06,7.88,143.0,8.41,8.0,3.52,7.67,6,3,2,3,3,0.55,0.21,8.07,143.0,8.41,8.0,3.52,7.67,6,3,2,5,1,0.55,0.06,7.88
Matt Gay,IND,K,1.0,16,31,1.94,37,2.31,0.84,56,36.38,0,0.0,9,0.56,12,0.75,7,0.44,3,0.19,33,2.06,33,2.06,1.0,144,9.0,1.0,139.0,8.69,8.5,3.4,7.99,4,4,5,1,2,0.23,0.14,7.99,139.0,8.69,8.5,3.4,7.99,4,3,6,1,2,0.23,0.14,7.99,139.0,8.69,8.5,3.4,7.99,4,4,5,1,2,0.23,0.14,7.99
Tyler Bass,BUF,K,1.0,17,24,1.41,29,1.71,0.83,61,36.53,0,0.0,6,0.35,7,0.41,7,0.41,4,0.24,59,3.47,64,3.76,0.92,151,8.88,1.0,146.0,8.59,8.0,3.24,7.99,6,4,3,1,3,0.31,0.21,7.95,146.0,8.59,8.0,3.24,7.99,6,4,3,2,2,0.31,0.13,7.85,146.0,8.59,8.0,3.24,7.99,6,5,2,1,3,0.31,0.21,7.95
Harrison Butker,KC,K,1.0,13,21,1.62,25,1.92,0.84,53,31.15,1,0.08,7,0.54,7,0.54,4,0.31,2,0.15,29,2.23,31,2.38,0.94,106,8.15,1.0,100.0,7.69,9.0,4.09,6.76,5,1,5,1,1,0.18,0.08,7.47,100.0,7.69,9.0,4.09,6.76,5,1,5,0,2,0.18,0.18,7.6,100.0,7.69,9.0,4.09,6.76,5,1,5,1,1,0.18,0.08,7.47
Jason Myers,SEA,K,1.0,17,26,1.53,30,1.76,0.87,59,41.71,0,0.0,4,0.24,6,0.35,7,0.41,9,0.53,37,2.18,40,2.35,0.92,130,7.65,1.0,140.0,8.24,8.0,3.23,7.67,5,4,3,5,0,0.42,0.0,7.54,140.0,8.24,8.0,3.23,7.67,5,3,4,5,0,0.42,0.0,7.54,140.0,8.24,8.0,3.23,7.67,5,4,3,5,0,0.42,0.0,7.54
Jake Elliott,PHI,K,1.0,17,28,1.65,36,2.12,0.78,50,29.29,0,0.0,9,0.53,10,0.59,8,0.47,1,0.06,47,2.76,48,2.82,0.98,156,9.18,1.0,141.0,8.29,8.0,4.81,7.0,6,3,4,2,2,0.31,0.13,7.48,141.0,8.29,8.0,4.81,7.0,6,3,4,2,2,0.31,0.13,7.48,141.0,8.29,8.0,4.81,7.0,6,2,5,2,2,0.31,0.13,7.48
Younghoe Koo,ATL,K,1.0,14,25,1.79,34,2.43,0.74,58,35.64,0,0.0,7,0.5,5,0.36,7,0.5,6,0.43,26,1.86,26,1.86,1.0,128,9.14,1.0,120.0,8.57,7.5,5.05,7.14,4,4,3,1,2,0.27,0.17,7.34,120.0,8.57,7.5,5.05,7.14,4,4,3,1,2,0.27,0.17,7.34,120.0,8.57,7.5,5.05,7.14,4,4,3,1,2,0.27,0.17,7.34
Daniel Carlson,LV,K,1.0,17,34,2.0,40,2.35,0.85,54,38.82,0,0.0,10,0.59,11,0.65,6,0.35,7,0.41,23,1.35,25,1.47,0.92,145,8.53,1.0,145.0,8.53,7.0,5.0,7.12,6,4,3,0,4,0.31,0.31,7.28,145.0,8.53,7.0,5.0,7.12,6,4,3,0,4,0.31,0.31,7.28,145.0,8.53,7.0,5.0,7.12,6,4,3,0,4,0.31,0.31,7.28
Joshua Karty,LAR,K,1.0,17,29,1.71,34,2.0,0.85,58,28.12,0,0.0,10,0.59,9,0.53,4,0.24,6,0.35,32,1.88,36,2.12,0.89,138,8.12,1.0,135.0,7.94,8.0,5.44,6.5,7,3,3,1,3,0.31,0.21,7.28,135.0,7.94,8.0,5.44,6.5,7,1,5,1,3,0.31,0.21,7.28,135.0,7.94,8.0,5.44,6.5,7,3,3,0,4,0.31,0.31,7.38
Evan McPherson,CIN,K,2.0,12,16,1.33,22,1.83,0.73,56,30.33,0,0.0,6,0.5,4,0.33,3,0.25,3,0.25,37,3.08,38,3.17,0.97,104,8.67,1.0,94.0,7.83,7.0,4.11,6.87,6,1,2,2,1,0.33,0.09,6.96,94.0,7.83,7.0,4.11,6.87,6,1,2,1,2,0.33,0.2,7.09,94.0,7.83,7.0,4.11,6.87,6,1,2,2,1,0.33,0.09,6.96
Blake Grupe,NO,K,1.0,17,27,1.59,31,1.82,0.87,57,33.0,0,0.0,4,0.24,10,0.59,7,0.41,6,0.35,31,1.82,33,1.94,0.94,126,7.41,1.0,131.0,7.71,8.0,5.32,6.34,7,3,4,1,2,0.21,0.13,6.94,131.0,7.71,8.0,5.32,6.34,7,4,3,1,2,0.21,0.13,6.94,131.0,7.71,8.0,5.32,6.34,7,4,3,1,2,0.21,0.13,6.94
Jake Moody,SF,K,1.0,14,24,1.71,34,2.43,0.71,53,34.64,0,0.0,9,0.64,5,0.36,6,0.43,4,0.29,32,2.29,33,2.36,0.97,135,9.64,1.0,118.0,8.43,7.0,5.79,6.79,7,3,1,2,1,0.27,0.08,6.93,118.0,8.43,7.0,5.79,6.79,7,3,1,2,1,0.27,0.08,6.93,118.0,8.43,7.0,5.79,6.79,7,3,1,1,2,0.27,0.17,7.05
Anders Carlson,FA,K,0.0,7,13,1.86,15,2.14,0.87,58,38.43,0,0.0,3,0.43,2,0.29,5,0.71,3,0.43,12,1.71,15,2.14,0.8,60,8.57,0.84,62.0,8.86,8.0,5.87,7.11,2,2,0,1,2,0.75,0.4,6.86,62.0,8.86,8.0,5.87,7.11,2,2,0,1,2,0.75,0.4,6.86,62.0,8.86,8.0,5.87,7.11,2,2,0,1,2,0.75,0.4,6.86
Greg Joseph,NYJ,K,1.0,8,16,2.0,20,2.5,0.8,52,29.62,0,0.0,5,0.62,5,0.62,5,0.62,1,0.12,11,1.38,11,1.38,1.0,71,8.88,0.88,66.0,8.25,7.5,6.2,6.53,4,0,1,1,2,0.6,0.33,6.71,66.0,8.25,7.5,6.2,6.53,4,0,1,1,2,0.6,0.33,6.71,66.0,8.25,7.5,6.2,6.53,4,0,1,1,2,0.6,0.33,6.71
Cam Little,JAC,K,1.0,17,27,1.59,29,1.71,0.93,59,33.94,0,0.0,8,0.47,6,0.35,8,0.47,5,0.29,27,1.59,27,1.59,1.0,114,6.71,1.0,126.0,7.41,7.0,4.54,6.34,8,3,2,1,3,0.31,0.21,6.67,126.0,7.41,7.0,4.54,6.34,8,3,2,1,3,0.31,0.21,6.67,126.0,7.41,7.0,4.54,6.34,8,3,2,1,3,0.31,0.21,6.67
Joey Slye,NE,K,2.0,17,26,1.53,33,1.94,0.79,63,32.94,0,0.0,5,0.29,10,0.59,5,0.29,6,0.35,25,1.47,26,1.53,0.96,125,7.35,1.0,120.0,7.06,7.0,4.31,6.12,8,3,1,3,2,0.42,0.13,6.67,120.0,7.06,7.0,4.31,6.12,8,3,1,4,1,0.42,0.06,6.57,120.0,7.06,7.0,4.31,6.12,8,3,1,3,2,0.42,0.13,6.67
Nick Folk,TEN,K,2.0,14,21,1.5,22,1.57,0.95,56,31.71,0,0.0,5,0.36,2,0.14,8,0.57,6,0.43,25,1.79,25,1.79,1.0,91,6.5,1.0,108.0,7.71,6.0,6.14,6.12,8,3,1,0,2,0.17,0.17,5.94,108.0,7.71,6.0,6.14,6.12,8,2,2,0,2,0.17,0.17,5.94,108.0,7.71,6.0,6.14,6.12,8,3,1,0,2,0.17,0.17,5.94
