Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Younghoe Koo,ATL,K,1.0,12.2,31.4,2.63,33.8,2.86,0.92,52.4,40.52,0.0,0.0,8.4,0.7,10.2,0.89,7.6,0.67,5.2,0.37,25.8,2.07,28.0,2.24,0.93,129.4,10.82,0.95,138.0,11.37,11.6,5.31,9.37,1.8,1.4,1.6,2.6,4.8,1.57,0.64,11.0,138.0,11.37,11.6,5.31,9.37,1.2,2.0,1.6,2.6,4.8,1.57,0.64,11.0,138.0,11.37,11.6,5.31,9.37,2.2,1.0,1.6,2.6,4.8,1.57,0.64,11.0,2,7.74,131.61,4.0
Greg Zuerlein,NYJ,K,1.0,14.95,29.37,1.99,36.37,2.46,0.81,58.05,38.57,0.47,0.03,6.47,0.46,10.47,0.71,8.11,0.53,3.84,0.26,36.26,2.47,37.89,2.58,0.96,147.0,9.96,1.0,140.16,9.52,10.18,4.25,8.36,4.42,1.26,1.42,2.32,5.53,1.36,0.69,10.31,140.16,9.52,10.18,4.25,8.36,4.74,0.53,2.16,2.11,5.42,1.32,0.59,10.21,140.16,9.52,10.18,4.25,8.36,4.74,0.53,1.84,2.32,5.53,1.36,0.69,10.31,3,7.18,121.99,12.0
Rodrigo Blankenship,FA,K,0.0,16.0,32.0,2.0,37.0,2.31,0.86,53.0,34.75,0.0,0.0,10.0,0.62,12.0,0.75,9.0,0.56,1.0,0.06,43.0,2.69,45.0,2.81,0.96,156.0,9.75,1.0,150.0,9.38,9.5,4.15,8.21,3.0,4.0,1.0,4.0,4.0,1.0,0.33,9.47,150.0,9.38,9.5,4.15,8.21,4.0,2.0,2.0,4.0,4.0,1.0,0.33,9.47,150.0,9.38,9.5,4.15,8.21,4.0,2.0,2.0,4.0,4.0,1.0,0.33,9.47,1,5.13,87.19,32.0
Wil Lutz,DEN,K,1.0,16.0,26.89,1.68,30.95,1.94,0.87,54.79,33.9,0.53,0.03,6.26,0.39,8.53,0.53,9.74,0.61,1.84,0.11,53.11,3.32,54.11,3.38,0.98,146.95,9.19,1.0,147.21,9.2,9.11,3.92,8.18,3.79,2.95,1.84,3.58,3.84,0.9,0.32,9.14,147.21,9.2,9.11,3.92,8.18,3.58,2.74,1.95,4.0,3.74,1.02,0.31,9.2,147.21,9.2,9.11,3.92,8.18,3.79,3.47,1.0,3.89,3.84,1.02,0.32,9.21,3,7.81,132.82,3.0
Justin Tucker,BAL,K,1.0,16.0,28.53,1.78,31.11,1.94,0.92,53.95,38.07,0.0,0.0,8.84,0.55,7.58,0.47,9.32,0.58,2.79,0.17,50.21,3.14,51.53,3.22,0.97,144.84,9.05,1.0,150.68,9.42,9.32,3.8,8.44,2.21,2.95,5.32,1.63,3.89,0.63,0.35,9.08,150.68,9.42,9.32,3.8,8.44,2.21,2.95,5.11,2.47,3.26,0.71,0.27,9.04,150.68,9.42,9.32,3.8,8.44,3.05,2.79,4.63,1.42,4.11,0.63,0.38,9.11,3,7.01,119.17,13.0
Harrison Butker,KC,K,1.0,16.0,27.63,1.72,30.47,1.91,0.91,56.53,33.84,0.95,0.06,8.05,0.5,8.58,0.53,6.79,0.43,3.26,0.2,50.63,3.16,55.26,3.46,0.92,146.68,9.17,1.0,146.84,9.18,8.84,3.83,8.19,3.79,2.95,3.16,2.26,3.84,0.78,0.32,8.89,146.84,9.18,8.84,3.83,8.19,3.84,2.58,4.0,2.26,3.32,0.63,0.26,8.73,146.84,9.18,8.84,3.83,8.19,3.63,3.47,2.79,2.47,3.63,0.78,0.3,8.87,3,6.75,114.76,17.0
Tyler Bass,BUF,K,1.0,16.0,28.0,1.75,34.0,2.12,0.82,58.0,33.38,1.0,0.06,9.0,0.56,6.0,0.38,8.0,0.5,4.0,0.25,57.0,3.56,59.0,3.69,0.97,161.0,10.06,1.0,157.0,9.81,8.0,5.05,8.18,4.0,4.0,2.0,3.0,3.0,0.6,0.23,8.45,157.0,9.81,8.0,5.05,8.18,4.0,5.0,1.0,3.0,3.0,0.6,0.23,8.45,157.0,9.81,8.0,5.05,8.18,5.0,4.0,1.0,3.0,3.0,0.6,0.23,8.45,1,8.34,141.76,1.0
Matt Gay,IND,K,1.0,10.6,19.2,1.88,23.6,2.25,0.84,53.8,42.0,0.0,0.0,3.6,0.33,5.0,0.55,8.0,0.79,2.6,0.21,26.8,2.45,28.8,2.57,0.96,99.6,9.31,0.9,97.6,9.28,9.6,2.68,9.25,1.8,1.8,2.8,3.0,1.2,0.69,0.09,8.39,97.6,9.28,9.6,2.68,9.25,1.6,1.8,3.0,2.6,1.6,0.69,0.13,8.44,97.6,9.28,9.6,2.68,9.25,2.2,0.8,3.8,2.6,1.2,0.63,0.09,8.34,2,6.85,116.42,15.0
Ka'imi Fairbairn,HOU,K,1.0,16.0,26.89,1.68,31.42,1.96,0.85,54.0,32.21,0.21,0.01,7.26,0.45,9.11,0.57,6.63,0.42,3.68,0.23,38.37,2.4,41.79,2.61,0.92,136.05,8.5,1.0,133.05,8.32,8.32,4.52,7.11,5.42,1.79,2.21,3.26,3.32,0.72,0.28,8.14,133.05,8.32,8.32,4.52,7.11,4.42,3.47,1.53,3.58,3.0,0.72,0.26,8.11,133.05,8.32,8.32,4.52,7.11,5.21,2.26,1.95,3.26,3.32,0.72,0.28,8.14,3,6.95,118.08,14.0
Jason Sanders,MIA,K,1.0,16.0,28.11,1.76,32.16,2.01,0.87,54.11,33.17,0.47,0.03,7.47,0.47,6.47,0.41,8.74,0.55,4.95,0.31,33.58,2.1,34.11,2.13,0.98,130.58,8.16,1.0,138.45,8.65,7.92,5.32,7.11,6.53,1.53,2.11,1.42,4.42,0.73,0.41,8.03,138.45,8.65,7.92,5.32,7.11,6.37,1.47,2.32,1.42,4.42,0.73,0.41,8.03,138.45,8.65,7.92,5.32,7.11,6.21,1.63,2.32,1.42,4.42,0.73,0.41,8.03,3,7.86,133.64,2.0
