Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Adam Vinatieri,FA,K,0.0,15,35,2.33,40,2.67,0.88,52,37.87,0,0.0,6,0.4,10,0.67,15,1.0,4,0.27,34,2.27,34,2.27,1.0,154,10.27,1.0,162.0,10.8,12.0,4.97,9.03,3,2,0,4,6,2.0,0.67,11.76,162.0,10.8,12.0,4.97,9.03,3,2,1,2,7,1.5,0.88,11.67,162.0,10.8,12.0,4.97,9.03,4,1,1,2,7,1.5,0.88,11.67
Stephen Gostkowski,FA,K,0.0,16,38,2.38,41,2.56,0.93,54,42.94,1,0.06,8,0.5,13,0.81,11,0.69,5,0.31,44,2.75,44,2.75,1.0,167,10.44,1.0,179.0,11.19,11.0,2.74,10.86,1,2,5,1,7,1.0,0.78,11.62,179.0,11.19,11.0,2.74,10.86,1,2,5,2,6,1.0,0.6,11.47,179.0,11.19,11.0,2.74,10.86,0,3,5,2,6,1.0,0.6,11.47
Matt Prater,ARI,K,1.0,16,25,1.56,26,1.62,0.96,64,34.62,2,0.12,4,0.25,5,0.31,8,0.5,6,0.38,75,4.69,75,4.69,1.0,153,9.56,1.0,170.0,10.62,10.5,4.44,9.14,4,1,3,3,5,1.0,0.45,10.35,170.0,10.62,10.5,4.44,9.14,3,2,3,3,5,1.0,0.45,10.35,170.0,10.62,10.5,4.44,9.14,4,1,3,3,5,1.0,0.45,10.35
Phil Dawson,FA,K,0.0,16,32,2.0,36,2.25,0.89,56,36.5,0,0.0,12,0.75,6,0.38,10,0.62,4,0.25,44,2.75,44,2.75,1.0,152,9.5,1.0,158.0,9.88,10.0,4.43,8.5,4,1,4,4,3,0.78,0.23,9.48,158.0,9.88,10.0,4.43,8.5,4,1,3,4,4,1.0,0.33,9.77,158.0,9.88,10.0,4.43,8.5,4,1,3,4,4,1.0,0.33,9.77
Nick Novak,FA,K,0.0,16,34,2.12,37,2.31,0.92,50,37.0,1,0.06,9,0.56,13,0.81,9,0.56,2,0.12,42,2.62,42,2.62,1.0,153,9.56,1.0,157.0,9.81,9.0,4.32,8.5,6,0,3,3,4,0.78,0.33,9.2,157.0,9.81,9.0,4.32,8.5,6,0,3,2,5,0.78,0.45,9.33,157.0,9.81,9.0,4.32,8.5,6,0,3,2,5,0.78,0.45,9.33
Stephen Hauschka,FA,K,0.0,16,33,2.06,35,2.19,0.94,53,36.31,0,0.0,10,0.62,9,0.56,11,0.69,3,0.19,44,2.75,44,2.75,1.0,149,9.31,1.0,160.0,10.0,9.0,4.53,8.56,3,2,5,1,5,0.6,0.45,9.17,160.0,10.0,9.0,4.53,8.56,3,2,5,1,5,0.6,0.45,9.17,160.0,10.0,9.0,4.53,8.56,4,1,5,1,5,0.6,0.45,9.17
Justin Tucker,BAL,K,1.0,16,38,2.38,41,2.56,0.93,61,36.12,0,0.0,10,0.62,12,0.75,10,0.62,6,0.38,26,1.62,26,1.62,1.0,149,9.31,1.0,162.0,10.12,9.0,6.31,7.98,5,1,4,1,5,0.6,0.45,8.94,162.0,10.12,9.0,6.31,7.98,5,1,3,2,5,0.78,0.45,9.09,162.0,10.12,9.0,6.31,7.98,5,1,4,1,5,0.6,0.45,8.94
Dan Carpenter,FA,K,0.0,16,33,2.06,36,2.25,0.92,55,38.12,0,0.0,13,0.81,6,0.38,10,0.62,4,0.25,32,2.0,32,2.0,1.0,140,8.75,1.0,149.0,9.31,9.0,3.7,8.39,4,4,0,4,4,1.0,0.33,9.24,149.0,9.31,9.0,3.7,8.39,3,5,1,4,3,0.78,0.23,8.96,149.0,9.31,9.0,3.7,8.39,4,4,1,3,4,0.78,0.33,9.07
Nick Folk,TEN,K,1.0,16,33,2.06,36,2.25,0.92,54,38.0,0,0.0,8,0.5,10,0.62,12,0.75,3,0.19,27,1.69,27,1.69,1.0,135,8.44,1.0,144.0,9.0,9.5,4.63,7.66,6,1,2,3,4,0.78,0.33,8.95,144.0,9.0,9.5,4.63,7.66,6,1,3,1,5,0.6,0.45,8.93,144.0,9.0,9.5,4.63,7.66,6,1,2,4,3,0.78,0.23,8.84
Mason Crosby,FA,K,0.0,16,33,2.06,37,2.31,0.89,57,37.31,1,0.06,13,0.81,8,0.5,6,0.38,5,0.31,42,2.62,42,2.62,1.0,153,9.56,1.0,157.0,9.81,8.5,4.2,8.56,2,6,3,1,4,0.45,0.33,8.74,157.0,9.81,8.5,4.2,8.56,4,4,3,2,3,0.45,0.23,8.62,157.0,9.81,8.5,4.2,8.56,3,5,3,1,4,0.45,0.33,8.74
