Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Greg Zuerlein,NYJ,K,1.0,14.0,27.89,2.05,33.84,2.47,0.82,56.95,38.76,0.21,0.01,7.84,0.59,8.79,0.66,6.16,0.44,4.89,0.35,40.21,2.91,40.95,2.97,0.98,142.47,10.37,1.0,139.84,10.23,10.87,4.5,8.88,3.0,1.89,1.84,2.47,4.79,1.51,0.7,10.88,139.84,10.23,10.87,4.5,8.88,3.47,0.79,2.95,2.16,4.63,1.44,0.55,10.71,139.84,10.23,10.87,4.5,8.88,3.47,0.79,2.47,2.47,4.79,1.51,0.7,10.88,3,7.45,126.57,4.0
Harrison Butker,KC,K,1.0,15.37,31.68,2.09,35.37,2.34,0.89,54.74,38.4,0.0,0.0,8.79,0.57,9.84,0.66,10.16,0.67,2.89,0.19,47.74,3.07,50.42,3.23,0.95,156.53,10.25,1.0,158.74,10.41,10.11,4.22,9.07,1.84,3.42,2.32,2.89,4.89,1.18,0.5,10.35,158.74,10.41,10.11,4.22,9.07,2.63,2.16,3.58,2.89,4.11,0.96,0.41,10.11,158.74,10.41,10.11,4.22,9.07,2.32,2.79,2.47,3.21,4.58,1.18,0.47,10.31,3,7.63,129.64,3.0
Justin Tucker,BAL,K,1.0,16.0,31.47,1.97,33.84,2.11,0.94,53.84,38.0,0.0,0.0,9.05,0.57,9.42,0.59,9.89,0.62,3.11,0.19,46.58,2.91,47.84,2.99,0.98,149.37,9.33,1.0,157.11,9.82,9.79,4.13,8.61,2.32,3.21,2.21,3.0,5.26,1.13,0.5,9.94,157.11,9.82,9.79,4.13,8.61,2.53,3.0,1.89,4.05,4.53,1.25,0.39,9.91,157.11,9.82,9.79,4.13,8.61,3.79,2.05,2.11,2.47,5.58,1.05,0.54,9.94,3,7.9,134.26,2.0
Wil Lutz,DEN,K,1.0,16.0,30.53,1.91,34.11,2.13,0.9,55.68,39.34,0.79,0.05,7.95,0.49,6.53,0.41,12.37,0.77,2.89,0.18,49.05,3.07,50.47,3.15,0.97,152.79,9.55,1.0,158.87,9.93,9.37,3.8,8.92,1.63,3.84,2.89,3.37,4.26,0.96,0.37,9.67,158.87,9.93,9.37,3.8,8.92,1.32,3.53,2.84,4.0,4.32,1.19,0.37,9.82,158.87,9.93,9.37,3.8,8.92,1.63,4.63,1.42,3.84,4.47,1.19,0.39,9.84,3,8.19,139.3,1.0
Robbie Gould,FA,K,0.0,14.58,29.53,2.0,34.05,2.34,0.86,49.95,36.82,0.0,0.0,8.58,0.6,10.21,0.69,9.26,0.62,1.47,0.09,33.84,2.39,35.37,2.5,0.95,137.53,9.52,1.0,134.63,9.21,9.0,3.82,8.3,3.21,1.89,3.74,2.95,2.79,0.65,0.24,8.9,134.63,9.21,9.0,3.82,8.3,3.63,1.68,3.74,1.79,3.74,0.61,0.34,8.99,134.63,9.21,9.0,3.82,8.3,2.53,2.58,3.95,2.95,2.58,0.61,0.21,8.84,3,5.3,90.06,31.0
Matt Gay,IND,K,1.0,16.0,27.0,1.69,35.0,2.19,0.77,58.0,42.44,0.0,0.0,6.0,0.38,5.0,0.31,11.0,0.69,5.0,0.31,43.0,2.69,48.0,3.0,0.9,153.0,9.56,1.0,145.0,9.06,9.0,3.86,8.08,3.0,3.0,4.0,3.0,3.0,0.6,0.23,8.77,145.0,9.06,9.0,3.86,8.08,4.0,3.0,3.0,2.0,4.0,0.6,0.33,8.88,145.0,9.06,9.0,3.86,8.08,4.0,2.0,5.0,2.0,3.0,0.45,0.23,8.63,1,6.88,116.96,14.0
Zane Gonzalez,WAS,K,1.0,16.0,31.0,1.94,35.0,2.19,0.89,54.0,35.75,0.0,0.0,12.0,0.75,12.0,0.75,5.0,0.31,2.0,0.12,34.0,2.12,35.0,2.19,0.97,140.0,8.75,1.0,136.0,8.5,9.0,3.54,7.74,4.0,1.0,5.0,4.0,2.0,0.6,0.14,8.44,136.0,8.5,9.0,3.54,7.74,4.0,1.0,4.0,5.0,2.0,0.78,0.14,8.59,136.0,8.5,9.0,3.54,7.74,5.0,0.0,5.0,4.0,2.0,0.6,0.14,8.44,1,5.82,98.99,23.0
Chase McLaughlin,TB,K,1.0,11.0,18.0,1.64,23.0,2.09,0.78,50.0,38.73,1.0,0.09,5.0,0.45,4.0,0.36,5.0,0.45,3.0,0.27,26.0,2.36,26.0,2.36,1.0,95.0,8.64,1.0,91.0,8.27,8.0,3.69,7.45,3.0,2.0,1.0,4.0,1.0,0.83,0.1,8.06,91.0,8.27,8.0,3.69,7.45,3.0,1.0,2.0,3.0,2.0,0.83,0.22,8.21,91.0,8.27,8.0,3.69,7.45,3.0,1.0,2.0,4.0,1.0,0.83,0.1,8.06,1,7.0,119.0,11.0
Younghoe Koo,ATL,K,1.0,6.77,16.85,2.22,19.85,2.71,0.76,47.23,36.27,0.0,0.0,4.77,0.67,6.23,0.78,5.15,0.69,0.69,0.08,13.15,1.99,13.85,2.08,0.96,73.38,10.21,0.81,70.23,9.51,9.15,3.87,8.4,0.92,1.69,0.69,1.38,2.08,1.16,0.42,8.04,70.23,9.51,9.15,3.87,8.4,0.92,1.69,0.69,1.38,2.08,1.16,0.42,8.04,70.23,9.51,9.15,3.87,8.4,1.92,0.69,0.69,1.38,2.08,1.16,0.42,8.04,3,7.25,123.22,8.0
Matt Prater,ARI,K,1.0,16.0,27.47,1.72,32.16,2.01,0.86,55.79,36.73,0.42,0.03,8.58,0.54,6.84,0.42,5.89,0.37,5.74,0.36,34.47,2.16,35.16,2.2,0.98,131.63,8.23,1.0,135.62,8.48,8.45,4.68,7.2,4.37,2.74,3.26,3.11,2.53,0.55,0.19,7.97,135.62,8.48,8.45,4.68,7.2,4.58,3.0,2.79,3.32,2.32,0.55,0.17,7.94,135.62,8.48,8.45,4.68,7.2,5.21,1.89,3.58,2.79,2.53,0.5,0.19,7.92,3,7.32,124.36,7.0
Brandon McManus,GB,K,1.0,16.0,29.0,1.81,34.0,2.12,0.85,53.0,38.38,0.0,0.0,6.0,0.38,8.0,0.5,11.0,0.69,4.0,0.25,25.0,1.56,26.0,1.62,0.96,128.0,8.0,1.0,131.0,8.19,8.0,4.25,7.12,4.0,3.0,3.0,2.0,4.0,0.6,0.33,7.94,131.0,8.19,8.0,4.25,7.12,5.0,2.0,4.0,1.0,4.0,0.45,0.33,7.81,131.0,8.19,8.0,4.25,7.12,4.0,3.0,3.0,2.0,4.0,0.6,0.33,7.94,1,6.51,110.6,20.0
Brett Maher,FA,K,0.0,14.2,23.6,1.65,32.4,2.29,0.73,62.6,33.65,0.0,0.0,9.4,0.66,6.0,0.43,3.4,0.22,4.8,0.34,34.4,2.46,34.8,2.49,0.99,132.0,9.34,1.0,118.2,8.3,7.6,4.86,6.99,4.0,3.6,1.8,1.0,3.8,0.5,0.36,7.8,118.2,8.3,7.6,4.86,6.99,5.0,2.6,1.8,1.4,3.4,0.5,0.31,7.75,118.2,8.3,7.6,4.86,6.99,4.4,2.8,2.2,1.0,3.8,0.5,0.36,7.8,2,5.49,93.32,29.0
Ka'imi Fairbairn,HOU,K,1.0,16.0,25.37,1.58,30.37,1.89,0.83,54.21,31.05,0.32,0.02,5.84,0.36,8.95,0.56,6.95,0.44,3.32,0.21,38.0,2.38,41.63,2.6,0.91,132.74,8.3,1.0,127.68,7.98,7.45,4.57,6.81,6.26,1.68,2.53,2.26,3.26,0.58,0.29,7.51,127.68,7.98,7.45,4.57,6.81,5.26,3.0,2.0,2.95,2.79,0.6,0.25,7.49,127.68,7.98,7.45,4.57,6.81,5.74,1.89,2.84,2.26,3.26,0.58,0.29,7.51,3,6.92,117.58,13.0
Josh Lambo,FA,K,0.0,13.79,25.63,1.84,26.95,1.94,0.94,56.32,36.0,0.0,0.0,7.37,0.5,9.11,0.69,5.58,0.39,3.58,0.26,19.63,1.49,20.84,1.58,0.94,101.68,7.39,0.99,109.26,7.91,7.92,4.21,6.96,4.21,2.68,2.84,1.0,3.05,0.4,0.27,7.47,109.26,7.91,7.92,4.21,6.96,4.21,2.68,2.84,1.79,2.26,0.4,0.19,7.38,109.26,7.91,7.92,4.21,6.96,4.21,3.0,2.53,1.32,2.74,0.4,0.24,7.43,3,4.68,79.55,38.0
Chris Boswell,PIT,K,1.0,15.68,25.21,1.59,29.0,1.84,0.84,51.11,33.83,0.47,0.03,8.26,0.52,7.11,0.45,7.74,0.49,1.63,0.1,34.63,2.22,36.63,2.35,0.96,123.63,7.87,1.0,122.56,7.79,7.71,3.92,6.9,5.89,2.16,2.89,3.11,1.63,0.46,0.12,7.32,122.56,7.79,7.71,3.92,6.9,6.21,2.16,2.58,3.42,1.32,0.46,0.1,7.29,122.56,7.79,7.71,3.92,6.9,6.68,1.05,3.21,2.95,1.79,0.46,0.14,7.34,3,6.97,118.43,12.0
Jake Elliott,PHI,K,1.0,15.79,24.11,1.53,28.63,1.82,0.84,55.63,34.81,0.0,0.0,6.58,0.42,7.79,0.49,7.11,0.45,2.63,0.16,35.21,2.24,37.42,2.38,0.94,123.32,7.83,1.0,119.42,7.58,7.32,3.54,6.9,6.0,3.37,1.42,3.79,1.21,0.54,0.09,7.18,119.42,7.58,7.32,3.54,6.9,7.11,1.95,1.26,4.05,1.42,0.59,0.11,7.25,119.42,7.58,7.32,3.54,6.9,5.84,3.21,1.26,4.26,1.21,0.59,0.09,7.23,3,7.01,119.1,10.0
Jason Myers,SEA,K,1.0,13.89,23.63,1.72,27.79,2.07,0.83,53.16,36.6,0.0,0.0,4.95,0.4,9.74,0.65,6.11,0.49,2.84,0.18,31.58,2.3,34.84,2.55,0.9,118.21,8.75,0.95,114.26,8.3,7.82,4.24,7.26,4.37,2.26,3.37,1.79,2.11,0.4,0.18,7.27,114.26,8.3,7.82,4.24,7.26,4.63,2.0,3.37,2.58,1.32,0.4,0.12,7.19,114.26,8.3,7.82,4.24,7.26,5.63,1.32,3.05,1.79,2.11,0.4,0.18,7.27,3,6.65,112.98,17.0
Adam Vinatieri,FA,K,0.0,13.89,21.42,1.53,27.53,2.0,0.77,54.47,32.64,0.0,0.0,7.68,0.55,6.21,0.46,4.26,0.3,3.26,0.23,28.95,2.04,33.16,2.37,0.86,115.74,8.36,1.0,104.0,7.4,7.13,3.91,6.57,5.95,1.68,1.05,3.42,1.79,0.61,0.15,7.19,104.0,7.4,7.13,3.91,6.57,5.74,1.58,1.68,3.11,1.79,0.54,0.15,7.14,104.0,7.4,7.13,3.91,6.57,5.95,1.68,1.26,3.21,1.79,0.58,0.15,7.16,3,4.72,80.24,36.0
