Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Greg Zuerlein,NYJ,K,1.0,11,27,2.45,31,2.82,0.87,56,42.91,0,0.0,9,0.82,10,0.91,4,0.36,4,0.36,35,3.18,36,3.27,0.97,129,11.73,1.0,128.0,11.64,12.0,3.01,11.03,0,3,0,2,6,2.67,1.2,13.4,128.0,11.64,12.0,3.01,11.03,0,1,2,4,4,2.67,0.57,12.91,128.0,11.64,12.0,3.01,11.03,0,1,2,2,6,2.67,1.2,13.4
Justin Tucker,BAL,K,1.0,16,35,2.19,39,2.44,0.9,56,38.88,0,0.0,12,0.75,9,0.56,9,0.56,5,0.31,36,2.25,37,2.31,0.97,154,9.62,1.0,160.0,10.0,10.5,4.35,8.65,3,2,2,4,5,1.29,0.45,10.35,160.0,10.0,10.5,4.35,8.65,3,2,1,5,5,1.67,0.45,10.58,160.0,10.0,10.5,4.35,8.65,4,2,1,3,6,1.29,0.6,10.49
Ka'imi Fairbairn,HOU,K,1.0,16,37,2.31,42,2.62,0.88,54,37.12,1,0.06,9,0.56,11,0.69,12,0.75,4,0.25,39,2.44,41,2.56,0.95,167,10.44,1.0,170.0,10.62,9.5,5.29,8.75,4,1,3,2,6,1.0,0.6,10.02,170.0,10.62,9.5,5.29,8.75,3,3,2,2,6,1.0,0.6,10.02,170.0,10.62,9.5,5.29,8.75,3,1,4,2,6,1.0,0.6,10.02
Aldrick Rosas,FA,K,0.0,16,32,2.0,33,2.06,0.97,57,39.5,0,0.0,9,0.56,13,0.81,6,0.38,4,0.25,31,1.94,32,2.0,0.97,131,8.19,1.0,141.0,8.81,10.0,3.67,7.95,2,4,3,5,2,0.78,0.14,9.02,141.0,8.81,10.0,3.67,7.95,2,4,2,5,3,1.0,0.23,9.3,141.0,8.81,10.0,3.67,7.95,3,3,2,6,2,1.0,0.14,9.19
Harrison Butker,KC,K,1.0,16,24,1.5,27,1.69,0.89,54,31.0,0,0.0,9,0.56,7,0.44,6,0.38,2,0.12,65,4.06,69,4.31,0.94,150,9.38,1.0,147.0,9.19,9.0,3.53,8.37,3,2,6,1,4,0.45,0.33,8.84,147.0,9.19,9.0,3.53,8.37,4,1,7,1,3,0.33,0.23,8.6,147.0,9.19,9.0,3.53,8.37,3,3,5,2,3,0.45,0.23,8.73
Wil Lutz,DEN,K,1.0,16,28,1.75,30,1.88,0.93,54,38.75,1,0.06,5,0.31,9,0.56,11,0.69,2,0.12,52,3.25,53,3.31,0.98,143,8.94,1.0,151.0,9.44,8.0,4.56,8.07,3,5,2,2,4,0.6,0.33,8.41,151.0,9.44,8.0,4.56,8.07,2,4,4,1,5,0.6,0.45,8.54,151.0,9.44,8.0,4.56,8.07,3,6,1,2,4,0.6,0.33,8.41
Robbie Gould,FA,K,0.0,16,33,2.06,34,2.12,0.97,53,36.94,0,0.0,9,0.56,13,0.81,9,0.56,2,0.12,27,1.69,29,1.81,0.93,131,8.19,1.0,139.0,8.69,9.0,4.29,7.54,3,4,3,2,4,0.6,0.33,8.53,139.0,8.69,9.0,4.29,7.54,5,2,3,2,4,0.6,0.33,8.53,139.0,8.69,9.0,4.29,7.54,3,4,3,2,4,0.6,0.33,8.53
Adam Vinatieri,FA,K,0.0,16,23,1.44,27,1.69,0.85,54,31.0,0,0.0,8,0.5,6,0.38,5,0.31,4,0.25,44,2.75,47,2.94,0.94,128,8.0,1.0,126.0,7.88,9.0,3.81,7.04,5,1,2,6,2,1.0,0.14,8.41,126.0,7.88,9.0,3.81,7.04,5,0,4,5,2,0.78,0.14,8.24,126.0,7.88,9.0,3.81,7.04,5,1,2,6,2,1.0,0.14,8.41
Brett Maher,FA,K,0.0,16,29,1.81,36,2.25,0.81,62,34.75,0,0.0,10,0.62,6,0.38,7,0.44,6,0.38,32,2.0,33,2.06,0.97,141,8.81,1.0,138.0,8.62,8.5,5.62,7.0,4,3,3,1,5,0.6,0.45,8.3,138.0,8.62,8.5,5.62,7.0,5,2,3,2,4,0.6,0.33,8.17,138.0,8.62,8.5,5.62,7.0,5,1,4,1,5,0.6,0.45,8.3
Mason Crosby,FA,K,0.0,16,30,1.88,37,2.31,0.81,53,39.88,0,0.0,4,0.25,10,0.62,11,0.69,5,0.31,34,2.12,36,2.25,0.94,147,9.19,1.0,145.0,9.06,7.0,5.28,7.47,7,2,0,1,6,0.78,0.6,8.21,145.0,9.06,7.0,5.28,7.47,5,4,0,2,5,0.78,0.45,8.08,145.0,9.06,7.0,5.28,7.47,6,3,0,1,6,0.78,0.6,8.21
