Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Daniel Carlson,LV,K,1.0,17,40,2.35,43,2.53,0.93,56,39.53,0,0.0,10,0.59,12,0.71,12,0.71,6,0.35,30,1.76,33,1.94,0.91,162,9.53,1.0,174.0,10.24,11.0,5.94,8.19,5,1,2,5,4,1.12,0.31,10.1,174.0,10.24,11.0,5.94,8.19,5,1,1,5,5,1.43,0.42,10.41,174.0,10.24,11.0,5.94,8.19,5,0,3,4,5,1.12,0.42,10.22
Evan McPherson,CIN,K,1.0,16,28,1.75,33,2.06,0.85,58,41.12,0,0.0,5,0.31,8,0.5,6,0.38,9,0.56,46,2.88,48,3.0,0.96,147,9.19,1.0,154.0,9.62,11.0,4.63,8.19,4,3,0,5,4,1.29,0.33,10.2,154.0,9.62,11.0,4.63,8.19,4,3,0,6,3,1.29,0.23,10.09,154.0,9.62,11.0,4.63,8.19,4,3,0,5,4,1.29,0.33,10.2
Chris Boswell,PIT,K,1.0,17,36,2.12,40,2.35,0.9,56,42.65,0,0.0,9,0.53,8,0.47,11,0.65,8,0.47,27,1.59,29,1.71,0.93,149,8.76,1.0,162.0,9.53,11.0,4.81,8.04,5,2,1,4,5,1.12,0.42,10.08,162.0,9.53,11.0,4.81,8.04,5,2,1,4,5,1.12,0.42,10.08,162.0,9.53,11.0,4.81,8.04,5,2,1,4,5,1.12,0.42,10.08
Justin Tucker,BAL,K,1.0,17,35,2.06,37,2.18,0.95,66,42.53,0,0.0,7,0.41,9,0.53,13,0.76,6,0.35,32,1.88,32,1.88,1.0,143,8.41,1.0,162.0,9.53,10.0,4.3,8.26,5,3,0,4,5,1.12,0.42,9.74,162.0,9.53,10.0,4.3,8.26,5,3,1,4,4,0.89,0.31,9.45,162.0,9.53,10.0,4.3,8.26,5,3,1,3,5,0.89,0.42,9.57
Greg Joseph,NYJ,K,2.0,17,33,1.94,38,2.24,0.87,55,39.59,0,0.0,8,0.47,11,0.65,7,0.41,7,0.41,36,2.12,40,2.35,0.9,154,9.06,1.0,156.0,9.18,10.0,4.19,8.01,4,3,4,3,3,0.55,0.21,9.02,156.0,9.18,10.0,4.19,8.01,4,3,3,3,4,0.7,0.31,9.26,156.0,9.18,10.0,4.19,8.01,4,3,4,3,3,0.55,0.21,9.02
Nick Folk,TEN,K,1.0,17,36,2.12,39,2.29,0.92,53,37.94,0,0.0,9,0.53,11,0.65,11,0.65,5,0.29,42,2.47,47,2.76,0.89,164,9.65,1.0,171.0,10.06,9.0,5.37,8.25,5,3,2,1,6,0.7,0.55,9.26,171.0,10.06,9.0,5.37,8.25,5,3,2,1,6,0.7,0.55,9.26,171.0,10.06,9.0,5.37,8.25,5,3,2,1,6,0.7,0.55,9.26
Greg Zuerlein,NYJ,K,1.0,16,29,1.81,35,2.19,0.83,56,33.94,0,0.0,5,0.31,15,0.94,7,0.44,2,0.12,42,2.62,48,3.0,0.88,153,9.56,1.0,140.0,8.75,10.0,3.92,7.76,4,3,3,3,3,0.6,0.23,9.04,140.0,8.75,10.0,3.92,7.76,4,2,5,2,3,0.45,0.23,8.9,140.0,8.75,10.0,3.92,7.76,4,2,4,4,2,0.6,0.14,8.93
Dustin Hopkins,CLE,K,1.0,17,30,1.76,34,2.0,0.88,50,33.76,1,0.06,8,0.47,6,0.35,13,0.76,2,0.12,40,2.35,44,2.59,0.91,146,8.59,1.0,147.0,8.65,10.0,3.86,7.71,4,3,3,5,2,0.7,0.13,8.89,147.0,8.65,10.0,3.86,7.71,4,3,3,5,2,0.7,0.13,8.89,147.0,8.65,10.0,3.86,7.71,4,3,3,5,2,0.7,0.13,8.89
Matt Gay,IND,K,1.0,17,32,1.88,34,2.0,0.94,55,40.76,0,0.0,6,0.35,15,0.88,7,0.41,4,0.24,48,2.82,49,2.88,0.98,151,8.88,1.0,159.0,9.35,9.0,3.28,8.68,2,4,5,4,2,0.55,0.13,8.77,159.0,9.35,9.0,3.28,8.68,2,3,6,4,2,0.55,0.13,8.77,159.0,9.35,9.0,3.28,8.68,2,4,4,5,2,0.7,0.13,8.91
Jake Elliott,PHI,K,1.0,17,30,1.76,33,1.94,0.91,58,32.24,0,0.0,7,0.41,10,0.59,10,0.59,3,0.18,44,2.59,44,2.59,1.0,143,8.41,1.0,150.0,8.82,9.0,5.5,7.2,6,1,5,1,4,0.42,0.31,8.21,150.0,8.82,9.0,5.5,7.2,6,1,4,2,4,0.55,0.31,8.33,150.0,8.82,9.0,5.5,7.2,6,1,5,1,4,0.42,0.31,8.21
