Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Wil Lutz,DEN,K,1.0,16,32,2.0,36,2.25,0.89,58,37.94,1,0.06,9,0.56,6,0.38,13,0.81,3,0.19,48,3.0,49,3.06,0.98,157,9.81,1.0,163.0,10.19,10.0,3.58,9.25,1,3,3,4,5,1.29,0.45,10.41,163.0,10.19,10.0,3.58,9.25,1,3,2,6,4,1.67,0.33,10.51,163.0,10.19,10.0,3.58,9.25,1,4,1,5,5,1.67,0.45,10.64
Harrison Butker,KC,K,1.0,16,34,2.12,38,2.38,0.89,56,40.75,0,0.0,9,0.56,9,0.56,13,0.81,3,0.19,45,2.81,48,3.0,0.94,162,10.12,1.0,166.0,10.38,10.0,4.03,9.15,1,5,0,5,5,1.67,0.45,10.63,166.0,10.38,10.0,4.03,9.15,2,3,2,5,4,1.29,0.33,10.28,166.0,10.38,10.0,4.03,9.15,2,3,1,5,5,1.67,0.45,10.63
Younghoe Koo,ATL,K,1.0,8,23,2.88,26,3.25,0.88,50,41.5,0,0.0,6,0.75,9,1.12,7,0.88,1,0.12,15,1.88,16,2.0,0.94,94,11.75,0.88,93.0,11.62,11.0,4.93,9.75,0,2,1,2,3,1.67,0.6,10.23,93.0,11.62,11.0,4.93,9.75,0,2,1,2,3,1.67,0.6,10.23,93.0,11.62,11.0,4.93,9.75,1,1,1,2,3,1.67,0.6,10.23
Robbie Gould,FA,K,0.0,13,23,1.77,31,2.38,0.74,47,33.46,0,0.0,9,0.69,8,0.62,6,0.46,0,0.0,41,3.15,42,3.23,0.98,135,10.38,1.0,116.0,8.92,9.0,2.75,8.65,3,0,5,4,1,0.62,0.08,8.92,116.0,8.92,9.0,2.75,8.65,3,0,5,2,3,0.62,0.3,9.18,116.0,8.92,9.0,2.75,8.65,2,1,5,4,1,0.62,0.08,8.92
Justin Tucker,BAL,K,1.0,16,28,1.75,29,1.81,0.97,51,35.75,0,0.0,8,0.5,9,0.56,10,0.62,1,0.06,57,3.56,59,3.69,0.97,146,9.12,1.0,153.0,9.56,9.0,4.02,8.44,2,5,2,1,6,0.78,0.6,9.4,153.0,9.56,9.0,4.02,8.44,2,5,2,3,4,0.78,0.33,9.13,153.0,9.56,9.0,4.02,8.44,4,3,2,1,6,0.78,0.6,9.4
Matt Gay,IND,K,1.0,16,27,1.69,35,2.19,0.77,58,42.44,0,0.0,6,0.38,5,0.31,11,0.69,5,0.31,43,2.69,48,3.0,0.9,153,9.56,1.0,145.0,9.06,9.0,3.86,8.08,3,3,4,3,3,0.6,0.23,8.77,145.0,9.06,9.0,3.86,8.08,4,3,3,2,4,0.6,0.33,8.88,145.0,9.06,9.0,3.86,8.08,4,2,5,2,3,0.45,0.23,8.63
Zane Gonzalez,WAS,K,1.0,16,31,1.94,35,2.19,0.89,54,35.75,0,0.0,12,0.75,12,0.75,5,0.31,2,0.12,34,2.12,35,2.19,0.97,140,8.75,1.0,136.0,8.5,9.0,3.54,7.74,4,1,5,4,2,0.6,0.14,8.44,136.0,8.5,9.0,3.54,7.74,4,1,4,5,2,0.78,0.14,8.59,136.0,8.5,9.0,3.54,7.74,5,0,5,4,2,0.6,0.14,8.44
Chase McLaughlin,TB,K,1.0,11,18,1.64,23,2.09,0.78,50,38.73,1,0.09,5,0.45,4,0.36,5,0.45,3,0.27,26,2.36,26,2.36,1.0,95,8.64,1.0,91.0,8.27,8.0,3.69,7.45,3,2,1,4,1,0.83,0.1,8.06,91.0,8.27,8.0,3.69,7.45,3,1,2,3,2,0.83,0.22,8.21,91.0,8.27,8.0,3.69,7.45,3,1,2,4,1,0.83,0.1,8.06
Greg Zuerlein,NYJ,K,1.0,16,24,1.5,33,2.06,0.73,58,35.12,0,0.0,7,0.44,7,0.44,5,0.31,5,0.31,42,2.62,42,2.62,1.0,141,8.81,1.0,129.0,8.06,8.5,4.42,6.95,5,2,3,3,3,0.6,0.23,8.04,129.0,8.06,8.5,4.42,6.95,6,1,4,1,4,0.45,0.33,8.02,129.0,8.06,8.5,4.42,6.95,6,1,3,3,3,0.6,0.23,8.04
Josh Lambo,FA,K,0.0,16,33,2.06,34,2.12,0.97,56,38.31,0,0.0,12,0.75,9,0.56,8,0.5,4,0.25,19,1.19,20,1.25,0.95,122,7.62,1.0,134.0,8.38,8.5,4.19,7.31,4,3,4,1,4,0.45,0.33,8.04,134.0,8.38,8.5,4.19,7.31,4,3,4,2,3,0.45,0.23,7.93,134.0,8.38,8.5,4.19,7.31,4,3,4,1,4,0.45,0.33,8.04
