Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Younghoe Koo,ATL,K,1.0,15,37,2.47,39,2.6,0.95,54,39.87,0,0.0,10,0.67,11,0.73,8,0.53,8,0.53,33,2.2,36,2.4,0.92,153,10.2,1.0,168.0,11.2,12.0,5.57,9.11,3,1,2,3,6,1.5,0.67,11.52,168.0,11.2,12.0,5.57,9.11,2,2,2,3,6,1.5,0.67,11.52,168.0,11.2,12.0,5.57,9.11,3,1,2,3,6,1.5,0.67,11.52
Jason Sanders,MIA,K,1.0,16,36,2.25,39,2.44,0.92,56,40.31,1,0.06,8,0.5,7,0.44,12,0.75,8,0.5,36,2.25,36,2.25,1.0,153,9.56,1.0,172.0,10.75,10.5,5.41,8.8,4,1,2,3,6,1.29,0.6,10.55,172.0,10.75,10.5,5.41,8.8,3,2,2,3,6,1.29,0.6,10.55,172.0,10.75,10.5,5.41,8.8,4,1,2,3,6,1.29,0.6,10.55
Greg Zuerlein,NYJ,K,1.0,16,34,2.12,41,2.56,0.83,59,38.94,1,0.06,5,0.31,13,0.81,12,0.75,3,0.19,33,2.06,36,2.25,0.92,159,9.94,1.0,153.0,9.56,10.5,4.69,8.12,6,0,1,2,7,1.29,0.78,10.46,153.0,9.56,10.5,4.69,8.12,6,0,1,2,7,1.29,0.78,10.46,153.0,9.56,10.5,4.69,8.12,6,0,1,2,7,1.29,0.78,10.46
Rodrigo Blankenship,FA,K,0.0,16,32,2.0,37,2.31,0.86,53,34.75,0,0.0,10,0.62,12,0.75,9,0.56,1,0.06,43,2.69,45,2.81,0.96,156,9.75,1.0,150.0,9.38,9.5,4.15,8.21,3,4,1,4,4,1.0,0.33,9.47,150.0,9.38,9.5,4.15,8.21,4,2,2,4,4,1.0,0.33,9.47,150.0,9.38,9.5,4.15,8.21,4,2,2,4,4,1.0,0.33,9.47
Daniel Carlson,LV,K,1.0,16,33,2.06,35,2.19,0.94,54,38.94,0,0.0,18,1.12,8,0.5,3,0.19,4,0.25,45,2.81,47,2.94,0.96,152,9.5,1.0,155.0,9.69,9.0,2.73,9.42,1,5,3,4,3,0.78,0.23,9.45,155.0,9.69,9.0,2.73,9.42,2,4,3,4,3,0.78,0.23,9.45,155.0,9.69,9.0,2.73,9.42,2,4,3,4,3,0.78,0.23,9.45
Wil Lutz,DEN,K,1.0,16,23,1.44,28,1.75,0.82,53,29.06,0,0.0,5,0.31,10,0.62,7,0.44,1,0.06,57,3.56,58,3.62,0.98,142,8.88,1.0,135.0,8.44,9.0,3.86,7.52,6,2,1,4,3,0.78,0.23,8.62,135.0,8.44,9.0,3.86,7.52,6,2,1,4,3,0.78,0.23,8.62,135.0,8.44,9.0,3.86,7.52,6,2,1,4,3,0.78,0.23,8.62
Tyler Bass,BUF,K,1.0,16,28,1.75,34,2.12,0.82,58,33.38,1,0.06,9,0.56,6,0.38,8,0.5,4,0.25,57,3.56,59,3.69,0.97,161,10.06,1.0,157.0,9.81,8.0,5.05,8.18,4,4,2,3,3,0.6,0.23,8.45,157.0,9.81,8.0,5.05,8.18,4,5,1,3,3,0.6,0.23,8.45,157.0,9.81,8.0,5.05,8.18,5,4,1,3,3,0.6,0.23,8.45
Ryan Succop,FA,K,0.0,16,28,1.75,31,1.94,0.9,50,35.81,1,0.06,10,0.62,9,0.56,7,0.44,1,0.06,52,3.25,57,3.56,0.91,150,9.38,1.0,145.0,9.06,8.5,3.96,8.03,5,2,5,0,4,0.33,0.33,8.38,145.0,9.06,8.5,3.96,8.03,5,2,5,0,4,0.33,0.33,8.38,145.0,9.06,8.5,3.96,8.03,4,3,5,0,4,0.33,0.33,8.38
Ka'imi Fairbairn,HOU,K,1.0,16,27,1.69,31,1.94,0.87,54,32.12,0,0.0,8,0.5,9,0.56,6,0.38,4,0.25,37,2.31,40,2.5,0.92,133,8.31,1.0,132.0,8.25,9.0,4.7,7.0,5,2,2,4,3,0.78,0.23,8.36,132.0,8.25,9.0,4.7,7.0,4,4,1,4,3,0.78,0.23,8.36,132.0,8.25,9.0,4.7,7.0,5,3,1,4,3,0.78,0.23,8.36
Jason Myers,SEA,K,1.0,16,24,1.5,24,1.5,1.0,61,36.25,0,0.0,2,0.12,7,0.44,13,0.81,2,0.12,49,3.06,53,3.31,0.92,125,7.81,1.0,138.0,8.62,9.0,3.1,8.12,4,1,5,6,0,0.6,0.0,8.31,138.0,8.62,9.0,3.1,8.12,4,1,5,6,0,0.6,0.0,8.31,138.0,8.62,9.0,3.1,8.12,4,1,5,6,0,0.6,0.0,8.31
