Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Stephen Gostkowski,FA,K,0.0,16.0,34.68,2.17,37.84,2.36,0.92,53.32,36.34,0.79,0.05,9.42,0.59,10.95,0.68,11.05,0.69,2.47,0.15,51.95,3.25,51.95,3.25,1.0,165.47,10.34,1.0,172.0,10.75,10.76,3.97,9.64,2.63,1.05,2.47,4.63,5.21,1.71,0.51,11.19,172.0,10.75,10.76,3.97,9.64,2.42,1.26,2.68,4.74,4.89,1.63,0.45,11.09,172.0,10.75,10.76,3.97,9.64,1.84,1.84,2.26,5.16,4.89,1.82,0.45,11.2,3,6.67,113.44,8.0
Connor Barth,FA,K,0.0,8.08,19.0,2.65,21.23,2.89,0.91,52.15,36.69,1.38,0.28,4.92,0.7,4.38,0.75,5.77,0.66,2.54,0.26,22.38,2.88,22.38,2.88,1.0,86.08,11.55,0.81,90.23,12.02,15.15,5.79,9.68,1.62,0.62,1.31,0.92,3.62,1.39,1.19,10.58,90.23,12.02,15.15,5.79,9.68,1.92,0.31,1.31,0.92,3.62,1.39,1.19,10.58,90.23,12.02,15.15,5.79,9.68,1.62,0.62,1.31,1.23,3.31,1.39,1.15,10.54,3,3.73,63.36,38.0
Cody Parkey,FA,K,0.0,16.0,32.0,2.0,36.0,2.25,0.89,54.0,35.62,0.0,0.0,10.0,0.62,14.0,0.88,4.0,0.25,4.0,0.25,54.0,3.38,54.0,3.38,1.0,162.0,10.12,1.0,162.0,10.12,10.0,4.6,8.63,2.0,2.0,5.0,4.0,3.0,0.78,0.23,9.6,162.0,10.12,10.0,4.6,8.63,3.0,0.0,4.0,6.0,3.0,1.29,0.23,9.96,162.0,10.12,10.0,4.6,8.63,3.0,1.0,2.0,7.0,3.0,1.67,0.23,10.18,1,5.32,90.44,27.0
Adam Vinatieri,FA,K,0.0,15.68,30.74,1.97,34.26,2.2,0.9,52.68,35.78,0.21,0.01,8.32,0.53,8.74,0.56,9.95,0.64,3.53,0.23,42.21,2.68,42.21,2.68,1.0,145.0,9.27,1.0,151.42,9.68,9.97,4.29,8.4,3.63,1.79,2.74,4.26,3.26,1.1,0.31,9.64,151.42,9.68,9.97,4.29,8.4,3.63,2.0,2.37,4.11,3.58,1.04,0.37,9.7,151.42,9.68,9.97,4.29,8.4,3.95,1.47,3.05,3.63,3.58,0.94,0.37,9.61,3,6.06,102.96,13.0
Matt Prater,ARI,K,1.0,13.63,23.32,1.74,27.26,2.05,0.86,56.0,36.46,0.84,0.05,6.53,0.52,5.58,0.4,6.42,0.48,3.95,0.29,45.21,3.11,45.21,3.11,1.0,127.0,9.27,1.0,129.47,9.38,10.05,3.65,8.5,2.79,1.95,2.53,4.16,2.21,0.87,0.19,9.49,129.47,9.38,10.05,3.65,8.5,2.95,1.32,2.53,4.63,2.21,1.05,0.19,9.61,129.47,9.38,10.05,3.65,8.5,3.26,1.68,1.63,5.05,2.0,1.09,0.17,9.62,3,7.59,129.02,3.0
Justin Tucker,BAL,K,1.0,16.0,32.05,2.0,36.0,2.25,0.89,57.11,35.4,0.0,0.0,9.58,0.59,10.68,0.67,7.16,0.44,4.63,0.29,36.95,2.3,36.95,2.3,1.0,144.95,9.06,1.0,149.53,9.34,8.55,4.94,7.86,4.79,1.63,3.58,1.68,4.32,0.6,0.37,8.6,149.53,9.34,8.55,4.94,7.86,4.79,2.11,2.79,2.0,4.32,0.66,0.37,8.65,149.53,9.34,8.55,4.94,7.86,4.32,2.11,3.58,1.68,4.32,0.6,0.37,8.6,3,7.8,132.62,1.0
Mason Crosby,FA,K,0.0,16.0,27.63,1.73,34.26,2.14,0.8,55.42,34.59,0.32,0.02,8.47,0.53,8.79,0.55,6.16,0.38,3.89,0.24,48.89,3.05,48.89,3.05,1.0,151.68,9.48,1.0,145.74,9.11,8.55,4.21,7.95,4.21,2.79,2.84,2.84,3.32,0.64,0.26,8.59,145.74,9.11,8.55,4.21,7.95,3.74,3.74,2.37,2.47,3.68,0.64,0.3,8.63,145.74,9.11,8.55,4.21,7.95,4.53,2.47,2.84,2.16,4.0,0.64,0.33,8.67,3,6.11,103.85,12.0
Dan Carpenter,FA,K,0.0,15.58,31.16,1.99,35.05,2.24,0.88,56.0,39.78,0.0,0.0,9.21,0.58,9.26,0.6,8.16,0.52,4.53,0.29,30.26,1.94,30.74,1.97,0.99,135.89,8.69,1.0,140.95,9.0,8.58,4.08,7.92,4.42,3.58,0.63,3.11,3.84,0.85,0.33,8.74,140.95,9.0,8.58,4.08,7.92,5.05,2.95,0.95,3.58,3.05,0.78,0.25,8.59,140.95,9.0,8.58,4.08,7.92,5.37,2.63,1.42,2.79,3.37,0.67,0.28,8.55,3,6.44,109.41,11.0
Stephen Hauschka,FA,K,0.0,16.0,30.16,1.89,34.26,2.14,0.88,55.16,34.06,0.21,0.01,9.37,0.58,9.68,0.6,8.79,0.55,2.11,0.13,43.0,2.69,43.0,2.69,1.0,145.79,9.11,1.0,146.47,9.16,8.34,3.88,8.15,3.84,2.95,2.95,2.84,3.42,0.65,0.28,8.58,146.47,9.16,8.34,3.88,8.15,3.63,2.68,3.63,2.63,3.42,0.63,0.28,8.55,146.47,9.16,8.34,3.88,8.15,4.16,2.16,3.42,2.84,3.42,0.65,0.28,8.58,3,5.79,98.51,16.0
Matt Bryant,FA,K,0.0,16.0,28.26,1.76,31.68,1.98,0.9,53.89,33.65,0.21,0.01,9.26,0.58,6.21,0.39,7.47,0.47,5.11,0.32,40.53,2.53,40.53,2.53,1.0,135.58,8.47,1.0,143.0,8.93,8.11,4.53,7.69,5.42,2.58,2.0,1.84,4.16,0.66,0.4,8.33,143.0,8.93,8.11,4.53,7.69,5.74,2.47,1.47,2.16,4.16,0.7,0.4,8.37,143.0,8.93,8.11,4.53,7.69,5.53,2.47,2.42,1.74,3.84,0.55,0.38,8.22,3,6.49,110.41,10.0
