Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Greg Zuerlein,NYJ,K,1.0,14,38,2.71,40,2.86,0.95,56,40.71,1,0.07,8,0.57,11,0.79,12,0.86,6,0.43,44,3.14,46,3.29,0.96,166,11.86,1.0,182.0,13.0,14.5,6.91,10.02,3,0,2,2,7,1.8,1.0,13.48,182.0,13.0,14.5,6.91,10.02,3,0,2,2,7,1.8,1.0,13.48,182.0,13.0,14.5,6.91,10.02,3,0,2,2,7,1.8,1.0,13.48
Harrison Butker,KC,K,1.0,13,38,2.92,42,3.23,0.9,53,44.23,0,0.0,8,0.62,16,1.23,10,0.77,4,0.31,28,2.15,28,2.15,1.0,154,11.85,1.0,160.0,12.31,12.0,5.68,9.96,2,2,2,1,6,1.17,0.86,11.98,160.0,12.31,12.0,5.68,9.96,2,2,2,1,6,1.17,0.86,11.98,160.0,12.31,12.0,5.68,9.96,2,2,2,1,6,1.17,0.86,11.98
Stephen Gostkowski,FA,K,0.0,16,37,2.31,40,2.5,0.92,62,35.5,0,0.0,16,1.0,9,0.56,8,0.5,4,0.25,45,2.81,47,2.94,0.96,167,10.44,1.0,172.0,10.75,11.0,4.37,9.28,3,1,3,3,6,1.29,0.6,11.03,172.0,10.75,11.0,4.37,9.28,3,1,3,4,5,1.29,0.45,10.89,172.0,10.75,11.0,4.37,9.28,4,0,3,4,5,1.29,0.45,10.89
Justin Tucker,BAL,K,1.0,16,34,2.12,37,2.31,0.92,57,41.75,0,0.0,7,0.44,11,0.69,11,0.69,5,0.31,39,2.44,39,2.44,1.0,150,9.38,1.0,162.0,10.12,10.5,4.03,8.92,2,1,3,6,4,1.67,0.33,10.54,162.0,10.12,10.5,4.03,8.92,3,0,3,5,5,1.67,0.45,10.66,162.0,10.12,10.5,4.03,8.92,3,0,4,5,4,1.29,0.33,10.32
Matt Bryant,FA,K,0.0,16,34,2.12,39,2.44,0.87,57,45.5,1,0.06,6,0.38,10,0.62,9,0.56,8,0.5,35,2.19,35,2.19,1.0,152,9.5,1.0,162.0,10.12,10.5,4.22,8.82,2,3,2,5,4,1.29,0.33,10.29,162.0,10.12,10.5,4.22,8.82,2,2,3,5,4,1.29,0.33,10.29,162.0,10.12,10.5,4.22,8.82,2,3,2,5,4,1.29,0.33,10.29
Wil Lutz,DEN,K,1.0,16,31,1.94,36,2.25,0.86,53,43.38,0,0.0,10,0.62,4,0.25,13,0.81,4,0.25,47,2.94,50,3.12,0.94,158,9.88,1.0,161.4,10.09,10.0,3.15,9.46,1,4,4,4,3,0.78,0.23,9.9,161.4,10.09,10.0,3.15,9.46,1,4,3,4,4,1.0,0.33,10.19,161.4,10.09,10.0,3.15,9.46,1,4,3,4,4,1.0,0.33,10.19
Jake Elliott,PHI,K,1.0,15,26,1.73,31,2.07,0.84,61,38.27,0,0.0,5,0.33,4,0.27,12,0.8,5,0.33,39,2.6,42,2.8,0.93,135,9.0,1.0,139.0,9.27,10.0,4.85,7.8,3,1,3,6,2,1.14,0.15,9.33,139.0,9.27,10.0,4.85,7.8,3,1,3,5,3,1.14,0.25,9.44,139.0,9.27,10.0,4.85,7.8,3,1,3,6,2,1.14,0.15,9.33
Robbie Gould,FA,K,0.0,16,39,2.44,41,2.56,0.95,52,44.19,0,0.0,7,0.44,11,0.69,17,1.06,4,0.25,28,1.75,30,1.88,0.93,153,9.56,1.0,170.0,10.62,9.0,5.51,8.66,4,3,2,2,5,0.78,0.45,9.39,170.0,10.62,9.0,5.51,8.66,3,5,2,1,5,0.6,0.45,9.24,170.0,10.62,9.0,5.51,8.66,3,4,3,2,4,0.6,0.33,9.11
Ryan Succop,FA,K,0.0,16,35,2.19,42,2.62,0.83,52,39.38,0,0.0,10,0.62,7,0.44,16,1.0,2,0.12,31,1.94,33,2.06,0.94,159,9.94,1.0,156.0,9.75,9.0,5.47,7.96,4,3,2,2,5,0.78,0.45,9.15,156.0,9.75,9.0,5.47,7.96,3,4,2,2,5,0.78,0.45,9.15,156.0,9.75,9.0,5.47,7.96,4,3,2,2,5,0.78,0.45,9.15
Kai Forbath,LAR,K,1.0,16,32,2.0,38,2.38,0.84,53,35.38,0,0.0,8,0.5,12,0.75,6,0.38,6,0.38,34,2.12,39,2.44,0.87,153,9.56,1.0,148.0,9.25,10.0,5.81,7.44,5,2,2,5,2,0.78,0.14,8.96,148.0,9.25,10.0,5.81,7.44,6,1,2,5,2,0.78,0.14,8.96,148.0,9.25,10.0,5.81,7.44,5,2,1,6,2,1.0,0.14,9.13
