Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Will Reichard,MIN,K,1.0,13.0,24.0,1.85,30.0,2.31,0.8,58.0,40.0,0.0,0.0,5.0,0.38,6.0,0.46,5.0,0.38,8.0,0.62,38.0,2.92,38.0,2.92,1.0,128.0,9.85,1.0,131.0,10.08,11.0,4.19,8.8,3.0,2.0,0.0,5.0,3.0,1.6,0.3,10.66,131.0,10.08,11.0,4.19,8.8,3.0,2.0,0.0,5.0,3.0,1.6,0.3,10.66,131.0,10.08,11.0,4.19,8.8,3.0,2.0,0.0,5.0,3.0,1.6,0.3,10.66,1,8.26,140.48,12.0
Brandon Aubrey,DAL,K,1.0,17.0,38.4,2.26,43.4,2.55,0.89,63.0,45.88,0.0,0.0,6.0,0.36,10.0,0.59,10.0,0.59,12.4,0.73,37.6,2.21,38.8,2.28,0.98,169.0,9.94,1.0,187.6,11.03,10.6,4.96,9.24,2.6,1.4,4.0,4.4,4.6,1.12,0.38,10.47,187.6,11.03,10.6,4.96,9.24,2.2,1.8,4.0,4.4,4.6,1.12,0.38,10.47,187.6,11.03,10.6,4.96,9.24,2.6,1.8,3.6,4.4,4.6,1.12,0.38,10.47,2,8.79,149.35,5.0
Brett Maher,FA,K,0.0,11.6,21.8,1.96,26.6,2.48,0.81,56.4,34.16,0.0,0.0,5.4,0.44,4.4,0.42,6.6,0.67,5.4,0.44,27.8,2.15,30.2,2.38,0.9,110.0,9.8,0.93,110.6,9.56,11.2,6.04,7.62,4.6,0.4,0.0,3.0,3.6,1.45,0.68,9.72,110.6,9.56,11.2,6.04,7.62,4.2,0.8,0.4,2.6,3.6,1.36,0.68,9.65,110.6,9.56,11.2,6.04,7.62,4.2,0.8,0.4,2.6,3.6,1.36,0.68,9.65,7,5.98,101.65,36.0
Jake Bates,DET,K,1.0,17.0,26.0,1.53,29.0,1.71,0.9,58.0,37.35,0.0,0.0,3.0,0.18,10.0,0.59,7.0,0.41,6.0,0.35,64.0,3.76,67.0,3.94,0.96,154.0,9.06,1.0,161.0,9.47,10.0,3.73,8.51,4.0,3.0,3.0,6.0,1.0,0.7,0.06,9.16,161.0,9.47,10.0,3.73,8.51,4.0,4.0,2.0,6.0,1.0,0.7,0.06,9.16,161.0,9.47,10.0,3.73,8.51,4.0,3.0,3.0,6.0,1.0,0.7,0.06,9.16,1,7.64,129.95,24.0
Ka'imi Fairbairn,HOU,K,1.0,15.42,31.68,2.07,35.26,2.29,0.91,56.79,38.89,0.0,0.0,8.42,0.57,9.84,0.66,4.42,0.28,9.0,0.57,27.79,1.8,29.05,1.88,0.96,134.84,8.75,1.0,145.26,9.43,9.37,4.85,7.94,4.11,1.84,2.37,3.74,3.37,0.87,0.32,9.08,145.26,9.43,9.37,4.85,7.94,3.89,2.16,2.26,3.74,3.37,0.87,0.32,9.08,145.26,9.43,9.37,4.85,7.94,4.11,1.84,2.58,3.53,3.37,0.84,0.32,9.05,8,8.57,145.72,9.0
Cameron Dicker,LAC,K,1.0,15.74,32.68,2.06,34.95,2.2,0.94,55.42,40.17,0.47,0.03,7.95,0.52,8.26,0.53,9.53,0.61,6.47,0.38,31.74,2.03,33.16,2.11,0.96,138.0,8.72,1.0,152.26,9.59,8.95,4.42,8.38,4.68,0.84,3.89,3.16,3.16,0.68,0.24,8.84,152.26,9.59,8.95,4.42,8.38,4.47,1.47,3.47,3.16,3.16,0.68,0.24,8.84,152.26,9.59,8.95,4.42,8.38,4.47,1.05,3.89,3.16,3.16,0.68,0.24,8.84,3,7.95,135.19,19.0
Justin Tucker,BAL,K,1.0,17.0,28.32,1.66,34.95,2.05,0.8,54.53,36.64,0.0,0.0,7.79,0.46,8.79,0.52,6.68,0.39,5.05,0.3,51.05,3.0,52.53,3.09,0.97,157.37,9.26,1.0,152.79,8.99,8.21,3.72,8.1,4.53,2.21,3.74,4.47,2.05,0.63,0.14,8.34,152.79,8.99,8.21,3.72,8.1,4.53,2.68,3.26,3.53,3.0,0.63,0.21,8.43,152.79,8.99,8.21,3.72,8.1,4.74,2.79,2.95,4.47,2.05,0.63,0.14,8.34,8,8.76,148.98,8.0
Chris Boswell,PIT,K,1.0,15.95,32.79,2.03,36.53,2.29,0.89,57.42,41.83,0.0,0.0,7.95,0.49,8.74,0.54,6.58,0.41,9.53,0.59,28.89,1.79,29.21,1.81,0.99,138.79,8.69,1.0,152.89,9.49,8.11,5.22,7.84,4.47,4.0,1.32,2.47,3.68,0.62,0.32,8.32,152.89,9.49,8.11,5.22,7.84,4.47,3.68,1.42,2.37,4.0,0.66,0.35,8.39,152.89,9.49,8.11,5.22,7.84,4.79,3.21,1.58,2.37,4.0,0.66,0.35,8.39,8,9.89,168.21,2.0
Brandon McManus,GB,K,1.0,14.16,24.84,1.77,29.21,2.04,0.87,55.32,37.79,0.0,0.0,4.89,0.36,8.26,0.63,7.0,0.46,4.68,0.32,30.53,2.25,30.95,2.28,0.99,118.58,8.39,1.0,121.42,8.65,8.74,4.24,7.55,4.79,1.89,2.26,3.0,2.21,0.64,0.18,8.28,121.42,8.65,8.74,4.24,7.55,4.47,2.0,2.16,2.84,2.68,0.68,0.22,8.38,121.42,8.65,8.74,4.24,7.55,4.79,2.21,1.95,2.79,2.42,0.64,0.2,8.3,6,7.73,131.45,23.0
Jason Sanders,MIA,K,1.0,17.0,30.58,1.8,35.0,2.06,0.87,56.58,38.19,0.0,0.0,6.26,0.37,9.84,0.58,6.79,0.4,7.68,0.45,39.26,2.31,41.16,2.42,0.95,146.16,8.6,1.0,153.16,9.01,8.95,4.52,7.74,4.74,2.84,2.95,4.0,2.47,0.62,0.17,8.45,153.16,9.01,8.95,4.52,7.74,4.74,2.32,4.21,3.47,2.26,0.53,0.15,8.35,153.16,9.01,8.95,4.52,7.74,4.53,2.74,3.47,4.0,2.26,0.59,0.15,8.41,7,8.02,136.35,17.0
