Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Daniel Carlson,LV,K,1.0,16.79,35.68,2.12,38.47,2.29,0.93,56.05,40.88,0.0,0.0,11.21,0.67,10.68,0.64,5.84,0.35,7.95,0.47,35.53,2.12,37.37,2.24,0.95,152.79,9.11,1.0,164.32,9.79,10.11,4.45,8.5,3.21,1.84,3.16,4.79,3.79,1.05,0.29,9.75,164.32,9.79,10.11,4.45,8.5,3.42,2.11,2.37,4.32,4.58,1.15,0.38,9.9,164.32,9.79,10.11,4.45,8.5,3.42,1.32,3.47,4.47,4.11,1.05,0.33,9.79,3,7.86,133.56,4.0
Justin Tucker,BAL,K,1.0,16.79,34.05,2.02,38.16,2.27,0.9,59.89,42.37,0.0,0.0,10.05,0.59,9.32,0.56,7.89,0.47,6.79,0.4,35.74,2.14,36.42,2.18,0.98,150.89,8.98,1.0,159.37,9.49,9.32,3.61,8.62,2.95,2.79,4.26,3.37,3.42,0.73,0.26,9.18,159.37,9.49,9.32,3.61,8.62,2.95,2.79,4.58,3.37,3.11,0.66,0.23,9.08,159.37,9.49,9.32,3.61,8.62,3.42,2.53,4.37,3.05,3.42,0.66,0.26,9.12,3,7.61,129.4,7.0
Younghoe Koo,ATL,K,1.0,16.58,31.47,1.91,34.89,2.12,0.9,54.0,36.59,0.0,0.0,8.89,0.54,8.47,0.52,7.84,0.47,6.26,0.38,32.05,1.94,33.63,2.04,0.95,138.32,8.39,1.0,146.84,8.91,9.0,4.68,7.56,6.47,1.32,2.0,3.63,3.16,0.78,0.29,8.6,146.84,8.91,9.0,4.68,7.56,6.26,1.53,1.68,3.95,3.16,0.82,0.29,8.64,146.84,8.91,9.0,4.68,7.56,6.47,1.32,2.0,3.16,3.63,0.78,0.34,8.66,3,7.61,129.36,8.0
Greg Zuerlein,NYJ,K,1.0,16.47,30.53,1.85,37.21,2.26,0.82,58.53,39.03,0.21,0.01,5.0,0.3,12.21,0.75,9.0,0.55,4.11,0.24,33.47,2.04,36.47,2.23,0.93,148.11,9.01,1.0,142.26,8.65,9.16,4.42,7.46,6.32,1.89,3.05,1.84,3.37,0.56,0.3,8.5,142.26,8.65,9.16,4.42,7.46,5.84,1.58,4.16,1.05,3.84,0.51,0.34,8.5,142.26,8.65,9.16,4.42,7.46,5.84,2.05,3.37,2.16,3.05,0.56,0.27,8.47,3,6.28,106.74,26.0
Evan McPherson,CIN,K,1.0,16.6,25.6,1.55,30.6,1.85,0.84,58.6,36.78,0.6,0.04,5.0,0.3,5.6,0.34,7.8,0.47,6.6,0.4,43.0,2.6,46.2,2.79,0.93,138.0,8.33,1.0,140.8,8.5,9.2,4.29,7.37,5.2,2.4,3.0,3.2,2.8,0.7,0.21,8.45,140.8,8.5,9.2,4.29,7.37,5.8,2.4,1.8,4.2,2.4,0.77,0.17,8.47,140.8,8.5,9.2,4.29,7.37,5.2,2.4,2.4,3.8,2.8,0.77,0.21,8.51,2,7.18,122.06,15.0
Chris Boswell,PIT,K,1.0,13.79,24.84,1.77,30.11,2.17,0.82,58.05,40.71,0.0,0.0,5.79,0.4,5.68,0.4,7.32,0.52,6.05,0.44,24.21,1.76,25.68,1.87,0.95,116.0,8.38,1.0,118.16,8.46,9.18,3.97,7.49,4.32,1.74,3.05,2.42,2.26,0.55,0.19,8.34,118.16,8.46,9.18,3.97,7.49,4.32,1.74,2.58,2.89,2.26,0.63,0.19,8.42,118.16,8.46,9.18,3.97,7.49,4.11,1.74,2.79,2.89,2.26,0.63,0.19,8.42,3,7.14,121.43,16.0
Greg Joseph,NYJ,K,2.0,17.0,28.8,1.69,35.0,2.06,0.82,58.6,34.29,0.0,0.0,9.2,0.54,7.4,0.43,7.0,0.41,5.2,0.31,38.4,2.26,43.6,2.57,0.88,148.6,8.74,1.0,142.2,8.36,8.8,4.5,7.18,6.4,2.4,2.8,2.4,3.0,0.47,0.21,8.1,142.2,8.36,8.8,4.5,7.18,6.4,1.8,3.0,1.8,4.0,0.53,0.31,8.26,142.2,8.36,8.8,4.5,7.18,6.4,2.4,2.8,2.4,3.0,0.47,0.21,8.1,2,7.84,133.29,5.0
Brett Maher,FA,K,0.0,13.4,23.8,1.83,26.4,2.03,0.9,52.8,32.77,0.0,0.0,7.0,0.52,6.2,0.57,5.2,0.41,5.4,0.32,34.0,2.26,36.6,2.47,0.9,115.8,8.56,0.95,121.4,8.78,9.2,5.4,7.19,5.8,0.6,0.4,4.4,2.2,0.91,0.18,8.23,121.4,8.78,9.2,5.4,7.19,5.2,1.2,1.0,3.8,2.2,0.77,0.18,8.13,121.4,8.78,9.2,5.4,7.19,5.2,1.2,1.0,3.8,2.2,0.77,0.18,8.13,2,5.09,86.45,32.0
Cameron Dicker,LAC,K,1.0,11.0,21.0,1.91,22.0,2.0,0.95,48.0,38.45,0.0,0.0,7.0,0.64,7.0,0.64,7.0,0.64,0.0,0.0,24.0,2.18,24.0,2.18,1.0,90.0,8.18,1.0,94.0,8.55,8.0,2.02,8.95,2.0,1.0,5.0,3.0,0.0,0.38,0.0,8.06,94.0,8.55,8.0,2.02,8.95,1.0,4.0,3.0,3.0,0.0,0.38,0.0,8.06,94.0,8.55,8.0,2.02,8.95,1.0,2.0,5.0,3.0,0.0,0.38,0.0,8.06,1,6.62,112.48,24.0
Jason Myers,SEA,K,1.0,16.79,26.53,1.58,29.84,1.77,0.88,56.11,35.29,0.0,0.0,5.32,0.31,11.42,0.68,5.58,0.34,4.21,0.25,43.63,2.6,45.89,2.74,0.95,135.42,8.06,1.0,137.21,8.18,8.53,3.71,7.38,5.89,2.42,3.58,2.68,2.21,0.48,0.17,7.91,137.21,8.18,8.53,3.71,7.38,5.89,2.26,3.26,3.16,2.21,0.57,0.17,7.98,137.21,8.18,8.53,3.71,7.38,6.37,2.26,2.0,3.95,2.21,0.7,0.17,8.09,3,6.82,116.02,21.0
Tyler Bass,BUF,K,1.0,16.79,28.0,1.67,32.42,1.93,0.87,56.74,34.12,0.21,0.01,9.0,0.53,8.68,0.52,7.68,0.46,2.42,0.15,50.84,3.03,52.21,3.12,0.97,149.47,8.92,1.0,147.37,8.79,8.32,4.53,7.53,4.47,3.68,3.89,2.21,2.53,0.41,0.18,7.95,147.37,8.79,8.32,4.53,7.53,4.95,3.74,3.21,2.37,2.53,0.42,0.18,7.97,147.37,8.79,8.32,4.53,7.53,4.68,4.0,3.21,2.37,2.53,0.42,0.18,7.97,3,7.12,120.98,17.0
Michael Badgley,DET,K,1.0,13.63,22.11,1.63,27.16,1.99,0.82,50.79,35.13,0.0,0.0,5.79,0.42,6.47,0.48,8.47,0.63,1.37,0.1,35.84,2.65,36.79,2.71,0.98,118.26,8.68,1.0,113.37,8.36,8.21,3.86,7.47,3.05,3.95,3.26,1.53,1.84,0.33,0.17,7.78,113.37,8.36,8.21,3.86,7.47,3.05,3.95,3.26,1.53,1.84,0.33,0.17,7.78,113.37,8.36,8.21,3.86,7.47,3.05,3.95,3.26,2.0,1.37,0.33,0.11,7.71,3,6.82,115.89,22.0
Nick Folk,TEN,K,2.0,16.79,32.0,1.9,35.74,2.12,0.89,53.05,34.9,0.47,0.03,8.37,0.5,8.74,0.52,10.53,0.63,3.89,0.23,34.74,2.07,38.37,2.28,0.9,145.58,8.66,1.0,149.05,8.86,7.26,5.5,7.25,6.84,2.53,1.74,1.0,4.68,0.53,0.4,7.75,149.05,8.86,7.26,5.5,7.25,6.84,2.53,1.74,1.0,4.68,0.53,0.4,7.75,149.05,8.86,7.26,5.5,7.25,6.16,3.21,1.74,1.0,4.68,0.53,0.4,7.75,3,9.3,158.18,1.0
Ryan Succop,FA,K,0.0,16.79,28.47,1.69,34.0,2.03,0.84,51.26,32.07,0.21,0.01,10.32,0.62,7.42,0.44,9.37,0.56,1.16,0.07,40.0,2.39,42.47,2.54,0.95,144.47,8.62,1.0,137.11,8.18,8.11,4.2,7.14,6.74,3.42,2.16,1.26,3.21,0.37,0.24,7.72,137.11,8.18,8.11,4.2,7.14,6.74,1.68,3.89,1.26,3.21,0.37,0.24,7.72,137.11,8.18,8.11,4.2,7.14,6.53,3.32,2.47,1.26,3.21,0.37,0.24,7.72,3,4.55,77.33,35.0
Matt Gay,IND,K,1.0,14.89,26.32,1.8,28.32,1.95,0.92,55.58,40.29,0.0,0.0,6.58,0.42,9.58,0.65,5.37,0.42,4.79,0.3,33.21,2.23,34.0,2.28,0.98,118.95,8.13,0.97,127.11,8.64,8.26,3.38,8.11,3.68,3.84,2.95,2.84,1.58,0.48,0.1,7.72,127.11,8.64,8.26,3.38,8.11,3.47,3.05,3.95,2.84,1.58,0.48,0.1,7.72,127.11,8.64,8.26,3.38,8.11,4.16,3.16,2.84,3.16,1.58,0.53,0.1,7.76,3,7.28,123.77,13.0
Harrison Butker,KC,K,1.0,14.58,21.68,1.47,25.89,1.78,0.83,59.26,34.19,0.42,0.03,5.74,0.41,7.26,0.48,3.79,0.27,4.47,0.3,42.95,2.94,46.26,3.17,0.93,123.95,8.52,1.0,120.74,8.25,7.84,3.47,7.58,4.89,2.32,3.68,1.47,2.21,0.35,0.18,7.69,120.74,8.25,7.84,3.47,7.58,5.16,2.53,3.21,1.47,2.21,0.35,0.18,7.69,120.74,8.25,7.84,3.47,7.58,4.21,3.21,3.47,1.47,2.21,0.35,0.18,7.69,3,6.99,118.84,20.0
Riley Patterson,ATL,K,2.0,13.0,23.2,1.8,26.6,2.04,0.89,51.4,33.17,0.0,0.0,6.0,0.45,8.4,0.7,7.6,0.58,1.2,0.07,28.0,2.19,28.6,2.22,0.98,108.4,8.33,0.94,107.6,8.32,8.8,4.32,7.23,4.2,1.2,2.4,2.2,3.0,0.86,0.43,7.97,107.6,8.32,8.8,4.32,7.23,4.2,3.0,1.0,2.8,2.0,0.63,0.24,7.67,107.6,8.32,8.8,4.32,7.23,4.2,1.2,2.4,2.8,2.4,0.86,0.38,7.91,2,8.27,140.67,2.0
Robbie Gould,FA,K,0.0,15.32,23.11,1.51,27.26,1.77,0.85,51.53,33.61,0.0,0.0,8.68,0.55,4.68,0.3,7.42,0.49,2.32,0.16,43.58,2.85,44.79,2.93,0.97,126.58,8.24,1.0,124.95,8.17,7.79,3.92,7.27,5.37,3.0,2.16,1.84,2.95,0.47,0.24,7.7,124.95,8.17,7.79,3.92,7.27,5.37,3.95,1.53,1.53,2.95,0.41,0.24,7.65,124.95,8.17,7.79,3.92,7.27,5.37,3.0,2.95,1.05,2.95,0.36,0.24,7.6,3,5.74,97.63,31.0
Jason Sanders,MIA,K,1.0,16.79,27.16,1.62,33.16,1.98,0.81,53.95,36.35,0.21,0.01,5.95,0.35,7.0,0.42,10.74,0.64,3.26,0.2,37.74,2.25,39.47,2.35,0.96,138.95,8.29,1.0,136.47,8.16,7.89,3.57,7.41,6.53,2.26,2.63,3.16,2.21,0.57,0.19,7.78,136.47,8.16,7.89,3.57,7.41,6.32,2.0,4.05,2.68,1.74,0.46,0.15,7.63,136.47,8.16,7.89,3.57,7.41,6.05,2.74,2.79,3.47,1.74,0.54,0.15,7.72,3,7.03,119.53,19.0
Graham Gano,NYG,K,1.0,16.79,29.42,1.76,32.32,1.92,0.91,55.95,36.25,0.0,0.0,3.37,0.2,10.79,0.65,8.21,0.49,7.05,0.42,24.95,1.48,26.32,1.57,0.95,123.26,7.34,1.0,135.53,8.08,7.74,5.1,6.72,6.47,3.0,1.58,2.37,3.37,0.53,0.26,7.46,135.53,8.08,7.74,5.1,6.72,6.47,2.53,2.05,2.84,2.89,0.53,0.21,7.4,135.53,8.08,7.74,5.1,6.72,6.26,3.21,1.11,2.84,3.37,0.62,0.26,7.53,3,7.38,125.51,11.0
Matt Prater,ARI,K,1.0,14.89,24.32,1.63,29.42,1.97,0.83,59.0,33.13,0.0,0.0,4.79,0.3,9.05,0.62,4.63,0.33,5.84,0.39,30.89,1.99,32.63,2.1,0.94,120.89,8.0,1.0,120.16,8.01,6.89,4.98,6.72,5.63,3.42,1.0,0.74,4.11,0.48,0.39,7.28,120.16,8.01,6.89,4.98,6.72,5.63,2.95,1.47,0.74,4.11,0.48,0.39,7.28,120.16,8.01,6.89,4.98,6.72,5.42,3.63,1.0,0.74,4.11,0.48,0.39,7.28,3,7.46,126.85,10.0
Brandon McManus,GB,K,1.0,16.58,27.37,1.66,34.0,2.06,0.81,57.53,39.09,0.0,0.0,6.32,0.38,4.63,0.28,8.95,0.54,7.47,0.46,27.32,1.65,29.21,1.76,0.93,131.21,7.93,1.0,133.32,8.07,7.21,4.35,6.99,6.89,2.68,2.16,2.16,2.68,0.43,0.19,7.24,133.32,8.07,7.21,4.35,6.99,6.89,2.21,2.63,1.84,3.0,0.43,0.22,7.27,133.32,8.07,7.21,4.35,6.99,7.11,2.47,2.16,1.68,3.16,0.43,0.24,7.29,3,7.56,128.44,9.0
Eddy Pineiro,CAR,K,1.0,12.2,23.0,1.8,24.2,1.88,0.96,52.8,40.28,0.0,0.0,2.0,0.23,10.4,0.72,9.0,0.7,1.6,0.15,21.6,1.78,23.2,1.93,0.92,95.8,7.56,0.89,102.8,8.19,8.6,3.33,7.67,4.4,1.6,2.0,2.4,1.8,0.42,0.13,7.1,102.8,8.19,8.6,3.33,7.67,4.4,1.6,1.6,2.2,2.4,0.52,0.19,7.26,102.8,8.19,8.6,3.33,7.67,5.0,1.0,2.6,1.2,2.4,0.33,0.19,7.08,2,6.21,105.63,27.0
Matthew Wright,TEN,K,1.0,7.89,14.58,1.94,16.95,2.24,0.88,55.32,36.34,0.0,0.0,2.89,0.31,5.26,0.7,4.21,0.68,2.21,0.25,12.68,1.97,13.32,2.01,0.96,64.16,8.74,0.8,65.05,8.96,8.39,4.06,8.08,3.26,0.95,0.32,1.32,2.05,1.18,0.53,7.16,65.05,8.96,8.39,4.06,8.08,3.26,0.47,0.79,1.32,2.05,1.18,0.53,7.16,65.05,8.96,8.39,4.06,8.08,3.26,0.95,0.32,1.32,2.05,1.18,0.53,7.16,3,5.83,99.07,30.0
Dustin Hopkins,CLE,K,1.0,11.11,19.42,1.76,22.63,2.03,0.87,46.89,35.57,0.32,0.02,4.53,0.4,6.21,0.77,7.32,0.51,1.05,0.06,24.63,2.27,26.32,2.38,0.96,94.21,8.46,0.87,92.32,8.21,8.37,3.65,7.42,3.0,2.32,1.58,2.68,1.53,0.63,0.19,7.11,92.32,8.21,8.37,3.65,7.42,3.0,2.32,1.58,2.68,1.53,0.63,0.19,7.11,92.32,8.21,8.37,3.65,7.42,3.47,1.84,2.05,2.21,1.53,0.43,0.19,6.97,3,6.45,109.72,25.0
Wil Lutz,DEN,K,1.0,16.69,23.0,1.38,30.08,1.8,0.76,57.85,31.7,0.0,0.0,5.69,0.34,9.31,0.56,4.92,0.3,3.08,0.18,40.38,2.44,40.69,2.46,0.99,130.92,7.86,1.0,120.46,7.24,7.62,3.91,6.43,7.38,2.0,1.69,4.0,1.62,0.53,0.11,7.16,120.46,7.24,7.62,3.91,6.43,7.38,2.0,2.38,3.31,1.62,0.45,0.11,7.08,120.46,7.24,7.62,3.91,6.43,7.38,2.0,1.69,4.0,1.62,0.53,0.11,7.16,3,6.73,114.4,23.0
Zane Gonzalez,WAS,K,1.0,12.0,18.4,1.53,22.0,1.83,0.84,56.6,33.72,0.0,0.0,5.2,0.43,1.4,0.12,9.2,0.77,2.6,0.22,28.4,2.37,29.4,2.45,0.96,95.4,7.95,1.0,98.0,8.17,6.7,4.92,6.85,5.2,2.6,1.2,0.0,3.0,0.33,0.33,7.05,98.0,8.17,6.7,4.92,6.85,5.2,2.6,1.2,0.0,3.0,0.33,0.33,7.05,98.0,8.17,6.7,4.92,6.85,5.2,2.2,1.6,0.0,3.0,0.33,0.33,7.05,3,7.66,130.19,6.0
Joey Slye,NE,K,1.0,15.21,25.21,1.68,29.68,1.96,0.85,56.95,34.47,0.47,0.03,8.95,0.6,5.58,0.38,6.84,0.45,3.37,0.23,24.0,1.58,27.79,1.83,0.86,116.84,7.73,1.0,113.21,7.53,7.32,4.46,6.49,6.21,2.11,2.63,2.95,1.32,0.45,0.11,6.96,113.21,7.53,7.32,4.46,6.49,6.89,2.37,1.68,2.95,1.32,0.45,0.11,6.96,113.21,7.53,7.32,4.46,6.49,6.89,1.42,2.63,2.47,1.79,0.45,0.14,7.0,3,6.19,105.17,29.0
Mason Crosby,FA,K,0.0,16.79,23.11,1.37,27.84,1.65,0.85,55.58,31.58,0.21,0.01,7.79,0.46,7.68,0.46,5.16,0.31,2.26,0.14,45.42,2.72,47.84,2.86,0.95,131.37,7.81,1.0,124.42,7.41,6.68,4.12,6.5,7.89,1.63,3.26,1.58,2.42,0.31,0.17,6.68,124.42,7.41,6.68,4.12,6.5,8.11,1.89,3.26,1.11,2.42,0.27,0.17,6.62,124.42,7.41,6.68,4.12,6.5,8.11,1.42,3.74,1.11,2.42,0.27,0.17,6.62,3,4.6,78.15,34.0
Randy Bullock,FA,K,0.0,15.16,20.68,1.38,24.74,1.66,0.84,51.84,30.49,0.0,0.0,4.58,0.3,7.84,0.52,6.84,0.46,1.42,0.1,31.58,2.08,32.74,2.15,0.97,106.95,7.13,1.0,103.32,6.89,7.0,4.22,6.0,6.89,2.74,1.32,2.53,1.68,0.46,0.13,6.61,103.32,6.89,7.0,4.22,6.0,6.89,2.74,1.32,2.53,1.68,0.46,0.13,6.61,103.32,6.89,7.0,4.22,6.0,7.37,2.26,1.32,2.53,1.68,0.46,0.13,6.61,3,4.85,82.42,33.0
Jake Elliott,PHI,K,1.0,16.32,21.89,1.33,25.32,1.55,0.86,56.21,30.26,0.0,0.0,5.26,0.32,8.21,0.5,4.68,0.28,3.74,0.23,43.11,2.64,44.47,2.73,0.96,120.42,7.36,1.0,120.95,7.38,6.63,4.51,6.31,8.89,1.21,2.53,1.74,1.95,0.3,0.15,6.47,120.95,7.38,6.63,4.51,6.31,8.21,2.37,1.26,2.53,1.95,0.4,0.15,6.57,120.95,7.38,6.63,4.51,6.31,8.89,1.21,2.05,2.21,1.95,0.36,0.15,6.53,3,7.35,125.01,12.0
Ka'imi Fairbairn,HOU,K,1.0,15.53,24.16,1.53,27.21,1.73,0.88,57.16,34.48,0.0,0.0,6.26,0.4,6.79,0.43,6.16,0.38,4.95,0.32,23.26,1.47,24.84,1.58,0.92,106.47,6.78,1.0,111.79,7.06,6.47,4.11,6.26,6.74,2.79,1.05,3.53,1.42,0.48,0.1,6.47,111.79,7.06,6.47,4.11,6.26,6.05,3.21,1.32,3.53,1.42,0.48,0.1,6.47,111.79,7.06,6.47,4.11,6.26,6.74,3.0,1.32,3.05,1.42,0.42,0.1,6.4,3,7.11,120.95,18.0
Cairo Santos,CHI,K,1.0,16.32,24.47,1.5,27.11,1.66,0.9,50.58,30.98,0.0,0.0,6.95,0.42,7.0,0.43,8.21,0.5,2.32,0.14,28.89,1.78,31.79,1.95,0.91,113.11,6.93,1.0,115.16,7.06,6.61,4.59,6.05,7.84,2.68,1.95,1.47,2.37,0.31,0.18,6.38,115.16,7.06,6.61,4.59,6.05,8.53,2.0,2.26,1.16,2.37,0.28,0.18,6.34,115.16,7.06,6.61,4.59,6.05,8.05,2.47,1.95,1.47,2.37,0.31,0.18,6.38,3,6.21,105.57,28.0
Cade York,CIN,K,2.0,17.0,24.0,1.41,32.0,1.88,0.75,58.0,35.82,0.0,0.0,5.0,0.29,9.0,0.53,6.0,0.35,4.0,0.24,35.0,2.06,37.0,2.18,0.95,133.0,7.82,1.0,121.0,7.12,6.0,3.52,6.49,8.0,4.0,2.0,2.0,1.0,0.21,0.06,6.15,121.0,7.12,6.0,3.52,6.49,8.0,3.0,3.0,2.0,1.0,0.21,0.06,6.15,121.0,7.12,6.0,3.52,6.49,7.0,5.0,2.0,2.0,1.0,0.21,0.06,6.15,1,8.25,140.29,3.0
Rodrigo Blankenship,FA,K,0.0,6.37,12.11,1.75,14.58,2.16,0.81,50.0,34.82,0.0,0.0,4.0,0.64,3.47,0.35,3.95,0.59,0.68,0.17,13.16,1.64,14.37,1.89,0.86,58.11,8.37,0.7,54.79,7.82,9.42,4.48,6.83,1.42,1.16,1.0,1.95,0.84,0.66,0.07,5.9,54.79,7.82,9.42,4.48,6.83,1.63,0.74,1.21,1.95,0.84,0.66,0.07,5.9,54.79,7.82,9.42,4.48,6.83,1.63,0.74,1.21,1.95,0.84,0.66,0.07,5.9,3,2.42,41.19,36.0
Chase McLaughlin,TB,K,1.0,13.47,19.79,1.4,24.74,1.74,0.79,54.53,33.71,0.0,0.0,4.47,0.32,3.84,0.28,5.74,0.4,5.74,0.4,22.37,1.59,22.89,1.67,0.95,97.11,6.9,0.93,98.95,6.97,6.53,4.71,5.89,6.32,1.42,2.53,1.95,1.26,0.33,0.09,5.86,98.95,6.97,6.53,4.71,5.89,6.32,1.42,2.53,1.95,1.26,0.33,0.09,5.86,98.95,6.97,6.53,4.71,5.89,6.32,1.42,2.53,1.95,1.26,0.33,0.09,5.86,3,7.2,122.35,14.0
