Player,TEAM,POS,DPCHT,G,FG,FG_mean,FGA,FGA_mean,FG_PCT,LG,LG_mean,FG_10_19,FG_10_19_mean,FG_20_29,FG_20_29_mean,FG_30_39,FG_30_39_mean,FG_40_49,FG_40_49_mean,FG_50,FG_50_mean,XP,XP_mean,XPA,XPA_mean,XP_PCT,OPP,OPP_mean,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Matt Bryant,FA,K,0.0,16,34,2.12,37,2.31,0.92,59,38.31,0,0.0,12,0.75,7,0.44,9,0.56,6,0.38,56,3.5,57,3.56,0.98,168,10.5,1.0,179.0,11.19,10.5,3.67,10.09,2,0,4,4,6,1.67,0.6,11.38,179.0,11.19,10.5,3.67,10.09,2,1,4,4,5,1.29,0.45,11.02,179.0,11.19,10.5,3.67,10.09,2,0,5,4,5,1.29,0.45,11.02
Justin Tucker,BAL,K,1.0,16,38,2.38,39,2.44,0.97,57,46.5,0,0.0,4,0.25,10,0.62,14,0.88,10,0.62,27,1.69,27,1.69,1.0,144,9.0,1.0,175.0,10.94,10.5,4.4,9.43,3,1,3,2,7,1.29,0.78,10.89,175.0,10.94,10.5,4.4,9.43,3,1,3,3,6,1.29,0.6,10.74,175.0,10.94,10.5,4.4,9.43,3,1,3,3,6,1.29,0.6,10.74
Caleb Sturgis,FA,K,0.0,16,35,2.19,41,2.56,0.85,55,37.94,0,0.0,12,0.75,12,0.75,7,0.44,4,0.25,30,1.88,31,1.94,0.97,154,9.62,1.0,150.0,9.38,10.0,3.76,8.41,2,3,2,4,5,1.29,0.45,10.06,150.0,9.38,10.0,3.76,8.41,2,2,3,5,4,1.29,0.33,9.93,150.0,9.38,10.0,3.76,8.41,2,3,3,4,4,1.0,0.33,9.74
Dustin Hopkins,CLE,K,1.0,16,34,2.12,42,2.62,0.81,53,37.31,0,0.0,12,0.75,12,0.75,7,0.44,3,0.19,36,2.25,39,2.44,0.92,165,10.31,1.0,151.0,9.44,10.0,4.49,8.1,5,2,0,6,3,1.29,0.23,9.76,151.0,9.44,10.0,4.49,8.1,5,0,4,4,3,0.78,0.23,9.4,151.0,9.44,10.0,4.49,8.1,5,2,0,6,3,1.29,0.23,9.76
Stephen Gostkowski,FA,K,0.0,16,27,1.69,32,2.0,0.84,53,31.94,0,0.0,9,0.56,7,0.44,9,0.56,2,0.12,46,2.88,49,3.06,0.94,145,9.06,1.0,140.0,8.75,9.5,4.4,7.54,4,3,3,2,4,0.6,0.33,8.82,140.0,8.75,9.5,4.4,7.54,4,3,1,5,3,1.0,0.23,9.02,140.0,8.75,9.5,4.4,7.54,5,2,1,5,3,1.0,0.23,9.02
Wil Lutz,DEN,K,1.0,16,28,1.75,34,2.12,0.82,57,34.56,1,0.06,7,0.44,9,0.56,8,0.5,3,0.19,49,3.06,50,3.12,0.98,152,9.5,1.0,147.0,9.19,8.5,3.39,8.46,3,2,4,4,3,0.78,0.23,8.86,147.0,9.19,8.5,3.39,8.46,3,3,3,3,4,0.78,0.33,8.98,147.0,9.19,8.5,3.39,8.46,3,2,4,5,2,0.78,0.14,8.76
Cairo Santos,CHI,K,1.0,16,31,1.94,35,2.19,0.89,54,32.75,0,0.0,8,0.5,15,0.94,6,0.38,2,0.12,36,2.25,39,2.44,0.92,144,9.0,1.0,139.0,8.69,9.0,4.35,7.51,5,1,4,1,5,0.6,0.45,8.72,139.0,8.69,9.0,4.35,7.51,5,2,2,2,5,0.78,0.45,8.88,139.0,8.69,9.0,4.35,7.51,6,0,3,2,5,0.78,0.45,8.88
Adam Vinatieri,FA,K,0.0,16,27,1.69,31,1.94,0.87,54,38.75,0,0.0,3,0.19,7,0.44,10,0.62,7,0.44,44,2.75,44,2.75,1.0,137,8.56,1.0,149.0,9.31,9.0,5.22,7.69,4,3,1,5,3,1.0,0.23,8.83,149.0,9.31,9.0,5.22,7.69,4,3,1,5,3,1.0,0.23,8.83,149.0,9.31,9.0,5.22,7.69,4,3,2,2,5,0.78,0.45,8.9
Jason Myers,SEA,K,1.0,16,27,1.69,34,2.12,0.79,56,36.44,0,0.0,7,0.44,3,0.19,10,0.62,7,0.44,29,1.81,32,2.0,0.91,134,8.38,1.0,134.0,8.38,9.5,5.04,6.98,6,1,2,3,4,0.78,0.33,8.67,134.0,8.38,9.5,5.04,6.98,7,0,2,3,4,0.78,0.33,8.67,134.0,8.38,9.5,5.04,6.98,6,1,3,2,4,0.6,0.33,8.52
Matt Prater,ARI,K,1.0,16,31,1.94,36,2.25,0.86,58,43.44,0,0.0,10,0.62,4,0.25,10,0.62,7,0.44,31,1.94,33,2.06,0.94,141,8.81,1.0,148.0,9.25,8.0,3.59,8.4,1,6,4,3,2,0.45,0.14,8.17,148.0,9.25,8.0,3.59,8.4,2,6,3,2,3,0.45,0.23,8.28,148.0,9.25,8.0,3.59,8.4,1,5,5,2,3,0.45,0.23,8.28
