Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Matt Forte,FA,RB,0.0,14.29,241.86,16.91,1001.0,69.97,4.13,54.86,3.81,32.43,15.5,3.0,0.22,5.29,0.37,64.86,4.41,83.71,5.71,538.0,36.83,8.46,21.0,1.45,3.29,0.23,306.71,21.33,325.57,22.62,75.86,5.26,1.43,0.1,0.0,1.0,205.04,14.22,14.57,6.32,14.5,0.43,2.14,1.86,2.57,7.29,2.38,1.08,16.64,237.47,16.43,17.1,6.84,16.62,0.86,0.86,2.29,2.71,7.57,2.91,1.15,21.34,269.9,18.64,19.39,7.45,18.98,0.57,1.14,2.57,2.43,7.57,2.77,1.15,20.48,3,14.24,242.02,6.0
Le'Veon Bell,FA,RB,0.0,9.86,182.29,18.62,829.43,86.71,4.65,43.14,4.4,53.29,22.89,5.29,0.69,5.14,0.52,43.86,4.26,54.29,5.07,378.71,32.59,7.45,15.86,1.26,0.86,0.05,226.14,22.88,236.57,23.7,59.0,5.66,0.14,0.01,0.0,0.87,156.53,15.33,15.24,6.96,15.29,0.0,1.0,1.43,3.14,4.29,3.37,0.86,15.28,178.46,17.46,17.1,7.74,17.16,0.0,0.71,1.43,3.0,4.71,5.66,0.95,19.78,200.39,19.59,18.86,8.6,19.3,0.0,1.29,0.57,3.86,4.14,5.94,0.84,18.25,3,17.62,299.57,2.0
Jamaal Charles,FA,RB,0.0,9.29,136.43,14.5,687.0,73.53,5.07,36.57,4.04,44.0,20.52,1.29,0.16,6.57,0.74,33.43,3.83,48.86,5.54,283.29,32.37,8.31,14.57,1.73,3.0,0.28,169.86,18.33,185.29,20.05,51.14,5.77,2.29,0.3,0.02,0.84,149.89,16.1,15.27,7.7,15.67,0.57,1.0,1.0,1.86,4.86,3.64,1.21,14.73,166.6,18.01,17.51,8.15,17.49,0.86,0.71,0.86,0.86,6.0,4.71,3.11,19.74,183.31,19.92,19.9,8.66,19.6,0.57,1.57,0.29,0.86,6.0,4.71,3.11,18.31,3,10.46,177.83,23.0
Todd Gurley II,FA,RB,0.0,13.0,229.0,17.62,1106.0,85.08,4.83,45.0,3.46,71.0,29.23,4.0,0.31,10.0,0.77,21.0,1.62,26.0,2.0,188.0,14.46,8.95,8.0,0.62,0.0,0.0,250.0,19.23,255.0,19.62,53.0,4.08,1.0,0.08,0.0,1.0,187.4,14.42,15.0,8.24,13.74,3.0,0.0,0.0,3.0,7.0,3.33,1.17,16.69,197.9,15.22,15.9,8.63,14.54,3.0,0.0,1.0,4.0,5.0,2.25,0.62,18.58,208.4,16.03,16.0,9.05,15.57,3.0,0.0,1.0,5.0,4.0,2.25,0.44,16.82,1,15.9,270.24,4.0
DeMarco Murray,FA,RB,0.0,15.14,253.29,16.57,1088.43,71.13,4.16,59.57,3.91,51.57,20.35,5.14,0.33,8.43,0.55,49.0,3.23,59.14,3.91,352.86,23.27,7.21,14.0,0.93,0.71,0.05,302.29,19.8,312.43,20.48,73.57,4.83,2.71,0.17,0.01,1.0,193.56,12.69,11.05,6.27,13.08,3.0,2.0,0.43,4.0,5.71,5.15,1.06,14.44,218.06,14.31,13.06,6.85,14.65,2.86,1.29,2.0,3.29,5.71,4.93,1.06,18.15,242.56,15.93,14.62,7.57,16.39,2.86,0.57,2.71,2.86,6.14,4.93,1.46,17.19,3,13.86,235.63,9.0
LeSean McCoy,FA,RB,0.0,13.71,250.0,18.04,1117.86,80.52,4.46,54.43,3.9,50.71,21.35,3.86,0.28,4.43,0.31,33.71,2.49,48.29,3.61,288.14,21.48,8.28,13.0,0.95,1.43,0.11,283.71,20.53,298.29,21.65,67.43,4.86,2.14,0.16,0.01,1.0,172.6,12.53,11.89,5.25,13.42,1.43,0.71,2.14,4.57,4.86,2.51,0.56,14.69,189.46,13.78,13.21,5.59,14.68,1.43,0.71,3.43,4.14,4.0,1.7,0.43,17.6,206.31,15.02,14.76,6.05,16.15,1.43,1.14,3.14,4.0,4.0,2.02,0.43,16.42,3,11.84,201.26,14.0
Arian Foster,FA,RB,0.0,7.14,127.57,16.87,526.57,60.35,3.49,25.57,3.27,27.0,15.06,0.57,0.06,3.0,0.34,26.57,4.37,37.86,5.92,249.29,42.88,9.55,12.57,2.29,2.71,0.41,154.14,21.25,165.43,22.8,38.14,5.56,1.14,0.19,0.01,0.78,111.07,14.58,14.49,9.14,13.57,0.86,0.43,0.71,1.0,4.14,2.81,1.3,13.1,124.36,16.76,17.53,9.46,15.69,1.0,0.0,1.0,1.14,4.0,2.81,1.26,17.41,137.64,18.95,20.17,9.89,18.07,1.0,0.0,0.57,1.29,4.29,3.52,2.22,16.6,3,16.06,273.0,3.0
Mark Ingram II,FA,RB,0.0,12.14,170.57,13.88,770.0,62.82,4.57,41.14,3.37,53.71,19.2,2.29,0.19,6.14,0.5,37.86,3.11,46.14,3.79,282.57,23.35,7.44,14.29,1.18,0.0,0.0,208.43,17.0,216.71,17.67,55.43,4.55,0.86,0.07,0.0,1.0,141.54,11.55,10.67,5.05,12.64,2.14,0.0,3.29,3.14,3.57,1.46,0.43,12.83,160.47,13.11,12.63,5.05,14.58,2.14,0.57,1.86,4.0,3.57,2.11,0.43,16.96,179.4,14.66,14.51,5.18,16.68,2.14,0.57,1.57,3.14,4.71,2.37,0.71,16.64,3,11.02,187.41,17.0
Devonta Freeman,FA,RB,0.0,15.33,198.33,13.13,786.67,52.1,3.93,48.33,3.21,36.33,15.18,3.67,0.24,7.67,0.51,58.67,3.87,77.0,5.08,460.33,30.37,7.78,16.67,1.1,2.33,0.15,257.0,17.0,275.33,18.21,65.0,4.31,1.67,0.11,0.01,1.0,181.37,12.01,9.9,7.99,11.18,6.33,0.0,1.33,3.67,4.0,1.86,0.45,12.05,210.7,13.95,11.85,8.51,12.98,6.0,0.67,0.33,3.67,4.67,2.69,0.59,16.09,240.03,15.88,14.07,9.15,14.98,5.33,1.33,0.0,3.33,5.33,2.71,0.76,15.79,2,12.96,220.33,11.0
Marshawn Lynch,FA,RB,0.0,10.86,186.43,16.75,791.0,68.58,4.08,44.86,4.13,42.43,17.68,2.29,0.19,7.14,0.58,23.14,2.04,32.0,2.96,195.71,15.91,7.6,9.14,0.8,1.43,0.09,209.57,18.79,218.43,19.71,54.0,4.94,0.71,0.04,0.0,0.91,149.81,12.57,12.52,6.73,12.55,0.71,1.86,1.14,3.29,3.86,1.86,0.49,12.88,161.39,13.59,13.34,6.76,13.75,0.86,1.86,1.57,3.14,3.43,1.52,0.41,15.83,172.96,14.6,14.02,6.9,15.15,0.86,1.86,2.57,2.71,2.86,1.04,0.31,13.74,3,12.55,213.37,13.0
