Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
LeSean McCoy,FA,RB,0.0,15,273,18.2,1309,87.27,4.79,84.0,5.6,60,26.93,0,0.0,17,1.13,48,3.2,69,4.6,315,21.0,6.56,18.0,1.2,3,0.2,321,21.4,342,22.8,102.0,6.8,1,0.07,0.0,1.0,280.4,18.69,19.1,7.15,18.46,1,0,0,4,10,14.0,2.0,22.8,304.4,20.29,20.6,7.07,20.37,1,0,0,4,10,14.0,2.0,27.56,328.4,21.89,22.1,7.06,22.64,1,0,0,4,10,14.0,2.0,25.67
Arian Foster,FA,RB,0.0,13,278,21.38,1224,94.15,4.4,58.0,4.46,43,22.23,0,0.0,10,0.77,53,4.08,72,5.54,617,47.46,11.64,19.0,1.46,2,0.15,331,25.46,350,26.92,77.0,5.92,3,0.23,0.01,1.0,250.1,19.24,20.7,10.03,17.46,1,1,1,1,9,3.33,2.25,21.77,276.6,21.28,22.7,10.11,19.53,1,1,0,2,9,5.5,2.25,26.95,303.1,23.32,24.2,10.25,21.96,1,1,0,1,10,5.5,3.33,25.97
Ray Rice,FA,RB,0.0,16,291,18.19,1364,85.25,4.69,52.0,3.25,70,27.5,0,0.0,12,0.75,76,4.75,104,6.5,704,44.0,9.26,30.0,1.88,3,0.19,367,22.94,395,24.69,82.0,5.12,2,0.12,0.01,1.0,296.8,18.55,17.65,7.83,17.91,1,0,1,4,10,7.0,1.67,21.11,334.8,20.92,19.45,7.52,20.68,0,1,1,3,11,7.0,2.2,25.76,372.8,23.3,21.25,7.35,23.84,0,1,1,0,14,7.0,7.0,26.51
Fred Jackson,FA,RB,0.0,10,170,17.0,934,93.4,5.49,40.0,4.0,80,30.2,0,0.0,6,0.6,39,3.9,50,5.0,442,44.2,11.33,13.0,1.3,0,0.0,209,20.9,220,22.0,53.0,5.3,2,0.2,0.01,0.96,169.6,16.96,17.6,7.16,16.75,0,1,2,1,6,2.33,1.5,18.33,189.1,18.91,19.6,7.35,18.8,0,0,3,1,6,2.33,1.5,22.55,208.6,20.86,21.6,7.62,21.16,0,0,3,1,6,2.33,1.5,21.58
Maurice Jones-Drew,FA,RB,0.0,16,343,21.44,1606,100.38,4.68,75.0,4.69,56,24.5,0,0.0,8,0.5,43,2.69,63,3.94,374,23.38,8.7,18.0,1.12,3,0.19,386,24.12,406,25.38,93.0,5.81,1,0.06,0.0,1.0,262.0,16.38,16.15,7.16,16.17,0,0,4,3,9,3.0,1.29,18.66,283.5,17.72,16.75,7.88,17.31,0,0,4,4,8,3.0,1.0,22.07,305.0,19.06,17.0,8.67,18.72,0,0,4,5,7,3.0,0.78,19.65
Marshawn Lynch,FA,RB,0.0,15,285,19.0,1204,80.27,4.22,63.0,4.2,47,18.47,0,0.0,12,0.8,28,1.87,41,2.73,212,14.13,7.57,8.0,0.53,1,0.07,313,20.87,326,21.73,71.0,4.73,2,0.13,0.01,1.0,215.6,14.37,16.7,7.29,14.12,2,1,2,2,8,2.0,1.14,17.19,229.6,15.31,17.7,7.46,15.16,2,2,1,2,8,2.0,1.14,20.37,243.6,16.24,18.7,7.69,16.43,3,1,1,3,7,2.0,0.88,18.72
Matt Forte,FA,RB,0.0,12,203,16.92,997,83.08,4.91,40.0,3.33,46,26.0,0,0.0,3,0.25,52,4.33,76,6.33,490,40.83,9.42,19.0,1.58,1,0.08,255,21.25,279,23.25,59.0,4.92,2,0.17,0.01,1.0,168.7,14.06,12.5,7.8,13.59,1,0,3,4,4,2.0,0.5,14.93,194.7,16.23,14.25,8.08,15.75,1,0,3,4,4,2.0,0.5,18.95,220.7,18.39,16.75,8.57,18.11,1,0,1,5,5,5.0,0.71,19.63
Ryan Mathews,FA,RB,0.0,14,222,15.86,1091,77.93,4.91,52.0,3.71,39,22.36,0,0.0,6,0.43,50,3.57,59,4.21,455,32.5,9.1,18.0,1.29,0,0.0,272,19.43,281,20.07,70.0,5.0,2,0.14,0.01,1.0,186.6,13.33,13.7,6.73,13.36,1,3,1,5,4,1.8,0.4,14.8,211.6,15.11,14.2,6.92,15.25,1,1,2,4,6,2.5,0.75,18.9,236.6,16.9,15.2,7.23,17.37,1,1,2,4,6,2.5,0.75,17.65
Darren Sproles,FA,RB,0.0,16,87,5.44,603,37.69,6.93,27.0,1.69,36,18.31,0,0.0,2,0.12,86,5.38,112,7.0,710,44.38,8.26,35.0,2.19,7,0.44,173,10.81,199,12.44,62.0,3.88,0,0.0,0.0,1.0,185.3,11.58,12.45,5.22,12.38,1,1,5,6,3,1.29,0.23,12.67,228.3,14.27,15.5,5.26,15.43,1,0,5,6,4,1.67,0.33,17.38,271.3,16.96,17.4,5.44,18.71,1,0,1,9,5,7.0,0.45,19.23
Steven Jackson,FA,RB,0.0,15,260,17.33,1145,76.33,4.4,50.0,3.33,47,21.07,0,0.0,5,0.33,42,2.8,58,3.87,333,22.2,7.93,17.0,1.13,1,0.07,302,20.13,318,21.2,67.0,4.47,1,0.07,0.0,1.0,181.8,12.12,12.5,6.84,12.11,2,1,2,8,2,2.0,0.15,13.75,202.8,13.52,14.4,7.35,13.44,2,1,3,6,3,1.5,0.25,17.13,223.8,14.92,15.2,7.99,14.95,2,1,3,6,3,1.5,0.25,15.83
