Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Joshua Kelley,FA,RB,0.0,14.27,87.27,5.97,329.73,22.47,3.76,17.47,1.19,36.07,9.2,1.53,0.1,1.73,0.12,10.2,0.75,15.4,1.14,58.93,4.59,5.5,1.8,0.15,0.0,0.0,97.47,6.72,102.67,7.11,19.27,1.34,0.8,0.06,0.01,0.98,47.67,3.29,2.09,3.85,3.8,11.8,0.67,0.33,1.47,0.0,0.1,0.0,3.18,52.77,3.67,2.51,3.87,4.28,11.8,0.67,0.47,1.33,0.0,0.09,0.0,4.19,57.87,4.05,2.8,3.94,4.83,11.8,0.6,0.53,1.33,0.0,0.09,0.0,3.86,4,1.6,27.2,80.0
Emari Demercado,ARI,RB,3.0,14.0,58.0,4.14,284.0,20.29,4.9,12.0,0.86,49.0,8.43,1.0,0.07,2.0,0.14,21.0,1.5,30.0,2.14,119.0,8.5,5.67,4.0,0.29,0.0,0.0,79.0,5.64,88.0,6.29,16.0,1.14,0.0,0.0,0.0,1.0,52.3,3.74,1.6,4.52,4.14,9.0,1.0,2.0,2.0,0.0,0.17,0.0,3.15,62.8,4.49,1.85,4.88,4.94,9.0,0.0,3.0,2.0,0.0,0.17,0.0,4.14,73.3,5.24,2.6,5.39,5.79,9.0,1.0,2.0,2.0,0.0,0.17,0.0,4.21,1,5.12,87.12,50.0
Royce Freeman,DAL,RB,2.0,9.87,61.8,6.69,235.2,24.29,3.69,12.67,1.33,18.47,6.68,0.67,0.06,1.07,0.1,4.27,0.53,6.2,0.75,31.4,3.58,9.88,1.33,0.11,0.0,0.0,66.07,7.22,68.0,7.44,14.0,1.44,0.27,0.05,0.01,0.93,32.53,3.26,2.23,3.55,3.82,7.33,0.93,0.53,1.07,0.0,0.12,0.0,3.04,34.66,3.53,2.68,3.73,4.15,7.33,1.33,0.67,0.53,0.0,0.05,0.0,3.94,36.79,3.79,3.11,3.93,4.54,7.6,1.07,0.67,0.53,0.0,0.05,0.0,3.52,5,1.33,22.55,83.0
Ty Chandler,MIN,RB,3.0,11.33,70.0,5.25,314.0,22.54,4.12,13.67,1.0,24.0,7.92,2.0,0.13,2.0,0.13,14.0,0.87,16.67,1.04,106.0,6.63,5.05,4.67,0.29,0.0,0.0,84.0,6.13,86.67,6.29,18.33,1.29,0.0,0.0,0.0,0.81,54.0,3.67,1.97,4.39,3.95,7.33,0.67,1.33,1.33,0.67,0.15,0.05,3.02,61.0,4.11,2.3,4.64,4.4,6.67,1.33,2.0,0.67,0.67,0.09,0.05,3.9,68.0,4.54,2.67,4.93,4.92,6.67,1.33,2.0,0.67,0.67,0.09,0.05,3.61,2,5.45,92.69,46.0
Chase Brown,CIN,RB,2.0,12.0,44.0,3.67,179.0,14.92,4.07,6.0,0.5,31.0,7.33,2.0,0.17,0.0,0.0,14.0,1.17,15.0,1.25,156.0,13.0,11.14,4.0,0.33,1.0,0.08,58.0,4.83,59.0,4.92,10.0,0.83,0.0,0.0,0.0,1.0,39.5,3.29,1.8,4.76,3.6,8.0,3.0,0.0,0.0,1.0,0.09,0.09,2.9,46.5,3.88,2.55,5.11,4.22,8.0,3.0,0.0,0.0,1.0,0.09,0.09,3.87,53.5,4.46,3.3,5.51,4.9,10.0,1.0,0.0,0.0,1.0,0.09,0.09,4.02,1,4.22,71.77,60.0
J.K. Dobbins,LAC,RB,2.0,3.8,37.73,7.93,204.07,32.64,3.37,10.0,1.57,18.67,8.96,1.6,0.17,1.67,0.64,4.13,1.38,5.33,1.97,27.2,9.93,6.04,1.07,0.12,0.27,0.03,41.87,9.31,43.07,9.9,11.07,1.69,0.0,0.0,0.0,0.49,34.99,8.32,8.01,2.21,3.16,1.27,0.4,0.8,0.67,0.67,0.24,0.1,2.9,37.06,9.0,8.57,2.29,3.34,1.47,0.2,0.8,0.73,0.6,0.24,0.09,3.81,39.13,9.7,9.15,2.38,3.57,1.53,0.4,0.73,0.8,0.33,0.19,0.04,2.98,4,-2.71,-46.02,186.0
Chris Rodriguez Jr.,WAS,RB,3.0,11.0,51.0,4.64,247.0,22.45,4.84,14.0,1.27,16.0,8.73,0.0,0.0,2.0,0.18,2.0,0.18,2.0,0.18,12.0,1.09,6.0,1.0,0.09,0.0,0.0,53.0,4.82,53.0,4.82,15.0,1.36,1.0,0.09,0.02,1.0,35.9,3.26,2.3,5.23,3.49,10.0,0.0,0.0,0.0,1.0,0.1,0.1,3.07,36.9,3.35,2.3,5.37,3.61,10.0,0.0,0.0,0.0,1.0,0.1,0.1,3.8,37.9,3.45,2.3,5.52,3.79,10.0,0.0,0.0,0.0,1.0,0.1,0.1,3.19,1,4.08,69.35,61.0
Ty Johnson,BUF,RB,3.0,10.87,35.73,3.26,161.73,14.8,4.6,8.07,0.76,20.93,7.08,0.87,0.07,0.6,0.04,12.53,1.07,18.87,1.55,112.73,9.44,8.55,4.93,0.39,0.87,0.08,48.27,4.33,54.6,4.81,13.0,1.15,0.13,0.01,0.0,0.96,35.98,3.17,1.89,4.07,3.59,8.4,1.0,0.27,1.13,0.07,0.12,0.01,2.75,42.25,3.7,2.09,4.5,4.14,8.0,1.27,0.4,1.13,0.07,0.12,0.01,3.62,48.51,4.24,2.36,5.01,4.75,8.13,0.87,0.67,1.13,0.07,0.12,0.01,3.38,5,0.77,13.07,86.0
Duke Johnson Jr.,FA,RB,0.0,3.0,29.0,6.14,122.08,24.41,2.9,6.69,1.49,12.54,7.42,0.38,0.07,1.0,0.19,3.38,0.44,4.23,0.55,31.77,4.26,3.84,1.38,0.21,0.08,0.01,32.38,6.58,33.23,6.69,8.08,1.7,0.15,0.01,0.0,0.47,21.54,4.03,2.57,3.37,3.53,1.77,0.46,0.0,0.15,0.62,0.22,0.21,2.54,23.23,4.25,3.02,3.45,3.78,1.77,0.46,0.0,0.15,0.62,0.22,0.21,3.62,24.92,4.47,3.44,3.54,4.09,1.62,0.62,0.0,0.46,0.31,0.22,0.08,2.91,5,0.0,0.0,136.0
James Robinson,NO,RB,4.0,4.43,44.52,4.2,188.52,16.2,2.66,10.09,1.12,17.17,6.43,1.26,0.1,1.52,0.12,7.43,1.21,9.74,1.39,41.74,1.86,0.34,2.3,0.18,0.48,0.04,51.96,5.41,54.26,5.59,12.39,1.3,0.22,0.02,0.0,0.5,34.68,2.74,2.01,2.15,2.72,2.22,0.26,0.35,0.74,0.87,0.24,0.09,2.67,38.4,3.35,2.72,2.28,2.97,2.35,0.13,0.35,0.78,0.83,0.24,0.09,3.56,42.11,3.95,3.43,2.42,3.27,2.26,0.17,0.39,0.78,0.83,0.24,0.09,3.18,4,2.81,47.77,70.0
