Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
LeSean McCoy,FA,RB,0.0,14.71,275.57,18.57,1345.29,89.86,4.81,70.0,4.69,50.86,21.54,3.14,0.23,8.14,0.53,52.0,3.6,65.57,4.54,459.57,31.13,8.84,21.14,1.45,2.43,0.17,327.57,22.18,341.14,23.11,91.14,6.14,1.57,0.12,0.0,1.0,240.77,16.08,15.07,6.35,16.53,0.14,0.57,2.57,5.14,6.29,4.57,0.88,18.06,266.77,17.88,16.97,6.16,18.85,0.14,0.57,1.43,6.0,6.57,7.62,0.91,23.55,292.77,19.68,18.79,6.18,21.31,0.14,0.0,1.43,6.0,7.14,9.14,1.0,22.61,3,18.97,322.46,3.0
Jamaal Charles,FA,RB,0.0,13.43,231.14,15.81,1178.43,81.9,5.34,59.29,4.07,55.71,24.37,1.71,0.11,8.29,0.55,50.71,3.65,74.0,5.25,464.71,31.26,7.84,21.71,1.56,4.43,0.36,281.86,19.46,305.14,21.06,81.0,5.62,2.14,0.2,0.02,0.92,236.31,16.33,14.73,9.48,14.89,1.29,1.14,1.0,1.43,8.57,4.08,2.46,16.97,261.67,18.16,16.62,10.01,16.58,1.29,1.14,0.57,2.14,8.29,8.43,2.41,21.69,287.03,19.98,18.63,10.61,18.54,1.0,1.43,0.57,2.14,8.29,8.43,2.41,20.39,3,22.97,390.45,2.0
Matt Forte,FA,RB,0.0,15.14,265.0,17.46,1220.14,80.53,4.61,60.86,3.97,51.14,23.97,3.14,0.2,7.0,0.45,62.29,4.1,81.71,5.41,506.57,33.52,8.14,20.14,1.33,2.14,0.14,327.29,21.56,346.71,22.87,81.0,5.31,1.71,0.11,0.01,1.0,225.24,14.79,14.04,7.25,14.54,1.57,0.86,1.57,4.86,6.29,3.19,0.71,16.47,256.39,16.84,16.64,7.32,16.74,1.0,1.14,1.29,4.57,7.14,4.71,0.95,21.54,287.53,18.89,18.59,7.52,19.19,1.0,1.14,1.0,4.14,7.86,5.14,1.09,20.92,3,17.06,289.98,5.0
Adrian Peterson,FA,RB,0.0,14.29,288.57,20.08,1461.14,100.67,4.98,65.0,4.51,75.71,30.64,6.57,0.42,10.86,0.76,30.57,2.11,40.71,2.82,179.57,12.51,6.02,9.86,0.69,1.0,0.07,319.14,22.19,329.29,22.9,74.86,5.2,2.29,0.15,0.01,1.0,231.21,16.05,15.45,8.72,15.08,1.14,1.29,2.57,2.57,6.71,2.2,0.9,16.98,246.5,17.11,16.97,8.82,16.27,1.29,1.14,3.0,1.57,7.29,1.76,1.04,20.62,261.79,18.16,18.37,8.99,17.72,1.86,1.43,2.0,1.71,7.29,2.1,1.04,19.25,3,18.67,317.31,4.0
Le'Veon Bell,FA,RB,0.0,13.0,244.0,18.77,860.0,66.15,3.52,48.0,3.69,43.0,15.15,3.0,0.23,8.0,0.62,45.0,3.46,66.0,5.08,399.0,30.69,8.87,13.0,1.0,0.0,0.0,289.0,22.23,310.0,23.85,61.0,4.69,1.0,0.08,0.0,1.0,171.9,13.22,13.9,4.67,14.53,0.0,1.0,4.0,4.0,4.0,1.6,0.44,15.66,194.4,14.95,15.9,4.93,16.43,0.0,1.0,4.0,3.0,5.0,1.6,0.62,19.74,216.9,16.68,16.6,5.33,18.5,0.0,1.0,4.0,5.0,3.0,1.6,0.3,18.18,1,10.76,182.98,23.0
Marshawn Lynch,FA,RB,0.0,15.86,302.71,19.09,1344.57,84.75,4.43,67.57,4.26,53.29,20.84,3.71,0.23,11.71,0.74,31.14,1.96,39.57,2.5,266.86,16.8,8.53,11.14,0.7,1.57,0.1,333.86,21.05,342.29,21.58,78.71,4.96,1.43,0.09,0.0,1.0,238.0,15.0,15.16,7.92,14.46,1.14,2.14,2.29,2.86,7.43,1.87,0.89,16.44,253.57,15.98,16.23,8.15,15.51,2.0,2.0,1.57,3.43,6.86,1.87,0.79,19.68,269.14,16.97,17.01,8.44,16.8,2.14,1.86,2.43,3.0,6.43,1.5,0.69,17.75,3,15.59,265.04,6.0
Eddie Lacy,FA,RB,0.0,15.0,284.0,18.93,1178.0,78.53,4.15,61.0,4.07,60.0,19.47,0.0,0.0,11.0,0.73,35.0,2.33,44.0,2.93,257.0,17.13,7.34,12.0,0.8,0.0,0.0,319.0,21.27,328.0,21.87,73.0,4.87,1.0,0.07,0.0,1.0,207.5,13.83,14.1,6.55,13.96,2.0,0.0,2.0,5.0,6.0,2.75,0.67,16.06,225.0,15.0,15.1,7.07,15.06,2.0,0.0,4.0,3.0,6.0,1.5,0.67,18.74,242.5,16.17,16.1,7.64,16.38,2.0,0.0,4.0,3.0,6.0,1.5,0.67,17.24,1,15.19,258.26,7.0
Arian Foster,FA,RB,0.0,11.0,209.14,17.96,891.43,77.59,4.35,48.29,4.25,32.43,15.94,2.86,0.25,6.29,0.45,31.57,2.87,46.86,4.33,254.71,23.73,7.97,9.0,0.81,1.43,0.12,240.71,20.84,256.0,22.29,57.29,5.06,1.0,0.07,0.0,0.93,160.04,13.61,13.76,7.96,13.21,1.57,0.71,1.0,1.29,6.43,3.05,1.52,15.16,175.83,15.04,15.64,8.51,14.6,2.14,0.14,0.86,2.57,5.29,3.36,0.99,18.69,191.61,16.47,17.6,9.16,16.19,2.14,0.14,0.29,3.29,5.14,3.74,1.03,17.69,3,13.15,223.57,13.0
DeMarco Murray,FA,RB,0.0,12.71,193.43,15.26,958.14,74.55,4.91,50.71,3.97,51.29,21.24,2.29,0.19,6.57,0.5,44.0,3.45,54.71,4.28,297.86,23.47,6.83,14.71,1.15,0.57,0.04,237.43,18.71,248.14,19.54,65.43,5.12,1.14,0.1,0.0,0.99,166.17,12.87,10.79,6.58,13.19,1.57,1.57,1.86,4.71,3.0,1.78,0.3,13.19,188.17,14.6,12.77,6.58,15.2,1.0,0.71,3.71,4.0,3.29,1.4,0.34,17.22,210.17,16.32,14.13,6.72,17.42,1.0,0.14,4.0,3.71,3.86,1.55,0.43,16.24,3,14.79,251.43,9.0
Reggie Bush,FA,RB,0.0,14.71,223.14,15.21,1011.71,69.01,4.54,44.86,3.07,51.71,20.59,2.29,0.15,4.86,0.33,47.0,3.24,67.71,4.67,414.86,28.68,8.72,18.29,1.26,2.43,0.16,270.14,18.46,290.86,19.88,63.14,4.33,3.14,0.22,0.01,1.0,180.09,12.31,11.03,7.59,12.0,2.71,2.43,2.0,3.0,4.57,1.15,0.52,12.86,203.59,13.93,12.74,7.98,13.59,2.71,1.57,2.0,3.86,4.57,1.47,0.52,16.54,227.09,15.54,14.44,8.45,15.4,2.71,1.0,2.57,4.43,4.0,1.47,0.41,15.68,3,14.82,251.98,8.0
