Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Christian McCaffrey,SF,RB,1.0,16.0,243.29,15.21,1168.43,73.03,4.72,50.71,3.17,70.57,22.81,5.14,0.33,10.86,0.68,108.29,6.77,132.71,8.3,915.0,57.19,8.43,50.0,3.12,4.71,0.3,351.57,21.98,376.0,23.5,100.71,6.3,0.43,0.03,0.0,1.0,303.77,18.99,18.67,8.67,17.77,0.86,1.71,1.43,1.57,10.43,4.71,2.88,20.98,357.91,22.37,21.68,8.93,21.09,0.86,1.0,1.14,1.57,11.43,9.54,4.52,27.76,412.06,25.75,25.01,9.49,24.64,0.86,0.57,1.57,1.14,11.86,9.54,4.69,27.46,3,21.59,367.06,1.0
Dalvin Cook,DAL,RB,2.0,14.0,250.0,17.86,1135.0,81.07,4.54,60.0,4.29,75.0,20.43,7.0,0.5,13.0,0.93,53.0,3.79,63.0,4.5,519.0,37.07,9.79,26.0,1.86,0.0,0.0,303.0,21.64,313.0,22.36,86.0,6.14,2.0,0.14,0.01,1.0,239.4,17.1,16.65,7.04,16.96,1.0,0.0,1.0,5.0,7.0,6.0,1.0,19.49,265.9,18.99,19.15,7.13,19.03,1.0,0.0,1.0,5.0,7.0,6.0,1.0,24.39,292.4,20.89,21.65,7.33,21.39,1.0,0.0,2.0,3.0,8.0,3.67,1.33,22.9,1,18.03,306.54,3.0
Ezekiel Elliott,DAL,RB,1.0,13.33,283.33,21.58,1283.67,96.5,4.5,67.67,5.12,37.33,19.75,8.67,0.62,6.33,0.5,60.0,4.29,76.0,5.49,467.67,34.17,8.36,16.67,1.18,2.67,0.2,343.33,25.87,359.33,27.07,84.33,6.3,1.0,0.08,0.0,0.99,227.13,17.11,14.7,8.55,16.19,1.0,0.0,1.33,4.67,6.33,5.67,0.92,18.43,257.13,19.25,16.82,8.72,18.37,1.0,0.0,0.67,5.33,6.33,7.33,0.92,23.67,287.13,21.4,19.05,9.04,20.82,1.0,0.0,0.0,5.33,7.0,12.33,1.09,23.18,3,16.97,288.57,5.0
Ezekiel Elliott,LAC,RB,1.0,16.0,301.0,18.81,1357.0,84.81,4.51,78.0,4.88,33.0,16.75,4.0,0.25,12.0,0.75,54.0,3.38,71.0,4.44,420.0,26.25,7.78,21.0,1.31,2.0,0.12,355.0,22.19,372.0,23.25,99.0,6.19,2.0,0.12,0.01,1.0,257.7,16.11,14.5,5.89,16.7,0.0,1.0,2.0,6.0,7.0,4.33,0.78,18.05,284.7,17.79,16.65,5.89,18.7,0.0,1.0,1.0,6.0,8.0,7.0,1.0,23.56,311.7,19.48,18.2,6.09,20.89,0.0,1.0,1.0,6.0,8.0,7.0,1.0,21.96,1,17.14,291.4,4.0
Todd Gurley II,FA,RB,0.0,14.71,240.43,16.38,1033.57,70.61,4.26,58.57,4.0,32.71,17.47,6.43,0.44,13.57,0.93,43.71,3.0,63.57,4.35,396.57,27.23,8.38,16.57,1.14,3.14,0.21,284.14,19.37,304.0,20.72,75.14,5.14,1.71,0.11,0.01,1.0,242.73,16.61,16.94,6.93,16.44,1.29,0.86,2.0,2.0,8.57,4.57,1.84,18.92,264.59,18.1,18.91,7.32,17.92,1.29,0.86,2.57,1.86,8.14,4.37,1.82,22.7,286.44,19.6,20.49,7.81,19.66,1.86,0.29,2.71,2.57,7.29,3.29,2.31,21.3,3,12.18,207.13,17.0
Saquon Barkley,PHI,RB,1.0,14.0,231.67,16.56,1104.33,78.66,4.75,46.67,3.35,71.33,27.94,10.67,0.75,7.67,0.54,65.0,4.56,89.0,6.27,532.33,37.48,8.25,19.33,1.35,2.67,0.18,296.67,21.13,320.67,22.83,66.0,4.69,0.0,0.0,0.0,1.0,226.33,15.99,15.12,9.4,14.85,1.33,1.67,1.33,3.33,6.33,2.51,0.84,16.86,258.83,18.28,17.0,9.42,17.22,1.33,1.67,0.33,4.0,6.67,3.83,0.97,21.39,291.33,20.56,19.15,9.59,19.85,0.0,3.0,0.33,3.33,7.33,3.83,1.41,21.15,2,16.53,281.06,8.0
Alvin Kamara,NO,RB,1.0,14.57,170.29,11.74,811.71,55.85,4.83,40.29,2.75,47.43,17.63,3.71,0.26,8.0,0.54,81.0,5.57,99.71,6.85,625.14,42.63,7.72,30.29,2.07,2.43,0.16,251.29,17.32,270.0,18.6,70.57,4.83,0.71,0.05,0.0,1.0,207.11,14.12,12.29,7.92,13.55,1.14,2.14,3.29,2.57,5.43,1.45,0.62,14.08,247.61,16.91,15.24,8.45,16.2,1.14,0.71,3.71,2.71,6.29,2.03,0.79,19.15,288.11,19.7,18.56,9.18,19.04,1.57,0.29,1.57,4.29,6.86,3.71,0.9,19.97,3,16.69,283.77,7.0
Aaron Jones Sr.,MIN,RB,1.0,16.0,236.0,14.75,1084.0,67.75,4.59,55.0,3.44,56.0,17.31,5.0,0.31,16.0,1.0,49.0,3.06,68.0,4.25,474.0,29.62,9.67,18.0,1.12,3.0,0.19,285.0,17.81,304.0,19.0,73.0,4.56,2.0,0.12,0.01,1.0,265.8,16.61,14.3,12.02,14.41,5.0,0.0,0.0,4.0,7.0,2.2,0.78,15.89,290.3,18.14,15.8,12.67,15.74,5.0,0.0,0.0,5.0,6.0,2.2,0.6,19.15,314.8,19.68,17.45,13.41,17.32,4.0,1.0,0.0,5.0,6.0,2.2,0.6,18.17,1,20.35,345.99,2.0
Melvin Gordon III,FA,RB,0.0,12.57,183.14,14.42,760.43,60.08,4.16,44.0,3.49,35.86,17.01,4.29,0.35,8.57,0.69,46.57,3.71,62.14,4.93,377.14,30.01,8.0,15.43,1.22,2.29,0.18,229.71,18.13,245.29,19.35,59.43,4.72,1.71,0.14,0.01,1.0,176.61,14.03,13.09,6.84,14.01,2.14,0.86,1.29,3.0,5.29,4.14,0.92,15.52,199.9,15.89,14.24,7.08,15.94,2.0,1.0,1.86,1.86,5.86,3.98,1.25,19.14,223.19,17.74,15.78,7.45,18.09,0.29,2.71,1.86,1.43,6.29,3.98,1.12,18.28,3,11.32,192.36,19.0
Le'Veon Bell,FA,RB,0.0,15.0,260.2,17.34,889.4,59.29,3.38,43.6,2.91,20.6,11.68,0.6,0.04,4.2,0.28,69.8,4.65,83.6,5.57,499.8,33.32,7.13,22.2,1.48,1.2,0.08,330.0,22.0,343.8,22.92,65.8,4.38,1.2,0.08,0.0,1.0,170.52,11.37,10.6,4.43,12.64,1.0,1.6,5.4,4.4,2.6,1.09,0.36,12.9,205.42,13.69,13.2,4.82,15.11,1.0,2.4,3.4,5.6,2.6,2.0,0.36,17.46,240.32,16.02,15.0,5.51,17.57,0.8,1.0,4.8,3.8,4.6,3.5,0.75,17.47,3,8.95,152.15,26.0
