Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Todd Gurley II,FA,RB,0.0,15,279,18.6,1305,87.0,4.68,66.0,4.4,57,23.07,3,0.2,13,0.87,64,4.27,87,5.8,788,52.53,12.31,32.0,2.13,6,0.4,343,22.87,366,24.4,98.0,6.53,2,0.13,0.01,1.0,319.3,21.29,21.4,10.92,18.91,1,0,0,4,10,14.0,2.0,24.06,351.3,23.42,23.4,11.47,20.83,1,0,0,3,11,14.0,2.75,29.21,383.3,25.55,24.4,12.1,23.08,1,0,1,2,11,6.5,2.75,26.25
Le'Veon Bell,FA,RB,0.0,15,321,21.4,1291,86.07,4.02,74.0,4.93,27,15.2,3,0.2,9,0.6,85,5.67,106,7.07,655,43.67,7.71,31.0,2.07,2,0.13,406,27.07,427,28.47,105.0,7.0,2,0.13,0.0,1.0,256.6,17.11,15.8,8.01,16.42,1,0,3,2,9,2.75,1.5,18.96,299.1,19.94,18.8,8.12,19.33,1,0,1,4,9,6.5,1.5,25.83,341.6,22.77,21.8,8.5,22.47,0,1,0,3,11,14.0,2.75,26.37
Ezekiel Elliott,DAL,RB,1.0,10,242,24.2,983,98.3,4.06,55.0,5.5,30,17.0,4,0.4,7,0.7,26,2.6,38,3.8,269,26.9,10.35,6.0,0.6,2,0.2,268,26.8,280,28.0,61.0,6.1,1,0.1,0.0,0.96,177.2,17.72,14.7,10.29,15.98,1,0,0,4,5,9.0,1.0,18.71,190.2,19.02,16.05,9.97,17.52,1,0,0,4,5,9.0,1.0,22.88,203.2,20.32,17.75,9.72,19.39,1,0,0,4,5,9.0,1.0,21.21
Leonard Fournette,FA,RB,0.0,13,268,20.62,1040,80.0,3.88,46.0,3.54,90,24.23,2,0.15,9,0.69,36,2.77,48,3.69,302,23.23,8.39,15.0,1.15,1,0.08,304,23.38,316,24.31,61.0,4.69,0,0.0,0.0,1.0,194.2,14.94,13.9,6.84,14.92,2,0,0,6,5,5.5,0.62,17.36,212.2,16.32,15.5,6.78,16.56,2,0,0,6,5,5.5,0.62,21.0,230.2,17.71,17.0,6.76,18.51,2,0,0,6,5,5.5,0.62,20.03
Melvin Gordon III,FA,RB,0.0,16,284,17.75,1105,69.06,3.89,58.0,3.62,87,20.38,4,0.25,8,0.5,58,3.62,83,5.19,476,29.75,8.21,22.0,1.38,4,0.25,342,21.38,367,22.94,80.0,5.0,0,0.0,0.0,1.0,230.1,14.38,13.9,7.58,14.0,3,0,1,7,5,3.0,0.45,15.99,259.1,16.19,15.1,8.3,15.62,2,1,1,5,7,3.0,0.78,19.91,288.1,18.01,16.85,9.18,17.43,2,1,1,4,8,3.0,1.0,19.01
Alvin Kamara,NO,RB,1.0,16,120,7.5,728,45.5,6.07,40.0,2.5,74,18.56,4,0.25,8,0.5,81,5.06,100,6.25,826,51.62,10.2,38.0,2.38,5,0.31,201,12.56,220,13.75,78.0,4.88,1,0.06,0.0,1.0,233.4,14.59,14.25,8.12,13.95,2,1,3,2,8,1.67,1.0,15.07,273.9,17.12,16.5,8.6,16.36,2,1,2,3,8,2.2,1.0,19.64,314.4,19.65,18.75,9.15,19.04,1,2,1,4,8,3.0,1.0,19.49
Kareem Hunt,FA,RB,0.0,16,272,17.0,1327,82.94,4.88,60.0,3.75,69,26.69,7,0.44,8,0.5,53,3.31,63,3.94,455,28.44,8.58,18.0,1.12,3,0.19,325,20.31,335,20.94,78.0,4.88,1,0.06,0.0,1.0,242.2,15.14,11.65,10.47,13.59,1,3,2,4,6,1.67,0.6,14.28,268.7,16.79,13.6,10.89,15.13,1,3,2,4,6,1.67,0.6,18.12,295.2,18.45,15.85,11.35,16.94,1,3,2,4,6,1.67,0.6,17.3
LeSean McCoy,FA,RB,0.0,16,287,17.94,1138,71.12,3.97,56.0,3.5,48,19.56,8,0.5,6,0.38,59,3.69,77,4.81,448,28.0,7.59,23.0,1.44,2,0.12,346,21.62,364,22.75,79.0,4.94,1,0.06,0.0,1.0,204.6,12.79,10.5,7.78,12.37,3,2,3,1,7,1.0,0.78,13.25,234.1,14.63,12.1,7.84,14.31,2,2,3,2,7,1.29,0.78,17.33,263.6,16.48,14.4,8.06,16.48,2,1,3,3,7,1.67,0.78,16.87
Mark Ingram II,FA,RB,0.0,16,230,14.38,1124,70.25,4.89,50.0,3.12,72,26.38,5,0.31,12,0.75,58,3.62,71,4.44,416,26.0,7.17,19.0,1.19,0,0.0,288,18.0,301,18.81,69.0,4.31,3,0.19,0.01,1.0,220.0,13.75,10.55,8.54,12.99,1,3,4,2,6,1.0,0.6,12.98,249.0,15.56,12.65,8.57,14.89,1,3,4,2,6,1.0,0.6,16.73,278.0,17.38,14.4,8.67,17.06,1,2,4,3,6,1.29,0.6,16.34
Carlos Hyde,FA,RB,0.0,16,240,15.0,938,58.62,3.91,44.0,2.75,61,18.19,4,0.25,8,0.5,59,3.69,88,5.5,350,21.88,5.93,17.0,1.06,0,0.0,299,18.69,328,20.5,61.0,3.81,1,0.06,0.0,1.0,174.8,10.92,9.95,5.85,11.34,3,2,4,4,3,0.78,0.23,11.7,204.3,12.77,11.7,5.95,13.38,2,2,4,4,4,1.0,0.33,15.4,233.8,14.61,13.8,6.26,15.56,2,2,2,6,4,1.67,0.33,15.63
