Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Todd Gurley II,FA,RB,0.0,14.57,265.71,18.25,1214.14,83.82,4.59,65.71,4.54,40.29,19.8,7.43,0.53,14.29,0.99,58.14,4.01,79.43,5.48,603.29,41.6,10.22,26.14,1.81,4.0,0.28,323.86,22.26,345.14,23.73,91.86,6.35,1.29,0.09,0.0,1.0,292.31,20.25,20.59,8.41,19.16,0.71,1.0,1.29,2.29,9.29,7.49,2.68,22.81,321.39,22.25,23.14,8.6,21.26,0.71,0.86,1.29,2.14,9.57,7.51,2.89,27.95,350.46,24.26,24.89,8.91,23.67,0.71,0.86,1.43,1.43,10.14,5.4,4.22,26.51,3,16.3,277.17,5.0
Saquon Barkley,PHI,RB,1.0,16.0,261.0,16.31,1307.0,81.69,5.01,50.0,3.12,78.0,32.75,16.0,1.0,11.0,0.69,91.0,5.69,121.0,7.56,721.0,45.06,7.92,30.0,1.88,4.0,0.25,352.0,22.0,382.0,23.88,80.0,5.0,0.0,0.0,0.0,1.0,294.8,18.42,17.55,7.65,17.89,0.0,1.0,2.0,4.0,9.0,4.33,1.29,20.17,340.3,21.27,20.0,7.47,21.06,0.0,1.0,1.0,4.0,10.0,7.0,1.67,25.73,385.8,24.11,23.45,7.63,24.45,0.0,1.0,1.0,2.0,12.0,7.0,3.0,26.55,1,18.39,312.65,2.0
Melvin Gordon III,FA,RB,0.0,13.29,217.43,16.19,963.86,72.83,4.56,52.14,3.94,51.14,20.52,6.86,0.54,9.43,0.73,51.0,3.87,69.57,5.25,475.86,36.44,9.41,21.29,1.63,3.71,0.28,268.43,20.06,287.0,21.45,73.43,5.57,0.29,0.02,0.0,1.0,224.54,17.15,16.73,7.25,16.92,1.0,0.57,0.57,4.29,6.86,7.62,1.39,19.71,250.04,19.09,18.13,7.71,18.82,0.71,0.86,0.57,3.14,8.0,7.62,2.06,24.14,275.54,21.02,19.87,8.32,20.95,0.71,1.0,0.43,3.43,7.71,7.62,1.55,22.72,3,11.9,202.32,14.0
Ezekiel Elliott,DAL,RB,1.0,13.57,288.86,21.56,1333.29,98.25,4.58,71.0,5.26,40.57,20.79,8.71,0.62,7.57,0.57,56.0,3.98,70.86,5.08,452.71,32.74,8.78,15.86,1.12,2.43,0.18,344.86,25.54,359.71,26.65,86.86,6.37,1.0,0.08,0.0,0.99,236.6,17.46,15.09,8.42,16.59,0.86,0.0,1.14,4.71,6.86,7.0,1.07,19.02,264.6,19.45,17.06,8.58,18.65,0.86,0.0,0.86,5.14,6.71,7.21,1.0,23.94,292.6,21.44,19.26,8.86,20.97,0.86,0.0,0.29,5.14,7.29,11.5,1.15,23.24,3,17.59,298.95,3.0
Alvin Kamara,NO,RB,1.0,15.33,169.33,11.12,831.33,54.41,5.06,51.33,3.37,57.33,16.85,2.0,0.13,12.0,0.79,81.0,5.29,103.33,6.75,748.0,48.72,9.23,33.33,2.17,4.33,0.28,250.33,16.41,272.67,17.87,84.67,5.54,0.33,0.02,0.0,1.0,259.93,17.0,15.95,9.03,15.82,1.33,1.0,2.33,3.33,7.33,2.39,0.92,17.18,300.43,19.65,18.7,9.53,18.29,1.33,0.33,2.0,3.67,8.0,3.4,1.09,22.53,340.93,22.29,21.78,10.24,20.99,1.0,0.67,1.0,4.67,8.0,5.33,1.09,22.56,2,18.4,312.73,1.0
Kareem Hunt,FA,RB,0.0,12.67,211.33,16.63,991.67,77.59,4.66,50.67,4.04,53.0,23.5,7.0,0.57,7.33,0.59,35.0,2.68,44.33,3.43,403.67,32.39,12.55,17.33,1.41,5.67,0.49,246.33,19.32,255.67,20.07,68.0,5.45,0.33,0.02,0.0,1.0,216.87,17.42,14.82,9.25,16.19,1.0,1.0,1.33,4.0,5.33,3.56,0.75,17.33,234.37,18.76,15.93,9.71,17.44,1.0,1.0,1.33,4.0,5.33,3.56,0.75,21.0,251.87,20.1,18.35,10.24,18.97,1.0,1.0,1.33,4.0,5.33,3.56,0.75,19.85,2,12.48,212.2,12.0
Christian McCaffrey,SF,RB,1.0,16.0,185.0,11.56,877.0,54.81,4.58,42.33,2.64,52.67,18.14,4.0,0.25,5.33,0.33,98.0,6.13,120.33,7.52,795.0,49.69,8.11,39.33,2.46,5.67,0.36,283.0,17.69,305.33,19.09,81.67,5.11,1.0,0.06,0.0,1.0,235.2,14.7,14.5,7.67,14.16,2.0,2.67,2.0,2.33,7.0,1.67,0.94,15.61,284.2,17.76,17.05,8.16,17.11,0.67,2.33,2.67,2.33,8.0,2.26,1.22,20.82,333.2,20.82,19.75,8.88,20.24,0.67,1.33,3.67,1.33,9.0,2.26,1.62,20.81,2,17.31,294.34,4.0
Leonard Fournette,FA,RB,0.0,9.67,178.0,17.95,639.33,63.25,3.49,30.67,3.1,46.67,17.08,2.0,0.22,6.33,0.64,26.67,2.76,33.33,3.4,224.0,23.16,8.4,11.67,1.22,1.0,0.11,204.67,20.71,211.33,21.36,42.33,4.31,0.0,0.0,0.0,0.92,130.33,13.18,11.13,7.97,12.72,2.0,1.33,0.0,2.67,3.67,2.5,0.61,12.99,143.67,14.56,12.67,8.18,14.17,2.0,1.33,0.0,2.67,3.67,2.5,0.61,16.25,157.0,15.94,14.17,8.41,15.86,2.0,1.33,0.0,2.67,3.67,2.5,0.61,15.28,2,13.12,223.09,10.0
Joe Mixon,HOU,RB,1.0,14.0,217.33,15.52,987.33,70.52,4.46,51.67,3.69,42.33,21.67,8.0,0.57,6.67,0.48,38.67,2.76,48.0,3.43,293.0,20.93,7.78,12.33,0.88,0.67,0.05,256.0,18.29,265.33,18.95,64.0,4.57,0.67,0.05,0.0,1.0,170.7,12.19,10.95,6.12,12.45,2.67,1.0,4.0,2.67,3.67,0.98,0.4,12.65,190.03,13.57,12.45,6.39,13.9,1.67,2.33,4.0,1.67,4.33,0.94,0.53,16.18,209.37,14.96,13.97,6.72,15.56,1.67,3.67,2.33,2.0,4.33,0.98,0.53,15.21,2,11.68,198.49,16.0
Phillip Lindsay,FA,RB,0.0,15.0,192.0,12.8,1037.0,69.13,5.4,49.0,3.27,65.0,24.0,8.0,0.53,9.0,0.6,35.0,2.33,47.0,3.13,241.0,16.07,6.89,12.0,0.8,1.0,0.07,227.0,15.13,239.0,15.93,61.0,4.07,0.0,0.0,0.0,1.0,187.8,12.52,11.1,7.09,12.39,2.0,2.0,3.0,4.0,4.0,1.14,0.36,12.54,205.3,13.69,13.1,7.0,13.77,1.0,2.0,4.0,5.0,3.0,1.14,0.25,15.8,222.8,14.85,15.1,7.01,15.38,1.0,3.0,3.0,5.0,3.0,1.14,0.25,15.21,1,13.25,225.24,8.0
