Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Aaron Jones Sr.,MIN,RB,1.0,14.86,188.86,12.72,926.86,62.65,4.89,43.86,2.96,62.57,20.36,5.29,0.36,7.14,0.48,50.14,3.38,64.86,4.37,392.57,26.37,7.84,19.43,1.31,4.43,0.3,239.0,16.1,253.71,17.09,63.29,4.27,0.86,0.06,0.0,1.0,199.66,13.44,11.91,9.07,12.5,3.0,0.86,3.71,2.86,4.43,1.08,0.43,13.0,224.73,15.13,14.01,9.52,14.1,3.0,0.29,3.71,3.57,4.29,1.2,0.41,16.69,249.8,16.82,15.82,10.03,15.94,2.29,1.0,2.86,4.43,4.29,1.48,0.41,16.2,3,14.56,247.45,8.0
James Conner,ARI,RB,1.0,13.71,180.29,13.07,702.0,51.12,3.92,46.0,3.31,40.43,15.57,3.43,0.25,10.86,0.76,36.0,2.67,40.0,2.97,311.57,22.6,8.6,15.14,1.11,2.14,0.16,216.29,15.73,220.29,16.04,61.14,4.42,0.14,0.01,0.0,0.99,179.07,12.85,12.83,7.71,12.42,2.71,1.57,1.0,3.71,4.71,1.62,0.53,13.62,197.07,14.18,13.39,8.46,13.58,2.71,1.29,1.86,3.43,4.43,1.33,0.5,16.32,215.07,15.51,14.61,9.3,14.95,2.57,1.29,2.57,3.43,3.86,1.13,0.4,14.93,3,11.38,193.46,16.0
D'Andre Swift,CHI,RB,1.0,13.0,138.67,10.67,585.0,45.0,4.25,29.0,2.23,56.0,15.41,2.33,0.18,6.0,0.46,56.67,4.36,71.0,5.46,420.33,32.33,7.45,17.0,1.3,2.0,0.15,195.33,15.02,209.67,16.13,46.0,3.54,1.33,0.1,0.0,1.0,145.87,11.22,12.07,6.66,11.28,3.67,1.0,2.0,2.0,4.33,0.99,0.51,12.52,174.2,13.4,14.27,7.14,13.42,2.67,1.0,2.33,2.67,4.33,1.17,0.51,16.16,202.53,15.58,15.93,7.68,15.76,2.0,1.67,2.33,2.67,4.33,1.17,0.51,16.0,2,12.29,208.88,12.0
Elijah Mitchell,SF,RB,2.0,12.0,207.0,17.25,963.0,80.25,4.65,47.0,3.92,39.0,18.83,6.0,0.5,5.0,0.42,19.0,1.58,20.0,1.67,137.0,11.42,7.21,6.0,0.5,1.0,0.08,226.0,18.83,227.0,18.92,53.0,4.42,0.0,0.0,0.0,1.0,146.0,12.17,11.75,6.95,12.1,2.0,2.0,2.0,1.0,5.0,1.0,0.71,13.21,155.5,12.96,13.15,7.19,12.95,2.0,3.0,1.0,3.0,3.0,1.0,0.33,15.96,165.0,13.75,14.65,7.54,13.98,2.0,3.0,1.0,3.0,3.0,1.0,0.33,14.76,1,11.56,196.52,14.0
Joe Mixon,HOU,RB,1.0,13.14,240.57,18.58,973.29,73.57,3.97,48.0,3.59,33.86,15.85,5.14,0.41,9.0,0.65,35.0,2.81,41.29,3.35,259.86,20.35,7.32,9.71,0.76,2.43,0.18,275.57,21.39,281.86,21.93,57.71,4.35,0.86,0.08,0.0,0.94,190.17,14.23,11.31,8.85,13.42,0.71,2.43,3.0,2.14,4.86,1.06,0.55,13.0,207.67,15.63,12.4,9.4,14.7,1.29,2.0,3.57,1.71,4.57,0.86,0.52,15.86,225.17,17.04,14.36,10.03,16.21,1.29,2.43,2.86,2.0,4.57,1.0,0.52,15.06,3,14.78,251.3,7.0
Antonio Gibson,NE,RB,1.0,15.33,228.67,14.79,956.33,62.14,4.24,56.67,3.66,31.33,15.68,4.33,0.29,8.33,0.56,40.0,2.6,49.33,3.21,278.33,18.13,6.95,11.0,0.71,2.0,0.13,268.67,17.4,278.0,18.02,67.67,4.37,3.33,0.21,0.01,1.0,180.13,11.75,11.35,6.88,11.74,3.67,2.0,1.67,2.33,5.67,1.11,0.59,12.77,200.13,13.06,12.85,7.12,13.11,3.33,2.67,2.33,2.33,4.67,0.85,0.43,15.78,220.13,14.36,13.88,7.46,14.67,3.33,2.0,3.0,2.67,4.33,0.85,0.39,14.58,2,11.55,196.29,15.0
Leonard Fournette,FA,RB,0.0,13.86,168.43,12.0,733.43,52.18,4.28,39.57,2.82,51.57,16.09,4.71,0.34,6.71,0.49,60.57,4.33,75.71,5.42,400.57,28.62,6.59,23.0,1.64,1.14,0.08,229.0,16.34,244.14,17.42,62.57,4.47,0.14,0.01,0.0,1.0,160.26,11.47,9.09,8.3,10.88,3.14,3.29,1.71,2.43,3.29,0.75,0.32,10.91,190.54,13.64,11.94,8.59,13.01,2.86,1.29,2.71,3.14,3.86,1.1,0.41,15.47,220.83,15.8,14.6,8.99,15.35,2.86,0.43,3.57,3.0,4.0,1.1,0.42,15.26,3,12.68,215.64,11.0
David Montgomery,DET,RB,1.0,14.57,233.71,16.05,917.86,62.97,3.92,55.43,3.81,54.14,17.58,4.71,0.33,7.14,0.49,43.0,2.97,53.57,3.69,323.57,22.28,7.47,18.43,1.28,0.71,0.05,276.71,19.02,287.29,19.74,73.86,5.09,1.14,0.08,0.0,1.0,169.0,11.6,8.89,6.96,11.51,2.14,4.86,1.71,0.57,5.29,0.71,0.6,11.56,190.5,13.08,10.71,7.26,13.02,2.29,3.86,2.57,0.57,5.29,0.71,0.6,15.43,212.0,14.56,12.93,7.7,14.71,3.14,1.86,3.43,1.57,4.57,0.81,0.5,14.41,3,11.11,188.83,18.0
James Robinson,FA,RB,0.0,14.0,189.33,13.52,868.0,62.0,4.61,45.33,3.24,54.33,17.67,4.33,0.31,7.67,0.55,37.0,2.64,50.67,3.62,262.67,18.76,7.11,11.0,0.78,1.0,0.07,226.33,16.17,240.0,17.14,56.33,4.02,1.67,0.12,0.01,1.0,162.4,11.6,10.2,7.1,11.5,3.67,0.67,2.67,3.0,4.0,1.1,0.43,11.93,180.9,12.92,11.62,7.51,12.8,3.33,1.0,2.67,3.33,3.67,1.1,0.37,14.97,199.4,14.24,13.1,8.0,14.31,2.67,1.33,3.0,3.33,3.67,1.1,0.37,14.15,2,12.09,205.61,13.0
Melvin Gordon III,FA,RB,0.0,15.14,200.57,13.27,893.71,58.85,4.43,46.14,3.06,62.0,17.47,3.43,0.23,8.29,0.55,31.14,2.11,42.14,2.85,209.14,14.14,6.77,8.71,0.59,1.57,0.1,231.71,15.39,242.71,16.12,54.86,3.64,3.29,0.22,0.01,1.0,162.91,10.79,9.2,6.3,11.01,3.0,3.0,2.86,3.43,2.86,0.74,0.25,10.81,178.49,11.85,9.92,6.33,12.22,3.29,3.57,2.14,3.29,2.86,0.7,0.25,13.37,194.06,12.9,11.1,6.44,13.64,2.57,4.57,1.86,3.43,2.71,0.7,0.25,12.58,3,10.46,177.86,20.0
