Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Adrian Peterson,FA,RB,0.0,16,348,21.75,2097,131.06,6.03,85.0,5.31,82,40.19,17,1.06,12,0.75,40,2.5,51,3.19,217,13.56,5.42,10.0,0.62,1,0.06,388,24.25,399,24.94,95.0,5.94,2,0.12,0.01,1.0,307.4,19.21,18.7,8.68,18.07,0,0,3,4,9,4.33,1.29,20.81,327.4,20.46,19.2,8.33,19.72,0,0,4,3,9,3.0,1.29,24.22,347.4,21.71,20.8,8.08,21.7,0,0,3,4,9,4.33,1.29,23.1
Arian Foster,FA,RB,0.0,16,351,21.94,1424,89.0,4.06,78.0,4.88,46,19.19,6,0.38,15,0.94,40,2.5,58,3.62,217,13.56,5.42,10.0,0.62,2,0.12,391,24.44,409,25.56,88.0,5.5,2,0.12,0.01,1.0,262.1,16.38,17.0,5.75,17.09,1,0,1,2,12,7.0,3.0,21.19,282.1,17.63,17.6,5.83,18.58,1,0,1,4,10,7.0,1.67,24.19,302.1,18.88,18.7,6.05,20.28,1,0,1,5,9,7.0,1.29,22.34
LeSean McCoy,FA,RB,0.0,12,200,16.67,840,70.0,4.2,45.0,3.75,34,17.42,5,0.42,2,0.17,54,4.5,67,5.58,373,31.08,6.91,19.0,1.58,3,0.25,254,21.17,267,22.25,64.0,5.33,3,0.25,0.01,1.0,145.3,12.11,11.9,2.82,15.09,0,0,3,8,1,3.0,0.09,15.15,172.3,14.36,14.3,2.7,18.33,0,0,1,9,2,11.0,0.2,21.79,199.3,16.61,16.3,2.99,21.27,0,0,1,7,4,11.0,0.5,21.42
Trent Richardson,FA,RB,0.0,15,267,17.8,950,63.33,3.56,36.0,2.4,32,13.07,1,0.07,11,0.73,51,3.4,70,4.67,367,24.47,7.2,18.0,1.2,1,0.07,318,21.2,337,22.47,54.0,3.6,0,0.0,0.0,1.0,203.7,13.58,15.2,6.59,13.69,2,2,0,4,7,2.75,0.88,16.62,229.2,15.28,17.0,6.89,15.44,2,1,1,2,9,2.75,1.5,20.25,254.7,16.98,18.5,7.28,17.42,2,1,1,1,10,2.75,2.0,20.11
Ray Rice,FA,RB,0.0,16,257,16.06,1143,71.44,4.45,51.0,3.19,46,19.06,1,0.06,9,0.56,61,3.81,83,5.19,478,29.88,7.84,22.0,1.38,1,0.06,318,19.88,340,21.25,73.0,4.56,0,0.0,0.0,1.0,222.1,13.88,14.75,6.75,13.91,2,1,2,4,7,2.2,0.78,16.1,252.6,15.79,16.1,7.0,15.89,2,1,1,4,8,3.0,1.0,20.2,283.1,17.69,18.0,7.46,18.04,1,1,2,4,8,3.0,1.0,19.54
Marshawn Lynch,FA,RB,0.0,16,315,19.69,1590,99.38,5.05,69.0,4.31,77,24.94,5,0.31,11,0.69,23,1.44,30,1.88,196,12.25,8.52,11.0,0.69,1,0.06,338,21.12,345,21.56,80.0,5.0,2,0.12,0.01,1.0,246.6,15.41,15.2,7.22,15.18,1,1,3,3,8,2.2,1.0,16.99,258.1,16.13,15.95,7.21,16.12,2,0,3,3,8,2.2,1.0,20.16,269.6,16.85,16.7,7.22,17.32,2,0,4,3,7,1.67,0.78,18.01
Doug Martin,FA,RB,0.0,16,319,19.94,1454,90.88,4.56,58.0,3.62,70,22.31,5,0.31,11,0.69,49,3.06,70,4.38,472,29.5,9.63,18.0,1.12,1,0.06,368,23.0,389,24.31,76.0,4.75,1,0.06,0.0,1.0,262.6,16.41,12.85,11.77,14.31,2,0,2,6,6,3.0,0.6,15.97,287.1,17.94,14.75,11.93,15.8,2,0,2,6,6,3.0,0.6,19.71,311.6,19.48,16.95,12.14,17.58,2,0,3,3,8,2.2,1.0,18.92
Alfred Morris,FA,RB,0.0,16,335,20.94,1613,100.81,4.81,83.0,5.19,39,21.5,6,0.38,13,0.81,11,0.69,16,1.0,77,4.81,7.0,3.0,0.19,0,0.0,346,21.62,351,21.94,86.0,5.38,3,0.19,0.01,1.0,241.0,15.06,13.65,7.99,14.47,0,1,4,4,7,2.2,0.78,15.95,246.5,15.41,13.9,8.18,14.91,0,2,3,4,7,2.2,0.78,18.91,252.0,15.75,14.15,8.39,15.6,1,2,4,5,4,1.29,0.33,15.7
C.J. Spiller,FA,RB,0.0,16,207,12.94,1244,77.75,6.01,52.0,3.25,62,26.69,5,0.31,6,0.38,43,2.69,57,3.56,459,28.69,10.67,19.0,1.19,2,0.12,250,15.62,264,16.5,71.0,4.44,3,0.19,0.01,1.0,212.3,13.27,13.05,7.07,13.14,2,1,3,4,6,1.67,0.6,14.22,233.8,14.61,14.7,7.31,14.55,3,0,1,6,6,3.0,0.6,18.25,255.3,15.96,16.1,7.64,16.17,3,0,1,6,6,3.0,0.6,17.24
Frank Gore,FA,RB,0.0,16,258,16.12,1214,75.88,4.71,67.0,4.19,37,18.19,5,0.31,8,0.5,28,1.75,36,2.25,234,14.62,8.36,10.0,0.62,1,0.06,286,17.88,294,18.38,77.0,4.81,1,0.06,0.0,1.0,196.8,12.3,14.1,5.1,13.22,1,3,1,5,6,2.2,0.6,15.12,210.8,13.18,15.1,5.41,14.14,2,3,1,4,6,1.67,0.6,18.03,224.8,14.05,16.1,5.79,15.26,2,2,2,4,6,1.67,0.6,16.47
