Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Christian McCaffrey,SF,RB,1.0,17,244,14.35,1139,67.0,4.67,59.0,3.47,49,20.94,9,0.53,8,0.47,85,5.0,108,6.35,741,43.59,8.72,36.0,2.12,5,0.29,329,19.35,352,20.71,95.0,5.59,0,0.0,0.0,1.0,271.4,15.96,13.9,7.25,15.71,1,1,1,6,8,4.67,0.89,17.34,313.9,18.46,15.7,7.82,18.07,0,2,0,7,8,7.5,0.89,22.38,356.4,20.96,17.7,8.53,20.67,0,2,0,7,8,7.5,0.89,21.42
Derrick Henry,BAL,RB,1.0,16,349,21.81,1538,96.12,4.41,65.0,4.06,56,22.75,10,0.62,13,0.81,33,2.06,41,2.56,398,24.88,12.06,11.0,0.69,0,0.0,382,23.88,390,24.38,76.0,4.75,3,0.19,0.01,1.0,269.8,16.86,17.05,8.19,16.1,1,1,2,3,9,3.0,1.29,18.89,286.3,17.89,18.3,8.32,17.25,1,3,0,3,9,3.0,1.29,22.22,302.8,18.92,19.55,8.51,18.67,1,3,0,3,9,3.0,1.29,20.92
Austin Ekeler,WAS,RB,1.0,17,204,12.0,915,53.82,4.49,46.0,2.71,72,17.94,4,0.24,13,0.76,107,6.29,127,7.47,722,42.47,6.75,36.0,2.12,5,0.29,311,18.29,331,19.47,82.0,4.82,3,0.18,0.01,1.0,265.7,15.63,14.3,8.6,14.74,1,3,2,3,8,1.83,0.89,15.98,319.2,18.78,19.3,8.67,17.91,0,1,4,3,9,2.4,1.12,22.1,372.7,21.92,23.9,9.01,21.32,0,1,1,5,10,7.5,1.43,24.4
Josh Jacobs,GB,RB,1.0,17,340,20.0,1653,97.24,4.86,93.0,5.47,86,22.24,7,0.41,12,0.71,53,3.12,64,3.76,400,23.53,7.55,16.0,0.94,0,0.0,393,23.12,404,23.76,109.0,6.41,1,0.06,0.0,1.0,275.3,16.19,15.5,10.86,14.41,2,2,3,1,9,1.43,1.12,16.71,301.8,17.75,17.5,11.43,15.81,2,2,2,2,9,1.83,1.12,21.49,328.3,19.31,19.0,12.03,17.47,1,4,2,1,9,1.43,1.12,19.33
Saquon Barkley,PHI,RB,1.0,16,295,18.44,1312,82.0,4.45,62.0,3.88,68,22.75,9,0.56,10,0.62,57,3.56,76,4.75,338,21.12,5.93,10.0,0.62,0,0.0,352,22.0,371,23.19,72.0,4.5,0,0.0,0.0,1.0,227.0,14.19,14.8,6.49,14.36,2,1,1,4,8,3.0,1.0,16.98,255.5,15.97,16.8,6.97,16.09,2,1,1,5,7,3.0,0.78,20.56,284.0,17.75,18.35,7.52,18.06,2,1,1,4,8,3.0,1.0,19.88
Nick Chubb,CLE,RB,1.0,17,302,17.76,1525,89.71,5.05,69.0,4.06,41,23.94,13,0.76,12,0.71,27,1.59,37,2.18,239,14.06,8.85,12.0,0.71,1,0.06,329,19.35,339,19.94,81.0,4.76,1,0.06,0.0,1.0,254.4,14.96,14.3,7.05,14.83,0,3,3,3,8,1.83,0.89,16.07,267.9,15.76,14.8,7.1,15.8,0,4,2,3,8,1.83,0.89,19.04,281.4,16.55,15.3,7.23,17.01,0,4,3,3,7,1.43,0.7,16.96
James Conner,ARI,RB,1.0,13,183,14.08,782,60.15,4.27,48.0,3.69,23,13.92,3,0.23,7,0.54,46,3.54,58,4.46,300,23.08,6.52,13.0,1.0,1,0.08,229,17.62,241,18.54,61.0,4.69,1,0.08,0.0,1.0,154.2,11.86,11.4,5.44,12.54,0,4,1,4,4,1.6,0.44,13.34,177.2,13.63,12.5,5.86,14.34,0,3,2,4,4,1.6,0.44,16.85,200.2,15.4,14.0,6.37,16.33,0,3,2,4,4,1.6,0.44,15.9
Ezekiel Elliott,LAC,RB,1.0,15,231,15.4,876,58.4,3.79,52.0,3.47,27,14.33,5,0.33,12,0.8,17,1.13,23,1.53,92,6.13,5.41,4.0,0.27,0,0.0,248,16.53,254,16.93,56.0,3.73,0,0.0,0.0,1.0,168.8,11.25,13.1,4.95,12.19,3,0,3,6,3,1.5,0.25,13.45,177.3,11.82,14.0,5.12,12.86,3,1,2,7,2,1.5,0.15,15.83,185.8,12.39,14.5,5.33,13.73,3,1,2,9,0,1.5,0.0,14.31
Breece Hall,NYJ,RB,1.0,7,80,11.43,463,66.14,5.79,20.0,2.86,62,26.0,3,0.43,4,0.57,19,2.71,31,4.43,218,31.14,11.47,8.0,1.14,1,0.14,99,14.14,111,15.86,28.0,4.0,1,0.14,0.01,0.84,96.1,13.73,13.2,6.82,13.72,1,0,1,3,2,2.5,0.4,12.26,105.6,15.09,13.2,6.24,15.63,0,1,0,4,2,6.0,0.4,15.73,115.1,16.44,15.2,5.84,17.82,0,0,2,3,2,2.5,0.4,14.3
Tony Pollard,TEN,RB,1.0,16,193,12.06,1007,62.94,5.22,46.0,2.88,57,22.75,9,0.56,9,0.56,39,2.44,55,3.44,371,23.19,9.51,18.0,1.12,3,0.19,232,14.5,248,15.5,64.0,4.0,0,0.0,0.0,1.0,209.8,13.11,10.75,9.7,12.0,3,2,3,2,6,1.0,0.6,12.33,229.3,14.33,12.25,10.03,13.18,3,2,2,3,6,1.29,0.6,15.59,248.8,15.55,14.3,10.44,14.58,3,2,2,3,6,1.29,0.6,14.97
Dameon Pierce,HOU,RB,1.0,13,220,16.92,939,72.23,4.27,54.0,4.15,75,23.0,7,0.54,4,0.31,30,2.31,39,3.0,165,12.69,5.5,7.0,0.54,1,0.08,250,19.23,259,19.92,61.0,4.69,2,0.15,0.01,1.0,136.4,10.49,11.1,5.7,10.97,3,0,3,4,3,1.17,0.3,12.31,151.4,11.65,11.8,6.03,12.17,3,1,2,4,3,1.17,0.3,15.42,166.4,12.8,12.5,6.44,13.54,3,1,3,4,2,0.86,0.18,13.54
