Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Ezekiel Elliott,DAL,RB,1.0,15.0,322.0,21.47,1631.0,108.73,5.07,91.0,6.07,60.0,27.0,9.0,0.6,15.0,1.0,32.0,2.13,40.0,2.67,363.0,24.2,11.34,11.0,0.73,1.0,0.07,354.0,23.6,362.0,24.13,102.0,6.8,1.0,0.07,0.0,1.0,293.4,19.56,17.4,7.63,19.0,0.0,0.0,0.0,5.0,10.0,15.0,2.0,22.56,309.4,20.63,18.5,7.69,20.28,0.0,0.0,2.0,4.0,9.0,6.5,1.5,25.55,325.4,21.69,20.5,7.79,21.88,0.0,0.0,2.0,4.0,9.0,6.5,1.5,23.6,1,20.78,353.34,2.0
Le'Veon Bell,FA,RB,0.0,10.86,222.86,20.4,1077.86,99.01,4.85,57.57,5.22,48.71,20.79,3.57,0.43,6.0,0.55,61.57,5.46,76.14,6.65,512.86,43.43,7.78,24.71,2.03,1.57,0.12,284.43,25.85,299.0,27.05,82.29,7.25,0.57,0.05,0.0,0.94,204.5,18.26,16.34,9.13,16.97,0.0,1.0,0.43,3.57,5.86,7.86,1.2,19.01,235.29,20.99,18.9,9.36,19.61,0.0,0.29,1.0,2.43,7.14,9.0,2.14,25.22,266.07,23.72,22.13,9.69,22.61,0.0,0.57,0.57,2.71,7.0,9.14,2.11,23.98,3,22.44,381.55,1.0
David Johnson,FA,RB,0.0,16.0,237.0,14.81,1019.67,63.73,4.37,59.33,3.71,54.33,18.21,2.0,0.12,13.33,0.83,65.33,4.08,99.0,6.19,738.33,46.15,11.56,35.0,2.18,4.0,0.25,302.33,18.89,336.0,21.0,94.33,5.89,2.33,0.15,0.01,1.0,276.47,17.28,17.97,8.77,16.3,2.33,0.33,1.33,3.67,8.33,5.0,1.54,19.36,309.13,19.32,19.88,8.97,18.38,2.33,0.33,1.0,4.0,8.33,10.26,1.54,24.52,341.8,21.36,21.37,9.27,20.75,1.67,1.0,1.67,3.33,8.33,10.15,1.54,23.01,2,18.72,318.18,3.0
DeMarco Murray,FA,RB,0.0,15.71,278.57,17.64,1199.57,75.81,4.22,62.14,3.94,65.57,20.78,3.0,0.19,8.71,0.55,51.0,3.24,63.14,4.01,366.86,23.31,7.2,17.14,1.09,2.0,0.13,329.57,20.88,341.71,21.65,79.29,5.02,1.86,0.12,0.0,1.0,219.73,13.9,12.8,6.18,14.3,2.0,1.43,0.71,5.57,6.0,4.87,0.84,15.98,245.23,15.52,15.2,6.56,15.97,2.0,1.14,1.29,4.71,6.57,4.81,0.95,20.16,270.73,17.14,17.28,7.12,17.81,2.0,0.86,1.57,4.0,7.29,4.81,1.26,19.37,3,13.94,237.02,7.0
LeSean McCoy,FA,RB,0.0,14.29,236.29,16.53,1168.14,81.35,4.96,53.0,3.7,64.14,23.9,5.71,0.39,9.0,0.61,41.71,2.92,52.14,3.69,309.0,21.9,7.47,14.57,1.02,1.14,0.09,278.0,19.45,288.43,20.22,67.57,4.72,1.0,0.08,0.0,1.0,208.29,14.48,14.43,7.3,14.29,1.86,0.29,2.0,3.14,7.0,2.61,1.06,16.34,229.14,15.94,16.68,7.62,15.73,1.86,0.29,2.71,3.43,6.0,2.11,0.79,19.75,250.0,17.4,19.04,8.04,17.42,1.86,0.57,2.57,3.29,6.0,2.08,0.79,18.98,3,15.37,261.36,6.0
Melvin Gordon III,FA,RB,0.0,13.33,230.67,17.41,878.33,66.39,3.78,51.67,3.91,41.0,18.57,4.67,0.35,6.67,0.51,38.33,2.89,50.33,3.8,343.33,26.06,8.75,16.67,1.27,1.33,0.1,269.0,20.29,281.0,21.21,68.33,5.18,2.67,0.2,0.01,1.0,164.83,12.54,12.0,6.3,12.59,3.33,1.0,2.33,2.67,4.0,2.22,0.57,13.96,184.0,13.99,13.63,6.99,13.88,3.33,0.67,2.67,2.67,4.0,2.22,0.57,17.72,203.17,15.43,14.52,7.77,15.36,3.0,1.33,2.0,3.0,4.0,2.25,0.57,16.12,2,11.45,194.7,16.0
Jordan Howard,FA,RB,0.0,15.0,252.0,16.8,1313.0,87.53,5.21,70.0,4.67,69.0,25.53,6.0,0.4,6.0,0.4,29.0,1.93,50.0,3.33,298.0,19.87,10.28,12.0,0.8,1.0,0.07,281.0,18.73,302.0,20.13,82.0,5.47,1.0,0.07,0.0,1.0,201.1,13.41,12.7,7.71,12.99,2.0,0.0,4.0,5.0,4.0,1.5,0.36,14.06,215.6,14.37,13.3,7.92,14.03,2.0,1.0,3.0,5.0,4.0,1.5,0.36,17.45,230.1,15.34,13.5,8.2,15.28,2.0,1.0,4.0,4.0,4.0,1.14,0.36,15.07,1,17.15,291.51,4.0
Devonta Freeman,FA,RB,0.0,15.71,214.71,13.74,953.71,60.87,4.4,55.57,3.55,58.43,19.14,3.29,0.21,9.57,0.61,56.0,3.59,70.14,4.5,461.29,29.52,8.23,19.71,1.26,2.14,0.13,270.71,17.32,284.86,18.23,75.29,4.81,1.29,0.08,0.0,1.0,209.21,13.37,10.79,8.41,12.51,4.43,0.0,2.86,2.71,5.71,1.53,0.64,13.07,237.21,15.16,12.56,8.7,14.28,3.71,0.86,1.86,3.29,6.0,2.11,0.7,17.19,265.21,16.95,15.11,9.1,16.28,2.86,2.29,1.14,3.14,6.29,2.12,0.77,16.67,3,15.38,261.53,5.0
Mark Ingram II,FA,RB,0.0,14.43,196.86,13.75,953.43,66.15,4.84,47.29,3.31,67.29,20.4,1.71,0.13,6.43,0.46,44.71,3.16,55.43,3.89,318.71,22.63,6.99,17.29,1.22,2.29,0.14,241.57,16.91,252.29,17.65,64.57,4.54,1.57,0.1,0.01,1.0,179.21,12.45,10.29,7.4,12.46,2.14,2.29,2.71,2.14,5.14,1.17,0.55,12.57,201.57,14.03,11.8,7.47,14.23,1.57,2.57,2.57,2.57,5.14,1.49,0.55,16.31,223.93,15.6,13.29,7.67,16.2,1.57,2.0,3.0,2.14,5.71,1.62,0.69,15.6,3,13.87,235.82,8.0
Matt Forte,FA,RB,0.0,14.0,224.86,16.06,869.43,62.19,3.87,42.14,3.0,30.57,14.2,2.86,0.21,6.0,0.43,44.29,3.1,59.71,4.19,376.86,26.5,8.67,14.57,1.03,2.0,0.14,269.14,19.16,284.57,20.25,56.71,4.03,1.14,0.08,0.0,1.0,171.49,12.2,10.29,7.78,11.95,3.0,2.14,1.43,2.57,4.86,1.31,0.64,12.73,193.63,13.75,12.06,8.22,13.44,2.71,2.0,1.71,2.14,5.43,1.39,0.71,16.16,215.77,15.31,13.77,8.7,15.14,2.57,2.14,2.43,1.43,5.43,1.21,0.71,15.36,3,11.85,201.53,13.0
