Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Todd Gurley II,FA,RB,0.0,14,256,18.29,1251,89.36,4.89,70.0,5.0,36,19.86,11,0.79,17,1.21,59,4.21,81,5.79,580,41.43,9.83,26.0,1.86,4,0.29,315,22.5,337,24.07,96.0,6.86,1,0.07,0.0,1.0,313.1,22.36,23.2,8.11,21.4,0,1,1,1,11,6.0,3.67,25.28,342.6,24.47,26.1,8.16,23.7,0,1,1,1,11,6.0,3.67,30.79,372.1,26.58,28.1,8.34,26.36,0,1,1,0,12,6.0,6.0,29.8
Melvin Gordon III,FA,RB,0.0,12,175,14.58,885,73.75,5.06,47.0,3.92,34,20.5,9,0.75,10,0.83,50,4.17,66,5.5,490,40.83,9.8,21.0,1.75,4,0.33,225,18.75,241,20.08,68.0,5.67,0,0.0,0.0,1.0,225.5,18.79,18.45,6.8,18.79,0,1,0,3,8,11.0,2.0,22.07,250.5,20.88,19.8,7.08,20.95,0,1,0,2,9,11.0,3.0,26.73,275.5,22.96,21.8,7.54,23.35,0,1,0,3,8,11.0,2.0,25.24
Saquon Barkley,PHI,RB,1.0,16,261,16.31,1307,81.69,5.01,50.0,3.12,78,32.75,16,1.0,11,0.69,91,5.69,121,7.56,721,45.06,7.92,30.0,1.88,4,0.25,352,22.0,382,23.88,80.0,5.0,0,0.0,0.0,1.0,294.8,18.42,17.55,7.65,17.89,0,1,2,4,9,4.33,1.29,20.17,340.3,21.27,20.0,7.47,21.06,0,1,1,4,10,7.0,1.67,25.73,385.8,24.11,23.45,7.63,24.45,0,1,1,2,12,7.0,3.0,26.55
Christian McCaffrey,SF,RB,1.0,16,219,13.69,1098,68.62,5.01,53.0,3.31,59,22.06,6,0.38,7,0.44,107,6.69,124,7.75,867,54.19,8.1,41.0,2.56,6,0.38,326,20.38,343,21.44,94.0,5.88,1,0.06,0.0,1.0,278.5,17.41,17.7,9.08,16.19,1,2,2,2,9,2.2,1.29,18.57,332.0,20.75,20.65,9.62,19.29,1,0,3,2,10,3.0,1.67,24.47,385.5,24.09,23.8,10.42,22.6,1,0,3,1,11,3.0,2.2,24.38
Ezekiel Elliott,DAL,RB,1.0,15,304,20.27,1434,95.6,4.72,74.0,4.93,41,21.13,11,0.73,6,0.4,77,5.13,95,6.33,567,37.8,7.36,22.0,1.47,3,0.2,381,25.4,399,26.6,96.0,6.4,1,0.07,0.0,1.0,252.1,16.81,14.7,7.68,16.3,1,0,2,5,7,4.0,0.88,18.29,290.6,19.37,17.2,8.1,18.8,1,0,1,6,7,6.5,0.88,24.07,329.1,21.94,19.7,8.7,21.53,1,0,0,6,8,14.0,1.14,24.16
Alvin Kamara,NO,RB,1.0,15,194,12.93,883,58.87,4.55,57.0,3.8,49,16.0,1,0.07,14,0.93,81,5.4,105,7.0,709,47.27,8.75,31.0,2.07,4,0.27,275,18.33,299,19.93,88.0,5.87,0,0.0,0.0,1.0,273.2,18.21,16.8,9.49,16.76,1,1,2,4,7,2.75,0.88,18.23,313.7,20.91,19.8,9.99,19.25,1,0,2,4,8,4.0,1.14,23.97,354.2,23.61,23.3,10.78,21.96,1,0,1,5,8,6.5,1.14,24.1
Kareem Hunt,FA,RB,0.0,11,181,16.45,824,74.91,4.55,46.0,4.18,45,21.91,7,0.64,7,0.64,26,2.36,35,3.18,378,34.36,14.54,17.0,1.55,7,0.64,207,18.82,216,19.64,63.0,5.73,0,0.0,0.0,1.0,204.2,18.56,16.4,8.64,17.49,1,0,1,4,5,4.5,0.83,18.85,217.2,19.75,17.1,9.12,18.6,1,0,1,4,5,4.5,0.83,22.44,230.2,20.93,19.6,9.68,19.99,1,0,1,4,5,4.5,0.83,21.13
James Conner,ARI,RB,1.0,13,215,16.54,970,74.62,4.51,56.0,4.31,30,18.77,9,0.69,12,0.92,55,4.23,71,5.46,497,38.23,9.04,20.0,1.54,1,0.08,270,20.77,286,22.0,76.0,5.85,2,0.15,0.01,1.0,224.7,17.28,14.5,9.85,15.76,1,2,2,2,6,1.6,0.86,16.57,252.2,19.4,17.0,10.03,17.85,0,2,3,2,6,1.6,0.86,21.33,279.7,21.52,19.5,10.27,20.25,0,1,3,3,6,2.25,0.86,20.7
Joe Mixon,HOU,RB,1.0,14,237,16.93,1168,83.43,4.93,60.0,4.29,51,26.36,11,0.79,8,0.57,43,3.07,55,3.93,296,21.14,6.88,14.0,1.0,1,0.07,280,20.0,292,20.86,74.0,5.29,0,0.0,0.0,1.0,200.4,14.31,12.8,6.62,14.41,1,1,4,3,5,1.33,0.56,14.83,221.9,15.85,14.55,6.98,15.96,0,2,4,2,6,1.33,0.75,18.96,243.4,17.39,16.3,7.41,17.75,0,4,2,2,6,1.33,0.75,17.74
Chris Carson,FA,RB,0.0,14,247,17.64,1151,82.21,4.66,61.0,4.36,61,20.29,8,0.57,9,0.64,20,1.43,24,1.71,163,11.64,8.15,7.0,0.5,0,0.0,267,19.07,271,19.36,68.0,4.86,2,0.14,0.01,1.0,181.4,12.96,12.5,6.62,13.04,2,2,1,4,5,1.8,0.56,14.28,191.4,13.67,13.25,6.94,13.79,3,1,2,3,5,1.33,0.56,17.04,201.4,14.39,14.05,7.34,14.73,3,1,3,2,5,1.0,0.56,15.08
