Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Christian McCaffrey,SF,RB,1.0,16,272,17.0,1459,91.19,5.36,83.0,5.19,72,26.88,9,0.56,14,0.88,67,4.19,83,5.19,564,35.25,8.42,31.0,1.94,7,0.44,339,21.19,355,22.19,114.0,7.12,2,0.12,0.01,1.0,324.3,20.27,19.2,8.74,19.04,0,0,1,3,12,15.0,3.0,23.51,357.8,22.36,20.9,9.2,21.02,0,0,1,3,12,15.0,3.0,28.55,391.3,24.46,22.55,9.71,23.34,0,0,0,4,12,16.0,3.0,26.66
Kyren Williams,LAR,RB,1.0,12,228,19.0,1144,95.33,5.02,62.0,5.17,56,20.08,7,0.58,12,1.0,32,2.67,48,4.0,206,17.17,6.44,9.0,0.75,3,0.25,260,21.67,276,23.0,71.0,5.92,2,0.17,0.01,1.0,223.0,18.58,18.45,8.06,17.81,0,2,0,1,9,5.0,3.0,21.39,239.0,19.92,20.25,8.51,19.09,0,2,0,2,8,5.0,2.0,25.16,255.0,21.25,21.0,9.07,20.63,0,2,0,3,7,5.0,1.4,22.8
Alvin Kamara,NO,RB,1.0,13,180,13.85,694,53.38,3.86,42.0,3.23,17,12.69,0,0.0,5,0.38,75,5.77,86,6.62,466,35.85,6.21,23.0,1.77,1,0.08,255,19.62,266,20.46,65.0,5.0,0,0.0,0.0,1.0,158.0,12.15,11.0,6.11,12.48,1,1,2,5,4,2.25,0.44,13.67,195.5,15.04,13.9,6.49,15.42,0,2,1,6,4,3.33,0.44,18.92,233.0,17.92,17.4,7.25,18.4,0,2,1,4,6,3.33,0.86,19.38
Derrick Henry,BAL,RB,1.0,17,280,16.47,1167,68.65,4.17,63.0,3.71,69,20.71,5,0.29,12,0.71,28,1.65,36,2.12,214,12.59,7.64,7.0,0.41,0,0.0,308,18.12,316,18.59,70.0,4.12,0,0.0,0.0,1.0,218.7,12.86,15.5,8.04,12.34,5,1,0,2,9,1.83,1.12,15.58,232.7,13.69,17.0,7.97,13.34,5,1,0,2,9,1.83,1.12,18.64,246.7,14.51,18.1,7.95,14.56,5,0,1,3,8,1.83,0.89,17.34
Raheem Mostert,MIA,RB,1.0,15,209,13.93,1012,67.47,4.84,59.0,3.93,49,20.87,7,0.47,18,1.2,25,1.67,32,2.13,175,11.67,7.0,6.0,0.4,3,0.2,234,15.6,241,16.07,65.0,4.33,1,0.07,0.0,1.0,242.7,16.18,13.8,9.71,14.8,1,1,1,6,6,4.0,0.67,16.11,255.2,17.01,14.5,10.21,15.58,1,1,2,5,6,2.75,0.67,18.45,267.7,17.85,14.5,10.77,16.6,2,0,4,4,5,1.5,0.5,15.95
James Conner,ARI,RB,1.0,13,208,16.0,1040,80.0,5.0,57.0,4.38,44,21.92,11,0.85,7,0.54,27,2.08,33,2.54,165,12.69,6.11,11.0,0.85,2,0.15,235,18.08,241,18.54,68.0,5.23,0,0.0,0.0,1.0,174.5,13.42,14.9,8.21,12.81,1,3,2,1,6,1.17,0.86,14.95,188.0,14.46,16.4,8.27,13.96,2,3,1,2,5,1.17,0.62,18.43,201.5,15.5,16.6,8.44,15.32,1,4,1,2,5,1.17,0.62,16.44
Rachaad White,TB,RB,1.0,17,272,16.0,990,58.24,3.64,46.0,2.71,38,14.94,3,0.18,6,0.35,64,3.76,70,4.12,549,32.29,8.58,23.0,1.35,3,0.18,336,19.76,342,20.12,69.0,4.06,2,0.12,0.01,1.0,203.9,11.99,11.0,6.03,12.36,2,2,2,5,6,1.83,0.55,13.49,235.9,13.88,14.4,6.05,14.48,1,3,1,5,7,2.4,0.7,18.12,267.9,15.76,17.8,6.19,16.83,0,4,1,6,6,2.4,0.55,18.26
Saquon Barkley,PHI,RB,1.0,14,247,17.64,962,68.71,3.89,51.0,3.64,36,20.71,7,0.5,6,0.43,41,2.93,60,4.29,280,20.0,6.83,16.0,1.14,4,0.29,288,20.57,307,21.93,67.0,4.79,2,0.14,0.01,1.0,182.2,13.01,12.05,7.27,12.8,1,4,1,2,6,1.33,0.75,14.16,202.7,14.48,13.55,7.63,14.26,1,4,0,3,6,1.8,0.75,18.0,223.2,15.94,15.05,8.02,15.96,2,2,1,3,6,1.8,0.75,16.89
Travis Etienne Jr.,JAC,RB,1.0,17,267,15.71,1008,59.29,3.78,53.0,3.12,62,18.0,6,0.35,11,0.65,58,3.41,73,4.29,476,28.0,8.21,23.0,1.35,1,0.06,325,19.12,340,20.0,76.0,4.47,0,0.0,0.0,1.0,224.4,13.2,13.2,8.38,12.53,3,2,3,3,6,1.12,0.55,14.01,253.4,14.91,15.2,8.44,14.32,3,1,3,4,6,1.43,0.55,17.95,282.4,16.61,17.2,8.53,16.38,3,1,2,5,6,1.83,0.55,17.56
Joe Mixon,HOU,RB,1.0,17,257,15.12,1034,60.82,4.02,59.0,3.47,44,15.29,3,0.18,9,0.53,52,3.06,64,3.76,376,22.12,7.23,14.0,0.82,3,0.18,309,18.18,321,18.88,73.0,4.29,0,0.0,0.0,1.0,215.0,12.65,12.1,5.65,13.25,0,2,5,5,5,1.43,0.42,13.81,241.0,14.18,13.5,5.9,14.89,0,2,3,7,5,2.4,0.42,17.66,267.0,15.71,14.0,6.23,16.75,0,3,3,5,6,1.83,0.55,16.32
