Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jonathan Taylor,IND,RB,1.0,17,332,19.53,1811,106.53,5.45,107.0,6.29,83,33.71,14,0.82,18,1.06,40,2.35,51,3.0,360,21.18,9.0,12.0,0.71,2,0.12,372,21.88,383,22.53,119.0,7.0,2,0.12,0.01,1.0,333.1,19.59,17.4,11.01,17.37,1,1,2,3,10,3.25,1.43,19.53,353.1,20.77,18.9,11.05,18.65,1,1,2,4,9,3.25,1.12,23.95,373.1,21.95,20.4,11.17,20.23,1,1,2,3,10,3.25,1.43,21.87
Derrick Henry,BAL,RB,1.0,8,219,27.38,937,117.12,4.28,49.0,6.12,76,28.88,3,0.38,10,1.25,18,2.25,20,2.5,154,19.25,8.56,7.0,0.88,0,0.0,237,29.62,239,29.88,56.0,7.0,0,0.0,0.0,0.88,175.3,21.91,20.05,12.71,18.74,0,2,0,1,5,3.0,1.67,19.38,184.3,23.04,21.3,13.14,19.81,1,1,0,2,4,3.0,1.0,23.33,193.3,24.16,22.55,13.63,21.19,1,0,1,2,4,3.0,1.0,20.77
Austin Ekeler,WAS,RB,1.0,16,206,12.88,911,56.94,4.42,53.0,3.31,28,14.06,3,0.19,12,0.75,70,4.38,94,5.88,647,40.44,9.24,31.0,1.94,8,0.5,276,17.25,300,18.75,84.0,5.25,3,0.19,0.01,1.0,273.8,17.11,15.15,7.81,16.53,1,0,1,7,7,7.0,0.78,18.38,308.8,19.3,18.35,8.14,18.71,0,1,2,4,9,4.33,1.29,22.93,343.8,21.49,21.05,8.58,21.15,0,1,2,4,9,4.33,1.29,22.36
Alvin Kamara,NO,RB,1.0,13,240,18.46,898,69.08,3.74,42.0,3.23,30,15.69,3,0.23,4,0.31,47,3.62,67,5.15,439,33.77,9.34,20.0,1.54,5,0.38,287,22.08,307,23.62,62.0,4.77,0,0.0,0.0,1.0,187.7,14.44,16.0,6.96,14.36,2,1,0,5,5,3.33,0.62,17.32,211.2,16.25,17.2,7.69,15.97,3,0,1,3,6,2.25,0.86,20.61,234.7,18.05,18.2,8.52,17.81,3,0,1,3,6,2.25,0.86,19.36
Najee Harris,PIT,RB,1.0,17,307,18.06,1200,70.59,3.91,62.0,3.65,37,15.41,6,0.35,7,0.41,74,4.35,94,5.53,467,27.47,6.31,22.0,1.29,3,0.18,381,22.41,401,23.59,84.0,4.94,0,0.0,0.0,1.0,226.7,13.34,13.8,6.69,13.39,4,0,2,6,5,1.83,0.42,15.24,263.7,15.51,15.3,6.99,15.62,3,1,0,6,7,3.25,0.7,20.05,300.7,17.69,17.3,7.55,17.98,3,1,0,6,7,3.25,0.7,19.32
Christian McCaffrey,SF,RB,1.0,7,99,14.14,442,63.14,4.46,20.0,2.86,18,14.14,0,0.0,1,0.14,37,5.29,41,5.86,343,49.0,9.27,21.0,3.0,1,0.14,136,19.43,140,20.0,41.0,5.86,0,0.0,0.0,0.84,90.5,12.93,16.1,6.93,12.87,2,0,1,1,3,1.33,0.75,13.07,109.0,15.57,21.1,8.49,14.93,2,0,1,0,4,1.33,1.33,18.71,127.5,18.21,24.7,10.15,17.2,2,0,1,0,4,1.33,1.33,17.74
Leonard Fournette,FA,RB,0.0,14,180,12.86,812,58.0,4.51,45.0,3.21,47,15.21,5,0.36,8,0.57,69,4.93,84,6.0,454,32.43,6.58,30.0,2.14,2,0.14,249,17.79,264,18.86,75.0,5.36,0,0.0,0.0,1.0,186.6,13.33,11.55,9.25,12.34,2,4,1,3,4,1.0,0.4,12.93,221.1,15.79,14.3,9.54,14.71,2,1,3,3,5,1.33,0.56,18.03,255.6,18.26,16.95,9.92,17.34,2,0,4,3,5,1.33,0.56,17.46
James Conner,ARI,RB,1.0,15,202,13.47,752,50.13,3.72,53.0,3.53,35,14.53,3,0.2,15,1.0,37,2.47,39,2.6,375,25.0,10.14,18.0,1.2,3,0.2,239,15.93,241,16.07,71.0,4.73,0,0.0,0.0,1.0,220.7,14.71,14.2,8.37,13.97,2,2,1,4,6,2.0,0.67,15.2,239.2,15.95,14.2,9.34,14.93,2,2,2,3,6,1.5,0.67,17.68,257.7,17.18,15.4,10.4,16.12,2,2,3,3,5,1.14,0.5,15.9
Joe Mixon,HOU,RB,1.0,16,292,18.25,1205,75.31,4.13,60.0,3.75,32,16.75,6,0.38,13,0.81,42,2.62,48,3.0,314,19.62,7.48,11.0,0.69,3,0.19,334,20.88,340,21.25,71.0,4.44,1,0.06,0.0,1.0,245.9,15.37,12.3,7.78,14.86,0,3,4,2,7,1.29,0.78,15.01,266.9,16.68,12.65,8.4,16.04,1,2,5,1,7,1.0,0.78,17.65,287.9,17.99,14.65,9.12,17.45,1,3,4,1,7,1.0,0.78,16.79
Dalvin Cook,DAL,RB,1.0,13,249,19.15,1159,89.15,4.65,57.0,4.38,66,21.85,9,0.69,6,0.46,34,2.62,49,3.77,224,17.23,6.59,9.0,0.69,0,0.0,283,21.77,298,22.92,66.0,5.08,2,0.15,0.01,1.0,172.3,13.25,12.2,8.52,12.53,2,1,3,3,4,1.17,0.44,13.83,189.3,14.56,13.7,8.46,13.98,2,2,2,3,4,1.17,0.44,17.55,206.3,15.87,15.2,8.48,15.67,3,1,2,2,5,1.17,0.62,16.46
