Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Christian McCaffrey,SF,RB,1.0,16,287,17.94,1387,86.69,4.83,57.0,3.56,84,26.31,6,0.38,15,0.94,116,7.25,142,8.88,1005,62.81,8.66,58.0,3.62,4,0.25,403,25.19,429,26.81,115.0,7.19,0,0.0,0.0,1.0,355.2,22.2,21.8,9.41,20.47,0,1,1,1,13,7.0,4.33,25.01,413.2,25.82,25.15,9.51,24.07,1,0,0,1,14,15.0,7.0,32.96,471.2,29.45,28.95,9.95,27.94,1,0,0,1,14,15.0,7.0,32.44
Dalvin Cook,DAL,RB,1.0,14,250,17.86,1135,81.07,4.54,60.0,4.29,75,20.43,7,0.5,13,0.93,53,3.79,63,4.5,519,37.07,9.79,26.0,1.86,0,0.0,303,21.64,313,22.36,86.0,6.14,2,0.14,0.01,1.0,239.4,17.1,16.65,7.04,16.96,1,0,1,5,7,6.0,1.0,19.49,265.9,18.99,19.15,7.13,19.03,1,0,1,5,7,6.0,1.0,24.39,292.4,20.89,21.65,7.33,21.39,1,0,2,3,8,3.67,1.33,22.9
Ezekiel Elliott,LAC,RB,1.0,16,301,18.81,1357,84.81,4.51,78.0,4.88,33,16.75,4,0.25,12,0.75,54,3.38,71,4.44,420,26.25,7.78,21.0,1.31,2,0.12,355,22.19,372,23.25,99.0,6.19,2,0.12,0.01,1.0,257.7,16.11,14.5,5.89,16.7,0,1,2,6,7,4.33,0.78,18.05,284.7,17.79,16.65,5.89,18.7,0,1,1,6,8,7.0,1.0,23.56,311.7,19.48,18.2,6.09,20.89,0,1,1,6,8,7.0,1.0,21.96
Derrick Henry,BAL,RB,1.0,15,303,20.2,1540,102.67,5.08,73.0,4.87,74,28.47,9,0.6,16,1.07,18,1.2,24,1.6,206,13.73,11.44,4.0,0.27,2,0.13,321,21.4,327,21.8,77.0,5.13,3,0.2,0.01,1.0,276.6,18.44,16.8,10.08,16.71,1,1,3,2,8,2.0,1.14,18.27,285.6,19.04,17.3,10.14,17.47,1,2,2,2,8,2.0,1.14,21.34,294.6,19.64,17.8,10.22,18.51,2,1,2,3,7,2.0,0.88,19.19
Saquon Barkley,PHI,RB,1.0,13,217,16.69,1003,77.15,4.62,45.0,3.46,68,25.54,8,0.62,6,0.46,52,4.0,73,5.62,438,33.69,8.42,14.0,1.08,2,0.15,269,20.69,290,22.31,59.0,4.54,0,0.0,0.0,1.0,192.1,14.78,13.9,10.27,13.33,2,2,1,3,5,1.6,0.62,15.2,218.1,16.78,15.5,10.39,15.3,2,2,0,4,5,2.25,0.62,19.22,244.1,18.78,17.0,10.57,17.55,0,4,0,4,5,2.25,0.62,18.45
Aaron Jones Sr.,MIN,RB,1.0,16,236,14.75,1084,67.75,4.59,55.0,3.44,56,17.31,5,0.31,16,1.0,49,3.06,68,4.25,474,29.62,9.67,18.0,1.12,3,0.19,285,17.81,304,19.0,73.0,4.56,2,0.12,0.01,1.0,265.8,16.61,14.3,12.02,14.41,5,0,0,4,7,2.2,0.78,15.89,290.3,18.14,15.8,12.67,15.74,5,0,0,5,6,2.2,0.6,19.15,314.8,19.68,17.45,13.41,17.32,4,1,0,5,6,2.2,0.6,18.17
Chris Carson,FA,RB,0.0,15,278,18.53,1230,82.0,4.42,75.0,5.0,59,19.6,8,0.53,7,0.47,37,2.47,47,3.13,266,17.73,7.19,10.0,0.67,2,0.13,315,21.0,325,21.67,85.0,5.67,4,0.27,0.01,1.0,195.6,13.04,14.5,6.63,13.12,1,4,1,3,6,1.5,0.67,15.27,214.1,14.27,15.0,6.71,14.52,1,3,2,3,6,1.5,0.67,18.87,232.6,15.51,15.0,6.88,16.13,2,2,3,3,5,1.14,0.5,16.3
Leonard Fournette,FA,RB,0.0,15,265,17.67,1152,76.8,4.35,55.0,3.67,81,28.4,7,0.47,3,0.2,76,5.07,100,6.67,522,34.8,6.87,23.0,1.53,0,0.0,341,22.73,365,24.33,78.0,5.2,1,0.07,0.0,1.0,183.4,12.23,9.2,6.78,12.24,0,5,4,3,3,0.67,0.25,12.07,221.4,14.76,12.2,6.92,14.9,0,1,5,6,3,1.5,0.25,17.52,259.4,17.29,15.2,7.24,17.77,0,1,5,5,4,1.5,0.36,17.39
Austin Ekeler,WAS,RB,1.0,16,132,8.25,557,34.81,4.22,32.0,2.0,35,12.31,4,0.25,3,0.19,92,5.75,108,6.75,993,62.06,10.79,42.0,2.62,8,0.5,224,14.0,240,15.0,74.0,4.62,2,0.12,0.01,1.0,217.0,13.56,10.05,8.45,12.85,1,2,5,3,5,1.0,0.45,12.2,263.0,16.44,14.05,8.51,15.76,1,0,6,4,5,1.29,0.45,17.47,309.0,19.31,17.3,8.85,18.86,1,1,4,3,7,1.67,0.78,18.21
Todd Gurley II,FA,RB,0.0,15,223,14.87,857,57.13,3.84,51.0,3.4,25,14.87,5,0.33,12,0.8,31,2.07,49,3.27,207,13.8,6.68,8.0,0.53,2,0.13,254,16.93,272,18.13,59.0,3.93,2,0.13,0.01,1.0,188.4,12.56,12.7,5.35,13.34,2,1,3,2,7,1.5,0.88,14.46,203.9,13.59,14.2,5.86,14.3,2,1,4,2,6,1.14,0.67,17.02,219.4,14.63,15.7,6.47,15.45,3,0,4,4,4,1.14,0.36,15.82
Mark Ingram II,FA,RB,0.0,15,202,13.47,1018,67.87,5.04,53.0,3.53,53,20.73,6,0.4,10,0.67,26,1.73,29,1.93,247,16.47,9.5,16.0,1.07,5,0.33,228,15.2,231,15.4,69.0,4.6,2,0.13,0.01,1.0,216.5,14.43,12.4,7.96,13.88,0,3,3,4,5,1.5,0.5,13.96,229.5,15.3,13.4,8.1,14.85,1,3,3,3,5,1.14,0.5,16.82,242.5,16.17,14.4,8.27,16.07,1,4,2,3,5,1.14,0.5,15.41
Alvin Kamara,NO,RB,1.0,14,171,12.21,797,56.93,4.66,32.0,2.29,40,18.21,5,0.36,5,0.36,81,5.79,97,6.93,533,38.07,6.58,28.0,2.0,1,0.07,252,18.0,268,19.14,60.0,4.29,1,0.07,0.0,1.0,167.5,11.96,9.55,7.09,11.84,1,3,4,2,4,0.75,0.4,11.76,208.0,14.86,12.65,7.64,14.63,1,1,5,2,5,1.0,0.56,16.61,248.5,17.75,16.15,8.38,17.58,2,0,2,4,6,2.5,0.75,18.02
Nick Chubb,CLE,RB,1.0,16,298,18.62,1494,93.38,5.01,62.0,3.88,88,28.38,11,0.69,8,0.5,36,2.25,49,3.06,278,17.38,7.72,13.0,0.81,0,0.0,334,20.88,347,21.69,75.0,4.69,3,0.19,0.01,1.0,219.2,13.7,10.8,8.4,13.0,2,0,6,3,5,1.0,0.45,13.23,237.2,14.82,11.65,8.86,14.07,2,1,5,3,5,1.0,0.45,16.34,255.2,15.95,12.9,9.37,15.36,2,2,5,2,5,0.78,0.45,14.84
Josh Jacobs,GB,RB,1.0,13,242,18.62,1150,88.46,4.75,53.0,4.08,51,23.0,8,0.62,7,0.54,20,1.54,27,2.08,166,12.77,8.3,8.0,0.62,0,0.0,262,20.15,269,20.69,61.0,4.69,1,0.08,0.0,1.0,171.6,13.2,10.8,7.26,12.99,2,0,5,2,4,0.86,0.44,13.01,181.6,13.97,11.9,7.4,13.86,2,0,6,1,4,0.62,0.44,15.95,191.6,14.74,12.9,7.6,14.96,2,2,4,1,4,0.62,0.44,14.44
Joe Mixon,HOU,RB,1.0,16,278,17.38,1137,71.06,4.09,56.0,3.5,41,15.94,6,0.38,5,0.31,35,2.19,45,2.81,287,17.94,8.2,14.0,0.88,3,0.19,313,19.56,323,20.19,70.0,4.38,0,0.0,0.0,1.0,190.4,11.9,11.95,7.69,11.54,3,3,1,5,4,1.29,0.33,13.02,207.9,12.99,13.2,7.69,12.77,3,4,1,6,2,1.0,0.14,15.79,225.4,14.09,14.45,7.74,14.23,3,3,2,6,2,1.0,0.14,14.68
Marlon Mack,FA,RB,0.0,14,247,17.64,1091,77.93,4.42,67.0,4.79,63,21.71,9,0.64,8,0.57,14,1.0,17,1.21,82,5.86,5.86,2.0,0.14,0,0.0,261,18.64,264,18.86,69.0,4.93,0,0.0,0.0,1.0,167.3,11.95,12.3,6.65,12.02,2,2,3,3,4,1.0,0.4,13.1,174.3,12.45,12.65,6.62,12.7,2,3,2,5,2,1.0,0.17,15.71,181.3,12.95,12.9,6.65,13.59,2,5,0,5,2,1.0,0.17,13.7
Le'Veon Bell,FA,RB,0.0,15,245,16.33,789,52.6,3.22,36.0,2.4,19,10.8,0,0.0,3,0.2,66,4.4,78,5.2,461,30.73,6.98,20.0,1.33,1,0.07,311,20.73,323,21.53,56.0,3.73,1,0.07,0.0,1.0,149.0,9.93,9.3,3.54,11.7,1,2,6,5,1,0.67,0.07,11.39,182.0,12.13,11.8,4.0,14.05,1,3,4,6,1,0.88,0.07,15.37,215.0,14.33,13.3,4.76,16.35,1,1,6,4,3,0.88,0.25,15.24
Melvin Gordon III,FA,RB,0.0,12,162,13.5,612,51.0,3.78,39.0,3.25,24,14.42,2,0.17,8,0.67,42,3.5,55,4.58,296,24.67,7.05,11.0,0.92,1,0.08,204,17.0,217,18.08,50.0,4.17,3,0.25,0.01,1.0,138.8,11.57,10.2,6.68,11.62,3,1,2,2,4,1.0,0.5,12.12,159.8,13.32,11.25,6.77,13.51,3,1,3,1,4,0.71,0.5,15.16,180.8,15.07,12.5,6.97,15.62,0,4,3,0,5,0.71,0.71,14.61
James Conner,ARI,RB,1.0,10,116,11.6,464,46.4,4.0,26.0,2.6,25,13.8,2,0.2,4,0.4,34,3.4,38,3.8,251,25.1,7.38,14.0,1.4,3,0.3,150,15.0,154,15.4,40.0,4.0,1,0.1,0.01,0.96,111.5,11.15,10.8,7.79,10.78,3,1,1,2,3,1.0,0.43,11.28,128.5,12.85,11.75,8.69,12.25,3,1,1,2,3,1.0,0.43,14.21,145.5,14.55,12.5,9.69,13.9,2,1,2,2,3,1.0,0.43,13.14
Devin Singletary,NYG,RB,1.0,12,151,12.58,775,64.58,5.13,37.0,3.08,38,18.25,7,0.58,2,0.17,29,2.42,41,3.42,194,16.17,6.69,5.0,0.42,2,0.17,180,15.0,192,16.0,42.0,3.5,1,0.08,0.01,1.0,118.9,9.91,10.35,4.93,10.74,3,1,2,4,2,1.0,0.2,11.3,133.4,11.12,11.8,5.35,11.97,2,3,2,3,2,0.71,0.2,13.9,147.9,12.32,12.05,5.9,13.33,2,3,2,3,2,0.71,0.2,12.79
Devonta Freeman,FA,RB,0.0,14,184,13.14,656,46.86,3.57,31.0,2.21,28,12.71,3,0.21,2,0.14,59,4.21,70,5.0,410,29.29,6.95,17.0,1.21,4,0.29,243,17.36,254,18.14,48.0,3.43,2,0.14,0.01,1.0,138.6,9.9,7.75,7.15,9.78,3,4,3,2,2,0.4,0.17,9.53,168.1,12.01,9.7,7.78,11.77,3,4,1,3,3,0.75,0.27,13.27,197.6,14.11,11.45,8.53,13.92,2,4,2,3,3,0.75,0.27,13.12
Kenyan Drake,FA,RB,0.0,14,170,12.14,817,58.36,4.81,48.0,3.43,80,18.93,4,0.29,8,0.57,50,3.57,68,4.86,345,24.64,6.9,15.0,1.07,0,0.0,220,15.71,238,17.0,63.0,4.5,1,0.07,0.0,1.0,164.2,11.73,6.85,11.17,10.36,4,5,1,1,3,0.4,0.27,9.42,189.2,13.51,8.5,10.9,12.18,2,6,2,1,3,0.4,0.27,13.05,214.2,15.3,10.2,10.67,14.26,2,5,2,2,3,0.56,0.27,12.47
