Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Le'Veon Bell,FA,RB,0.0,12.86,274.14,21.13,1179.43,92.61,4.39,65.86,5.1,34.0,17.42,3.14,0.31,7.57,0.58,73.43,5.6,91.14,6.9,569.71,42.86,7.56,27.14,2.02,1.71,0.12,347.57,26.73,365.29,28.03,93.0,7.12,1.43,0.1,0.0,0.97,228.34,17.62,16.2,8.45,16.69,0.57,0.43,1.86,2.43,7.57,5.0,1.4,19.02,265.06,20.42,19.09,8.62,19.49,0.57,0.14,1.0,3.0,8.14,7.14,1.86,25.59,301.77,23.22,22.29,8.98,22.58,0.0,0.86,0.29,2.43,9.29,11.43,2.57,25.41,3,20.07,341.12,2.0
Ezekiel Elliott,DAL,RB,1.0,11.67,268.67,23.29,1199.0,101.78,4.4,67.0,5.69,40.0,20.33,5.67,0.47,9.67,0.8,28.0,2.44,38.67,3.42,300.33,26.0,10.68,7.67,0.64,1.67,0.16,296.67,25.73,307.33,26.71,74.67,6.33,1.0,0.09,0.0,0.97,215.93,18.33,15.6,9.4,16.99,0.67,0.0,0.0,4.33,6.67,11.0,1.33,19.99,229.93,19.56,16.87,9.21,18.44,0.67,0.0,0.67,4.0,6.33,8.17,1.17,23.77,243.93,20.78,18.67,9.08,20.22,0.67,0.0,0.67,4.0,6.33,8.17,1.17,22.01,2,17.78,302.22,4.0
Todd Gurley II,FA,RB,0.0,15.0,271.57,18.11,1156.57,77.67,4.27,57.86,3.87,49.57,21.07,2.86,0.19,10.57,0.72,51.86,3.44,70.0,4.63,570.57,37.92,10.48,23.71,1.57,3.43,0.23,323.43,21.55,341.57,22.75,81.57,5.44,1.57,0.1,0.01,1.0,253.57,17.0,16.81,8.72,15.83,1.86,0.86,1.43,3.86,7.0,8.6,1.33,19.12,279.5,18.71,18.73,9.11,17.5,1.86,0.57,1.57,3.71,7.29,8.49,1.68,23.37,305.43,20.43,19.96,9.59,19.44,1.86,0.57,1.86,3.57,7.14,4.26,1.65,21.37,3,16.74,284.57,5.0
Leonard Fournette,FA,RB,0.0,13.0,268.0,20.62,1040.0,80.0,3.88,46.0,3.54,90.0,24.23,2.0,0.15,9.0,0.69,36.0,2.77,48.0,3.69,302.0,23.23,8.39,15.0,1.15,1.0,0.08,304.0,23.38,316.0,24.31,61.0,4.69,0.0,0.0,0.0,1.0,194.2,14.94,13.9,6.84,14.92,2.0,0.0,0.0,6.0,5.0,5.5,0.62,17.36,212.2,16.32,15.5,6.78,16.56,2.0,0.0,0.0,6.0,5.0,5.5,0.62,21.0,230.2,17.71,17.0,6.76,18.51,2.0,0.0,0.0,6.0,5.0,5.5,0.62,20.03,1,13.38,227.49,10.0
Alvin Kamara,NO,RB,1.0,16.0,120.0,7.5,728.0,45.5,6.07,40.0,2.5,74.0,18.56,4.0,0.25,8.0,0.5,81.0,5.06,100.0,6.25,826.0,51.62,10.2,38.0,2.38,5.0,0.31,201.0,12.56,220.0,13.75,78.0,4.88,1.0,0.06,0.0,1.0,233.4,14.59,14.25,8.12,13.95,2.0,1.0,3.0,2.0,8.0,1.67,1.0,15.07,273.9,17.12,16.5,8.6,16.36,2.0,1.0,2.0,3.0,8.0,2.2,1.0,19.64,314.4,19.65,18.75,9.15,19.04,1.0,2.0,1.0,4.0,8.0,3.0,1.0,19.49,1,19.85,337.41,3.0
Melvin Gordon III,FA,RB,0.0,14.86,261.14,17.6,1007.86,67.92,3.84,55.29,3.75,67.29,19.6,4.29,0.29,7.43,0.51,49.57,3.31,69.0,4.59,419.14,28.17,8.44,19.71,1.33,2.86,0.19,310.71,20.91,330.14,22.2,75.0,5.08,1.14,0.08,0.01,1.0,202.13,13.59,13.09,7.03,13.4,3.14,0.43,1.57,5.14,4.57,2.67,0.5,15.12,226.91,15.25,14.47,7.74,14.88,2.57,0.86,1.71,4.0,5.71,2.67,0.69,18.97,251.7,16.91,15.85,8.58,16.54,2.43,1.14,1.43,3.57,6.29,2.68,0.82,17.77,3,11.92,202.58,12.0
LeSean McCoy,FA,RB,0.0,15.14,259.86,17.13,1140.14,75.43,4.44,53.71,3.55,55.71,21.7,7.0,0.46,7.57,0.5,52.57,3.44,67.43,4.43,399.43,26.26,7.67,19.71,1.29,1.71,0.11,312.43,20.56,327.29,21.55,73.43,4.84,0.86,0.06,0.0,1.0,208.81,13.78,12.43,7.68,13.42,2.43,1.14,2.57,1.86,7.14,1.79,0.95,14.83,235.1,15.5,14.43,7.85,15.18,1.86,1.14,2.86,2.57,6.71,1.72,0.82,18.67,261.39,17.23,16.85,8.16,17.19,1.86,0.71,2.71,3.14,6.71,1.94,0.82,18.15,3,13.9,236.38,8.0
Kareem Hunt,FA,RB,0.0,16.0,272.0,17.0,1327.0,82.94,4.88,60.0,3.75,69.0,26.69,7.0,0.44,8.0,0.5,53.0,3.31,63.0,3.94,455.0,28.44,8.58,18.0,1.12,3.0,0.19,325.0,20.31,335.0,20.94,78.0,4.88,1.0,0.06,0.0,1.0,242.2,15.14,11.65,10.47,13.59,1.0,3.0,2.0,4.0,6.0,1.67,0.6,14.28,268.7,16.79,13.6,10.89,15.13,1.0,3.0,2.0,4.0,6.0,1.67,0.6,18.12,295.2,18.45,15.85,11.35,16.94,1.0,3.0,2.0,4.0,6.0,1.67,0.6,17.3,1,20.23,343.96,1.0
Devonta Freeman,FA,RB,0.0,14.71,214.71,14.58,953.43,64.63,4.45,55.14,3.74,52.14,18.44,3.29,0.22,8.71,0.59,46.43,3.13,59.29,4.0,395.71,26.69,8.61,19.57,1.33,1.57,0.1,261.14,17.7,274.0,18.58,74.71,5.07,1.14,0.08,0.0,1.0,194.34,13.13,10.59,8.12,12.54,2.43,1.14,3.57,1.86,5.71,1.19,0.64,12.89,217.56,14.69,12.16,8.57,14.03,2.14,1.43,3.14,2.71,5.29,1.48,0.58,16.71,240.77,16.26,14.1,9.13,15.73,2.29,1.57,2.86,2.57,5.43,1.48,0.61,15.66,3,14.64,248.9,7.0
Mark Ingram II,FA,RB,0.0,15.43,213.71,13.85,1050.14,67.92,4.91,48.86,3.18,72.57,24.03,3.43,0.22,9.43,0.61,53.43,3.49,65.71,4.29,386.71,25.38,7.23,19.14,1.26,1.14,0.07,267.14,17.34,279.43,18.14,68.0,4.45,2.43,0.15,0.01,1.0,203.69,13.19,10.31,8.11,12.75,1.43,2.86,3.57,1.86,5.71,0.99,0.59,12.69,230.4,14.93,12.19,8.17,14.62,1.14,3.0,3.57,2.0,5.71,1.08,0.59,16.46,257.11,16.68,13.84,8.33,16.73,1.14,2.14,3.71,2.43,6.0,1.39,0.66,15.97,3,16.32,277.48,6.0
Jordan Howard,FA,RB,0.0,15.67,268.0,17.1,1185.67,75.92,4.45,64.0,4.1,58.33,22.14,3.33,0.21,8.0,0.51,25.0,1.6,38.0,2.44,182.67,11.83,7.05,6.67,0.43,0.33,0.02,293.0,18.7,306.0,19.54,70.67,4.53,1.0,0.06,0.0,1.0,184.83,11.83,10.8,8.22,11.3,3.33,2.0,2.0,3.67,4.67,1.17,0.42,12.41,197.33,12.63,11.63,8.45,12.14,4.0,2.33,1.0,3.67,4.67,1.17,0.42,15.35,209.83,13.43,12.7,8.76,13.18,4.67,1.0,2.0,4.0,4.0,1.05,0.34,13.76,2,13.89,236.06,9.0
Carlos Hyde,FA,RB,0.0,13.86,215.57,15.69,885.43,64.8,4.12,42.43,3.14,51.43,17.87,3.29,0.23,6.71,0.48,43.0,2.93,61.86,4.17,254.14,17.17,5.8,12.29,0.84,0.86,0.07,258.57,18.61,277.43,19.86,54.71,3.98,1.43,0.1,0.0,0.98,157.1,11.3,9.7,7.03,11.28,2.57,2.14,2.86,3.14,3.14,0.84,0.31,11.42,178.6,12.77,11.26,7.17,12.87,2.57,1.57,2.86,3.0,3.86,0.96,0.39,14.83,200.1,14.23,13.03,7.46,14.62,2.71,1.29,1.86,4.14,3.86,1.35,0.39,14.48,3,10.73,182.49,13.0
DeMarco Murray,FA,RB,0.0,15.29,216.43,14.08,844.57,54.77,3.82,41.57,2.69,72.0,17.47,1.86,0.12,6.86,0.45,43.71,2.85,53.86,3.51,305.71,19.93,6.97,13.14,0.85,1.57,0.1,260.14,16.93,270.29,17.59,54.71,3.55,1.14,0.08,0.0,1.0,164.57,10.68,8.7,6.31,10.89,4.43,1.86,2.0,3.14,3.86,1.57,0.35,11.09,186.43,12.11,10.29,6.58,12.39,3.29,2.86,2.29,2.71,4.14,1.54,0.4,14.12,208.29,13.53,12.66,6.95,14.07,3.86,2.71,1.29,3.0,4.43,1.62,0.46,14.09,3,9.77,166.09,18.0
Frank Gore,FA,RB,0.0,16.0,261.43,16.34,980.14,61.26,3.75,48.57,3.03,23.57,13.8,1.43,0.09,3.71,0.23,32.29,2.02,43.43,2.72,257.29,16.08,8.03,10.57,0.66,1.86,0.11,293.71,18.35,304.86,19.06,59.14,3.69,0.71,0.04,0.0,1.0,155.74,9.73,9.19,3.95,11.2,1.29,3.71,4.0,5.43,1.57,0.88,0.12,11.09,171.89,10.74,10.79,4.15,12.36,2.43,3.14,3.71,5.57,1.14,0.78,0.09,13.93,188.03,11.75,12.06,4.44,13.66,3.29,2.43,4.14,4.86,1.29,0.69,0.1,13.05,3,5.96,101.3,50.0
Lamar Miller,FA,RB,0.0,15.43,240.29,15.7,938.57,61.4,3.92,45.14,2.95,37.0,15.72,2.71,0.18,4.29,0.28,36.14,2.34,45.0,2.91,297.29,19.06,8.13,14.29,0.91,2.29,0.15,276.43,18.04,285.29,18.62,59.43,3.87,0.43,0.03,0.0,1.0,162.16,10.54,9.31,6.64,10.64,2.29,3.29,4.43,2.71,2.71,0.65,0.22,10.81,180.23,11.71,10.62,6.95,11.83,2.14,3.86,3.86,2.29,3.29,0.68,0.27,13.83,198.3,12.88,11.95,7.31,13.22,3.29,2.43,4.14,2.86,2.71,0.68,0.22,12.91,3,9.37,159.35,21.0
Christian McCaffrey,SF,RB,1.0,16.0,117.0,7.31,435.0,27.19,3.72,21.0,1.31,40.0,10.31,0.0,0.0,2.0,0.12,80.0,5.0,113.0,7.06,651.0,40.69,8.14,36.0,2.25,5.0,0.31,197.0,12.31,230.0,14.38,57.0,3.56,1.0,0.06,0.01,1.0,148.6,9.29,8.1,4.86,10.1,4.0,4.0,2.0,3.0,3.0,0.6,0.23,9.7,188.6,11.79,9.85,5.23,12.76,0.0,7.0,2.0,3.0,4.0,0.78,0.33,13.51,228.6,14.29,11.65,5.79,15.52,0.0,4.0,5.0,2.0,5.0,0.78,0.45,13.68,1,9.78,166.29,17.0
Marshawn Lynch,FA,RB,0.0,13.4,187.8,14.21,796.2,59.43,4.19,41.0,3.17,45.6,16.44,3.4,0.24,6.2,0.46,18.6,1.44,29.0,2.26,136.8,10.34,7.27,5.8,0.46,0.0,0.0,206.4,15.65,216.8,16.47,46.8,3.64,0.8,0.06,0.0,0.97,129.3,9.68,9.56,5.47,10.23,2.6,1.8,2.6,3.8,2.6,0.97,0.23,10.44,138.6,10.4,10.86,5.73,11.02,3.4,1.8,2.8,2.8,2.6,0.69,0.23,12.87,147.9,11.12,11.92,6.04,11.97,3.4,1.8,3.8,2.0,2.4,0.48,0.2,11.62,3,8.26,140.49,31.0
Dalvin Cook,FA,RB,0.0,4.0,74.0,18.5,354.0,88.5,4.78,15.0,3.75,33.0,23.5,2.0,0.5,2.0,0.5,11.0,2.75,16.0,4.0,90.0,22.5,8.18,3.0,0.75,0.0,0.0,85.0,21.25,90.0,22.5,18.0,4.5,1.0,0.25,0.01,0.65,54.4,13.6,12.55,6.91,13.55,0.0,1.0,0.0,2.0,1.0,3.0,0.33,9.78,59.9,14.98,13.55,7.65,14.74,0.0,1.0,0.0,2.0,1.0,3.0,0.33,12.6,65.4,16.35,14.55,8.41,16.18,0.0,1.0,1.0,1.0,1.0,1.0,0.33,10.33,1,4.73,80.38,60.0
Latavius Murray,FA,RB,0.0,15.43,217.14,14.07,858.57,55.67,3.96,45.86,2.99,46.0,16.71,3.43,0.22,8.86,0.59,23.86,1.58,29.57,1.96,167.43,11.14,7.02,6.14,0.41,0.0,0.0,241.0,15.65,246.71,16.03,52.0,3.41,0.43,0.03,0.0,1.0,154.89,10.13,7.93,7.44,9.93,5.29,1.86,2.0,1.57,4.71,0.71,0.45,10.05,166.81,10.92,8.79,7.46,10.85,5.57,1.57,2.0,2.43,3.86,0.71,0.34,12.35,178.74,11.7,9.88,7.54,11.93,5.57,1.86,2.0,3.29,2.71,0.72,0.23,11.38,3,8.88,150.93,24.0
David Johnson,FA,RB,0.0,7.43,107.86,12.63,450.14,40.46,3.07,26.57,2.73,26.71,11.23,0.86,0.05,5.71,0.36,31.43,5.18,47.57,7.79,354.71,58.06,11.34,16.71,2.65,1.71,0.11,139.29,17.81,155.43,20.43,43.29,5.38,1.57,0.63,0.04,0.59,122.49,11.41,11.7,3.76,6.99,1.0,0.71,0.57,1.57,3.57,2.14,0.66,8.3,138.2,14.0,14.24,3.84,7.88,1.0,0.14,1.0,1.71,3.57,4.4,0.66,11.94,153.91,16.58,16.59,3.97,8.89,0.71,0.43,1.29,1.43,3.57,4.35,0.66,9.86,3,12.23,207.89,11.0
Tevin Coleman,FA,RB,0.0,14.0,135.29,9.57,563.43,40.02,4.21,24.29,1.72,52.0,16.21,3.29,0.23,5.29,0.38,24.57,1.73,35.29,2.5,293.14,20.81,11.21,12.14,0.86,2.57,0.18,159.86,11.31,170.57,12.07,36.43,2.58,0.43,0.04,0.0,1.0,131.94,9.36,9.18,5.64,9.72,4.43,1.14,2.71,3.43,2.29,0.84,0.21,9.85,144.23,10.23,10.24,5.74,10.72,3.86,1.86,3.14,3.43,1.71,0.74,0.17,11.82,156.51,11.1,11.13,5.91,11.87,3.86,2.71,2.86,2.86,1.71,0.66,0.17,11.27,3,6.09,103.48,48.0
Duke Johnson Jr.,FA,RB,0.0,16.0,82.57,5.16,355.29,22.21,4.34,22.43,1.4,22.71,10.51,0.71,0.04,2.57,0.16,66.14,4.13,84.86,5.3,619.14,38.69,9.37,27.86,1.74,2.0,0.13,148.71,9.3,167.43,10.47,50.29,3.14,1.43,0.09,0.01,1.0,122.01,7.63,7.57,4.07,8.64,6.0,2.29,3.57,3.43,0.71,0.39,0.05,8.05,155.09,9.69,9.84,4.7,10.75,5.29,1.57,3.14,4.14,1.86,0.8,0.14,11.8,188.16,11.76,11.99,5.43,12.95,4.43,2.43,2.0,5.29,1.86,1.07,0.14,12.16,3,9.01,153.16,22.0
C.J. Anderson,FA,RB,0.0,13.29,193.14,14.68,803.14,60.66,4.16,37.86,2.89,37.71,15.77,3.57,0.25,3.57,0.32,24.14,1.89,34.86,2.75,190.71,14.97,7.9,6.57,0.55,0.86,0.07,217.29,16.58,228.0,17.44,44.43,3.45,0.86,0.05,0.0,0.95,125.39,9.89,8.49,7.27,9.72,3.57,3.43,1.71,2.0,2.57,0.69,0.27,9.48,137.46,10.84,9.26,7.74,10.63,4.71,1.86,2.43,2.57,1.71,0.52,0.15,11.62,149.53,11.78,10.0,8.27,11.71,5.29,2.43,1.43,2.57,1.57,0.51,0.14,10.57,3,8.31,141.33,30.0
Matt Forte,FA,RB,0.0,12.71,152.29,11.75,578.29,44.6,3.77,23.43,1.79,24.43,12.18,2.0,0.15,3.71,0.28,36.0,2.85,46.29,3.66,298.14,23.6,8.29,12.71,1.01,1.29,0.1,188.29,14.61,198.57,15.4,36.14,2.8,1.0,0.08,0.01,1.0,115.93,8.98,6.49,6.83,8.99,4.86,1.57,2.14,1.29,2.86,0.65,0.31,8.73,133.93,10.41,8.41,7.33,10.39,4.71,1.57,1.71,1.57,3.14,0.72,0.35,11.59,151.93,11.84,10.34,7.94,11.92,4.71,1.0,2.14,2.29,2.57,0.67,0.29,11.49,3,9.74,165.62,19.0
