Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Dalvin Cook,DAL,RB,1.0,14,312,22.29,1557,111.21,4.99,91.0,6.5,70,21.71,6,0.43,16,1.14,44,3.14,54,3.86,361,25.79,8.2,17.0,1.21,1,0.07,356,25.43,366,26.14,108.0,7.71,3,0.21,0.01,1.0,293.8,20.99,18.95,10.43,18.86,0,1,0,4,9,13.0,1.8,23.03,315.8,22.56,21.1,10.16,20.68,0,1,0,4,9,13.0,1.8,28.48,337.8,24.13,22.85,9.96,22.89,0,0,1,3,10,13.0,2.5,26.52
Alvin Kamara,NO,RB,1.0,15,187,12.47,932,62.13,4.98,58.0,3.87,49,20.4,7,0.47,16,1.07,83,5.53,107,7.13,756,50.4,9.11,35.0,2.33,5,0.33,270,18.0,294,19.6,93.0,6.2,0,0.0,0.0,1.0,294.8,19.65,15.7,11.81,17.12,1,0,2,5,7,4.0,0.88,18.32,336.3,22.42,18.9,12.39,19.56,1,0,1,4,9,6.5,1.5,24.67,377.8,25.19,22.4,13.19,22.27,1,0,1,3,10,6.5,2.0,24.32
Derrick Henry,BAL,RB,1.0,16,378,23.62,2027,126.69,5.36,98.0,6.12,94,27.81,16,1.0,17,1.06,19,1.19,31,1.94,114,7.12,6.0,4.0,0.25,0,0.0,397,24.81,409,25.56,102.0,6.38,2,0.12,0.01,1.0,314.1,19.63,17.75,11.25,17.31,1,1,3,2,9,2.2,1.29,19.45,323.6,20.23,18.0,11.44,18.0,1,2,2,3,8,2.2,1.0,22.82,333.1,20.82,18.25,11.65,18.99,2,2,1,3,8,2.2,1.0,20.13
Nick Chubb,CLE,RB,1.0,12,190,15.83,1067,88.92,5.62,55.0,4.58,59,30.33,12,1.0,12,1.0,16,1.33,18,1.5,150,12.5,9.38,6.0,0.5,0,0.0,206,17.17,208,17.33,61.0,5.08,1,0.08,0.0,1.0,191.7,15.98,16.7,7.08,15.81,2,0,0,3,7,5.0,1.4,18.59,199.7,16.64,16.95,7.23,16.61,2,0,1,4,5,3.0,0.71,20.48,207.7,17.31,17.6,7.46,17.65,2,0,1,5,4,3.0,0.5,18.42
Christian McCaffrey,SF,RB,1.0,3,59,19.67,225,75.0,3.81,14.0,4.67,15,12.33,0,0.0,5,1.67,17,5.67,19,6.33,149,49.67,8.76,8.0,2.67,1,0.33,76,25.33,78,26.0,22.0,7.33,0,0.0,0.0,0.56,73.4,24.47,25.5,3.27,29.37,0,0,0,0,3,3.0,3.0,15.93,81.9,27.3,27.0,4.66,30.42,0,0,0,0,3,3.0,3.0,20.16,90.4,30.13,28.5,6.31,32.04,0,0,0,0,3,3.0,3.0,17.19
David Montgomery,DET,RB,1.0,15,247,16.47,1070,71.33,4.33,59.0,3.93,80,21.73,5,0.33,8,0.53,54,3.6,68,4.53,438,29.2,8.11,25.0,1.67,2,0.13,301,20.07,315,21.0,84.0,5.6,1,0.07,0.0,1.0,210.8,14.05,11.9,7.69,13.63,1,3,3,1,7,1.14,0.88,14.32,237.8,15.85,15.4,7.85,15.5,1,2,4,1,7,1.14,0.88,19.27,264.8,17.65,18.9,8.16,17.6,1,2,3,2,7,1.5,0.88,18.93
Aaron Jones Sr.,MIN,RB,1.0,14,201,14.36,1104,78.86,5.49,52.0,3.71,77,28.86,6,0.43,9,0.64,47,3.36,63,4.5,355,25.36,7.55,15.0,1.07,2,0.14,248,17.71,264,18.86,67.0,4.79,0,0.0,0.0,1.0,211.9,15.14,13.35,8.82,14.18,0,1,5,4,4,1.33,0.4,14.61,235.4,16.81,15.35,8.96,15.91,0,1,5,4,4,1.33,0.4,18.49,258.9,18.49,16.85,9.13,17.93,0,1,4,5,4,1.8,0.4,17.77
James Robinson,FA,RB,0.0,14,240,17.14,1070,76.43,4.46,54.0,3.86,47,19.29,5,0.36,7,0.5,49,3.5,60,4.29,344,24.57,7.02,15.0,1.07,3,0.21,289,20.64,300,21.43,69.0,4.93,1,0.07,0.0,1.0,201.4,14.39,11.3,6.72,14.43,1,0,4,3,6,1.8,0.75,14.73,225.9,16.14,13.05,7.06,16.21,0,1,4,4,5,1.8,0.56,18.43,250.4,17.89,15.0,7.49,18.22,0,0,5,4,5,1.8,0.56,17.55
Jonathan Taylor,IND,RB,1.0,15,232,15.47,1169,77.93,5.04,69.0,4.6,62,19.87,7,0.47,11,0.73,36,2.4,40,2.67,299,19.93,8.31,12.0,0.8,1,0.07,268,17.87,272,18.13,81.0,5.4,1,0.07,0.0,1.0,216.8,14.45,12.2,9.16,13.42,2,1,2,5,5,2.0,0.5,14.23,234.8,15.65,13.5,8.99,14.8,2,2,1,5,5,2.0,0.5,18.0,252.8,16.85,15.4,8.88,16.45,2,2,1,4,6,2.0,0.67,16.87
Chris Carson,FA,RB,0.0,12,141,11.75,681,56.75,4.83,43.0,3.58,29,16.33,3,0.25,5,0.42,37,3.08,46,3.83,287,23.92,7.76,14.0,1.17,4,0.33,178,14.83,187,15.58,57.0,4.75,0,0.0,0.0,1.0,150.8,12.57,12.9,5.59,13.2,1,2,2,2,5,1.4,0.71,14.04,169.3,14.11,14.9,6.03,14.74,1,1,3,3,4,1.4,0.5,17.64,187.8,15.65,16.35,6.52,16.5,1,1,3,2,5,1.4,0.71,16.74
