Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Bijan Robinson,ATL,RB,1.0,17,304,17.88,1456,85.65,4.79,82.0,4.82,37,17.53,5,0.29,14,0.82,61,3.59,72,4.24,431,25.35,7.07,20.0,1.18,1,0.06,365,21.47,376,22.12,102.0,6.0,0,0.0,0.0,1.0,280.7,16.51,16.6,6.79,16.52,0,2,1,5,9,4.67,1.12,19.05,311.2,18.31,19.1,6.66,18.66,0,1,2,4,10,4.67,1.43,24.1,341.7,20.1,21.5,6.64,21.1,0,0,4,3,10,3.25,1.43,22.62
Saquon Barkley,PHI,RB,1.0,16,345,21.56,2005,125.31,5.81,82.0,5.12,72,34.5,17,1.06,13,0.81,33,2.06,43,2.69,278,17.38,8.42,12.0,0.75,2,0.12,378,23.62,388,24.25,94.0,5.88,1,0.06,0.0,1.0,322.3,20.14,17.3,10.88,17.91,0,1,2,4,9,4.33,1.29,20.12,338.8,21.18,18.3,11.14,18.97,0,3,1,3,9,3.0,1.29,23.46,355.3,22.21,19.3,11.42,20.35,0,3,1,3,9,3.0,1.29,21.48
Jahmyr Gibbs,DET,RB,1.0,17,250,14.71,1412,83.06,5.65,70.0,4.12,70,25.18,13,0.76,16,0.94,52,3.06,63,3.71,517,30.41,9.94,24.0,1.41,4,0.24,302,17.76,313,18.41,94.0,5.53,1,0.06,0.0,1.0,310.9,18.29,18.3,8.1,17.51,0,0,4,3,10,3.25,1.43,19.53,336.9,19.82,18.8,8.35,19.08,0,0,3,5,9,4.67,1.12,23.35,362.9,21.35,19.3,8.72,20.93,0,0,3,4,10,4.67,1.43,21.72
Derrick Henry,BAL,RB,1.0,17,325,19.12,1921,113.0,5.91,94.0,5.53,87,34.12,19,1.12,16,0.94,19,1.12,22,1.29,193,11.35,10.16,11.0,0.65,2,0.12,344,20.24,347,20.41,105.0,6.18,1,0.06,0.0,1.0,317.4,18.67,15.6,7.78,18.06,0,1,2,6,8,4.67,0.89,18.92,326.9,19.23,16.1,8.0,18.72,0,1,2,6,8,4.67,0.89,22.48,336.4,19.79,16.6,8.25,19.67,0,1,2,6,8,4.67,0.89,19.97
Kyren Williams,LAR,RB,1.0,16,316,19.75,1299,81.19,4.11,85.0,5.31,30,14.94,2,0.12,14,0.88,34,2.12,40,2.5,182,11.38,5.35,6.0,0.38,2,0.12,350,21.88,356,22.25,91.0,5.69,3,0.19,0.01,1.0,238.1,14.88,13.85,5.87,15.44,0,1,2,6,7,4.33,0.78,17.19,255.1,15.94,14.85,5.83,16.8,0,0,4,5,7,3.0,0.78,20.56,272.1,17.01,15.85,5.92,18.37,0,1,4,5,6,2.2,0.6,18.27
Jonathan Taylor,IND,RB,1.0,14,303,21.64,1431,102.21,4.72,71.0,5.07,70,26.5,11,0.79,11,0.79,18,1.29,31,2.21,136,9.71,7.56,7.0,0.5,1,0.07,321,22.93,334,23.86,78.0,5.57,1,0.07,0.0,1.0,226.7,16.19,14.9,9.88,14.75,1,2,2,2,7,1.8,1.0,16.73,235.7,16.84,15.65,9.81,15.57,1,2,2,3,6,1.8,0.75,19.95,244.7,17.48,16.4,9.76,16.66,1,2,2,4,5,1.8,0.56,17.73
Josh Jacobs,GB,RB,1.0,17,301,17.71,1329,78.18,4.42,73.0,4.29,38,20.12,7,0.41,15,0.88,36,2.12,43,2.53,342,20.12,9.5,15.0,0.88,1,0.06,337,19.82,344,20.24,88.0,5.18,3,0.18,0.01,1.0,257.1,15.12,15.2,6.49,15.3,1,0,5,4,7,1.83,0.7,16.49,275.1,16.18,15.9,6.42,16.64,1,0,6,2,8,1.43,0.89,19.83,293.1,17.24,16.4,6.47,18.21,1,0,7,1,8,1.12,0.89,17.87
Alvin Kamara,NO,RB,1.0,14,228,16.29,950,67.86,4.17,52.0,3.71,24,13.79,3,0.21,6,0.43,68,4.86,89,6.36,543,38.79,7.99,18.0,1.29,2,0.14,296,21.14,317,22.64,70.0,5.0,0,0.0,0.0,1.0,197.3,14.09,12.3,9.36,13.01,1,1,2,6,4,2.5,0.4,14.68,231.3,16.52,14.55,9.06,15.59,1,0,3,6,4,2.5,0.4,19.11,265.3,18.95,16.45,8.8,18.54,0,1,3,6,4,2.5,0.4,18.55
Joe Mixon,HOU,RB,1.0,14,245,17.5,1016,72.57,4.15,52.0,3.71,59,21.86,8,0.57,11,0.79,36,2.57,52,3.71,309,22.07,8.58,12.0,0.86,1,0.07,281,20.07,297,21.21,64.0,4.57,0,0.0,0.0,1.0,204.5,14.61,15.8,9.87,13.31,3,3,0,1,7,1.33,1.0,15.99,222.5,15.89,16.3,9.79,14.71,2,4,0,2,6,1.33,0.75,18.84,240.5,17.18,16.8,9.78,16.37,2,3,1,2,6,1.33,0.75,17.42
David Montgomery,DET,RB,2.0,14,185,13.21,775,55.36,4.19,50.0,3.57,21,12.29,1,0.07,12,0.86,36,2.57,38,2.71,341,24.36,9.47,16.0,1.14,0,0.0,221,15.79,223,15.93,66.0,4.71,1,0.07,0.0,1.0,185.7,13.26,13.6,5.0,14.33,1,1,1,8,3,3.67,0.27,15.33,203.7,14.55,14.65,4.85,16.05,1,1,1,8,3,3.67,0.27,18.8,221.7,15.84,15.85,4.79,18.03,0,2,2,6,4,2.5,0.4,17.44
James Conner,ARI,RB,1.0,16,236,14.75,1094,68.38,4.64,67.0,4.19,53,18.06,6,0.38,8,0.5,47,2.94,55,3.44,414,25.88,8.81,17.0,1.06,1,0.06,283,17.69,291,18.19,84.0,5.25,1,0.06,0.0,1.0,206.8,12.92,14.05,7.41,12.65,3,1,1,4,7,2.2,0.78,15.01,230.3,14.39,15.05,7.6,14.19,3,1,1,4,7,2.2,0.78,18.65,253.8,15.86,16.05,7.85,15.97,2,1,2,5,6,2.2,0.6,16.98
