Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
DeMarco Murray,FA,RB,0.0,16,392,24.5,1845,115.31,4.71,85.0,5.31,51,24.62,11,0.69,13,0.81,57,3.56,64,4.0,416,26.0,7.3,16.0,1.0,0,0.0,449,28.06,456,28.5,101.0,6.31,5,0.31,0.01,1.0,294.1,18.38,18.2,5.12,19.74,0,0,1,3,12,15.0,3.0,24.02,322.6,20.16,20.0,5.47,21.58,0,0,1,3,12,15.0,3.0,28.64,351.1,21.94,21.35,6.07,23.56,0,0,1,2,13,15.0,4.33,27.23
Le'Veon Bell,FA,RB,0.0,16,290,18.12,1361,85.06,4.69,73.0,4.56,81,23.19,5,0.31,8,0.5,83,5.19,105,6.56,854,53.38,10.29,41.0,2.56,3,0.19,373,23.31,395,24.69,114.0,7.12,0,0.0,0.0,1.0,287.5,17.97,14.0,9.66,16.46,0,1,1,7,7,7.0,0.78,18.48,329.0,20.56,15.5,9.82,19.02,0,0,1,7,8,15.0,1.0,24.84,370.5,23.16,17.3,10.09,21.89,0,0,0,9,7,16.0,0.78,23.06
Arian Foster,FA,RB,0.0,13,260,20.0,1246,95.85,4.79,52.0,4.0,51,26.85,1,0.08,8,0.62,38,2.92,59,4.54,327,25.15,8.61,15.0,1.15,5,0.38,298,22.92,319,24.54,67.0,5.15,2,0.15,0.01,1.0,235.5,18.12,16.5,8.37,17.2,0,1,2,1,9,3.33,2.25,19.75,254.5,19.58,18.9,8.29,18.88,0,0,3,1,9,3.33,2.25,23.96,273.5,21.04,19.9,8.31,20.88,0,0,2,3,8,5.5,1.6,22.84
Matt Forte,FA,RB,0.0,16,266,16.62,1038,64.88,3.9,63.0,3.94,32,13.5,0,0.0,6,0.38,102,6.38,130,8.12,808,50.5,7.92,28.0,1.75,4,0.25,368,23.0,396,24.75,91.0,5.69,2,0.12,0.01,1.0,244.6,15.29,16.45,7.45,14.94,1,1,4,0,10,1.67,1.67,17.86,295.6,18.48,19.8,8.05,17.96,1,0,4,1,10,2.2,1.67,23.51,346.6,21.66,22.8,8.77,21.21,0,1,3,2,10,3.0,1.67,23.49
Marshawn Lynch,FA,RB,0.0,16,280,17.5,1306,81.62,4.66,65.0,4.06,79,22.19,4,0.25,13,0.81,37,2.31,48,3.0,367,22.94,9.92,16.0,1.0,4,0.25,317,19.81,328,20.5,81.0,5.06,2,0.12,0.01,1.0,265.3,16.58,14.45,9.24,15.36,0,3,1,4,8,3.0,1.0,16.97,283.8,17.74,15.7,9.29,16.63,0,3,1,5,7,3.0,0.78,20.34,302.3,18.89,16.7,9.41,18.18,0,3,2,4,7,2.2,0.78,18.51
Eddie Lacy,FA,RB,0.0,16,246,15.38,1139,71.19,4.63,58.0,3.62,44,20.25,6,0.38,9,0.56,42,2.62,55,3.44,427,26.69,10.17,17.0,1.06,4,0.25,288,18.0,301,18.81,75.0,4.69,2,0.12,0.01,1.0,230.6,14.41,14.85,7.65,14.0,3,1,0,4,8,3.0,1.0,16.42,251.6,15.72,15.85,8.08,15.27,3,1,0,4,8,3.0,1.0,19.67,272.6,17.04,16.85,8.59,16.77,2,2,0,5,7,3.0,0.78,18.16
Jamaal Charles,FA,RB,0.0,15,206,13.73,1033,68.87,5.01,50.0,3.33,63,21.47,2,0.13,9,0.6,40,2.67,59,3.93,291,19.4,7.28,15.0,1.0,5,0.33,246,16.4,265,17.67,65.0,4.33,3,0.2,0.01,1.0,210.4,14.03,14.8,8.86,13.13,2,3,1,2,7,1.5,0.88,15.17,230.4,15.36,15.8,8.96,14.53,3,2,1,2,7,1.5,0.88,18.3,250.4,16.69,16.8,9.1,16.2,2,3,1,2,7,1.5,0.88,17.19
Mark Ingram II,FA,RB,0.0,13,226,17.38,964,74.15,4.27,47.0,3.62,31,17.46,4,0.31,9,0.69,29,2.23,36,2.77,145,11.15,5.0,5.0,0.38,0,0.0,255,19.62,262,20.15,52.0,4.0,1,0.08,0.0,1.0,162.9,12.53,12.1,6.64,12.61,3,0,1,5,4,2.25,0.44,14.13,177.4,13.65,13.1,6.47,14.01,3,0,0,6,4,3.33,0.44,17.5,191.9,14.76,14.5,6.41,15.63,3,0,1,5,4,2.25,0.44,16.3
Justin Forsett,FA,RB,0.0,16,235,14.69,1266,79.12,5.39,56.0,3.5,52,25.56,10,0.62,8,0.5,44,2.75,59,3.69,263,16.44,5.98,10.0,0.62,0,0.0,279,17.44,294,18.38,66.0,4.12,0,0.0,0.0,1.0,202.9,12.68,11.7,6.9,12.64,2,1,2,7,4,2.2,0.33,13.67,224.9,14.06,13.15,6.82,14.24,2,0,4,5,5,1.67,0.45,16.81,246.9,15.43,14.9,6.89,16.05,1,2,3,5,5,1.67,0.45,16.17
Lamar Miller,FA,RB,0.0,16,216,13.5,1099,68.69,5.09,57.0,3.56,97,21.5,6,0.38,8,0.5,38,2.38,52,3.25,275,17.19,7.24,10.0,0.62,1,0.06,254,15.88,268,16.75,67.0,4.19,3,0.19,0.01,1.0,185.4,11.59,11.75,5.83,12.04,1,3,3,6,3,1.29,0.23,12.68,204.4,12.78,12.95,6.0,13.36,1,3,3,6,3,1.29,0.23,15.79,223.4,13.96,14.3,6.25,14.88,2,2,2,7,3,1.67,0.23,15.06
