Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
James White,FA,RB,0.0,14,22,1.57,56,4.0,2.55,3.0,0.21,8,3.43,0,0.0,2,0.14,40,2.86,54,3.86,410,29.29,10.25,19.0,1.36,4,0.29,62,4.43,76,5.43,22.0,1.57,0,0.0,0.0,1.0,82.6,5.9,3.2,6.5,5.97,8,1,2,1,2,0.27,0.17,4.78,102.6,7.33,4.95,7.72,7.2,8,1,1,1,3,0.4,0.27,7.02,122.6,8.76,6.7,9.01,8.52,7,2,0,2,3,0.56,0.27,7.61
Shaun Draughn,FA,RB,0.0,11,78,7.09,273,24.82,3.5,13.0,1.18,30,9.45,0,0.0,1,0.09,27,2.45,35,3.18,176,16.0,6.52,7.0,0.64,0,0.0,105,9.55,113,10.27,20.0,1.82,0,0.0,0.0,1.0,50.9,4.63,4.2,4.97,5.0,7,0,3,1,0,0.1,0.0,4.85,64.4,5.85,4.7,6.09,6.1,7,0,2,1,1,0.22,0.1,6.68,77.9,7.08,5.2,7.28,7.26,7,0,0,3,1,0.57,0.1,6.8
DuJuan Harris,FA,RB,0.0,4,48,12.0,189,47.25,3.94,8.0,2.0,47,20.25,2,0.5,0,0.0,9,2.25,14,3.5,97,24.25,10.78,5.0,1.25,0,0.0,57,14.25,62,15.5,13.0,3.25,1,0.25,0.02,0.65,26.6,6.65,5.3,6.66,6.69,2,0,1,0,1,0.33,0.33,4.65,31.1,7.78,5.55,8.47,7.46,2,0,1,0,1,0.33,0.33,6.54,35.6,8.9,5.8,10.32,8.37,2,1,0,0,1,0.33,0.33,5.21
Chris Thompson,FA,RB,0.0,13,35,2.69,216,16.62,6.17,8.0,0.62,42,12.15,1,0.08,0,0.0,35,2.69,48,3.69,240,18.46,6.86,14.0,1.08,2,0.15,70,5.38,83,6.38,22.0,1.69,0,0.0,0.0,1.0,57.6,4.43,2.4,3.95,5.08,9,1,2,1,0,0.08,0.0,3.74,75.1,5.78,4.4,4.76,6.4,7,4,1,0,1,0.08,0.08,6.04,92.6,7.12,6.4,5.75,7.75,7,4,1,0,1,0.08,0.08,6.53
Jonathan Grimes,FA,RB,0.0,14,56,4.0,282,20.14,5.04,11.0,0.79,37,9.79,1,0.07,1,0.07,26,1.86,31,2.21,173,12.36,6.65,7.0,0.5,1,0.07,82,5.86,87,6.21,18.0,1.29,0,0.0,0.0,1.0,59.5,4.25,3.55,4.43,4.73,10,3,0,0,1,0.08,0.08,4.15,72.5,5.18,4.4,5.01,5.67,9,4,0,0,1,0.08,0.08,5.51,85.5,6.11,4.9,5.68,6.67,8,4,1,0,1,0.08,0.08,5.46
Mike Tolbert,FA,RB,0.0,16,62,3.88,256,16.0,4.13,18.0,1.12,29,8.44,1,0.06,1,0.06,18,1.12,23,1.44,154,9.62,8.56,8.0,0.5,3,0.19,80,5.0,85,5.31,26.0,1.62,0,0.0,0.0,1.0,65.0,4.06,2.95,3.81,4.7,12,2,0,2,0,0.14,0.0,3.78,74.0,4.62,3.95,4.04,5.34,12,2,0,2,0,0.14,0.0,5.25,83.0,5.19,4.95,4.3,6.07,11,3,1,1,0,0.07,0.0,5.03
Ahmad Bradshaw,FA,RB,0.0,6,31,5.17,85,14.17,2.74,5.0,0.83,23,8.83,1,0.17,0,0.0,10,1.67,14,2.33,64,10.67,6.4,5.0,0.83,3,0.5,41,6.83,45,7.5,10.0,1.67,0,0.0,0.0,0.78,32.9,5.48,2.85,6.11,5.63,4,1,0,0,1,0.2,0.2,3.66,37.9,6.32,3.6,6.65,6.44,4,1,0,0,1,0.2,0.2,4.98,42.9,7.15,4.35,7.23,7.35,4,1,0,0,1,0.2,0.2,4.66
Chris Polk,FA,RB,0.0,15,99,6.6,334,22.27,3.37,13.0,0.87,20,9.73,1,0.07,1,0.07,16,1.07,28,1.87,109,7.27,6.81,5.0,0.33,1,0.07,115,7.67,127,8.47,18.0,1.2,0,0.0,0.0,1.0,56.3,3.75,2.7,3.7,4.37,13,0,0,2,0,0.15,0.0,3.88,64.3,4.29,3.2,3.96,4.97,13,0,0,2,0,0.15,0.0,4.92,72.3,4.82,3.8,4.26,5.65,13,0,0,2,0,0.15,0.0,4.83
C.J. Spiller,FA,RB,0.0,13,36,2.77,112,8.62,3.11,5.0,0.38,11,5.54,0,0.0,0,0.0,34,2.62,44,3.38,239,18.38,7.03,13.0,1.0,2,0.15,70,5.38,80,6.15,18.0,1.38,0,0.0,0.0,1.0,47.1,3.62,2.6,4.73,3.97,11,0,1,0,1,0.08,0.08,3.47,64.1,4.93,3.1,5.16,5.36,10,1,1,0,1,0.08,0.08,4.92,81.1,6.24,3.9,5.66,6.81,10,0,2,0,1,0.08,0.08,5.13
Jay Ajayi,FA,RB,0.0,9,49,5.44,187,20.78,3.82,7.0,0.78,24,10.67,3,0.33,1,0.11,7,0.78,11,1.22,90,10.0,12.86,5.0,0.56,0,0.0,56,6.22,60,6.67,12.0,1.33,0,0.0,0.0,0.93,35.7,3.97,3.6,2.89,4.91,7,1,1,0,0,0.0,0.0,3.77,39.2,4.36,4.1,3.23,5.32,7,1,1,0,0,0.0,0.0,4.78,42.7,4.74,4.1,3.67,5.77,7,0,2,0,0,0.0,0.0,4.28
