Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
David Johnson,FA,RB,0.0,16,293,18.31,1239,77.44,4.23,72.0,4.5,58,21.44,2,0.12,16,1.0,80,5.0,120,7.5,879,54.94,10.99,42.0,2.62,4,0.25,373,23.31,413,25.81,114.0,7.12,3,0.19,0.01,1.0,327.8,20.49,22.1,8.34,19.47,1,0,1,3,11,7.0,2.2,23.89,367.8,22.99,24.6,8.49,22.04,1,0,0,4,11,15.0,2.2,30.48,407.8,25.49,26.45,8.77,24.95,0,1,0,4,11,15.0,2.2,28.82
Le'Veon Bell,FA,RB,0.0,12,261,21.75,1268,105.67,4.86,69.0,5.75,44,18.25,2,0.17,7,0.58,75,6.25,94,7.83,616,51.33,8.21,31.0,2.58,2,0.17,336,28.0,355,29.58,100.0,8.33,1,0.08,0.0,1.0,242.4,20.2,17.0,10.47,18.14,0,1,0,4,7,11.0,1.4,21.86,279.9,23.32,20.1,10.22,21.35,0,0,1,2,9,11.0,3.0,29.29,317.4,26.45,24.3,10.1,25.0,0,0,1,2,9,11.0,3.0,28.26
Ezekiel Elliott,DAL,RB,1.0,15,322,21.47,1631,108.73,5.07,91.0,6.07,60,27.0,9,0.6,15,1.0,32,2.13,40,2.67,363,24.2,11.34,11.0,0.73,1,0.07,354,23.6,362,24.13,102.0,6.8,1,0.07,0.0,1.0,293.4,19.56,17.4,7.63,19.0,0,0,0,5,10,15.0,2.0,22.56,309.4,20.63,18.5,7.69,20.28,0,0,2,4,9,6.5,1.5,25.55,325.4,21.69,20.5,7.79,21.88,0,0,2,4,9,6.5,1.5,23.6
Melvin Gordon III,FA,RB,0.0,13,254,19.54,997,76.69,3.93,61.0,4.69,48,20.85,4,0.31,10,0.77,41,3.15,57,4.38,419,32.23,10.22,21.0,1.62,2,0.15,295,22.69,311,23.92,82.0,6.31,2,0.15,0.01,1.0,209.6,16.12,15.5,8.37,15.31,1,0,2,4,6,3.33,0.86,17.72,230.1,17.7,17.5,9.02,16.72,1,0,2,4,6,3.33,0.86,22.24,250.6,19.28,18.2,9.74,18.39,1,1,1,4,6,3.33,0.86,20.04
LeSean McCoy,FA,RB,0.0,15,234,15.6,1267,84.47,5.41,55.0,3.67,75,25.93,7,0.47,13,0.87,50,3.33,57,3.8,356,23.73,7.12,17.0,1.13,1,0.07,284,18.93,291,19.4,72.0,4.8,0,0.0,0.0,1.0,248.3,16.55,16.8,9.17,15.36,2,0,2,2,9,2.75,1.5,18.03,273.3,18.22,19.8,9.4,17.03,2,0,2,3,8,2.75,1.14,22.08,298.3,19.89,22.8,9.73,18.97,2,0,2,3,8,2.75,1.14,21.66
DeMarco Murray,FA,RB,0.0,16,293,18.31,1287,80.44,4.39,64.0,4.0,75,21.38,1,0.06,9,0.56,53,3.31,67,4.19,377,23.56,7.11,20.0,1.25,3,0.19,346,21.62,360,22.5,84.0,5.25,1,0.06,0.0,1.0,240.8,15.05,14.3,6.25,15.37,1,1,1,7,6,4.33,0.6,17.21,267.3,16.71,17.05,6.4,17.19,1,1,1,6,7,4.33,0.78,21.82,293.8,18.36,19.45,6.75,19.2,1,1,1,5,8,4.33,1.0,21.12
Devonta Freeman,FA,RB,0.0,16,227,14.19,1079,67.44,4.75,61.0,3.81,75,22.12,3,0.19,11,0.69,54,3.38,65,4.06,462,28.88,8.56,22.0,1.38,2,0.12,281,17.56,292,18.25,83.0,5.19,1,0.06,0.0,1.0,230.1,14.38,11.45,8.72,13.51,3,0,4,2,7,1.29,0.78,13.83,257.1,16.07,13.1,8.85,15.25,2,1,3,3,7,1.67,0.78,18.01,284.1,17.76,15.9,9.06,17.25,1,3,2,3,7,1.67,0.78,17.33
Jordan Howard,FA,RB,0.0,15,252,16.8,1313,87.53,5.21,70.0,4.67,69,25.53,6,0.4,6,0.4,29,1.93,50,3.33,298,19.87,10.28,12.0,0.8,1,0.07,281,18.73,302,20.13,82.0,5.47,1,0.07,0.0,1.0,201.1,13.41,12.7,7.71,12.99,2,0,4,5,4,1.5,0.36,14.06,215.6,14.37,13.3,7.92,14.03,2,1,3,5,4,1.5,0.36,17.45,230.1,15.34,13.5,8.2,15.28,2,1,4,4,4,1.14,0.36,15.07
LeGarrette Blount,FA,RB,0.0,16,299,18.69,1161,72.56,3.88,67.0,4.19,44,20.5,4,0.25,18,1.12,7,0.44,8,0.5,38,2.38,5.43,1.0,0.06,0,0.0,306,19.12,307,19.19,68.0,4.25,1,0.06,0.0,1.0,225.9,14.12,12.7,6.04,14.55,0,2,3,6,5,2.2,0.45,15.04,229.4,14.34,13.2,5.96,15.02,0,2,5,5,4,1.29,0.33,16.94,232.9,14.56,13.6,5.92,15.72,1,2,5,5,3,1.0,0.23,14.95
Carlos Hyde,FA,RB,0.0,13,217,16.69,988,76.0,4.55,48.0,3.69,47,19.15,3,0.23,6,0.46,27,2.08,33,2.54,163,12.54,6.04,7.0,0.54,3,0.23,244,18.77,250,19.23,55.0,4.23,3,0.23,0.01,1.0,165.1,12.7,11.0,7.97,12.21,2,2,2,3,4,1.17,0.44,12.85,178.6,13.74,12.5,8.2,13.29,4,0,2,2,5,1.17,0.62,16.17,192.1,14.78,14.0,8.53,14.57,4,0,2,2,5,1.17,0.62,15.17
Frank Gore,FA,RB,0.0,16,263,16.44,1025,64.06,3.9,50.0,3.12,22,13.12,1,0.06,4,0.25,38,2.38,47,2.94,277,17.31,7.29,14.0,0.88,4,0.25,301,18.81,310,19.38,64.0,4.0,1,0.06,0.0,1.0,176.2,11.01,11.8,4.02,12.56,1,1,4,9,1,1.67,0.07,13.19,195.2,12.2,13.35,4.41,13.78,1,3,3,7,2,1.29,0.14,16.17,214.2,13.39,14.75,4.9,15.16,1,4,2,6,3,1.29,0.23,15.39
Lamar Miller,FA,RB,0.0,14,268,19.14,1073,76.64,4.0,52.0,3.71,45,17.5,5,0.36,5,0.36,31,2.21,39,2.79,188,13.43,6.06,9.0,0.64,1,0.07,299,21.36,307,21.93,61.0,4.36,1,0.07,0.0,1.0,160.1,11.44,10.75,7.21,11.27,2,2,2,5,3,1.33,0.27,12.57,175.6,12.54,12.5,7.36,12.46,2,3,1,5,3,1.33,0.27,15.93,191.1,13.65,14.05,7.56,13.87,2,2,2,7,1,1.33,0.08,14.69
Latavius Murray,FA,RB,0.0,14,195,13.93,788,56.29,4.04,52.0,3.71,42,15.57,3,0.21,12,0.86,33,2.36,43,3.07,264,18.86,8.0,11.0,0.79,0,0.0,228,16.29,238,17.0,63.0,4.5,1,0.07,0.0,1.0,175.2,12.51,11.5,7.99,12.02,2,3,2,2,5,1.0,0.56,12.75,191.7,13.69,12.7,8.01,13.33,3,1,3,3,4,1.0,0.4,15.85,208.2,14.87,14.2,8.12,14.84,3,1,2,4,4,1.33,0.4,15.03
Tevin Coleman,FA,RB,0.0,13,118,9.08,520,40.0,4.41,24.0,1.85,55,17.0,3,0.23,8,0.62,31,2.38,40,3.08,421,32.38,13.58,16.0,1.23,3,0.23,149,11.46,158,12.15,40.0,3.08,0,0.0,0.0,1.0,160.1,12.32,11.9,7.64,11.96,3,2,0,4,4,1.6,0.44,12.67,175.6,13.51,13.9,7.96,13.16,3,2,0,4,4,1.6,0.44,15.49,191.1,14.7,14.9,8.32,14.58,3,2,0,4,4,1.6,0.44,14.92
Mark Ingram II,FA,RB,0.0,16,205,12.81,1043,65.19,5.09,49.0,3.06,75,20.62,1,0.06,6,0.38,46,2.88,58,3.62,319,19.94,6.93,18.0,1.12,4,0.25,251,15.69,263,16.44,67.0,4.19,2,0.12,0.01,1.0,196.2,12.26,8.95,9.3,11.34,3,4,2,1,6,0.78,0.6,11.27,219.2,13.7,9.95,9.47,12.78,2,4,3,1,6,0.78,0.6,14.34,242.2,15.14,10.95,9.73,14.44,2,3,4,1,6,0.78,0.6,13.31
Jay Ajayi,FA,RB,0.0,15,260,17.33,1272,84.8,4.89,60.0,4.0,62,25.07,4,0.27,8,0.53,27,1.8,35,2.33,151,10.07,5.59,8.0,0.53,0,0.0,287,19.13,295,19.67,68.0,4.53,1,0.07,0.0,1.0,188.3,12.55,8.7,9.39,11.58,2,2,6,1,4,0.5,0.36,11.11,201.8,13.45,9.9,9.24,12.63,3,2,5,1,4,0.5,0.36,14.28,215.3,14.35,10.9,9.17,13.9,3,3,4,1,4,0.5,0.36,12.92
Todd Gurley II,FA,RB,0.0,16,278,17.38,885,55.31,3.18,48.0,3.0,24,13.0,2,0.12,6,0.38,43,2.69,58,3.62,327,20.44,7.6,15.0,0.94,0,0.0,321,20.06,336,21.0,63.0,3.94,1,0.06,0.0,1.0,155.2,9.7,8.55,4.56,10.72,3,3,5,4,1,0.45,0.07,10.44,176.7,11.04,10.8,4.62,12.33,3,2,5,5,1,0.6,0.07,14.09,198.2,12.39,13.05,4.84,14.08,3,2,4,6,1,0.78,0.07,13.87
Isaiah Crowell,FA,RB,0.0,16,198,12.38,952,59.5,4.81,45.0,2.81,85,23.62,4,0.25,7,0.44,40,2.5,53,3.31,319,19.94,7.98,14.0,0.88,0,0.0,238,14.88,251,15.69,59.0,3.69,2,0.12,0.01,1.0,165.1,10.32,9.85,6.19,10.56,4,3,1,5,3,1.0,0.23,11.03,185.1,11.57,11.2,6.24,11.98,4,2,2,5,3,1.0,0.23,13.99,205.1,12.82,12.95,6.4,13.58,3,3,3,4,3,0.78,0.23,13.31
Spencer Ware,FA,RB,0.0,14,214,15.29,921,65.79,4.3,47.0,3.36,46,17.36,1,0.07,3,0.21,33,2.36,42,3.0,447,31.93,13.55,17.0,1.21,2,0.14,247,17.64,256,18.29,64.0,4.57,3,0.21,0.01,1.0,160.8,11.49,8.5,6.71,11.53,1,3,6,0,4,0.4,0.4,10.81,177.3,12.66,9.5,7.22,12.65,1,3,6,0,4,0.4,0.4,13.94,193.8,13.84,10.5,7.77,13.97,1,3,6,0,4,0.4,0.4,12.59
Theo Riddick,FA,RB,0.0,10,92,9.2,357,35.7,3.88,19.0,1.9,42,15.0,1,0.1,1,0.1,53,5.3,67,6.7,371,37.1,7.0,20.0,2.0,5,0.5,145,14.5,159,15.9,39.0,3.9,0,0.0,0.0,0.96,108.8,10.88,7.65,6.95,10.82,1,3,3,0,3,0.43,0.43,9.66,135.3,13.53,9.35,7.32,13.46,0,5,1,1,3,0.67,0.43,13.5,161.8,16.18,12.25,7.82,16.31,0,1,5,1,3,0.67,0.43,13.76
