Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
DeMarco Murray,FA,RB,0.0,14.57,309.0,20.73,1469.29,98.24,4.76,71.0,4.79,48.29,23.34,7.43,0.49,10.57,0.7,52.71,3.62,61.43,4.23,373.57,25.59,7.08,15.86,1.1,0.29,0.02,361.71,24.35,370.43,24.96,86.86,5.89,3.43,0.23,0.01,0.99,242.57,16.28,15.5,5.52,17.27,0.29,0.71,1.43,4.0,8.14,9.43,1.84,19.79,268.93,18.09,17.49,5.69,19.26,0.0,0.29,2.43,3.57,8.29,9.23,1.86,24.25,295.29,19.9,18.9,6.06,21.43,0.0,0.0,2.57,2.86,9.14,9.3,2.67,23.05,3,18.97,322.45,2.0
Le'Veon Bell,FA,RB,0.0,15.0,274.67,18.34,1194.0,78.76,4.3,64.67,4.27,68.33,20.51,4.33,0.28,8.0,0.54,70.33,4.61,92.0,6.07,702.33,45.82,9.82,31.67,2.04,2.0,0.13,345.0,22.95,366.67,24.41,96.33,6.31,0.33,0.03,0.0,1.0,248.97,16.39,13.97,8.0,15.82,0.0,1.0,2.0,6.0,6.0,5.2,0.67,17.54,284.13,18.69,15.63,8.19,18.16,0.0,0.33,2.0,5.67,7.0,10.53,0.87,23.14,319.3,21.0,17.07,8.5,20.76,0.0,0.33,1.33,7.67,5.67,11.2,0.62,21.43,2,19.14,325.3,1.0
Matt Forte,FA,RB,0.0,15.86,270.0,17.02,1132.0,71.4,4.18,63.57,4.0,40.57,17.84,1.57,0.1,6.71,0.42,85.71,5.38,109.71,6.89,680.0,42.7,7.92,24.71,1.55,3.29,0.21,355.71,22.41,379.71,23.92,88.29,5.55,1.86,0.11,0.01,1.0,240.34,15.13,15.53,7.33,14.83,1.29,1.0,2.86,2.14,8.57,2.41,1.27,17.37,283.2,17.82,18.61,7.68,17.51,1.0,0.57,2.71,2.57,9.0,3.47,1.39,22.85,326.06,20.51,21.13,8.16,20.42,0.43,1.14,2.14,2.86,9.29,3.93,1.45,22.48,3,17.45,296.62,5.0
Arian Foster,FA,RB,0.0,12.0,233.29,18.88,1070.29,86.84,4.6,49.71,4.09,42.29,21.73,2.0,0.17,7.0,0.52,33.71,2.81,52.0,4.36,270.14,22.85,8.07,11.71,0.96,3.43,0.27,267.0,21.7,285.29,23.25,61.43,5.05,1.43,0.1,0.01,0.97,196.73,15.78,14.83,8.04,15.19,0.71,0.86,1.57,1.14,7.71,3.19,1.89,17.31,213.59,17.19,17.0,8.27,16.69,1.0,0.0,2.14,1.71,7.14,3.19,1.62,21.11,230.44,18.59,18.44,8.6,18.46,1.0,0.0,1.29,3.29,6.43,4.62,1.19,20.04,3,14.04,238.74,11.0
Jamaal Charles,FA,RB,0.0,15.14,232.43,15.32,1173.57,77.34,5.04,58.0,3.83,62.14,22.81,2.0,0.13,9.29,0.62,47.86,3.17,70.29,4.65,398.0,26.39,7.95,19.29,1.28,5.0,0.33,280.29,18.49,302.71,19.98,77.29,5.11,2.71,0.18,0.01,1.0,237.44,15.71,15.35,9.41,14.45,1.71,2.29,1.0,1.86,8.29,2.9,1.73,16.96,261.37,17.29,16.78,9.61,16.03,2.29,1.71,0.86,2.14,8.14,5.0,1.71,20.95,285.3,18.88,18.26,9.86,17.9,1.57,2.43,0.86,2.14,8.14,5.0,1.71,19.73,3,18.91,321.41,3.0
Marshawn Lynch,FA,RB,0.0,16.0,291.0,18.19,1332.57,83.28,4.58,66.43,4.15,68.43,21.78,4.14,0.26,12.43,0.78,34.71,2.17,44.29,2.77,328.0,20.5,9.39,14.14,0.88,3.0,0.19,325.71,20.35,335.29,20.95,80.57,5.03,1.71,0.1,0.01,1.0,255.2,15.95,14.64,8.72,15.0,0.43,2.71,1.57,3.57,7.71,2.51,0.94,16.69,272.56,17.04,15.82,8.85,16.17,0.86,2.57,1.29,4.43,6.86,2.51,0.76,20.01,289.91,18.12,16.71,9.05,17.61,0.86,2.57,2.29,3.57,6.71,1.86,0.73,18.12,3,16.69,283.69,6.0
Eddie Lacy,FA,RB,0.0,15.67,258.67,16.56,1152.0,73.64,4.47,59.0,3.77,49.33,19.99,4.0,0.25,9.67,0.62,39.67,2.52,51.33,3.27,370.33,23.5,9.23,15.33,0.97,2.67,0.17,298.33,19.09,310.0,19.83,74.33,4.75,1.67,0.1,0.01,1.0,222.9,14.22,14.6,7.28,13.99,2.67,0.67,0.67,4.33,7.33,2.92,0.89,16.3,242.73,15.48,15.6,7.74,15.2,2.67,0.67,1.33,3.67,7.33,2.5,0.89,19.36,262.57,16.75,16.6,8.27,16.64,2.0,1.33,1.33,4.33,6.67,2.5,0.74,17.85,2,15.78,268.34,9.0
LeSean McCoy,FA,RB,0.0,15.43,296.57,19.13,1332.86,85.81,4.48,67.29,4.34,51.43,20.24,5.0,0.33,5.71,0.36,38.57,2.57,49.0,3.26,295.86,19.6,7.12,15.0,0.99,1.0,0.07,335.14,21.7,345.57,22.39,82.29,5.33,2.43,0.16,0.01,1.0,198.3,12.82,12.46,6.01,13.3,1.71,1.43,2.43,4.57,5.29,2.02,0.56,14.69,217.59,14.11,13.61,6.09,14.85,1.71,1.43,2.43,5.0,4.86,3.38,0.5,18.63,236.87,15.4,14.99,6.33,16.54,1.71,1.14,3.0,4.43,5.14,4.02,0.55,17.3,3,14.54,247.12,10.0
Giovani Bernard,FA,RB,0.0,14.0,168.67,12.15,685.0,49.35,4.06,32.0,2.31,71.0,16.54,1.33,0.09,5.0,0.36,47.33,3.37,62.67,4.49,404.0,28.61,8.47,15.67,1.1,2.33,0.16,216.0,15.53,231.33,16.64,47.67,3.41,0.33,0.02,0.0,1.0,152.23,10.91,9.82,6.36,11.09,2.33,3.0,1.33,4.0,3.33,1.27,0.31,11.56,175.9,12.59,11.38,6.82,12.76,3.0,2.33,1.33,3.0,4.33,1.27,0.44,14.71,199.57,14.28,13.07,7.38,14.6,3.0,2.0,2.0,1.67,5.33,1.04,0.61,14.45,2,11.0,187.05,14.0
Jeremy Hill,FA,RB,0.0,16.0,222.0,13.88,1124.0,70.25,5.06,61.0,3.81,85.0,23.69,4.0,0.25,9.0,0.56,27.0,1.69,32.0,2.0,215.0,13.44,7.96,7.0,0.44,0.0,0.0,249.0,15.56,254.0,15.88,68.0,4.25,2.0,0.12,0.01,1.0,183.9,11.49,9.7,8.23,10.96,4.0,3.0,2.0,1.0,6.0,0.78,0.6,11.36,197.4,12.34,10.7,8.08,11.98,3.0,3.0,2.0,3.0,5.0,1.0,0.45,14.32,210.9,13.18,11.45,8.0,13.21,3.0,2.0,3.0,5.0,3.0,1.0,0.23,12.75,1,16.59,282.01,7.0
Alfred Morris,FA,RB,0.0,16.0,278.14,17.38,1208.43,75.52,4.32,55.57,3.47,35.57,20.27,6.86,0.43,8.43,0.53,13.86,0.86,20.57,1.28,121.86,7.62,8.69,5.57,0.35,0.0,0.0,292.0,18.25,298.71,18.67,61.14,3.82,1.57,0.1,0.0,1.0,180.46,11.28,9.89,6.07,11.65,2.0,3.0,3.14,4.86,3.0,1.05,0.26,11.8,187.39,11.71,10.63,6.14,12.22,3.43,2.29,2.43,4.29,3.57,1.05,0.32,14.3,194.31,12.14,11.24,6.26,12.99,3.86,3.14,1.43,4.71,2.86,0.92,0.24,12.78,3,9.96,169.31,24.0
Fred Jackson,FA,RB,0.0,14.0,155.86,11.08,616.71,43.56,3.9,32.71,2.3,40.71,12.54,0.0,0.0,4.14,0.28,56.0,4.02,76.29,5.45,427.86,30.46,7.6,20.29,1.45,1.0,0.07,211.86,15.1,232.14,16.53,53.0,3.75,0.57,0.06,0.0,0.99,135.31,9.52,9.04,4.69,10.54,3.29,1.0,4.57,3.14,2.0,0.73,0.18,10.38,163.31,11.53,11.14,5.29,12.54,1.71,2.57,2.29,5.43,2.0,1.14,0.18,14.26,191.31,13.54,12.97,6.07,14.63,1.43,3.14,2.0,4.29,3.14,1.14,0.28,14.08,3,9.39,159.6,27.0
Ahmad Bradshaw,FA,RB,0.0,8.57,94.71,11.3,441.0,52.36,4.65,21.43,2.65,29.57,15.73,2.29,0.29,2.57,0.37,27.0,3.07,33.57,3.76,218.43,23.64,7.74,13.0,1.41,3.43,0.34,121.71,14.38,128.29,15.07,34.43,4.05,1.57,0.14,0.01,0.85,98.8,11.56,12.09,6.64,11.66,1.43,0.86,1.29,2.86,2.14,1.57,0.37,10.77,112.3,13.1,13.41,6.92,13.27,1.57,0.14,1.86,2.43,2.57,1.57,0.45,13.9,125.8,14.64,14.82,7.27,15.1,1.57,0.14,1.29,3.0,2.57,2.05,0.45,13.22,3,7.97,135.43,33.0
Andre Ellington,FA,RB,0.0,13.0,173.33,13.79,657.33,51.16,4.03,27.0,2.1,41.33,16.29,5.0,0.38,3.0,0.23,43.67,3.42,61.67,4.82,387.0,30.19,8.9,19.67,1.52,1.67,0.14,217.0,17.21,235.0,18.61,46.67,3.62,1.33,0.11,0.01,1.0,129.77,10.11,8.87,6.58,10.19,2.33,3.33,3.0,1.67,2.67,0.5,0.27,10.42,151.6,11.83,10.37,6.86,11.95,2.0,1.67,3.67,2.67,3.0,0.83,0.3,13.84,173.43,13.53,11.9,7.22,13.89,1.67,2.0,3.67,2.67,3.0,0.83,0.3,13.42,2,10.37,176.27,19.0
Joique Bell,FA,RB,0.0,15.43,186.57,12.19,736.29,48.06,4.05,39.14,2.55,47.86,15.16,2.29,0.15,6.71,0.44,42.0,2.71,59.86,3.86,409.57,26.37,9.69,18.29,1.18,0.57,0.04,228.57,14.9,246.43,16.06,57.43,3.72,1.71,0.11,0.0,1.0,155.44,10.11,8.63,6.45,10.23,4.29,2.43,2.43,3.0,3.29,0.75,0.28,10.28,176.44,11.46,10.57,6.92,11.56,4.43,1.71,2.57,3.14,3.57,0.86,0.32,13.58,197.44,12.81,12.41,7.51,13.05,4.57,1.43,2.43,4.29,2.71,0.89,0.22,12.97,3,10.47,178.02,17.0
Frank Gore,FA,RB,0.0,16.0,261.43,16.34,1127.71,70.48,4.32,55.57,3.47,49.57,17.15,4.71,0.3,6.0,0.37,14.86,0.93,23.43,1.46,137.14,8.57,9.48,4.0,0.25,0.71,0.04,276.29,17.27,284.86,17.8,59.57,3.72,2.14,0.13,0.01,1.0,162.49,10.15,9.39,6.35,10.37,3.86,2.43,2.71,3.86,3.14,0.88,0.26,10.88,169.91,10.62,9.77,6.51,10.93,4.0,2.71,3.29,3.14,2.86,0.67,0.23,12.92,177.34,11.08,10.11,6.69,11.66,5.71,1.43,2.86,3.43,2.57,0.67,0.21,11.46,3,10.28,174.77,21.0
Mark Ingram II,FA,RB,0.0,12.86,173.71,13.35,747.14,57.77,4.41,36.0,2.79,31.86,15.63,2.71,0.2,6.14,0.46,19.43,1.51,25.14,1.96,106.43,8.4,6.32,3.71,0.29,0.0,0.0,193.14,14.87,198.86,15.31,39.71,3.07,0.57,0.05,0.0,1.0,121.07,9.33,8.33,6.24,9.48,5.43,0.57,0.86,3.43,2.57,1.36,0.28,10.07,130.79,10.08,9.04,6.24,10.41,5.43,0.57,0.43,3.86,2.57,1.96,0.28,12.48,140.5,10.84,9.96,6.3,11.52,5.43,0.57,1.0,3.29,2.57,1.35,0.28,11.52,3,8.37,142.22,31.0
Ryan Mathews,FA,RB,0.0,9.71,150.0,14.32,648.14,62.26,4.35,30.0,2.99,37.29,17.82,2.0,0.24,3.57,0.41,18.14,1.78,23.29,2.22,129.43,12.95,7.38,6.14,0.65,0.29,0.02,168.14,16.11,173.29,16.55,36.14,3.64,0.57,0.04,0.0,0.87,99.76,9.97,9.67,4.85,10.84,1.29,1.71,2.29,2.57,1.86,0.95,0.22,9.77,108.83,10.87,10.37,5.08,11.84,1.86,1.57,2.14,2.57,1.57,0.78,0.19,12.04,117.9,11.76,11.31,5.36,13.02,2.0,1.43,2.0,2.71,1.57,0.79,0.19,11.02,3,7.3,124.12,40.0
Lamar Miller,FA,RB,0.0,15.57,181.29,11.43,866.29,54.66,4.75,41.71,2.63,73.43,17.94,4.0,0.26,5.29,0.33,30.0,1.89,41.0,2.58,212.14,13.35,7.08,8.0,0.51,0.57,0.03,211.29,13.33,222.29,14.02,49.71,3.14,2.0,0.13,0.01,1.0,138.99,8.76,8.44,5.08,9.3,4.43,2.29,2.43,4.71,1.71,0.84,0.13,9.48,153.99,9.71,9.5,5.25,10.36,4.14,3.0,2.0,4.71,1.71,0.84,0.13,11.9,168.99,10.64,10.51,5.48,11.57,4.71,2.71,1.29,5.14,1.71,1.05,0.13,11.33,3,9.75,165.74,25.0
Reggie Bush,FA,RB,0.0,12.57,139.57,10.53,598.0,44.76,4.14,24.71,1.81,35.29,15.0,1.71,0.13,3.14,0.24,43.29,3.5,62.14,5.0,330.86,26.08,7.48,15.71,1.25,1.14,0.08,182.86,14.02,201.71,15.52,40.43,3.06,1.43,0.1,0.0,1.0,115.74,8.79,6.96,6.19,8.91,5.14,2.29,0.86,1.14,3.14,0.59,0.36,8.94,137.39,10.54,8.53,6.79,10.62,5.14,0.71,2.0,1.57,3.14,0.75,0.36,11.88,159.03,12.29,10.31,7.46,12.48,3.43,2.14,2.29,1.86,2.86,0.75,0.31,11.75,3,10.81,183.85,15.0
Steven Jackson,FA,RB,0.0,14.29,190.29,13.28,708.43,49.19,3.69,36.0,2.5,52.29,14.97,1.71,0.12,5.71,0.41,26.29,1.89,37.0,2.67,185.0,13.05,7.09,8.14,0.58,0.29,0.02,216.57,15.17,227.29,15.95,44.14,3.08,0.0,0.0,0.0,1.0,125.63,8.83,7.45,4.75,9.67,3.71,2.57,2.14,4.57,1.29,0.7,0.11,9.35,138.77,9.77,8.77,4.97,10.72,4.43,2.29,2.57,3.57,1.43,0.54,0.12,11.71,151.91,10.71,9.86,5.29,11.89,4.86,1.86,2.71,3.43,1.43,0.55,0.12,11.07,3,5.73,97.48,52.0
Rashad Jennings,FA,RB,0.0,12.0,156.43,13.22,615.0,51.2,3.87,33.71,2.85,36.14,13.13,1.0,0.07,4.29,0.35,30.14,2.52,40.57,3.4,231.14,19.16,7.6,8.71,0.72,0.0,0.0,186.57,15.74,197.0,16.62,42.43,3.57,0.71,0.07,0.01,0.99,109.19,9.03,6.65,7.44,8.81,4.57,1.57,1.71,1.14,3.0,0.53,0.34,8.84,124.26,10.29,7.97,7.97,10.02,4.57,1.14,2.0,1.57,2.71,0.55,0.3,11.62,139.33,11.55,9.58,8.61,11.37,4.57,1.14,1.43,1.29,3.57,0.7,0.44,11.29,3,11.04,187.63,13.0
Tre Mason,FA,RB,0.0,12.0,179.0,14.92,765.0,63.75,4.27,37.0,3.08,89.0,24.5,5.0,0.42,4.0,0.33,16.0,1.33,26.0,2.17,148.0,12.33,9.25,8.0,0.67,1.0,0.08,195.0,16.25,205.0,17.08,45.0,3.75,1.0,0.08,0.01,1.0,119.3,9.94,7.35,8.7,9.35,3.0,3.0,2.0,3.0,1.0,0.5,0.09,9.1,127.3,10.61,8.25,8.95,10.04,3.0,3.0,2.0,3.0,1.0,0.5,0.09,11.61,135.3,11.28,9.25,9.23,10.9,5.0,1.0,3.0,2.0,1.0,0.33,0.09,10.31,1,9.46,160.84,26.0
Justin Forsett,FA,RB,0.0,14.0,145.0,9.15,785.71,49.53,5.41,34.29,2.16,44.14,17.2,5.86,0.36,4.71,0.29,29.86,2.08,39.0,2.66,179.14,12.34,6.79,7.43,0.53,0.0,0.0,174.86,11.22,184.0,11.81,41.71,2.69,0.0,0.0,0.0,0.98,125.91,8.03,7.14,4.82,8.27,5.43,1.0,1.14,4.14,2.29,1.27,0.19,8.53,140.84,9.07,8.35,4.93,9.51,5.43,0.43,2.29,3.0,2.86,0.96,0.26,10.75,155.77,10.1,9.7,5.16,10.85,5.0,1.43,1.71,3.0,2.86,0.96,0.26,10.46,3,10.65,181.09,16.0
Doug Martin,FA,RB,0.0,10.29,158.43,15.86,620.29,60.36,3.79,26.0,2.47,54.0,18.51,1.29,0.14,3.0,0.25,17.86,1.68,28.29,2.81,122.86,10.68,5.76,4.57,0.36,0.14,0.01,176.29,17.54,186.71,18.66,30.57,2.84,0.43,0.06,0.0,0.94,92.31,8.54,7.36,5.07,9.21,3.71,0.57,2.29,2.86,0.86,0.7,0.09,8.52,101.24,9.38,8.35,5.06,10.29,4.0,0.29,2.86,2.29,0.86,0.61,0.09,10.6,110.17,10.23,9.34,5.13,11.54,4.0,0.29,3.0,1.86,1.14,0.5,0.14,9.99,3,7.72,131.22,36.0
Chris Johnson,FA,RB,0.0,16.0,207.71,12.98,864.14,54.01,4.19,33.86,2.12,48.86,16.91,2.29,0.14,3.14,0.2,30.86,1.93,41.29,2.58,218.0,13.63,6.86,9.0,0.56,1.71,0.11,238.57,14.91,249.0,15.56,42.86,2.68,1.71,0.1,0.01,1.0,133.93,8.37,6.91,5.64,8.67,5.43,3.0,2.57,2.29,2.71,0.54,0.23,8.65,149.36,9.33,7.43,5.89,9.7,6.0,2.43,3.29,1.57,2.71,0.45,0.23,10.52,164.79,10.3,7.97,6.21,10.88,6.29,1.71,3.71,1.71,2.57,0.45,0.22,9.86,3,8.97,152.42,29.0
Trent Richardson,FA,RB,0.0,15.29,182.71,11.96,593.14,38.87,3.23,27.43,1.8,26.29,10.12,1.0,0.07,4.14,0.27,32.71,2.14,44.29,2.89,273.57,17.86,8.45,12.0,0.78,0.43,0.03,215.43,14.1,227.0,14.85,39.43,2.58,0.86,0.06,0.01,1.0,112.39,7.36,6.49,4.58,8.06,6.57,1.71,3.71,1.43,1.86,0.52,0.19,7.96,128.74,8.43,8.36,4.92,9.2,6.29,2.43,3.29,1.14,2.14,0.52,0.27,10.51,145.1,9.5,9.89,5.37,10.45,6.0,3.0,2.71,1.29,2.29,0.54,0.35,10.4,3,5.06,85.98,59.0
Knowshon Moreno,FA,RB,0.0,7.43,106.29,12.67,456.14,56.1,4.5,24.29,3.04,20.29,10.7,1.29,0.09,4.0,0.44,20.71,1.63,25.43,1.97,185.0,14.29,8.32,9.86,0.71,0.86,0.05,127.0,14.31,131.71,14.65,34.14,3.76,0.14,0.02,0.0,0.73,92.97,9.97,6.55,9.24,9.41,1.57,0.57,0.86,1.86,2.57,1.15,0.5,7.84,103.33,10.79,7.53,9.33,10.26,1.57,1.0,0.43,1.86,2.57,1.15,0.5,10.36,113.69,11.6,8.76,9.49,11.28,1.57,0.71,0.86,1.14,3.14,1.06,0.62,9.31,3,10.4,176.76,18.0
Adrian Peterson,FA,RB,0.0,6.86,141.43,20.8,704.14,87.42,4.2,30.71,3.68,43.71,23.25,3.29,0.21,4.57,0.31,15.14,2.09,20.43,2.99,90.14,15.71,7.6,5.14,0.89,0.43,0.03,156.57,22.89,161.86,23.79,35.86,4.56,1.14,0.08,0.0,0.59,107.43,12.22,12.24,3.74,6.48,0.57,0.57,1.57,1.14,3.0,1.0,0.4,7.47,115.0,13.26,13.53,3.77,7.02,0.57,0.57,1.71,0.71,3.29,0.81,0.47,10.25,122.57,14.31,14.73,3.83,7.68,0.86,0.57,1.29,0.86,3.29,1.0,0.47,8.54,3,16.17,274.88,8.0
Branden Oliver,FA,RB,0.0,14.0,160.0,11.43,582.0,41.57,3.64,30.0,2.14,52.0,14.36,2.0,0.14,3.0,0.21,36.0,2.57,45.0,3.21,271.0,19.36,7.53,11.0,0.79,1.0,0.07,196.0,14.0,205.0,14.64,41.0,2.93,0.0,0.0,0.0,1.0,109.3,7.81,5.95,8.16,7.46,6.0,3.0,2.0,1.0,2.0,0.27,0.17,7.4,127.3,9.09,8.2,8.67,8.67,6.0,1.0,4.0,1.0,2.0,0.27,0.17,10.25,145.3,10.38,9.7,9.26,10.02,5.0,2.0,3.0,2.0,2.0,0.4,0.17,10.06,1,10.32,175.52,20.0
Darren Sproles,FA,RB,0.0,14.71,54.57,3.71,285.71,19.4,5.21,14.71,0.99,45.57,12.11,0.57,0.04,4.14,0.28,53.86,3.7,75.71,5.2,489.0,33.58,9.23,20.71,1.42,1.57,0.11,108.43,7.41,130.29,8.91,35.43,2.41,1.14,0.08,0.01,1.0,109.76,7.52,6.84,6.0,7.82,6.29,2.86,2.43,1.86,1.29,0.39,0.09,7.29,136.69,9.37,8.91,6.64,9.62,5.71,2.43,3.29,1.0,2.29,0.48,0.19,10.22,163.61,11.23,10.3,7.4,11.52,5.57,2.14,2.71,1.86,2.43,0.72,0.22,10.51,3,9.2,156.33,28.0
Pierre Thomas,FA,RB,0.0,13.0,82.71,5.96,351.29,25.84,4.53,18.57,1.38,27.43,10.44,0.71,0.06,1.86,0.15,53.29,4.08,63.0,4.86,413.14,32.17,8.0,19.71,1.55,1.57,0.12,136.0,10.05,145.71,10.82,38.29,2.93,0.29,0.02,0.0,1.0,96.44,7.35,6.06,5.87,7.63,5.71,2.0,3.0,1.14,1.14,0.21,0.1,6.97,123.09,9.39,7.9,6.6,9.6,4.86,1.86,2.57,2.43,1.29,0.44,0.11,10.22,149.73,11.43,9.73,7.39,11.68,4.57,2.29,1.71,3.0,1.43,0.53,0.12,10.42,3,8.44,143.51,30.0
