Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jamaal Charles,FA,RB,0.0,15,259,17.27,1287,85.8,4.97,72.0,4.8,46,21.53,1,0.07,12,0.8,70,4.67,104,6.93,693,46.2,9.9,32.0,2.13,7,0.47,329,21.93,363,24.2,104.0,6.93,2,0.13,0.01,1.0,308.0,20.53,18.5,10.45,18.44,0,1,1,1,12,6.5,4.0,22.43,343.0,22.87,21.0,10.87,20.62,0,1,0,2,12,14.0,4.0,28.76,378.0,25.2,23.7,11.36,23.13,0,1,0,2,12,14.0,4.0,27.38
Matt Forte,FA,RB,0.0,16,289,18.06,1339,83.69,4.63,74.0,4.62,55,25.19,5,0.31,9,0.56,74,4.62,94,5.88,594,37.12,8.03,23.0,1.44,3,0.19,363,22.69,383,23.94,97.0,6.06,2,0.12,0.01,1.0,263.3,16.46,15.1,7.91,15.85,1,1,1,6,7,4.33,0.78,18.02,300.3,18.77,18.1,7.88,18.34,0,2,0,5,9,7.0,1.29,24.19,337.3,21.08,20.1,8.0,21.12,0,2,0,5,9,7.0,1.29,23.08
LeSean McCoy,FA,RB,0.0,16,314,19.62,1607,100.44,5.12,79.0,4.94,57,22.25,3,0.19,9,0.56,52,3.25,64,4.0,539,33.69,10.37,23.0,1.44,2,0.12,366,22.88,378,23.62,102.0,6.38,1,0.06,0.0,1.0,278.6,17.41,15.65,7.92,16.76,0,1,3,4,8,3.0,1.0,18.33,304.6,19.04,17.4,7.66,18.73,0,1,2,5,8,4.33,1.0,23.42,330.6,20.66,19.2,7.55,21.0,0,0,2,6,8,7.0,1.0,22.44
Adrian Peterson,FA,RB,0.0,14,279,19.93,1266,90.43,4.54,59.0,4.21,78,27.29,3,0.21,10,0.71,29,2.07,40,2.86,171,12.21,5.9,11.0,0.79,1,0.07,308,22.0,319,22.79,70.0,5.0,3,0.21,0.01,1.0,203.7,14.55,14.9,8.75,13.66,2,2,2,2,6,1.33,0.75,15.73,218.2,15.59,17.15,9.02,14.72,2,2,2,1,7,1.33,1.0,19.75,232.7,16.62,18.55,9.35,16.02,3,2,1,1,7,1.33,1.0,18.33
Le'Veon Bell,FA,RB,0.0,13,244,18.77,860,66.15,3.52,48.0,3.69,43,15.15,3,0.23,8,0.62,45,3.46,66,5.08,399,30.69,8.87,13.0,1.0,0,0.0,289,22.23,310,23.85,61.0,4.69,1,0.08,0.0,1.0,171.9,13.22,13.9,4.67,14.53,0,1,4,4,4,1.6,0.44,15.66,194.4,14.95,15.9,4.93,16.43,0,1,4,3,5,1.6,0.62,19.74,216.9,16.68,16.6,5.33,18.5,0,1,4,5,3,1.6,0.3,18.18
Knowshon Moreno,FA,RB,0.0,16,241,15.06,1038,64.88,4.31,53.0,3.31,31,14.06,4,0.25,10,0.62,60,3.75,74,4.62,548,34.25,9.13,29.0,1.81,3,0.19,301,18.81,315,19.69,82.0,5.12,0,0.0,0.0,1.0,236.6,14.79,13.7,7.63,14.37,1,2,2,5,6,2.2,0.6,15.55,266.6,16.66,15.5,7.99,16.22,1,3,1,5,6,2.2,0.6,19.58,296.6,18.54,18.2,8.51,18.29,1,2,2,3,8,2.2,1.0,19.24
DeMarco Murray,FA,RB,0.0,14,217,15.5,1121,80.07,5.17,59.0,4.21,43,22.5,2,0.14,9,0.64,53,3.79,66,4.71,350,25.0,6.6,18.0,1.29,1,0.07,270,19.29,283,20.21,77.0,5.5,1,0.07,0.0,1.0,205.1,14.65,12.55,7.4,14.34,1,2,1,6,4,2.5,0.4,15.07,231.6,16.54,15.05,7.27,16.49,0,1,4,5,4,1.8,0.4,19.36,258.1,18.44,16.05,7.27,18.92,0,0,5,4,5,1.8,0.56,18.13
Marshawn Lynch,FA,RB,0.0,16,301,18.81,1257,78.56,4.18,68.0,4.25,43,19.38,4,0.25,12,0.75,36,2.25,44,2.75,316,19.75,8.78,12.0,0.75,2,0.12,337,21.06,345,21.56,80.0,5.0,1,0.06,0.0,1.0,239.3,14.96,14.75,8.42,14.18,1,3,2,3,7,1.67,0.78,15.97,257.3,16.08,16.0,8.8,15.29,2,3,1,4,6,1.67,0.6,19.26,275.3,17.21,16.75,9.23,16.63,2,3,2,3,6,1.29,0.6,17.38
Eddie Lacy,FA,RB,0.0,15,284,18.93,1178,78.53,4.15,61.0,4.07,60,19.47,0,0.0,11,0.73,35,2.33,44,2.93,257,17.13,7.34,12.0,0.8,0,0.0,319,21.27,328,21.87,73.0,4.87,1,0.07,0.0,1.0,207.5,13.83,14.1,6.55,13.96,2,0,2,5,6,2.75,0.67,16.06,225.0,15.0,15.1,7.07,15.06,2,0,4,3,6,1.5,0.67,18.74,242.5,16.17,16.1,7.64,16.38,2,0,4,3,6,1.5,0.67,17.24
Reggie Bush,FA,RB,0.0,14,223,15.93,1006,71.86,4.51,47.0,3.36,39,20.0,2,0.14,4,0.29,54,3.86,80,5.71,506,36.14,9.37,22.0,1.57,3,0.21,277,19.79,303,21.64,69.0,4.93,4,0.29,0.01,1.0,185.2,13.23,11.9,7.35,12.97,2,2,2,2,6,1.33,0.75,14.14,212.2,15.16,13.9,7.77,14.86,2,1,2,3,6,1.8,0.75,18.43,239.2,17.09,15.9,8.25,16.99,2,0,3,4,5,1.8,0.56,17.44
