Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Saquon Barkley,PHI,RB,1.0,15.43,309.86,19.99,1608.0,102.95,5.07,70.29,4.52,61.14,28.88,13.0,0.83,10.57,0.67,38.71,2.52,52.57,3.44,287.14,18.66,7.61,12.86,0.84,2.29,0.15,348.57,22.52,362.43,23.44,83.14,5.37,1.14,0.07,0.0,1.0,268.66,17.25,15.44,9.22,15.94,0.57,1.86,1.57,3.43,8.0,3.28,1.09,17.97,288.01,18.52,16.73,9.54,17.21,0.57,3.0,0.71,3.29,7.86,2.66,1.06,21.49,307.37,19.78,17.95,9.89,18.77,0.86,2.43,1.0,3.14,8.0,2.66,1.09,19.94,7,16.86,286.7,3.0
Derrick Henry,BAL,RB,1.0,16.86,315.57,18.75,1650.86,97.92,5.2,81.0,4.8,77.43,28.66,13.71,0.81,14.43,0.86,23.57,1.41,28.71,1.71,228.29,13.64,9.71,9.86,0.59,1.14,0.07,339.14,20.15,344.29,20.46,90.86,5.39,1.0,0.06,0.0,1.0,282.4,16.75,15.78,7.91,16.15,1.57,1.0,1.43,4.43,8.43,3.62,1.01,17.96,294.19,17.46,16.67,8.04,16.97,1.57,1.29,1.14,4.43,8.43,3.62,1.01,21.35,305.97,18.16,17.45,8.2,18.07,1.57,1.0,1.43,4.71,8.14,3.62,0.95,19.35,8,15.15,257.61,5.0
Bijan Robinson,ATL,RB,1.0,17.0,274.0,16.12,1296.0,76.24,4.71,71.33,4.19,37.33,17.1,5.67,0.33,10.67,0.63,60.0,3.53,76.67,4.51,449.67,26.45,7.51,21.33,1.26,2.0,0.12,334.0,19.65,350.67,20.63,92.67,5.45,1.0,0.06,0.0,1.0,249.9,14.7,15.13,6.73,14.73,1.0,1.67,2.0,5.0,7.33,3.49,0.85,16.89,279.9,16.47,16.8,6.83,16.7,1.0,0.67,3.0,3.67,8.67,3.49,1.14,21.28,309.9,18.23,18.67,7.04,18.93,1.0,0.0,4.33,2.67,9.0,2.54,1.19,19.96,2,17.17,291.94,2.0
Jahmyr Gibbs,DET,RB,1.0,16.33,227.33,13.85,1256.33,76.37,5.5,60.67,3.68,58.67,24.01,12.0,0.73,14.0,0.85,52.0,3.2,65.67,4.05,450.0,27.3,8.65,22.67,1.38,3.0,0.18,279.33,17.04,293.0,17.9,83.33,5.06,1.0,0.06,0.0,1.0,270.63,16.42,15.2,7.92,15.79,0.33,1.33,3.67,2.33,8.67,2.46,1.18,16.98,296.63,18.02,15.63,8.24,17.39,0.33,1.0,3.33,3.67,8.0,3.41,0.97,20.47,322.63,19.61,17.07,8.7,19.24,0.67,1.0,2.67,3.33,8.67,3.49,1.18,19.45,2,19.11,324.83,1.0
Kyren Williams,LAR,RB,1.0,13.71,250.71,17.34,1089.0,76.11,4.35,67.14,4.62,35.57,15.4,3.14,0.23,11.43,0.79,29.86,2.13,38.29,2.79,173.71,12.77,6.1,6.71,0.52,2.0,0.14,280.57,19.48,289.0,20.13,73.86,5.14,2.29,0.16,0.01,0.98,202.84,14.2,13.54,5.94,14.43,1.0,1.29,1.14,3.71,6.57,3.9,1.3,16.32,217.77,15.26,14.7,6.12,15.66,1.0,0.71,2.29,3.43,6.29,3.14,1.02,19.47,232.7,16.34,15.56,6.42,17.08,1.0,1.29,2.29,3.71,5.43,2.69,0.74,17.45,3,11.98,203.68,11.0
Josh Jacobs,GB,RB,1.0,15.86,287.14,18.1,1225.57,76.26,4.21,64.71,3.98,52.0,19.6,5.86,0.36,12.0,0.74,38.71,2.47,49.14,3.17,337.14,21.36,8.79,15.14,0.97,0.57,0.03,325.86,20.56,336.29,21.27,79.86,4.95,2.14,0.13,0.01,1.0,227.41,14.12,13.56,7.04,14.04,1.14,1.14,4.14,3.29,6.14,1.5,0.65,15.16,246.77,15.36,14.53,7.2,15.41,1.14,1.14,4.57,2.0,7.0,1.32,0.79,18.61,266.13,16.59,15.31,7.47,17.0,1.29,1.14,5.14,1.29,7.0,1.09,0.79,16.94,6,13.42,228.06,8.0
Jonathan Taylor,IND,RB,1.0,12.57,248.86,19.48,1152.43,89.83,4.59,58.14,4.56,63.43,23.38,8.14,0.63,8.86,0.7,19.71,1.61,30.0,2.4,141.86,11.62,7.35,6.0,0.48,0.86,0.07,268.57,21.09,278.86,21.88,64.14,5.04,1.0,0.08,0.0,0.99,185.71,14.59,13.54,8.67,13.73,1.29,1.71,1.86,2.14,5.57,1.77,0.81,15.21,195.57,15.4,14.74,8.68,14.7,1.43,1.29,2.29,2.57,5.0,1.56,0.67,18.39,205.43,16.2,15.74,8.75,15.9,1.43,1.29,2.14,3.57,4.14,1.6,0.49,16.62,5,12.01,204.15,10.0
James Conner,ARI,RB,1.0,14.71,220.43,15.01,1034.0,70.52,4.69,61.43,4.17,46.14,18.57,7.0,0.49,7.57,0.52,41.14,2.78,49.14,3.33,326.57,21.71,7.71,14.71,0.99,1.29,0.09,261.57,17.79,269.57,18.34,76.14,5.16,0.71,0.05,0.0,1.0,190.06,12.91,13.91,7.36,12.68,2.0,2.0,1.29,3.14,6.29,1.82,0.75,14.75,210.63,14.3,15.07,7.54,14.15,2.29,1.86,1.14,3.43,6.0,1.82,0.69,18.33,231.2,15.69,15.91,7.81,15.84,1.43,2.14,1.71,4.0,5.43,1.82,0.58,16.67,8,10.69,181.77,16.0
Alvin Kamara,NO,RB,1.0,13.86,213.57,15.39,869.29,62.57,4.06,47.43,3.42,22.43,13.55,2.14,0.15,5.14,0.37,68.43,4.97,86.43,6.26,513.43,37.08,7.57,19.29,1.4,1.71,0.12,282.0,20.35,300.0,21.64,66.71,4.83,0.57,0.04,0.0,1.0,179.99,13.0,11.44,8.24,12.41,1.43,1.14,2.29,5.14,3.86,2.14,0.39,13.78,214.2,15.48,13.84,8.28,14.98,1.0,1.14,2.43,5.43,3.86,2.45,0.39,18.3,248.41,17.96,16.09,8.46,17.78,0.14,2.0,2.43,4.86,4.43,2.45,0.51,18.01,8,11.87,201.8,12.0
Joe Mixon,HOU,RB,1.0,15.0,243.71,16.34,994.0,66.71,4.08,52.71,3.52,52.0,18.87,6.0,0.42,9.86,0.67,44.0,2.91,58.71,3.91,347.0,23.13,8.02,13.29,0.89,1.71,0.11,287.71,19.25,302.43,20.25,66.0,4.41,0.0,0.0,0.0,1.0,204.1,13.68,14.0,8.91,12.9,2.0,2.71,1.86,2.86,5.57,1.29,0.7,14.71,226.1,15.14,14.83,8.96,14.43,1.43,3.14,1.43,3.86,5.14,1.57,0.57,17.9,248.1,16.6,15.44,9.08,16.22,1.43,2.71,2.14,3.29,5.43,1.41,0.61,16.62,8,8.92,151.6,23.0
