Player,TEAM,POS,DPCHT,G,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_LG,rush_LG_mean,rush_20,rush_20_mean,rush_TD,rush_TD_mean,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_TD,rec_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Dalvin Cook,DAL,RB,1.0,14.0,291.33,20.81,1416.33,101.16,4.84,80.67,5.76,71.67,21.28,6.33,0.45,15.0,1.07,47.0,3.36,57.0,4.07,413.67,29.55,8.73,20.0,1.43,0.67,0.05,338.33,24.17,348.33,24.88,100.67,7.19,2.67,0.19,0.01,1.0,275.67,19.69,18.18,9.3,18.23,0.33,0.67,0.33,4.33,8.33,10.67,1.53,21.85,299.17,21.37,20.45,9.15,20.13,0.33,0.67,0.33,4.33,8.33,10.67,1.53,27.12,322.67,23.05,22.45,9.08,22.39,0.33,0.0,1.33,3.0,9.33,9.89,2.11,25.31,2,20.55,349.33,2.0
Christian McCaffrey,SF,RB,1.0,8.57,147.0,18.32,681.71,77.43,4.27,31.86,4.16,41.0,17.71,2.57,0.16,8.14,1.29,58.14,6.27,69.14,7.26,496.14,54.07,8.64,27.0,2.93,2.57,0.31,205.14,24.58,216.14,25.58,58.86,7.08,0.14,0.01,0.0,0.75,183.21,22.81,23.33,5.85,24.94,0.14,0.57,0.57,0.57,6.71,4.03,3.14,18.9,212.29,25.94,25.56,6.75,27.02,0.43,0.0,0.43,0.57,7.14,6.43,3.95,24.43,241.36,29.07,27.96,7.94,29.52,0.43,0.0,0.43,0.43,7.29,6.43,4.03,22.57,3,14.81,251.78,6.0
Alvin Kamara,NO,RB,1.0,14.71,183.43,12.46,886.43,60.18,4.83,50.43,3.41,46.43,19.15,5.57,0.38,12.57,0.85,82.14,5.59,103.86,7.05,685.57,46.43,8.34,32.43,2.2,3.71,0.25,265.57,18.05,287.29,19.52,82.86,5.61,0.29,0.02,0.0,1.0,255.34,17.25,14.1,10.13,15.56,1.0,1.0,2.57,4.0,6.14,2.89,0.74,16.43,296.41,20.04,17.24,10.69,18.11,1.0,0.29,2.29,3.43,7.71,4.57,1.18,22.27,337.49,22.84,20.74,11.47,20.89,1.29,0.0,1.29,3.57,8.57,5.36,1.52,22.49,3,18.81,319.85,3.0
Derrick Henry,BAL,RB,1.0,15.71,333.29,21.19,1748.57,111.12,5.21,84.14,5.34,89.0,26.74,12.29,0.78,16.0,1.02,18.14,1.16,27.14,1.73,138.14,8.88,7.64,4.0,0.26,0.57,0.04,351.43,22.35,360.43,22.91,88.14,5.6,2.14,0.13,0.01,1.0,285.03,18.14,16.02,11.01,16.11,1.57,1.29,3.0,2.0,7.86,1.89,1.1,17.67,294.1,18.72,16.38,11.12,16.8,2.0,1.71,2.14,2.71,7.14,1.89,0.92,20.76,303.17,19.3,16.74,11.25,17.77,2.86,1.43,1.57,3.0,6.86,1.89,0.84,18.44,3,20.99,356.91,1.0
Ezekiel Elliott,LAC,RB,1.0,15.33,263.0,17.12,1105.0,71.78,4.18,67.33,4.38,31.67,15.54,3.33,0.22,8.0,0.52,52.67,3.44,71.0,4.63,365.33,23.77,6.93,20.33,1.32,2.0,0.13,315.67,20.55,334.0,21.75,87.67,5.71,4.0,0.26,0.02,1.0,200.37,13.0,12.7,6.41,13.23,2.0,2.33,1.33,4.67,5.0,2.2,0.5,14.66,226.7,14.72,14.62,6.51,15.13,1.33,3.0,1.0,4.67,5.33,3.09,0.57,19.29,253.03,16.43,16.13,6.81,17.2,1.33,2.33,1.67,4.0,6.0,3.09,0.67,17.97,2,14.01,238.25,8.0
Aaron Jones Sr.,MIN,RB,1.0,14.67,212.67,14.49,1097.33,75.16,5.19,53.0,3.62,70.0,25.01,5.67,0.39,11.33,0.76,47.67,3.26,64.67,4.42,394.67,26.78,8.26,16.0,1.09,2.33,0.16,260.33,17.74,277.33,18.91,69.0,4.71,0.67,0.04,0.0,1.0,229.87,15.63,13.67,9.89,14.26,1.67,0.67,3.33,4.0,5.0,1.62,0.53,15.04,253.7,17.25,15.5,10.2,15.85,1.67,0.67,3.33,4.33,4.67,1.62,0.47,18.71,277.53,18.89,17.05,10.56,17.73,1.33,1.0,2.67,5.0,4.67,1.93,0.47,17.9,2,17.8,302.52,4.0
James Robinson,FA,RB,0.0,14.0,240.0,17.14,1070.0,76.43,4.46,54.0,3.86,47.0,19.29,5.0,0.36,7.0,0.5,49.0,3.5,60.0,4.29,344.0,24.57,7.02,15.0,1.07,3.0,0.21,289.0,20.64,300.0,21.43,69.0,4.93,1.0,0.07,0.0,1.0,201.4,14.39,11.3,6.72,14.43,1.0,0.0,4.0,3.0,6.0,1.8,0.75,14.73,225.9,16.14,13.05,7.06,16.21,0.0,1.0,4.0,4.0,5.0,1.8,0.56,18.43,250.4,17.89,15.0,7.49,18.22,0.0,0.0,5.0,4.0,5.0,1.8,0.56,17.55,1,13.97,237.5,10.0
Nick Chubb,CLE,RB,1.0,13.71,221.14,16.08,1178.86,86.38,5.38,55.86,4.15,72.0,29.07,11.57,0.87,10.29,0.79,22.29,1.58,28.43,1.99,186.43,13.44,8.63,7.86,0.56,0.29,0.02,243.43,17.67,249.57,18.07,63.71,4.71,1.43,0.1,0.0,1.0,197.1,14.6,14.16,7.83,14.18,2.57,0.14,1.86,3.29,5.86,3.29,0.96,15.97,208.24,15.39,14.62,8.1,15.03,2.57,0.43,2.14,3.86,4.71,2.14,0.57,18.23,219.39,16.19,15.42,8.44,16.1,2.57,0.86,2.29,3.86,4.14,2.02,0.45,16.42,3,12.91,219.55,14.0
Jonathan Taylor,IND,RB,1.0,15.0,232.0,15.47,1169.0,77.93,5.04,69.0,4.6,62.0,19.87,7.0,0.47,11.0,0.73,36.0,2.4,40.0,2.67,299.0,19.93,8.31,12.0,0.8,1.0,0.07,268.0,17.87,272.0,18.13,81.0,5.4,1.0,0.07,0.0,1.0,216.8,14.45,12.2,9.16,13.42,2.0,1.0,2.0,5.0,5.0,2.0,0.5,14.23,234.8,15.65,13.5,8.99,14.8,2.0,2.0,1.0,5.0,5.0,2.0,0.5,18.0,252.8,16.85,15.4,8.88,16.45,2.0,2.0,1.0,4.0,6.0,2.0,0.67,16.87,1,17.11,290.79,5.0
Chris Carson,FA,RB,0.0,13.14,195.29,14.53,905.0,67.6,4.69,54.71,4.1,42.14,17.83,5.14,0.38,6.14,0.47,34.57,2.67,43.14,3.33,263.29,20.4,7.65,11.86,0.93,2.86,0.23,229.86,17.2,238.43,17.86,66.57,5.03,1.43,0.1,0.0,1.0,167.97,12.76,13.3,6.03,13.15,1.14,2.57,1.57,2.57,5.29,1.49,0.68,14.43,185.26,14.09,14.69,6.35,14.54,1.29,1.57,2.57,3.0,4.71,1.42,0.56,17.91,202.54,15.43,15.64,6.74,16.14,1.57,1.29,3.0,2.29,5.0,1.27,0.63,16.38,3,10.75,182.81,19.0
David Montgomery,DET,RB,1.0,15.33,245.33,16.02,1009.67,66.07,4.11,56.0,3.66,71.67,19.3,4.33,0.28,7.33,0.48,44.33,2.92,57.0,3.75,353.67,23.32,7.87,19.0,1.26,1.67,0.11,289.67,18.94,302.33,19.77,75.0,4.92,1.33,0.09,0.0,1.0,189.0,12.4,10.15,7.18,12.19,2.33,3.33,2.67,1.33,5.67,0.91,0.66,12.53,211.17,13.86,12.73,7.36,13.72,2.67,2.33,3.33,1.33,5.67,0.91,0.66,16.64,233.33,15.32,15.37,7.65,15.46,3.33,1.67,2.67,2.33,5.33,1.15,0.63,16.04,2,12.34,209.83,15.0
Josh Jacobs,GB,RB,1.0,14.33,262.67,18.34,1093.33,76.82,4.18,58.33,4.07,35.67,18.02,4.67,0.34,10.33,0.71,28.67,1.98,39.0,2.69,214.0,14.84,7.57,8.67,0.61,0.0,0.0,291.33,20.32,301.67,21.03,67.0,4.68,1.67,0.11,0.01,1.0,189.4,13.21,11.87,8.1,12.66,2.0,2.67,2.33,2.67,4.67,1.05,0.48,13.51,203.73,14.2,12.57,8.23,13.73,2.0,1.33,4.0,2.33,4.67,0.97,0.48,16.5,218.07,15.19,13.23,8.42,15.03,2.67,1.33,4.67,1.0,4.67,0.65,0.48,14.7,2,13.09,222.57,12.0
Austin Ekeler,WAS,RB,1.0,12.29,119.14,10.07,541.14,45.88,4.56,27.57,2.31,31.29,14.01,2.86,0.23,1.86,0.14,62.71,5.13,75.57,6.18,571.71,44.88,8.83,26.0,2.08,3.86,0.29,181.86,15.19,194.71,16.25,53.57,4.39,0.71,0.04,0.0,0.98,144.14,11.56,10.89,6.13,11.88,1.43,1.57,3.29,3.86,2.14,0.96,0.2,11.71,175.5,14.12,13.6,7.1,14.14,1.29,0.43,4.0,3.14,3.43,1.28,0.4,16.26,206.86,16.69,16.03,8.28,16.55,1.29,1.29,3.0,2.71,4.0,1.37,0.49,16.09,3,14.09,239.52,7.0
