Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Virgil Green,FA,TE,0.0,8.85,5.62,0.58,9.23,1.02,68.77,7.98,14.39,3.08,0.34,23.46,7.71,1.08,0.14,1.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,0.58,9.23,1.02,3.08,0.34,0.0,0.0,0.0,0.85,12.88,1.61,0.51,2.93,1.76,7.77,0.08,0.31,0.69,0.0,0.14,0.0,0.99,15.68,1.9,0.87,3.1,2.11,7.77,0.08,1.0,0.0,0.0,0.0,0.0,1.27,18.49,2.19,1.24,3.29,2.48,7.77,1.08,0.0,0.0,0.0,0.0,0.0,1.36,3,0.0,0.0,119.0
Demetrius Harris,FA,TE,0.0,15.0,9.23,0.62,17.85,1.19,78.15,5.21,7.79,4.38,0.29,14.23,3.61,0.62,0.04,0.92,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.23,0.62,17.85,1.19,4.38,0.29,0.0,0.0,0.0,1.0,13.82,0.92,0.46,1.31,1.12,14.0,0.0,0.62,0.38,0.0,0.03,0.0,0.79,18.43,1.23,0.46,1.71,1.49,14.0,0.54,0.15,0.31,0.0,0.02,0.0,1.08,23.05,1.54,0.53,2.12,1.86,14.46,0.23,0.23,0.08,0.0,0.01,0.0,1.08,3,1.3,22.02,74.0
Juwan Johnson,NO,TE,2.0,7.0,4.0,0.57,10.0,1.43,39.0,5.57,9.75,3.0,0.43,19.0,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.57,10.0,1.43,3.0,0.43,0.0,0.0,0.0,0.84,3.9,0.56,0.4,0.71,0.87,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,5.9,0.84,0.9,0.93,1.27,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,7.9,1.13,1.4,1.16,1.66,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,1,0.0,0.0,119.0
Jace Sternberger,FA,TE,0.0,10.5,9.0,0.75,11.5,0.98,85.5,7.12,7.12,4.5,0.38,20.25,4.44,1.5,0.13,0.75,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.75,11.5,0.98,4.5,0.38,0.0,0.0,0.0,0.94,13.05,1.09,0.04,1.66,1.27,9.75,0.75,0.0,0.0,0.0,0.0,0.0,0.62,17.55,1.46,0.22,2.02,1.69,9.75,0.75,0.0,0.0,0.0,0.0,0.0,1.05,22.05,1.84,0.41,2.42,2.09,10.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1,2,0.0,0.0,119.0
Tommy Stevens,FA,TE,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,24.0,24.0,6.0,2.0,2.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,119.0
Ricky Seals-Jones,FA,TE,0.0,5.77,5.85,0.41,11.08,1.06,79.23,5.53,4.55,3.38,0.24,16.69,4.06,1.54,0.11,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.85,0.41,11.08,1.06,3.38,0.24,0.23,0.02,0.02,0.61,13.46,0.95,0.27,1.41,0.93,4.77,0.15,0.08,0.31,0.46,0.07,0.04,0.7,16.38,1.15,0.48,1.58,1.14,4.77,0.08,0.15,0.31,0.46,0.07,0.04,0.99,19.31,1.35,0.65,1.75,1.36,4.85,0.0,0.15,0.54,0.23,0.07,0.02,1.0,3,0.0,0.0,119.0
Blake Bell,FA,TE,0.0,15.31,10.08,0.66,14.69,0.97,96.77,6.31,9.5,5.77,0.37,24.77,5.14,0.92,0.06,0.0,0.0,0.69,0.04,1.38,0.08,1.38,0.69,0.04,0.0,0.0,10.77,0.7,15.38,1.01,6.46,0.42,0.0,0.0,0.0,1.0,9.82,0.64,0.09,1.04,0.91,15.08,0.23,0.0,0.0,0.0,0.0,0.0,0.5,14.85,0.97,0.33,1.36,1.33,15.31,0.0,0.0,0.0,0.0,0.0,0.0,0.97,19.89,1.3,0.72,1.69,1.74,15.31,0.0,0.0,0.0,0.0,0.0,0.0,1.08,3,1.48,25.21,70.0
MyCole Pruitt,PIT,TE,1.0,12.46,5.54,0.45,8.23,0.68,62.54,4.9,11.12,4.15,0.34,27.0,4.39,1.23,0.1,1.69,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.45,8.23,0.68,4.15,0.34,0.0,0.0,0.0,1.0,16.41,1.37,0.0,2.63,1.52,10.54,0.92,0.92,0.08,0.0,0.01,0.0,0.69,19.18,1.58,0.0,2.87,1.8,10.77,0.69,0.92,0.08,0.0,0.01,0.0,0.96,21.95,1.81,0.0,3.12,2.08,11.46,0.69,0.31,0.0,0.0,0.0,0.0,0.9,3,0.0,0.0,119.0
Devin Asiasi,FA,TE,0.0,8.0,2.0,0.25,7.0,0.88,39.0,4.88,19.5,2.0,0.25,26.0,3.25,1.0,0.12,1.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,7.0,0.88,2.0,0.25,0.0,0.0,0.0,0.88,9.9,1.24,0.0,3.5,1.29,7.0,0.0,0.0,1.0,0.0,0.14,0.0,0.71,10.9,1.36,0.0,3.85,1.44,7.0,0.0,0.0,1.0,0.0,0.14,0.0,0.88,11.9,1.49,0.0,4.21,1.59,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.64,1,0.0,0.0,119.0
Lawrence Cager,WAS,TE,2.0,2.0,2.0,1.0,6.0,3.0,35.0,17.5,17.5,2.0,1.0,19.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,3.0,2.0,1.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,1.0,0.5,0.5,0.71,0.81,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,2.0,1.0,1.0,1.41,1.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,1,0.0,0.0,119.0
