Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Vernon Davis,FA,TE,0.0,16,67,4.19,95,5.94,792,49.5,11.82,33.0,2.06,44,24.25,0,0.0,6,0.38,2,0.12,-5,-0.31,-2.5,0.0,0.0,0,0.0,69,4.31,97,6.06,33.0,2.06,1,0.06,0.01,1.0,112.7,7.04,5.05,4.91,6.77,7,2,0,4,3,0.78,0.23,6.46,146.2,9.14,7.3,5.48,8.83,7,2,0,2,5,0.78,0.45,9.46,179.7,11.23,9.55,6.16,10.89,6,3,0,2,5,0.78,0.45,10.15
Dustin Keller,FA,TE,0.0,16,65,4.06,115,7.19,815,50.94,12.54,39.0,2.44,41,21.44,0,0.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,65,4.06,115,7.19,39.0,2.44,1,0.06,0.02,1.0,109.5,6.84,5.75,5.2,6.48,7,2,2,2,3,0.45,0.23,6.45,142.0,8.88,7.45,5.78,8.47,7,1,2,4,2,0.6,0.14,9.18,174.5,10.91,9.65,6.45,10.46,7,1,2,2,4,0.6,0.33,9.86
Brent Celek,FA,TE,0.0,16,62,3.88,97,6.06,811,50.69,13.08,35.0,2.19,73,21.31,0,0.0,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,62,3.88,97,6.06,35.0,2.19,0,0.0,0.0,1.0,111.1,6.94,5.65,6.18,6.3,7,3,1,2,3,0.45,0.23,6.23,142.1,8.88,8.15,6.85,8.12,7,1,3,2,3,0.45,0.23,9.05,173.1,10.82,10.65,7.61,9.95,6,2,2,3,3,0.6,0.23,9.83
Jermaine Gresham,FA,TE,0.0,14,56,4.0,92,6.57,596,42.57,10.64,31.0,2.21,31,17.79,0,0.0,6,0.43,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,56,4.0,92,6.57,31.0,2.21,1,0.07,0.02,1.0,93.6,6.69,5.15,4.24,6.66,5,3,2,2,2,0.4,0.17,6.09,121.6,8.69,7.4,4.67,8.74,6,2,2,1,3,0.4,0.27,9.05,149.6,10.69,9.65,5.11,10.86,6,1,2,3,2,0.56,0.17,9.72
Kellen Winslow,FA,TE,0.0,16,75,4.69,121,7.56,763,47.69,10.17,40.0,2.5,37,18.56,0,0.0,2,0.12,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,75,4.69,121,7.56,40.0,2.5,1,0.06,0.01,1.0,90.3,5.64,4.8,2.79,6.24,8,4,1,2,1,0.23,0.07,5.57,127.8,7.99,7.5,3.47,8.66,5,6,2,2,1,0.23,0.07,8.86,165.3,10.33,9.95,4.22,11.01,3,5,5,2,1,0.23,0.07,9.53
Jake Ballard,FA,TE,0.0,14,38,2.71,61,4.36,604,43.14,15.89,31.0,2.21,41,21.79,0,0.0,4,0.29,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,38,2.71,61,4.36,31.0,2.21,0,0.0,0.0,1.0,84.4,6.03,5.1,4.24,6.01,5,4,1,2,2,0.4,0.17,5.59,103.4,7.39,6.55,4.74,7.4,7,2,1,2,2,0.4,0.17,7.83,122.4,8.74,7.8,5.27,8.82,8,1,1,4,0,0.4,0.0,7.57
Owen Daniels,FA,TE,0.0,15,54,3.6,85,5.67,677,45.13,12.54,41.0,2.73,34,19.33,0,0.0,3,0.2,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,54,3.6,85,5.67,41.0,2.73,0,0.0,0.0,1.0,85.7,5.71,3.5,4.25,5.69,8,1,2,2,2,0.36,0.15,4.9,112.7,7.51,5.1,5.01,7.43,8,1,2,2,2,0.36,0.15,7.6,139.7,9.31,7.1,5.81,9.17,8,0,3,2,2,0.36,0.15,7.73
Anthony Fasano,FA,TE,0.0,15,32,2.13,54,3.6,451,30.07,14.09,25.0,1.67,35,17.0,0,0.0,5,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,32,2.13,54,3.6,25.0,1.67,0,0.0,0.0,1.0,75.1,5.01,5.6,4.34,4.96,7,3,3,1,1,0.15,0.07,4.89,91.1,6.07,7.1,4.69,6.1,7,3,3,1,1,0.15,0.07,6.78,107.1,7.14,8.6,5.12,7.25,7,3,3,1,1,0.15,0.07,7.01
Jared Cook,FA,TE,0.0,16,49,3.06,81,5.06,759,47.44,15.49,34.0,2.12,80,23.5,0,0.0,3,0.19,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,49,3.06,81,5.06,34.0,2.12,2,0.12,0.04,1.0,89.9,5.62,3.9,6.04,5.13,9,3,2,0,2,0.14,0.14,4.5,114.4,7.15,5.15,6.92,6.52,9,2,2,1,2,0.23,0.14,6.73,138.9,8.68,6.75,7.91,7.91,9,1,3,0,3,0.23,0.23,6.97
Dallas Clark,FA,TE,0.0,11,34,3.09,65,5.91,352,32.0,10.35,22.0,2.0,21,13.0,0,0.0,2,0.18,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,34,3.09,65,5.91,22.0,2.0,1,0.09,0.03,1.0,45.2,4.11,3.9,3.42,4.32,7,1,1,2,0,0.22,0.0,4.17,62.2,5.65,5.9,4.37,5.78,7,1,0,3,0,0.38,0.0,6.72,79.2,7.2,7.6,5.36,7.23,7,0,1,3,0,0.38,0.0,6.98
