Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Jimmy Graham,FA,TE,0.0,16,86,5.38,143,8.94,1215,75.94,14.13,61.0,3.81,56,29.38,11,0.69,16,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,86,5.38,143,8.94,61.0,3.81,0,0.0,0.0,1.0,217.5,13.59,13.4,7.84,11.62,3,1,0,2,10,3.0,1.67,14.32,260.5,16.28,16.5,8.89,13.94,2,1,1,2,10,3.0,1.67,18.39,303.5,18.97,18.5,10.04,16.28,2,0,2,2,10,3.0,1.67,18.22
Rob Gronkowski,FA,TE,0.0,7,39,5.57,66,9.43,592,84.57,15.18,31.0,4.43,50,30.57,6,0.86,4,0.57,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,39,5.57,66,9.43,31.0,4.43,0,0.0,0.0,0.84,83.2,11.89,11.9,6.92,10.48,2,0,0,1,4,2.5,1.33,10.82,102.7,14.67,15.4,8.14,12.85,2,0,0,1,4,2.5,1.33,14.99,122.2,17.46,19.4,9.4,15.23,2,0,0,1,4,2.5,1.33,14.92
Julius Thomas,FA,TE,0.0,14,65,4.64,90,6.43,788,56.29,12.12,41.0,2.93,74,23.21,8,0.57,12,0.86,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,65,4.64,90,6.43,41.0,2.93,0,0.0,0.0,1.0,150.8,10.77,9.9,6.58,9.62,3,1,1,5,4,1.8,0.4,10.42,183.3,13.09,11.9,7.08,11.87,3,1,1,5,4,1.8,0.4,13.59,215.8,15.41,13.9,7.64,14.17,1,3,2,4,4,1.33,0.4,13.58
Vernon Davis,FA,TE,0.0,15,52,3.47,84,5.6,850,56.67,16.35,35.0,2.33,64,27.33,9,0.6,13,0.87,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,52,3.47,84,5.6,35.0,2.33,1,0.07,0.02,1.0,161.0,10.73,10.5,7.9,9.16,3,1,2,4,5,1.5,0.5,10.33,187.0,12.47,12.0,8.78,10.71,3,0,3,4,5,1.5,0.5,12.72,213.0,14.2,13.5,9.68,12.3,3,0,3,4,5,1.5,0.5,12.79
Tony Gonzalez,FA,TE,0.0,16,83,5.19,121,7.56,859,53.69,10.35,56.0,3.5,25,15.94,5,0.31,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,83,5.19,121,7.56,56.0,3.5,0,0.0,0.0,1.0,135.9,8.49,8.4,6.27,7.67,6,1,2,3,4,0.78,0.33,8.43,177.4,11.09,10.55,7.43,9.93,6,1,1,3,5,1.0,0.45,12.24,218.9,13.68,12.05,8.67,12.18,5,2,2,2,5,0.78,0.45,11.82
Jordan Cameron,FA,TE,0.0,15,80,5.33,118,7.87,917,61.13,11.46,47.0,3.13,53,22.53,7,0.47,7,0.47,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,80,5.33,118,7.87,47.0,3.13,0,0.0,0.0,1.0,133.7,8.91,6.9,6.99,7.84,6,1,2,2,4,0.67,0.36,7.87,173.7,11.58,9.4,8.0,10.18,6,0,3,1,5,0.67,0.5,11.51,213.7,14.25,11.9,9.07,12.54,4,2,3,1,5,0.67,0.5,11.89
Greg Olsen,FA,TE,0.0,16,73,4.56,111,6.94,816,51.0,11.18,44.0,2.75,31,19.69,10,0.62,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,73,4.56,111,6.94,44.0,2.75,0,0.0,0.0,1.0,117.6,7.35,8.0,3.77,7.54,5,2,3,4,2,0.6,0.14,7.78,154.1,9.63,10.0,4.27,9.91,3,3,3,5,2,0.78,0.14,11.06,190.6,11.91,12.45,4.87,12.26,3,2,3,7,1,1.0,0.07,11.67
Jason Witten,FA,TE,0.0,16,73,4.56,111,6.94,851,53.19,11.66,44.0,2.75,34,19.44,12,0.75,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,73,4.56,111,6.94,44.0,2.75,0,0.0,0.0,1.0,133.1,8.32,6.0,6.47,7.46,7,1,2,0,6,0.6,0.6,7.43,169.6,10.6,7.15,7.56,9.45,5,4,1,0,6,0.6,0.6,10.07,206.1,12.88,9.05,8.75,11.44,5,4,1,0,6,0.6,0.6,10.25
Jordan Reed,FA,TE,0.0,9,45,5.0,60,6.67,499,55.44,11.09,30.0,3.33,38,17.89,2,0.22,3,0.33,1,0.11,18,2.0,18.0,1.0,0.11,0,0.0,46,5.11,61,6.78,31.0,3.44,0,0.0,0.0,0.93,69.7,7.74,5.8,5.39,7.27,2,3,1,1,2,0.5,0.29,6.35,92.2,10.24,7.8,6.41,9.52,2,3,1,1,2,0.5,0.29,9.65,114.7,12.74,10.0,7.5,11.77,1,3,2,0,3,0.5,0.5,9.78
Antonio Gates,FA,TE,0.0,16,77,4.81,113,7.06,872,54.5,11.32,49.0,3.06,56,20.56,9,0.56,4,0.25,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,77,4.81,113,7.06,49.0,3.06,2,0.12,0.03,1.0,107.2,6.7,5.15,4.72,6.5,6,4,1,4,1,0.45,0.07,6.0,145.7,9.11,7.6,5.51,8.79,7,1,2,5,1,0.6,0.07,9.56,184.2,11.51,9.65,6.39,11.06,6,2,2,4,2,0.6,0.14,9.86
