Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Travis Kelce,KC,TE,1.0,15,105,7.0,145,9.67,1416,94.4,13.49,79.0,5.27,45,26.07,23,1.53,11,0.73,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,105,7.0,145,9.67,79.0,5.27,1,0.07,0.01,1.0,207.8,13.85,15.8,5.04,13.22,1,0,2,1,11,4.0,2.75,16.8,260.3,17.35,19.3,5.79,16.54,1,0,1,2,11,6.5,2.75,22.75,312.8,20.85,22.8,6.62,19.87,1,0,1,1,12,6.5,4.0,23.26
Darren Waller,FA,TE,0.0,16,107,6.69,145,9.06,1196,74.75,11.18,69.0,4.31,38,20.75,16,1.0,9,0.56,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,107,6.69,145,9.06,69.0,4.31,2,0.12,0.02,1.0,171.6,10.72,9.5,8.2,9.06,5,0,3,1,7,1.0,0.78,10.16,225.1,14.07,12.3,9.51,11.85,4,1,0,3,8,2.2,1.0,15.4,278.6,17.41,15.8,10.87,14.65,4,0,1,2,9,2.2,1.29,15.96
Mark Andrews,BAL,TE,1.0,14,58,4.14,88,6.29,701,50.07,12.09,37.0,2.64,39,20.57,10,0.71,7,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,58,4.14,88,6.29,37.0,2.64,0,0.0,0.0,1.0,112.1,8.01,6.85,5.98,7.32,6,1,2,0,5,0.56,0.56,7.57,141.1,10.08,9.95,6.39,9.38,6,0,1,2,5,1.0,0.56,11.32,170.1,12.15,12.95,6.88,11.46,6,0,0,3,5,1.33,0.56,12.25
George Kittle,SF,TE,1.0,8,48,6.0,63,7.88,634,79.25,13.21,32.0,4.0,44,27.0,8,1.0,2,0.25,2,0.25,17,2.12,8.5,1.0,0.12,0,0.0,50,6.25,65,8.12,33.0,4.12,0,0.0,0.0,0.88,77.1,9.64,6.15,7.52,8.32,2,2,1,1,2,0.6,0.33,6.8,101.1,12.64,9.15,9.37,10.68,2,2,1,1,2,0.6,0.33,10.76,125.1,15.64,11.85,11.27,13.04,1,2,1,2,2,1.0,0.33,10.77
T.J. Hockenson,MIN,TE,1.0,16,67,4.19,101,6.31,723,45.19,10.79,40.0,2.5,51,19.56,6,0.38,6,0.38,1,0.06,0,0.0,0.0,0.0,0.0,0,0.0,68,4.25,102,6.38,40.0,2.5,1,0.06,0.01,1.0,108.3,6.77,7.25,3.69,6.99,4,2,3,5,2,0.78,0.14,7.35,141.8,8.86,9.35,4.19,9.16,4,1,5,3,3,0.6,0.23,10.27,175.3,10.96,10.85,4.8,11.31,4,1,4,4,3,0.78,0.23,10.63
Logan Thomas,FA,TE,0.0,16,72,4.5,110,6.88,670,41.88,9.31,36.0,2.25,30,16.38,5,0.31,6,0.38,3,0.19,5,0.31,1.67,2.0,0.12,0,0.0,75,4.69,113,7.06,38.0,2.38,0,0.0,0.0,1.0,104.6,6.54,6.45,4.62,6.38,7,1,1,5,2,0.78,0.14,6.86,140.6,8.79,9.2,5.61,8.45,6,1,2,4,3,0.78,0.23,10.08,176.6,11.04,11.65,6.8,10.44,6,0,2,5,3,1.0,0.23,10.84
Robert Tonyan,KC,TE,2.0,16,52,3.25,59,3.69,586,36.62,11.27,33.0,2.06,45,19.62,9,0.56,11,0.69,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,52,3.25,59,3.69,33.0,2.06,0,0.0,0.0,1.0,124.6,7.79,7.85,6.68,6.93,6,0,3,4,3,0.78,0.23,7.41,150.6,9.41,9.4,7.41,8.44,6,0,3,4,3,0.78,0.23,9.66,176.6,11.04,10.65,8.17,9.97,6,0,3,4,3,0.78,0.23,9.75
Hunter Henry,NE,TE,1.0,14,60,4.29,93,6.64,613,43.79,10.22,35.0,2.5,33,16.86,5,0.36,4,0.29,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,60,4.29,93,6.64,35.0,2.5,0,0.0,0.0,1.0,85.3,6.09,5.85,3.45,6.39,6,1,2,4,1,0.56,0.08,6.31,115.3,8.24,8.65,3.89,8.67,5,2,2,4,1,0.56,0.08,9.59,145.3,10.38,11.2,4.43,10.93,5,0,3,5,1,0.75,0.08,10.43
Jared Cook,FA,TE,0.0,15,37,2.47,60,4.0,504,33.6,13.62,27.0,1.8,46,18.93,6,0.4,7,0.47,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,37,2.47,60,4.0,27.0,1.8,1,0.07,0.03,1.0,90.4,6.03,8.0,4.35,5.97,6,0,3,4,2,0.67,0.15,6.93,108.9,7.26,9.7,4.96,7.2,6,0,3,5,1,0.67,0.07,8.9,127.4,8.49,11.2,5.6,8.44,6,1,3,4,1,0.5,0.07,8.94
Mike Gesicki,CIN,TE,1.0,15,53,3.53,85,5.67,703,46.87,13.26,36.0,2.4,70,23.0,10,0.67,6,0.4,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,53,3.53,85,5.67,36.0,2.4,0,0.0,0.0,1.0,106.3,7.09,4.7,6.06,6.46,7,2,1,2,3,0.5,0.25,5.94,132.8,8.85,7.2,7.1,8.02,7,3,0,2,3,0.5,0.25,8.76,159.3,10.62,8.5,8.21,9.59,6,4,1,1,3,0.36,0.25,8.57
