Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
George Kittle,SF,TE,1.0,15,78,5.2,94,6.27,1106,73.73,14.18,50.0,3.33,43,26.8,21,1.4,8,0.53,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,78,5.2,94,6.27,50.0,3.33,0,0.0,0.0,1.0,158.6,10.57,11.2,5.29,9.97,3,0,1,1,10,2.75,2.0,12.59,197.6,13.17,14.6,6.03,12.43,2,1,1,3,8,2.75,1.14,16.11,236.6,15.77,18.6,6.86,14.89,2,1,1,3,8,2.75,1.14,17.03
Trey McBride,ARI,TE,1.0,16,111,6.94,147,9.19,1146,71.62,10.32,63.0,3.94,37,20.38,10,0.62,2,0.12,1,0.06,2,0.12,2.0,1.0,0.06,1,0.06,112,7.0,148,9.25,64.0,4.0,0,0.0,0.0,1.0,138.8,8.68,9.15,4.52,8.51,3,2,2,4,5,1.29,0.45,9.72,194.3,12.14,12.2,5.76,11.59,3,0,3,3,7,1.67,0.78,14.69,249.8,15.61,15.8,7.14,14.59,2,1,3,2,8,1.67,1.0,15.5
Brock Bowers,LV,TE,1.0,17,112,6.59,153,9.0,1194,70.24,10.66,61.0,3.59,57,24.35,15,0.88,5,0.29,5,0.29,13,0.76,2.6,2.0,0.12,0,0.0,117,6.88,158,9.29,63.0,3.71,0,0.0,0.0,1.0,150.7,8.86,7.6,5.13,8.42,3,3,2,4,5,1.12,0.42,8.93,206.7,12.16,11.6,6.45,11.29,4,1,2,4,6,1.43,0.55,13.84,262.7,15.45,15.0,7.89,14.09,3,2,2,3,7,1.43,0.7,14.61
David Njoku,CLE,TE,1.0,11,64,5.82,97,8.82,505,45.91,7.89,23.0,2.09,29,17.27,4,0.36,5,0.45,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,64,5.82,97,8.82,23.0,2.09,0,0.0,0.0,1.0,84.5,7.68,6.6,5.25,7.26,4,1,1,2,3,0.83,0.38,7.76,116.5,10.59,10.6,6.53,9.8,4,1,0,1,5,1.2,0.83,12.1,148.5,13.5,14.6,7.9,12.3,2,3,0,1,5,1.2,0.83,13.66
Mark Andrews,BAL,TE,1.0,17,55,3.24,69,4.06,673,39.59,12.24,39.0,2.29,67,19.76,6,0.35,11,0.65,4,0.24,5,0.29,1.25,3.0,0.18,0,0.0,59,3.47,73,4.29,42.0,2.47,0,0.0,0.0,1.0,133.8,7.87,9.6,5.18,7.46,5,2,0,3,7,1.43,0.7,9.3,161.3,9.49,11.8,5.86,9.02,5,2,1,3,6,1.12,0.55,11.71,188.8,11.11,13.8,6.6,10.59,5,1,2,6,3,1.12,0.21,11.55
Jonnu Smith,MIA,TE,1.5,17,88,5.18,111,6.53,884,52.0,10.05,55.0,3.24,57,17.41,4,0.24,8,0.47,2,0.12,-1,-0.06,-0.5,1.0,0.06,0,0.0,90,5.29,113,6.65,56.0,3.29,1,0.06,0.01,1.0,134.3,7.9,6.2,5.91,7.25,4,3,2,3,5,0.89,0.42,7.46,178.3,10.49,9.2,6.96,9.55,4,2,3,2,6,0.89,0.55,11.36,222.3,13.08,11.6,8.15,11.83,5,0,4,2,6,0.89,0.55,11.58
Jonnu Smith,MIA,TE,1.5,17,88,5.18,111,6.53,884,52.0,10.05,55.0,3.24,57,17.41,4,0.24,8,0.47,2,0.12,-1,-0.06,-0.5,0.0,0.0,0,0.0,90,5.29,113,6.65,55.0,3.24,1,0.06,0.01,1.0,134.3,7.9,6.2,5.91,7.25,4,3,2,3,5,0.89,0.42,7.46,178.3,10.49,9.2,6.96,9.55,4,2,3,2,6,0.89,0.55,11.33,222.3,13.08,11.6,8.15,11.83,5,0,4,2,6,0.89,0.55,11.58
Sam LaPorta,DET,TE,1.0,16,60,3.75,83,5.19,726,45.38,12.1,39.0,2.44,52,22.44,11,0.69,7,0.44,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,60,3.75,83,5.19,39.0,2.44,0,0.0,0.0,1.0,114.6,7.16,5.85,4.25,7.13,5,3,1,1,6,0.78,0.6,7.22,144.6,9.04,8.85,4.73,9.07,5,2,1,3,5,1.0,0.45,10.44,174.6,10.91,11.3,5.34,10.97,5,2,1,5,3,1.0,0.23,10.72
Travis Kelce,KC,TE,1.0,16,97,6.06,133,8.31,823,51.44,8.48,47.0,2.94,38,18.12,9,0.56,3,0.19,1,0.06,1,0.06,1.0,0.0,0.0,0,0.0,98,6.12,134,8.38,47.0,2.94,1,0.06,0.01,1.0,98.4,6.15,5.35,4.61,6.0,7,1,3,2,3,0.45,0.23,6.22,146.9,9.18,8.1,5.94,8.7,7,1,1,3,4,0.78,0.33,10.27,195.4,12.21,10.85,7.4,11.32,6,1,1,3,5,1.0,0.45,11.24
Taysom Hill,NO,TE,1.0,8,23,2.88,31,3.88,187,23.38,8.13,8.0,1.0,34,12.5,2,0.25,0,0.0,39,4.88,278,34.75,7.13,18.0,2.25,6,0.75,62,7.75,70,8.75,26.0,3.25,1,0.12,0.02,0.88,80.3,10.04,4.85,10.8,7.92,2,3,0,0,3,0.6,0.6,6.49,91.8,11.48,6.6,11.77,9.16,3,2,0,0,3,0.6,0.6,9.17,103.3,12.91,8.35,12.8,10.43,4,0,1,1,2,0.6,0.33,8.38
