Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Travis Kelce,KC,TE,1.0,15,93,6.2,121,8.07,984,65.6,10.58,51.0,3.4,53,21.13,12,0.8,5,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,93,6.2,121,8.07,51.0,3.4,1,0.07,0.01,1.0,126.4,8.43,8.3,5.67,7.81,3,1,2,5,4,1.5,0.36,9.02,172.9,11.53,10.6,6.82,10.55,3,1,2,5,4,1.5,0.36,12.74,219.4,14.63,12.6,8.0,13.29,2,1,1,6,5,2.75,0.5,13.65
T.J. Hockenson,MIN,TE,1.0,15,95,6.33,127,8.47,960,64.0,10.11,48.0,3.2,29,21.93,13,0.87,5,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,95,6.33,127,8.47,48.0,3.2,1,0.07,0.01,1.0,124.0,8.27,5.8,5.3,7.79,2,3,5,1,4,0.5,0.36,7.32,171.5,11.43,9.3,6.0,10.81,1,0,6,3,5,1.14,0.5,12.17,219.0,14.6,12.3,6.85,13.79,1,0,5,4,5,1.5,0.5,13.19
Mark Andrews,BAL,TE,1.0,10,45,4.5,61,6.1,544,54.4,12.09,27.0,2.7,38,23.1,8,0.8,6,0.6,1,0.1,0,0.0,0.0,0.0,0.0,0,0.0,46,4.6,62,6.2,27.0,2.7,0,0.0,0.0,0.96,90.4,9.04,7.45,5.95,8.28,2,1,2,2,3,1.0,0.43,8.13,112.9,11.29,10.75,6.26,10.56,3,0,1,3,3,1.5,0.43,11.94,135.4,13.54,13.25,6.71,12.86,3,0,1,2,4,1.5,0.67,12.66
George Kittle,SF,TE,1.0,16,65,4.06,90,5.62,1020,63.75,15.69,42.0,2.62,66,28.12,18,1.12,6,0.38,1,0.06,2,0.12,2.0,1.0,0.06,0,0.0,66,4.12,91,5.69,43.0,2.69,0,0.0,0.0,1.0,138.2,8.64,7.4,7.12,7.56,6,0,2,2,6,1.0,0.6,8.23,170.7,10.67,9.65,7.75,9.46,6,1,1,1,7,1.0,0.78,11.39,203.2,12.7,11.9,8.51,11.36,7,0,1,1,7,1.0,0.78,11.7
Sam LaPorta,DET,TE,1.0,17,86,5.06,120,7.06,889,52.29,10.34,48.0,2.82,48,22.18,8,0.47,10,0.59,1,0.06,4,0.24,4.0,0.0,0.0,0,0.0,87,5.12,121,7.12,48.0,2.82,0,0.0,0.0,1.0,153.3,9.02,6.3,6.5,8.08,5,2,2,2,6,0.89,0.55,8.01,196.3,11.55,8.8,7.06,10.48,4,2,3,2,6,0.89,0.55,11.38,239.3,14.08,11.3,7.7,12.91,3,3,1,3,7,1.43,0.7,12.44
Evan Engram,JAC,TE,1.0,17,114,6.71,143,8.41,963,56.65,8.45,47.0,2.76,34,18.94,9,0.53,4,0.24,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,114,6.71,143,8.41,47.0,2.76,2,0.12,0.02,1.0,116.3,6.84,5.7,5.14,6.5,4,4,5,1,3,0.31,0.21,6.39,173.3,10.19,8.7,6.18,9.56,4,1,5,3,4,0.7,0.31,10.68,230.3,13.55,11.7,7.27,12.61,4,0,4,4,5,1.12,0.42,12.15
David Njoku,CLE,TE,1.0,16,81,5.06,123,7.69,882,55.12,10.89,35.0,2.19,43,22.31,12,0.75,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,81,5.06,123,7.69,35.0,2.19,2,0.12,0.02,1.0,120.2,7.51,5.7,5.7,6.95,5,1,4,1,5,0.6,0.45,7.05,160.7,10.04,8.85,6.34,9.36,5,0,4,2,5,0.78,0.45,10.52,201.2,12.58,11.85,7.07,11.78,5,0,2,4,5,1.29,0.45,11.96
Dalton Schultz,HOU,TE,1.0,15,59,3.93,88,5.87,635,42.33,10.76,35.0,2.33,31,16.67,7,0.47,5,0.33,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,59,3.93,88,5.87,35.0,2.33,1,0.07,0.02,1.0,91.5,6.1,5.8,5.19,5.78,6,1,2,3,3,0.67,0.25,6.28,121.0,8.07,7.8,6.2,7.56,6,1,1,4,3,0.88,0.25,9.13,150.5,10.03,9.8,7.31,9.32,6,1,2,3,3,0.67,0.25,9.3
Jake Ferguson,DAL,TE,1.0,17,71,4.18,102,6.0,761,44.76,10.72,40.0,2.35,40,19.0,8,0.47,5,0.29,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,71,4.18,102,6.0,40.0,2.35,0,0.0,0.0,1.0,106.1,6.24,4.8,4.02,6.3,6,3,1,4,3,0.7,0.21,6.09,141.6,8.33,7.4,4.7,8.37,6,1,3,4,3,0.7,0.21,9.13,177.1,10.42,10.1,5.46,10.41,6,1,3,5,2,0.7,0.13,9.75
Taysom Hill,NO,TE,1.0,16,33,2.06,40,2.5,291,18.19,8.82,11.0,0.69,36,10.56,2,0.12,2,0.12,81,5.06,401,25.06,4.95,26.0,1.62,4,0.25,114,7.12,121,7.56,37.0,2.31,1,0.06,0.01,1.0,110.5,6.91,5.7,6.4,6.21,7,1,1,3,4,0.78,0.33,6.77,127.0,7.94,7.65,6.75,7.28,7,1,2,2,4,0.6,0.33,8.98,143.5,8.97,8.4,7.21,8.36,7,2,0,3,4,0.78,0.33,8.71
