Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Rob Gronkowski,FA,TE,0.0,12.69,59.08,4.5,90.69,6.9,965.54,75.21,17.12,47.85,3.63,54.77,26.27,10.62,0.79,7.08,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.08,4.5,90.69,6.9,47.85,3.63,0.0,0.0,0.0,0.97,140.4,10.85,11.23,7.19,9.52,2.92,1.0,1.46,0.31,7.0,1.36,1.22,11.13,169.94,13.1,13.61,8.28,11.47,2.92,1.0,0.85,1.15,6.77,1.63,1.13,14.73,199.48,15.35,16.0,9.42,13.45,2.92,1.0,0.85,1.15,6.77,1.63,1.13,14.63,3,11.25,191.33,1.0
Travis Kelce,KC,TE,1.0,15.31,82.62,5.4,119.38,7.81,1045.54,68.34,12.65,53.85,3.53,52.15,24.25,11.54,0.76,6.85,0.45,1.62,0.1,3.69,0.25,1.27,1.38,0.09,0.0,0.0,84.23,5.51,121.0,7.92,55.23,3.62,0.15,0.01,0.0,1.0,145.08,9.5,8.75,6.16,8.61,3.69,2.0,1.08,4.0,4.54,1.32,0.43,9.46,186.38,12.2,11.92,6.86,11.15,3.0,1.77,1.08,3.77,5.69,1.73,0.61,13.93,227.69,14.91,14.11,7.66,13.69,2.69,1.38,1.69,3.23,6.31,1.74,0.75,14.14,3,10.85,184.38,2.0
Zach Ertz,WAS,TE,1.0,14.08,75.0,5.33,109.23,7.76,824.38,58.58,11.0,44.54,3.17,48.23,21.75,5.31,0.38,6.62,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.33,109.23,7.76,44.54,3.17,0.77,0.05,0.01,1.0,120.59,8.58,8.31,5.07,8.22,3.92,0.69,0.38,4.77,4.31,2.7,0.46,9.64,158.09,11.24,11.57,6.15,10.62,3.85,0.23,0.69,3.31,6.0,2.74,0.8,13.83,195.59,13.91,14.8,7.36,12.98,3.85,0.23,0.62,3.38,6.0,2.75,0.8,14.49,3,10.49,178.27,3.0
Evan Engram,JAC,TE,1.0,15.0,64.0,4.27,115.0,7.67,722.0,48.13,11.28,37.0,2.47,35.0,19.8,9.0,0.6,6.0,0.4,1.0,0.07,14.0,0.93,14.0,1.0,0.07,0.0,0.0,65.0,4.33,116.0,7.73,38.0,2.53,0.0,0.0,0.0,1.0,109.6,7.31,6.2,5.23,6.91,4.0,3.0,1.0,2.0,5.0,0.88,0.5,7.51,141.6,9.44,9.2,6.13,8.87,4.0,3.0,1.0,2.0,5.0,0.88,0.5,10.76,173.6,11.57,12.2,7.09,10.84,4.0,1.0,2.0,3.0,5.0,1.14,0.5,11.67,1,9.47,160.95,4.0
Delanie Walker,FA,TE,0.0,15.69,73.46,4.68,110.62,7.06,827.0,52.81,11.28,41.85,2.67,44.62,21.36,7.46,0.48,4.15,0.27,1.92,0.12,3.92,0.27,3.35,1.0,0.06,0.69,0.04,75.38,4.81,112.54,7.17,42.85,2.73,1.38,0.08,0.02,1.0,109.55,7.01,6.45,4.16,7.01,4.92,2.62,3.15,1.46,3.54,0.52,0.3,7.06,146.28,9.35,9.09,4.54,9.48,4.92,1.46,3.15,2.77,3.38,0.66,0.28,10.59,183.02,11.7,11.9,5.02,11.96,4.69,1.69,1.54,4.31,3.46,1.06,0.29,11.64,3,8.05,136.78,5.0
Jimmy Graham,FA,TE,0.0,15.62,58.15,3.74,94.08,6.04,619.54,40.04,10.56,34.77,2.24,36.0,17.0,6.54,0.43,8.46,0.53,0.23,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.38,3.75,94.31,6.06,34.77,2.24,0.46,0.03,0.01,1.0,113.18,7.23,6.34,5.27,6.83,4.38,1.38,3.15,2.85,3.85,0.75,0.32,7.08,142.26,9.1,8.7,6.08,8.57,4.38,2.08,1.69,4.31,3.15,0.92,0.25,9.89,171.34,10.97,10.77,6.98,10.31,5.08,0.92,2.85,3.62,3.15,0.76,0.25,10.18,3,6.71,114.13,7.0
Kyle Rudolph,FA,TE,0.0,16.0,62.38,3.9,92.15,5.76,600.23,37.51,9.57,35.62,2.22,37.31,16.29,4.54,0.28,7.54,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.38,3.9,92.15,5.76,35.62,2.22,0.0,0.0,0.0,1.0,105.25,6.58,5.44,4.66,6.4,4.77,3.62,1.62,4.08,1.92,0.61,0.16,6.2,136.45,8.53,8.02,5.22,8.33,4.08,3.46,2.23,3.38,2.85,0.66,0.24,9.25,167.64,10.48,9.95,5.91,10.26,4.08,1.77,4.85,2.46,2.85,0.51,0.24,9.54,3,6.67,113.44,8.0
Hunter Henry,NE,TE,1.0,14.25,42.75,3.01,59.75,4.2,553.75,38.99,12.97,31.5,2.22,40.25,16.96,5.75,0.4,5.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,3.01,59.75,4.2,31.5,2.22,0.25,0.02,0.01,1.0,84.88,5.95,7.36,4.65,5.79,6.0,0.25,3.0,2.75,2.25,0.55,0.19,6.55,106.25,7.46,8.74,5.5,7.21,6.0,0.25,2.25,4.25,1.5,0.69,0.12,8.82,127.63,8.96,10.16,6.41,8.6,6.0,0.5,2.0,4.25,1.5,0.69,0.12,8.84,2,6.73,114.34,6.0
Jack Doyle,FA,TE,0.0,15.31,69.92,4.6,93.15,6.13,618.0,40.62,8.71,31.38,2.06,25.0,12.53,3.92,0.26,4.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.92,4.6,93.15,6.13,31.38,2.06,1.62,0.1,0.02,1.0,82.57,5.41,4.21,4.39,5.31,5.77,3.23,2.85,2.08,1.38,0.3,0.1,4.94,117.53,7.72,6.6,5.39,7.42,6.46,2.54,1.46,3.69,1.15,0.52,0.08,7.94,152.49,10.02,9.13,6.5,9.49,5.77,2.62,1.15,3.92,1.85,0.69,0.14,8.97,3,5.76,97.9,14.0
Cameron Brate,FA,TE,0.0,15.62,48.15,3.08,74.31,4.74,583.62,37.31,12.16,33.15,2.12,36.54,16.6,3.77,0.24,6.23,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.15,3.08,74.31,4.74,33.15,2.12,0.0,0.0,0.0,1.0,95.75,6.12,4.63,5.27,5.78,7.46,1.23,1.85,1.38,3.69,0.49,0.31,5.6,119.82,7.66,6.13,5.88,7.28,7.54,1.38,1.85,1.15,3.69,0.45,0.31,7.83,143.9,9.2,7.68,6.54,8.79,7.54,1.38,1.23,1.77,3.69,0.54,0.31,8.07,3,6.46,109.87,9.0
