Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Rob Gronkowski,FA,TE,0.0,11,55,5.0,80,7.27,790,71.82,14.36,45.0,4.09,41,24.55,9,0.82,11,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,55,5.0,80,7.27,45.0,4.09,1,0.09,0.02,1.0,143.0,13.0,12.0,8.22,10.98,2,0,1,2,6,2.67,1.2,12.93,170.5,15.5,15.0,9.0,13.24,2,0,1,2,6,2.67,1.2,17.08,198.0,18.0,18.0,9.82,15.54,2,0,1,2,6,2.67,1.2,17.15
Jimmy Graham,FA,TE,0.0,15,85,5.67,135,9.0,982,65.47,11.55,59.0,3.93,46,20.6,11,0.73,9,0.6,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,85,5.67,135,9.0,59.0,3.93,0,0.0,0.0,1.0,152.2,10.15,8.8,6.4,9.12,2,2,3,2,6,1.14,0.67,9.91,194.7,12.98,11.9,7.14,11.75,2,1,3,3,6,1.5,0.67,14.38,237.2,15.81,14.9,7.93,14.4,2,0,4,3,6,1.5,0.67,14.68
Tony Gonzalez,FA,TE,0.0,16,93,5.81,124,7.75,930,58.12,10.0,65.0,4.06,25,15.69,3,0.19,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,93,5.81,124,7.75,65.0,4.06,0,0.0,0.0,1.0,141.0,8.81,6.15,6.48,7.9,6,2,1,1,6,0.78,0.6,7.9,187.5,11.72,9.4,7.85,10.36,5,2,1,1,7,1.0,0.78,12.54,234.0,14.62,12.65,9.28,12.81,4,2,2,2,6,1.0,0.6,12.64
Jason Witten,FA,TE,0.0,16,110,6.88,149,9.31,1039,64.94,9.45,56.0,3.5,36,17.75,6,0.38,3,0.19,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,110,6.88,149,9.31,56.0,3.5,0,0.0,0.0,1.0,121.9,7.62,6.1,4.75,7.38,3,5,2,3,3,0.6,0.23,7.3,176.9,11.06,8.85,6.45,10.26,2,2,5,3,4,0.78,0.33,11.57,231.9,14.49,12.4,8.28,13.06,2,1,4,4,5,1.29,0.45,12.85
Heath Miller,FA,TE,0.0,15,71,4.73,101,6.73,816,54.4,11.49,44.0,2.93,43,22.53,8,0.53,8,0.53,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,71,4.73,101,6.73,44.0,2.93,0,0.0,0.0,1.0,131.6,8.77,6.7,4.89,8.44,3,2,4,2,4,0.67,0.36,7.91,167.1,11.14,9.4,5.5,10.76,3,2,4,2,4,0.67,0.36,11.39,202.6,13.51,12.3,6.15,13.1,2,3,2,4,4,1.14,0.36,12.38
Aaron Hernandez,FA,TE,0.0,10,51,5.1,83,8.3,483,48.3,9.47,27.0,2.7,31,16.9,4,0.4,5,0.5,1,0.1,5,0.5,5.0,1.0,0.1,0,0.0,52,5.2,84,8.4,28.0,2.8,0,0.0,0.0,0.96,78.8,7.88,7.2,5.95,7.21,4,1,0,2,3,1.0,0.43,7.84,104.3,10.43,9.95,7.44,9.34,3,2,0,1,4,1.0,0.67,11.33,129.8,12.98,12.7,8.98,11.46,3,1,1,1,4,1.0,0.67,11.81
Owen Daniels,FA,TE,0.0,15,62,4.13,104,6.93,716,47.73,11.55,37.0,2.47,39,20.47,5,0.33,6,0.4,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,62,4.13,104,6.93,37.0,2.47,0,0.0,0.0,1.0,107.6,7.17,5.7,4.06,7.23,5,3,1,2,4,0.67,0.36,7.05,138.6,9.24,8.7,4.46,9.4,6,1,1,3,4,0.88,0.36,10.52,169.6,11.31,11.6,4.94,11.59,5,1,4,1,4,0.5,0.36,11.0
Kyle Rudolph,FA,TE,0.0,16,53,3.31,94,5.88,493,30.81,9.3,34.0,2.12,29,14.31,5,0.31,9,0.56,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,53,3.31,94,5.88,34.0,2.12,0,0.0,0.0,1.0,105.3,6.58,7.5,5.53,6.14,7,0,1,3,5,1.0,0.45,7.58,131.8,8.24,9.75,6.53,7.62,7,0,1,3,5,1.0,0.45,10.14,158.3,9.89,12.0,7.57,9.12,7,0,1,3,5,1.0,0.45,10.57
Jermaine Gresham,FA,TE,0.0,16,64,4.0,94,5.88,737,46.06,11.52,33.0,2.06,55,22.31,6,0.38,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,64,4.0,94,5.88,33.0,2.06,1,0.06,0.02,1.0,101.7,6.36,6.15,3.71,6.55,6,2,4,2,2,0.33,0.14,6.27,133.7,8.36,8.75,4.15,8.66,5,2,4,2,3,0.45,0.23,9.42,165.7,10.36,10.75,4.67,10.76,5,2,3,4,2,0.6,0.14,10.06
Greg Olsen,FA,TE,0.0,16,69,4.31,104,6.5,843,52.69,12.22,42.0,2.62,47,23.12,8,0.5,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,69,4.31,104,6.5,42.0,2.62,0,0.0,0.0,1.0,114.3,7.14,5.15,5.46,6.68,6,5,0,2,3,0.45,0.23,6.22,148.8,9.3,7.7,6.2,8.72,6,2,3,3,2,0.45,0.14,9.26,183.3,11.46,10.2,7.05,10.74,5,3,4,1,3,0.33,0.23,9.74
