Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Shane Zylstra,DET,TE,2.0,7.5,9.0,1.16,13.0,1.84,53.5,7.84,6.92,5.0,0.67,14.5,5.83,0.0,0.0,3.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.16,13.0,1.84,5.0,0.67,0.0,0.0,0.0,0.84,23.35,2.78,0.7,5.32,2.63,6.0,0.0,0.75,0.0,0.75,0.09,0.09,1.5,27.85,3.36,1.2,5.98,3.2,6.0,0.75,0.0,0.0,0.75,0.09,0.09,2.18,32.35,3.95,1.7,6.65,3.77,6.75,0.0,0.0,0.0,0.75,0.09,0.09,2.22,3,1.07,18.17,77.0
Drew Ogletree,IND,TE,4.0,12.0,9.0,0.75,21.0,1.75,147.0,12.25,16.33,8.0,0.67,33.0,9.83,4.0,0.33,2.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.75,21.0,1.75,8.0,0.67,0.0,0.0,0.0,1.0,26.7,2.22,0.55,3.76,2.29,10.0,0.0,0.0,1.0,1.0,0.2,0.09,1.7,31.2,2.6,0.8,4.13,2.7,10.0,0.0,0.0,2.0,0.0,0.2,0.0,2.17,35.7,2.98,1.05,4.52,3.12,10.0,0.0,1.0,1.0,0.0,0.09,0.0,1.97,1,3.0,51.08,54.0
C.J. Uzomah,PHI,TE,2.0,12.53,14.11,1.12,19.35,1.55,131.42,10.43,8.41,7.61,0.63,26.6,7.6,1.45,0.11,1.53,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.11,1.12,19.35,1.55,7.61,0.63,0.0,0.0,0.0,0.99,22.32,1.79,0.96,2.68,1.92,11.28,0.08,0.75,0.04,0.37,0.05,0.03,1.31,29.37,2.35,1.59,2.88,2.56,11.28,0.75,0.08,0.04,0.37,0.05,0.03,2.11,36.42,2.91,2.1,3.13,3.23,11.85,0.1,0.17,0.04,0.37,0.05,0.03,2.24,5,1.57,26.63,71.0
Brock Wright,DET,TE,3.0,13.54,14.08,1.06,16.54,1.25,121.85,9.19,8.37,4.85,0.37,31.85,7.28,1.54,0.12,1.77,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,1.06,16.54,1.25,4.85,0.37,0.0,0.0,0.0,0.99,22.8,1.73,0.8,2.83,1.85,11.77,0.0,0.46,0.77,0.54,0.12,0.05,1.39,29.84,2.25,1.43,3.13,2.45,11.77,0.23,0.23,1.08,0.23,0.12,0.02,2.02,36.88,2.78,2.03,3.5,3.06,12.0,0.0,1.0,0.31,0.23,0.05,0.02,2.22,3,2.55,43.28,63.0
Harrison Bryant,LV,TE,2.0,16.12,17.92,1.16,26.0,1.68,131.88,8.62,7.02,6.8,0.45,26.22,5.42,1.23,0.08,2.55,0.16,3.6,0.21,7.2,0.45,2.88,2.92,0.18,0.0,0.0,21.52,1.38,29.6,1.89,9.72,0.62,0.72,0.04,0.04,1.0,27.76,1.75,0.57,2.77,1.97,13.0,1.45,0.75,0.22,0.7,0.06,0.04,1.35,36.72,2.33,0.9,3.3,2.6,13.75,0.7,0.98,0.0,0.7,0.04,0.04,2.02,45.68,2.91,1.21,3.86,3.24,13.92,1.27,0.22,0.0,0.7,0.04,0.04,2.09,4,2.87,48.85,58.0
Josh Whyle,TEN,TE,2.0,11.0,9.0,0.82,15.0,1.36,94.0,8.55,10.44,8.0,0.73,24.0,7.82,1.0,0.09,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.82,15.0,1.36,8.0,0.73,0.0,0.0,0.0,1.0,15.4,1.4,0.7,2.47,1.6,10.0,0.0,0.0,1.0,0.0,0.1,0.0,1.19,19.9,1.81,1.2,2.74,2.08,10.0,0.0,0.0,1.0,0.0,0.1,0.0,1.95,24.4,2.22,1.7,3.04,2.57,10.0,0.0,1.0,0.0,0.0,0.0,0.0,1.84,1,1.54,26.19,72.0
MyCole Pruitt,PIT,TE,3.0,14.98,10.81,0.81,14.4,1.07,119.85,8.66,11.41,7.12,0.53,23.73,7.43,1.98,0.14,1.84,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.81,0.81,14.4,1.07,7.12,0.53,0.0,0.0,0.0,0.99,23.19,1.78,0.84,2.36,2.0,12.91,0.26,0.85,0.97,0.0,0.07,0.0,1.32,28.6,2.18,1.19,2.58,2.48,12.92,0.84,1.0,0.22,0.0,0.02,0.0,1.84,34.0,2.59,1.4,2.83,2.96,13.24,0.99,0.53,0.22,0.0,0.02,0.0,1.85,5,2.64,44.85,62.0
Connor Heyward,PIT,TE,2.0,16.5,20.25,1.21,29.75,1.78,163.0,9.88,8.59,7.5,0.45,21.0,6.02,0.5,0.03,0.25,0.02,1.25,0.08,6.75,0.45,3.38,0.5,0.03,0.0,0.0,21.5,1.29,31.0,1.86,8.0,0.49,0.0,0.0,0.0,1.0,18.48,1.13,0.45,1.44,1.48,15.75,0.5,0.0,0.25,0.0,0.02,0.0,0.98,28.6,1.74,1.32,2.04,2.16,15.75,0.5,0.25,0.0,0.0,0.0,0.0,1.82,38.72,2.35,2.2,2.68,2.81,16.0,0.5,0.0,0.0,0.0,0.0,0.0,2.19,2,3.63,61.68,44.0
Jimmy Graham,FA,TE,0.0,12.94,8.51,0.64,11.3,0.86,68.9,5.25,7.16,7.39,0.56,14.49,3.94,0.39,0.03,4.02,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.51,0.64,11.3,0.86,7.39,0.56,0.0,0.0,0.0,1.0,31.21,2.4,0.28,3.48,2.5,8.94,0.04,2.59,1.26,0.12,0.13,0.01,1.38,35.46,2.72,0.46,3.85,2.85,8.95,1.76,1.85,0.27,0.12,0.04,0.01,1.76,39.72,3.04,0.65,4.22,3.22,8.88,2.78,1.16,0.01,0.11,0.01,0.01,1.65,5,0.4,6.8,80.0
John Bates,WAS,TE,2.0,15.08,17.92,1.22,26.38,1.8,148.62,10.11,8.24,5.92,0.4,31.31,7.12,1.23,0.09,0.31,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.92,1.22,26.38,1.8,5.92,0.4,0.0,0.0,0.0,0.99,16.71,1.19,0.69,1.7,1.47,14.08,0.69,0.0,0.31,0.0,0.03,0.0,1.07,25.67,1.8,1.19,2.21,2.16,14.08,0.69,0.0,0.31,0.0,0.03,0.0,1.75,34.63,2.4,1.69,2.76,2.84,14.08,0.69,0.0,0.31,0.0,0.03,0.0,2.01,3,2.74,46.6,61.0
Jody Fortson Jr.,MIA,TE,3.0,8.5,8.0,0.99,11.0,1.29,92.75,11.04,11.35,5.25,0.64,36.75,9.71,1.75,0.21,2.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.99,11.0,1.29,5.25,0.64,0.75,0.08,0.08,0.88,15.6,1.56,0.52,2.22,1.7,6.25,0.75,1.5,0.0,0.0,0.0,0.0,0.97,19.6,2.05,1.02,2.43,2.44,6.25,1.5,0.75,0.0,0.0,0.0,0.0,1.71,23.6,2.55,1.52,2.67,3.09,7.75,0.75,0.0,0.0,0.0,0.0,0.0,1.79,3,0.0,0.0,124.0
Drew Sample,CIN,TE,3.0,13.04,17.02,1.24,21.0,1.49,123.6,7.37,5.55,6.65,0.4,17.33,5.33,0.7,0.04,1.36,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02,1.24,21.0,1.49,6.65,0.4,0.02,0.0,0.0,0.87,20.49,1.21,0.54,2.0,1.37,11.6,0.07,0.02,1.34,0.0,0.09,0.0,1.03,29.0,1.83,1.19,2.28,2.15,11.6,0.07,0.69,0.67,0.0,0.04,0.0,1.67,37.52,2.45,1.83,2.61,2.94,11.63,0.67,0.07,0.67,0.0,0.04,0.0,1.97,5,4.33,73.53,31.0
Eric Tomlinson,IND,TE,6.0,8.38,6.32,0.71,9.32,1.05,54.92,6.15,7.53,3.38,0.38,13.75,4.5,0.0,0.0,1.35,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32,0.71,9.32,1.05,3.38,0.38,0.0,0.0,0.0,0.9,13.59,1.51,0.74,2.21,1.65,7.02,0.0,0.68,0.68,0.0,0.08,0.0,1.09,16.76,1.87,1.42,2.55,2.04,7.02,0.68,0.0,0.68,0.0,0.08,0.0,1.67,19.92,2.22,1.76,2.91,2.43,7.02,0.68,0.0,0.68,0.0,0.08,0.0,1.75,5,0.0,0.0,124.0
Johnny Mundt,MIN,TE,4.0,15.02,15.83,1.03,20.31,1.3,148.58,9.5,9.47,7.47,0.5,26.8,6.85,1.36,0.08,0.89,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.83,1.03,20.31,1.3,7.47,0.5,0.0,0.0,0.0,0.97,20.21,1.29,0.47,2.2,1.51,13.43,0.02,0.89,0.67,0.0,0.04,0.0,0.98,28.13,1.8,0.91,2.69,2.1,13.45,0.22,0.67,0.67,0.0,0.04,0.0,1.63,36.04,2.31,1.45,3.22,2.68,13.68,0.0,0.67,0.67,0.0,0.04,0.0,1.83,5,3.24,55.05,47.0
Pharaoh Brown,SEA,TE,2.0,14.66,13.38,0.96,17.3,1.3,180.62,12.34,13.78,7.28,0.51,47.83,9.24,3.7,0.23,0.74,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.38,0.96,17.3,1.3,7.28,0.51,0.72,0.04,0.05,0.98,21.09,1.42,0.36,2.75,1.61,13.2,0.65,0.12,0.05,0.65,0.04,0.04,1.01,27.77,1.9,0.65,3.12,2.15,13.2,0.65,0.12,0.0,0.7,0.04,0.04,1.6,34.46,2.38,0.85,3.54,2.68,13.85,0.0,0.12,0.65,0.05,0.04,0.0,1.57,5,2.44,41.42,66.0
Stephen Sullivan,FA,TE,0.0,9.32,8.55,0.79,17.62,1.72,94.72,8.96,12.21,3.82,0.36,20.92,7.06,0.9,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.55,0.79,17.62,1.72,3.82,0.36,0.0,0.0,0.0,0.9,9.47,0.9,0.88,0.94,1.28,9.32,0.0,0.0,0.0,0.0,0.0,0.0,1.01,13.75,1.29,1.22,1.39,1.71,9.32,0.0,0.0,0.0,0.0,0.0,0.0,1.5,18.02,1.69,1.55,1.87,2.13,9.32,0.0,0.0,0.0,0.0,0.0,0.0,1.62,4,-0.03,-0.49,167.0
Luke Farrell,JAC,TE,3.0,13.38,10.46,0.82,12.15,0.93,120.85,9.1,11.18,4.38,0.4,34.15,8.17,1.46,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.46,0.82,12.15,0.93,4.38,0.4,0.0,0.0,0.0,0.91,12.08,0.91,0.58,1.17,1.29,12.69,0.0,0.69,0.0,0.0,0.0,0.0,0.73,17.32,1.32,1.08,1.46,1.86,12.69,0.69,0.0,0.0,0.0,0.0,0.0,1.32,22.55,1.73,1.58,1.76,2.45,12.69,0.69,0.0,0.0,0.0,0.0,0.0,1.5,3,3.02,51.29,53.0
Jeremy Ruckert,NYJ,TE,2.0,11.75,12.25,0.93,17.0,1.35,115.25,8.55,9.08,4.5,0.3,19.25,6.35,0.75,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.25,0.93,17.0,1.35,4.5,0.3,0.0,0.0,0.0,0.86,11.52,0.86,0.62,1.03,1.2,11.75,0.0,0.0,0.0,0.0,0.0,0.0,0.79,17.65,1.32,1.06,1.52,1.74,11.75,0.0,0.0,0.0,0.0,0.0,0.0,1.3,23.78,1.78,1.5,2.01,2.26,11.75,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2,2.23,37.96,68.0
Chris Myarick,JAC,TE,4.0,8.31,5.54,0.62,6.92,0.83,48.92,5.28,7.74,3.92,0.44,18.23,4.55,0.69,0.07,0.92,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.54,0.62,6.92,0.83,3.92,0.44,0.0,0.0,0.0,0.87,10.43,1.22,0.35,2.04,1.44,7.38,0.0,0.92,0.0,0.0,0.0,0.0,0.72,13.2,1.53,0.69,2.27,1.82,7.38,0.69,0.23,0.0,0.0,0.0,0.0,1.22,15.97,1.84,1.04,2.52,2.2,8.08,0.23,0.0,0.0,0.0,0.0,0.0,1.28,4,0.0,0.0,124.0
