Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Rob Gronkowski,FA,TE,0.0,14,69,4.93,105,7.5,1084,77.43,15.71,57.0,4.07,53,25.79,13,0.93,8,0.57,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,69,4.93,105,7.5,57.0,4.07,0,0.0,0.0,1.0,158.4,11.31,12.2,6.78,10.03,3,1,2,0,8,1.33,1.33,12.09,192.9,13.78,14.7,7.86,12.17,3,1,1,1,8,1.8,1.33,16.24,227.4,16.24,17.2,9.0,14.33,3,1,1,1,8,1.8,1.33,16.07
Zach Ertz,WAS,TE,1.0,14,74,5.29,110,7.86,824,58.86,11.14,46.0,3.29,53,22.57,4,0.29,8,0.57,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,74,5.29,110,7.86,46.0,3.29,1,0.07,0.01,1.0,128.4,9.17,9.45,4.67,8.92,3,0,0,6,5,3.67,0.56,10.99,165.4,11.81,12.95,5.53,11.39,3,0,0,4,7,3.67,1.0,15.39,202.4,14.46,16.45,6.57,13.8,3,0,0,4,7,3.67,1.0,16.11
Travis Kelce,KC,TE,1.0,15,83,5.53,122,8.13,1038,69.2,12.51,55.0,3.67,44,23.8,13,0.87,8,0.53,2,0.13,7,0.47,3.5,2.0,0.13,0,0.0,85,5.67,124,8.27,57.0,3.8,0,0.0,0.0,1.0,150.5,10.03,9.3,6.36,9.03,3,2,1,4,5,1.5,0.5,10.07,192.0,12.8,12.7,6.93,11.67,2,2,1,4,6,2.0,0.67,14.8,233.5,15.57,14.7,7.61,14.32,2,1,2,3,7,2.0,0.88,14.93
Evan Engram,JAC,TE,1.0,15,64,4.27,115,7.67,722,48.13,11.28,37.0,2.47,35,19.8,9,0.6,6,0.4,1,0.07,14,0.93,14.0,1.0,0.07,0,0.0,65,4.33,116,7.73,38.0,2.53,0,0.0,0.0,1.0,109.6,7.31,6.2,5.23,6.91,4,3,1,2,5,0.88,0.5,7.51,141.6,9.44,9.2,6.13,8.87,4,3,1,2,5,0.88,0.5,10.76,173.6,11.57,12.2,7.09,10.84,4,1,2,3,5,1.14,0.5,11.67
Delanie Walker,FA,TE,0.0,16,74,4.62,111,6.94,807,50.44,10.91,43.0,2.69,42,19.25,7,0.44,3,0.19,2,0.12,-2,-0.12,-1.0,1.0,0.06,1,0.06,76,4.75,113,7.06,44.0,2.75,2,0.12,0.03,1.0,100.5,6.28,5.7,3.71,6.47,5,3,4,1,3,0.33,0.23,6.29,137.5,8.59,8.55,3.96,9.01,5,2,3,3,3,0.6,0.23,10.08,174.5,10.91,11.7,4.31,11.56,5,2,1,5,3,1.0,0.23,11.31
Jimmy Graham,FA,TE,0.0,16,57,3.56,96,6.0,520,32.5,9.12,32.0,2.0,33,13.81,7,0.44,10,0.62,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,57,3.56,96,6.0,32.0,2.0,0,0.0,0.0,1.0,114.0,7.12,6.75,5.24,6.74,4,1,4,3,4,0.78,0.33,7.24,142.5,8.91,9.25,6.02,8.41,4,2,2,5,3,1.0,0.23,9.96,171.0,10.69,11.25,6.89,10.08,5,1,3,4,3,0.78,0.23,10.26
Hunter Henry,NE,TE,1.0,14,45,3.21,62,4.43,579,41.36,12.87,32.0,2.29,34,16.93,6,0.43,4,0.29,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,45,3.21,62,4.43,32.0,2.29,0,0.0,0.0,1.0,81.9,5.85,7.45,4.54,5.73,6,0,3,3,2,0.56,0.17,6.57,104.4,7.46,8.95,5.43,7.23,6,0,2,5,1,0.75,0.08,8.97,126.9,9.06,10.45,6.39,8.71,6,0,2,5,1,0.75,0.08,9.02
Jack Doyle,FA,TE,0.0,15,80,5.33,108,7.2,690,46.0,8.62,34.0,2.27,26,12.67,4,0.27,4,0.27,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,80,5.33,108,7.2,34.0,2.27,2,0.13,0.02,1.0,89.0,5.93,4.7,4.58,5.8,4,4,3,3,1,0.36,0.07,5.47,129.0,8.6,7.4,5.78,8.2,5,3,1,5,1,0.67,0.07,8.93,169.0,11.27,10.4,7.08,10.55,4,3,1,5,2,0.88,0.15,10.21
Kyle Rudolph,FA,TE,0.0,16,57,3.56,81,5.06,532,33.25,9.33,32.0,2.0,34,15.75,3,0.19,8,0.5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,57,3.56,81,5.06,32.0,2.0,0,0.0,0.0,1.0,101.2,6.32,5.25,4.68,6.15,5,4,1,5,1,0.6,0.07,5.84,129.7,8.11,7.75,5.14,7.96,4,4,2,4,2,0.6,0.14,8.66,158.2,9.89,9.7,5.7,9.78,4,2,5,3,2,0.45,0.14,9.03
Cameron Brate,FA,TE,0.0,16,48,3.0,77,4.81,591,36.94,12.31,33.0,2.06,35,15.75,4,0.25,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,48,3.0,77,4.81,33.0,2.06,0,0.0,0.0,1.0,95.1,5.94,4.3,5.45,5.56,8,1,2,1,4,0.45,0.33,5.38,119.1,7.44,6.05,6.05,7.02,8,1,2,1,4,0.45,0.33,7.7,143.1,8.94,7.8,6.71,8.49,8,1,1,2,4,0.6,0.33,8.09
