Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Greg Olsen,FA,TE,0.0,16.0,79.62,4.98,127.38,7.96,1075.15,67.2,13.52,53.69,3.36,68.92,24.1,9.92,0.62,4.15,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.62,4.98,127.38,7.96,53.69,3.36,0.23,0.01,0.0,1.0,133.36,8.34,7.15,5.69,7.71,4.77,1.69,2.46,2.69,4.38,0.8,0.38,8.05,173.17,10.83,10.45,6.44,10.05,4.08,1.85,2.0,3.31,4.77,1.02,0.44,12.21,212.98,13.31,13.05,7.25,12.39,3.85,2.08,1.31,4.23,4.54,1.22,0.41,12.61,3,9.36,159.06,2.0
Jordan Reed,FA,TE,0.0,12.38,69.62,5.59,92.92,7.47,730.38,58.52,10.43,42.62,3.42,32.54,20.51,8.77,0.7,6.69,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.62,5.59,92.92,7.47,42.62,3.42,1.23,0.09,0.02,1.0,110.73,8.82,7.07,6.66,7.82,3.54,1.54,2.54,1.23,3.54,0.67,0.41,7.89,145.54,11.62,10.07,7.93,10.22,3.23,1.0,2.46,2.15,3.54,0.92,0.41,11.96,180.35,14.41,13.24,9.27,12.61,3.0,1.15,1.08,3.31,3.85,1.41,0.48,12.88,3,9.03,153.46,4.0
Travis Kelce,KC,TE,1.0,16.0,80.62,5.04,111.46,6.97,1047.08,65.44,12.96,50.77,3.17,67.69,25.02,8.62,0.54,4.31,0.27,0.69,0.04,-3.46,-0.21,-3.46,0.0,0.0,0.0,0.0,81.31,5.09,112.15,7.01,50.77,3.17,0.69,0.04,0.01,1.0,131.13,8.19,7.49,5.58,7.63,5.23,2.0,1.31,4.08,3.38,0.89,0.27,8.01,171.44,10.71,10.03,6.55,9.91,5.23,1.31,1.31,3.38,4.77,1.09,0.46,11.84,211.75,13.24,12.57,7.56,12.2,4.23,2.31,1.08,3.85,4.54,1.13,0.44,12.19,3,9.46,160.75,1.0
Rob Gronkowski,FA,TE,0.0,10.15,40.23,3.69,64.08,5.81,731.69,70.59,19.78,29.77,2.76,57.77,27.19,5.92,0.52,5.54,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.23,3.69,64.08,5.81,29.77,2.76,0.0,0.0,0.0,0.92,106.4,10.0,9.11,8.02,8.55,2.62,0.92,0.38,1.38,4.85,1.63,0.95,9.21,126.52,11.85,11.3,9.09,10.17,2.62,0.92,0.54,1.92,4.15,1.65,0.67,11.78,146.63,13.69,13.53,10.19,11.81,2.62,0.92,0.54,1.85,4.23,1.65,0.69,11.86,3,8.02,136.26,7.0
Delanie Walker,FA,TE,0.0,15.0,71.54,4.77,109.46,7.3,873.38,58.22,12.28,38.85,2.59,51.85,26.06,8.38,0.56,6.54,0.44,1.62,0.11,15.92,1.06,12.12,0.92,0.06,0.0,0.0,73.15,4.88,111.08,7.4,39.77,2.65,0.0,0.0,0.0,1.0,128.62,8.58,7.92,5.2,8.12,4.69,2.0,1.15,2.54,4.62,0.92,0.45,8.63,164.39,10.96,10.08,5.89,10.42,4.69,0.54,3.31,2.31,4.15,0.78,0.38,11.55,200.16,13.34,12.12,6.67,12.72,4.0,1.08,2.77,2.77,4.38,1.15,0.42,12.19,3,9.08,154.39,3.0
Antonio Gates,FA,TE,0.0,13.46,54.92,4.13,91.54,6.85,587.92,44.26,10.67,34.54,2.59,30.54,15.8,4.69,0.34,6.92,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.92,4.13,91.54,6.85,34.54,2.59,0.69,0.05,0.01,1.0,98.95,7.38,6.92,5.5,6.88,5.08,0.46,2.62,1.69,3.62,0.68,0.36,7.39,126.41,9.44,9.36,6.3,8.8,4.31,1.23,2.62,1.69,3.62,0.68,0.36,10.42,153.87,11.51,11.41,7.17,10.73,4.31,1.0,2.92,1.38,3.85,0.66,0.4,10.74,3,7.67,130.4,9.0
Tyler Eifert,FA,TE,0.0,8.62,32.31,3.66,49.85,5.61,417.54,47.86,13.09,24.85,2.82,57.85,21.9,4.92,0.61,6.46,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.31,3.66,49.85,5.61,24.85,2.82,0.0,0.0,0.0,0.86,80.52,8.77,8.86,6.19,7.53,3.08,0.0,0.23,2.31,3.0,1.53,0.52,8.11,96.68,10.6,10.18,7.23,9.01,3.08,0.0,0.92,1.62,3.0,1.06,0.52,10.25,112.83,12.43,11.51,8.3,10.51,3.08,0.23,0.69,1.62,3.0,1.06,0.52,9.84,3,6.41,109.01,14.0
Kyle Rudolph,FA,TE,0.0,15.46,70.62,4.5,110.85,7.05,713.54,45.46,10.08,41.38,2.63,43.08,16.94,7.54,0.47,6.15,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.62,4.5,110.85,7.05,41.38,2.63,0.0,0.0,0.0,0.99,108.28,6.9,5.81,4.49,6.77,4.23,2.69,3.0,1.85,3.69,0.59,0.33,6.75,143.58,9.15,8.47,5.3,8.89,4.23,2.15,2.77,1.92,4.38,0.75,0.43,10.21,178.89,11.4,10.32,6.25,10.98,4.23,1.31,4.31,1.23,4.38,0.6,0.43,10.34,3,8.03,136.59,6.0
Zach Ertz,WAS,TE,1.0,14.38,75.77,5.29,106.08,7.39,815.77,56.85,10.8,41.31,2.88,37.31,19.68,8.23,0.57,3.46,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.77,5.29,106.08,7.39,41.31,2.88,0.31,0.02,0.0,1.0,101.73,7.1,5.63,5.83,6.54,6.15,2.31,1.15,2.08,2.69,0.51,0.23,6.5,139.62,9.75,8.3,7.36,8.76,5.92,0.92,2.08,1.85,3.62,0.64,0.35,10.13,177.5,12.39,10.87,8.95,10.95,5.92,0.69,2.08,2.08,3.62,0.67,0.35,10.63,3,8.48,144.14,5.0
Jimmy Graham,FA,TE,0.0,14.85,62.62,4.23,92.38,6.26,847.0,56.91,13.54,42.0,2.81,41.69,23.53,5.69,0.4,5.38,0.35,0.69,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.31,4.27,93.08,6.3,42.0,2.81,1.54,0.09,0.02,1.0,113.93,7.6,5.65,5.45,7.1,5.23,2.23,1.15,2.54,3.69,0.73,0.33,6.91,145.24,9.71,7.8,6.39,9.03,5.23,2.08,1.08,2.77,3.69,0.77,0.33,10.0,176.55,11.82,10.06,7.37,10.96,5.23,0.69,2.46,2.77,3.69,0.77,0.33,10.26,3,7.98,135.67,8.0
