Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score
Rob Gronkowski,FA,TE,0.0,15,72,4.8,120,8.0,1176,78.4,16.33,52.0,3.47,76,33.67,12,0.8,11,0.73,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,72,4.8,120,8.0,52.0,3.47,0,0.0,0.0,1.0,183.6,12.24,11.4,6.71,10.88,2,1,1,4,7,2.75,0.88,12.52,219.6,14.64,13.9,7.4,13.13,2,1,2,3,7,2.0,0.88,15.84,255.6,17.04,16.4,8.19,15.39,2,1,2,3,7,2.0,0.88,16.01
Jordan Reed,FA,TE,0.0,14,87,6.21,114,8.14,952,68.0,10.94,54.0,3.86,32,21.29,13,0.93,11,0.79,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,87,6.21,114,8.14,54.0,3.86,2,0.14,0.02,1.0,157.2,11.23,9.7,7.31,9.77,4,0,2,2,6,1.33,0.75,10.63,200.7,14.34,13.2,8.17,12.54,3,1,1,3,6,1.8,0.75,15.33,244.2,17.44,16.7,9.13,15.33,2,2,1,2,7,1.8,1.0,16.11
Gary Barnidge,FA,TE,0.0,16,79,4.94,125,7.81,1043,65.19,13.2,52.0,3.25,40,23.94,12,0.75,9,0.56,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,79,4.94,125,7.81,52.0,3.25,0,0.0,0.0,1.0,158.3,9.89,9.6,5.31,9.32,3,2,1,4,6,1.67,0.6,10.44,197.8,12.36,12.85,6.0,11.68,4,0,3,2,7,1.29,0.78,14.24,237.3,14.83,16.1,6.79,14.04,4,0,2,3,7,1.67,0.78,15.08
Delanie Walker,FA,TE,0.0,15,94,6.27,133,8.87,1088,72.53,11.57,52.0,3.47,61,27.2,10,0.67,6,0.4,1,0.07,36,2.4,36.0,1.0,0.07,0,0.0,95,6.33,134,8.93,53.0,3.53,0,0.0,0.0,1.0,150.4,10.03,9.1,5.51,9.36,1,4,2,4,4,1.14,0.36,9.82,197.4,13.16,11.8,5.65,12.63,1,1,5,3,5,1.14,0.5,14.12,244.4,16.29,14.9,6.0,15.91,1,1,2,5,6,2.75,0.67,15.86
Tyler Eifert,FA,TE,0.0,13,52,4.0,74,5.69,615,47.31,11.83,38.0,2.92,31,19.23,6,0.46,13,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,52,4.0,74,5.69,38.0,2.92,0,0.0,0.0,1.0,139.5,10.73,10.0,7.64,9.23,4,0,1,4,4,1.6,0.44,10.17,165.5,12.73,11.5,8.63,10.98,4,0,1,4,4,1.6,0.44,12.93,191.5,14.73,13.0,9.67,12.77,4,1,0,4,4,1.6,0.44,12.78
Greg Olsen,FA,TE,0.0,16,77,4.81,124,7.75,1104,69.0,14.34,52.0,3.25,52,26.44,14,0.88,7,0.44,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,77,4.81,124,7.75,52.0,3.25,1,0.06,0.01,1.0,150.4,9.4,7.5,6.58,8.39,4,1,4,2,5,0.78,0.45,8.5,188.9,11.81,11.0,7.46,10.56,4,2,2,2,6,1.0,0.6,12.7,227.4,14.21,13.7,8.43,12.74,3,3,2,3,5,1.0,0.45,12.89
Antonio Gates,FA,TE,0.0,11,56,5.09,85,7.73,630,57.27,11.25,33.0,3.0,40,20.09,2,0.18,5,0.45,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,56,5.09,85,7.73,33.0,3.0,0,0.0,0.0,1.0,93.0,8.45,7.6,6.18,7.67,2,2,2,3,2,0.83,0.22,8.04,121.0,11.0,10.6,7.03,9.99,2,2,2,3,2,0.83,0.22,11.67,149.0,13.55,12.9,8.0,12.31,2,1,3,2,3,0.83,0.38,12.19
Travis Kelce,KC,TE,1.0,16,72,4.5,103,6.44,875,54.69,12.15,40.0,2.5,42,23.25,6,0.38,5,0.31,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,72,4.5,103,6.44,40.0,2.5,2,0.12,0.03,1.0,117.5,7.34,6.55,5.38,6.9,6,2,2,4,2,0.6,0.14,6.89,153.5,9.59,8.8,5.87,9.12,6,2,2,4,2,0.6,0.14,9.93,189.5,11.84,11.05,6.42,11.37,5,3,1,6,1,0.78,0.07,10.54
Benjamin Watson,FA,TE,0.0,16,74,4.62,110,6.88,825,51.56,11.15,42.0,2.62,46,19.25,12,0.75,6,0.38,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,74,4.62,110,6.88,42.0,2.62,1,0.06,0.01,1.0,116.5,7.28,5.95,6.05,6.64,6,3,1,3,3,0.6,0.23,6.7,153.5,9.59,8.2,7.15,8.68,6,2,2,3,3,0.6,0.23,9.73,190.5,11.91,10.45,8.28,10.72,6,2,2,3,3,0.6,0.23,10.13
Zach Ertz,WAS,TE,1.0,15,75,5.0,112,7.47,853,56.87,11.37,39.0,2.6,60,21.73,9,0.6,2,0.13,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,75,5.0,112,7.47,39.0,2.6,1,0.07,0.01,1.0,95.3,6.35,6.0,4.3,6.31,6,3,2,2,2,0.36,0.15,6.32,132.8,8.85,7.9,5.59,8.52,5,3,3,1,3,0.36,0.25,9.38,170.3,11.35,9.4,6.99,10.67,5,3,2,2,3,0.5,0.25,9.68
