Player,TEAM,POS,DPCHT,G,rec_REC,rec_REC_mean,rec_TGT,rec_TGT_mean,rec_YDS,rec_YDS_mean,rec_Y/R,rec_FD,rec_FD_mean,rec_LG,rec_LG_mean,rec_20,rec_20_mean,rec_TD,rec_TD_mean,rush_ATT,rush_ATT_mean,rush_YDS,rush_YDS_mean,rush_Y/A,rush_FD,rush_FD_mean,rush_TD,rush_TD_mean,TOU,TOU_mean,OPP,OPP_mean,FD,FD_mean,FL,FL_mean,FL/T,INJCOR,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Travis Kelce,KC,TE,1.0,15.92,97.31,6.11,138.15,8.67,1239.0,77.77,12.73,65.62,4.12,45.85,23.67,14.15,0.89,6.38,0.4,0.85,0.05,3.31,0.21,3.04,0.85,0.05,0.69,0.04,98.15,6.16,139.0,8.73,66.46,4.17,0.92,0.06,0.01,1.0,164.69,10.34,9.38,5.07,9.91,1.15,2.0,2.15,4.23,6.38,2.02,0.68,10.93,213.35,13.39,12.64,5.81,12.83,1.08,0.85,3.31,3.54,7.15,2.06,0.82,15.62,262.0,16.45,15.97,6.65,15.73,1.08,0.08,3.85,4.38,6.54,2.18,0.71,15.99,3,12.15,206.53,1.0
George Kittle,SF,TE,1.0,14.54,82.46,5.69,110.31,7.57,1086.38,74.57,13.11,52.23,3.6,65.23,29.96,16.08,1.1,4.77,0.33,3.69,0.26,17.54,1.23,5.35,0.92,0.06,0.0,0.0,86.15,5.96,114.0,7.84,53.15,3.66,0.0,0.0,0.0,1.0,139.47,9.59,8.91,5.41,8.99,2.62,2.46,0.92,3.15,5.38,1.56,0.63,9.96,180.7,12.44,12.29,6.08,11.71,2.62,1.08,1.85,2.92,6.08,1.77,0.8,14.48,221.93,15.28,15.68,6.9,14.39,2.54,1.08,1.0,3.62,6.31,2.44,0.84,15.41,3,11.97,203.49,2.0
Zach Ertz,WAS,TE,1.0,15.15,93.38,6.14,137.92,9.09,965.92,63.58,10.38,53.38,3.51,32.69,20.22,11.62,0.76,6.62,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.38,6.14,137.92,9.09,53.38,3.51,0.77,0.05,0.01,1.0,136.13,8.97,7.3,6.05,8.18,4.62,0.92,1.62,2.77,5.23,1.28,0.53,8.83,182.82,12.03,10.99,7.34,10.82,4.38,0.46,2.08,3.08,5.15,1.4,0.56,13.19,229.52,15.1,14.6,8.71,13.44,3.69,0.92,1.62,1.46,7.46,1.58,0.98,14.42,3,10.37,176.32,4.0
Austin Hooper,NE,TE,1.0,13.92,72.08,5.25,92.46,6.75,737.62,53.96,10.23,36.69,2.7,39.31,19.17,7.38,0.55,5.31,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.08,5.25,92.46,6.75,36.69,2.7,0.0,0.0,0.0,1.0,107.45,7.88,6.52,4.99,7.51,4.54,1.54,3.0,1.31,3.54,0.55,0.36,7.37,143.49,10.51,9.76,5.76,10.01,4.31,0.92,1.77,3.31,3.62,1.23,0.37,11.49,179.53,13.14,12.34,6.63,12.49,3.62,1.62,1.46,3.15,4.08,1.27,0.42,12.25,3,8.6,146.15,6.0
Hunter Henry,NE,TE,2.0,12.2,54.0,4.44,74.6,6.14,644.7,53.03,11.95,35.6,2.93,30.4,18.86,7.8,0.65,4.9,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,4.44,74.6,6.14,35.6,2.93,0.9,0.07,0.02,1.0,93.87,7.72,8.53,5.43,7.23,2.4,1.8,1.2,5.7,1.1,1.32,0.1,8.25,120.87,9.94,10.75,6.19,9.33,2.4,1.8,1.1,5.9,1.0,1.34,0.09,11.44,147.87,12.17,12.25,7.01,11.43,2.4,0.9,2.9,5.0,1.0,0.98,0.09,11.19,3,8.0,135.94,7.0
Mark Andrews,BAL,TE,1.0,15.25,56.5,3.73,86.0,5.68,777.0,51.22,14.04,40.0,2.64,56.75,26.3,14.0,0.93,8.25,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.5,3.73,86.0,5.68,40.0,2.64,0.75,0.05,0.02,1.0,125.7,8.31,7.8,5.79,7.6,5.0,2.25,1.5,1.75,4.75,0.89,0.52,8.17,153.95,10.17,9.74,6.49,9.36,5.75,1.75,0.75,3.0,4.0,1.14,0.39,11.0,182.2,12.03,12.28,7.26,11.13,5.75,1.25,1.25,3.0,4.0,1.14,0.39,11.4,2,9.05,153.87,5.0
Jared Cook,FA,TE,0.0,14.62,49.62,3.37,74.92,5.08,747.77,51.1,15.38,35.46,2.42,55.31,23.81,14.54,1.0,7.77,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.62,3.37,74.92,5.08,35.46,2.42,0.08,0.0,0.0,1.0,121.24,8.34,7.6,6.08,7.6,5.08,1.38,0.69,4.08,3.38,1.13,0.3,8.04,146.05,10.03,9.16,6.53,9.29,4.85,1.46,0.85,4.0,3.46,1.13,0.31,10.56,170.85,11.71,10.86,7.06,11.0,4.85,0.54,2.69,3.08,3.46,0.86,0.31,10.52,3,7.62,129.52,8.0
Evan Engram,JAC,TE,1.0,9.23,45.77,5.08,70.69,7.82,512.0,56.22,11.17,23.85,2.65,67.08,26.31,5.31,0.56,3.23,0.36,2.85,0.33,14.23,1.44,5.46,1.46,0.15,0.0,0.0,48.62,5.41,73.54,8.15,25.31,2.8,0.0,0.0,0.0,0.92,72.47,7.93,5.81,5.8,7.31,1.69,3.23,0.77,1.08,2.46,0.61,0.35,6.62,95.35,10.46,8.3,6.8,9.59,1.69,1.85,1.92,1.31,2.46,0.67,0.35,9.82,118.24,13.01,10.95,7.9,11.85,1.69,0.54,3.15,1.15,2.69,0.69,0.4,10.28,3,7.54,128.12,9.0
Will Dissly,LAC,TE,1.0,5.5,19.25,3.37,23.75,4.25,235.5,42.5,13.42,11.75,2.06,45.0,20.07,3.0,0.56,3.5,0.63,0.75,0.13,5.25,0.88,5.25,0.0,0.0,0.0,0.0,20.0,3.5,24.5,4.38,11.75,2.06,0.0,0.0,0.0,0.75,45.08,8.09,9.02,6.96,7.14,2.0,0.0,0.0,1.0,2.5,1.75,0.83,6.99,54.7,9.78,11.34,8.04,8.59,2.0,0.0,0.0,1.0,2.5,1.75,0.83,9.17,64.32,11.46,13.46,9.14,10.07,2.0,0.0,0.0,1.0,2.5,1.75,0.83,9.24,2,3.98,67.66,30.0
Darren Waller,FA,TE,0.0,13.0,69.0,4.59,89.25,5.86,877.5,58.36,12.66,40.75,2.73,67.25,24.72,10.75,0.72,2.25,0.14,1.75,0.15,9.0,1.54,7.12,1.0,0.11,0.0,0.0,70.75,4.75,91.0,6.02,41.75,2.85,0.75,0.05,0.01,0.91,100.65,6.74,5.38,4.76,6.42,3.0,3.0,3.25,1.5,2.25,0.34,0.17,5.79,135.15,9.04,7.49,5.44,8.6,2.25,2.5,3.75,2.25,2.25,0.45,0.17,8.95,169.65,11.33,10.24,6.27,10.75,3.0,2.5,0.75,3.75,3.0,0.97,0.25,9.88,2,10.8,183.56,3.0
