Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Seattle Seahawks,SEA,DST,16.0,41.95,2.62,25.81,1.61,11.29,0.71,14.19,0.89,1.57,0.09,3.81,0.24,0.62,0.04,190.67,11.92,10.36,6.59,11.68,1.62,1.57,2.76,4.81,5.24,1.86,0.49,10.86,190.67,11.92,10.36,6.59,11.68,2.38,0.81,3.52,4.05,5.24,1.46,0.49,10.66,190.67,11.92,10.36,6.59,11.68,1.62,1.57,2.76,4.81,5.24,1.86,0.49,10.86,3,9.79,166.37,1.0
Carolina Panthers,CAR,DST,16.0,54.62,3.41,18.0,1.13,10.38,0.64,11.71,0.73,0.29,0.02,3.81,0.24,0.05,0.0,171.05,10.7,11.14,5.75,10.69,3.1,1.81,2.9,3.43,4.76,1.11,0.47,10.33,171.05,10.7,11.14,5.75,10.69,2.38,1.76,3.86,2.29,5.71,1.08,0.62,10.44,171.05,10.7,11.14,5.75,10.69,3.14,1.76,2.9,2.67,5.52,1.11,0.61,10.45,3,9.09,154.45,2.0
San Francisco 49ers,SF,DST,16.0,38.19,2.39,17.48,1.09,11.19,0.7,11.52,0.72,1.0,0.06,4.62,0.29,0.1,0.01,161.48,10.09,10.55,5.67,10.2,2.19,3.86,1.19,5.71,3.05,1.22,0.23,9.75,161.48,10.09,10.55,5.67,10.2,2.33,3.76,1.14,5.71,3.05,1.22,0.23,9.75,161.48,10.09,10.55,5.67,10.2,2.14,3.9,1.38,4.76,3.81,1.18,0.31,9.81,3,8.0,136.06,8.0
Cincinnati Bengals,CIN,DST,16.0,44.62,2.79,18.38,1.15,12.0,0.75,13.71,0.86,0.05,0.0,5.29,0.33,1.0,0.06,163.29,10.21,10.5,7.63,9.55,4.81,1.14,2.14,3.33,4.57,0.98,0.4,9.49,163.29,10.21,10.5,7.63,9.55,4.86,1.81,1.43,3.33,4.57,0.98,0.4,9.49,163.29,10.21,10.5,7.63,9.55,4.05,1.9,1.38,3.9,4.76,1.2,0.42,9.66,3,8.35,141.88,4.0
Arizona Cardinals,ARI,DST,16.0,45.05,2.82,19.9,1.24,10.14,0.63,11.19,0.7,1.52,0.09,4.38,0.27,0.38,0.02,161.19,10.07,10.19,6.22,9.94,3.43,3.52,0.86,4.57,3.62,1.11,0.3,9.48,161.19,10.07,10.19,6.22,9.94,4.19,2.0,2.43,4.52,2.86,0.89,0.22,9.24,161.19,10.07,10.19,6.22,9.94,3.48,3.48,0.86,5.33,2.86,1.11,0.22,9.39,3,8.02,136.41,7.0
Kansas City Chiefs,KC,DST,16.0,42.33,2.65,18.29,1.14,12.86,0.81,11.81,0.74,0.19,0.01,5.62,0.35,3.05,0.19,153.0,9.56,8.9,8.41,8.62,7.05,0.48,1.76,1.29,5.43,0.81,0.6,8.47,153.0,9.56,8.9,8.41,8.62,6.29,1.24,1.81,1.19,5.48,0.8,0.61,8.47,153.0,9.56,8.9,8.41,8.62,7.1,0.43,1.76,2.05,4.67,0.81,0.46,8.36,3,8.94,152.02,3.0
New England Patriots,NE,DST,16.0,45.52,2.84,17.86,1.11,13.67,0.85,14.19,0.89,0.19,0.01,3.57,0.23,0.43,0.03,148.76,9.3,7.95,6.77,8.96,5.14,2.24,0.9,4.52,3.19,0.94,0.25,8.04,148.76,9.3,7.95,6.77,8.96,4.38,3.0,1.62,3.62,3.38,0.78,0.27,7.94,148.76,9.3,7.95,6.77,8.96,5.95,1.48,2.38,3.57,2.62,0.63,0.2,7.74,3,7.56,128.56,12.0
Los Angeles Rams,LAR,DST,16.0,52.14,3.26,14.48,0.91,12.48,0.78,16.24,1.01,1.05,0.06,4.81,0.3,0.81,0.05,150.05,9.37,7.07,7.78,8.72,6.0,1.38,2.67,2.1,3.86,0.61,0.32,7.39,150.05,9.37,7.07,7.78,8.72,6.14,2.0,1.86,2.14,3.86,0.61,0.32,7.4,150.05,9.37,7.07,7.78,8.72,5.95,1.43,2.67,2.1,3.86,0.61,0.32,7.39,3,7.36,125.09,14.0
Indianapolis Colts,IND,DST,16.0,39.48,2.46,14.1,0.88,10.14,0.63,13.24,0.83,1.52,0.09,1.67,0.1,1.14,0.07,125.24,7.83,7.88,6.76,7.53,6.29,1.33,1.62,4.0,2.76,0.81,0.21,7.27,125.24,7.83,7.88,6.76,7.53,6.29,2.1,0.86,4.0,2.76,0.81,0.21,7.27,125.24,7.83,7.88,6.76,7.53,6.24,2.14,1.62,3.24,2.76,0.64,0.21,7.14,3,7.72,131.32,11.0
Chicago Bears,CHI,DST,16.0,33.0,2.06,20.0,1.25,11.19,0.7,17.95,1.12,0.05,0.0,6.62,0.42,1.1,0.07,134.86,8.43,7.71,7.48,7.88,5.29,2.43,2.43,2.81,3.05,0.63,0.27,7.24,134.86,8.43,7.71,7.48,7.88,4.9,3.57,1.71,3.71,2.1,0.62,0.18,7.13,134.86,8.43,7.71,7.48,7.88,5.29,2.43,2.48,2.76,3.05,0.62,0.27,7.23,3,7.14,121.34,15.0
