Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Tennessee Titans,TEN,DST,16.0,42.24,2.64,11.95,0.75,8.38,0.52,9.48,0.59,0.0,0.0,1.05,0.06,0.0,0.0,106.29,6.64,7.1,4.77,6.98,5.95,1.05,2.86,5.14,1.0,0.66,0.07,6.44,106.29,6.64,7.1,4.77,6.98,5.95,1.24,3.43,4.38,1.0,0.52,0.07,6.32,106.29,6.64,7.1,4.77,6.98,5.95,1.24,2.62,5.19,1.0,0.66,0.07,6.45,3,7.67,130.31,14.0
Buffalo Bills,BUF,DST,16.0,29.0,1.81,16.81,1.05,6.86,0.43,11.86,0.74,0.05,0.0,3.0,0.19,0.0,0.0,103.52,6.47,7.02,5.43,6.61,4.57,2.29,4.76,2.19,2.19,0.38,0.16,6.13,103.52,6.47,7.02,5.43,6.61,4.57,1.9,4.33,3.0,2.19,0.48,0.16,6.23,103.52,6.47,7.02,5.43,6.61,4.76,1.71,5.14,2.19,2.19,0.38,0.16,6.13,3,8.08,137.31,12.0
Washington Commanders,WAS,DST,16.0,41.05,2.56,15.19,0.95,7.38,0.46,13.0,0.81,0.05,0.0,1.62,0.1,0.29,0.02,104.9,6.56,6.43,4.66,6.94,5.52,2.67,2.52,3.52,1.76,0.52,0.12,6.11,104.9,6.56,6.43,4.66,6.94,5.71,2.43,3.33,2.0,2.52,0.41,0.19,6.09,104.9,6.56,6.43,4.66,6.94,5.52,2.48,2.71,3.48,1.81,0.52,0.13,6.11,3,7.29,124.0,17.0
Denver Broncos,DEN,DST,16.0,35.62,2.22,10.95,0.68,8.43,0.53,9.86,0.62,0.05,0.0,4.05,0.25,0.05,0.0,117.71,7.35,5.62,5.54,7.42,6.24,4.0,0.81,2.0,2.95,0.49,0.25,6.08,117.71,7.35,5.62,5.54,7.42,6.05,3.62,0.67,3.48,2.19,0.57,0.2,6.09,117.71,7.35,5.62,5.54,7.42,6.24,3.81,0.29,1.95,3.71,0.57,0.32,6.25,3,6.33,107.66,24.0
Arizona Cardinals,ARI,DST,16.0,39.05,2.44,15.0,0.94,7.9,0.5,16.33,1.02,0.48,0.03,2.38,0.15,0.05,0.0,120.1,7.51,5.93,6.22,7.38,5.86,2.48,2.57,2.62,2.48,0.47,0.19,6.12,120.1,7.51,5.93,6.22,7.38,5.86,3.24,1.81,3.38,1.71,0.47,0.13,6.05,120.1,7.51,5.93,6.22,7.38,5.86,3.24,1.76,2.67,2.48,0.48,0.19,6.13,3,6.46,109.77,20.0
Tampa Bay Buccaneers,TB,DST,16.0,25.81,1.62,13.67,0.85,12.76,0.8,15.33,0.96,0.19,0.01,3.95,0.25,0.0,0.0,111.05,6.94,5.71,6.2,6.83,6.14,3.48,1.57,1.67,3.14,0.46,0.24,5.87,111.05,6.94,5.71,6.2,6.83,5.9,3.71,1.57,1.67,3.14,0.46,0.24,5.87,111.05,6.94,5.71,6.2,6.83,6.14,3.48,1.57,1.86,2.95,0.46,0.23,5.84,3,6.39,108.68,22.0
Chicago Bears,CHI,DST,16.0,40.71,2.54,8.0,0.5,11.67,0.73,10.38,0.65,0.95,0.06,2.67,0.17,1.71,0.1,113.76,7.11,5.98,6.81,6.82,5.67,2.81,2.9,1.95,2.67,0.41,0.2,5.88,113.76,7.11,5.98,6.81,6.82,5.67,2.81,3.67,1.19,2.67,0.32,0.2,5.78,113.76,7.11,5.98,6.81,6.82,5.67,2.81,2.86,2.0,2.67,0.41,0.2,5.89,3,7.53,128.08,16.0
Cincinnati Bengals,CIN,DST,16.0,39.52,2.47,12.62,0.79,2.43,0.15,4.48,0.28,0.19,0.01,2.33,0.15,0.0,0.0,98.0,6.12,5.48,4.07,6.7,4.9,3.14,3.86,3.0,1.1,0.34,0.08,5.4,98.0,6.12,5.48,4.07,6.7,5.67,2.43,3.76,2.29,1.86,0.35,0.13,5.48,98.0,6.12,5.48,4.07,6.7,5.67,2.38,4.62,2.19,1.14,0.27,0.08,5.32,3,7.14,121.39,18.0
Green Bay Packers,GB,DST,16.0,37.86,2.36,12.38,0.78,9.43,0.59,9.67,0.6,0.0,0.0,1.67,0.1,0.0,0.0,94.81,5.93,6.02,4.7,6.25,5.57,5.48,1.71,1.95,1.29,0.25,0.09,5.36,94.81,5.93,6.02,4.7,6.25,5.38,4.9,1.71,2.71,1.29,0.33,0.09,5.44,94.81,5.93,6.02,4.7,6.25,4.81,6.24,0.95,2.71,1.29,0.33,0.09,5.44,3,5.83,99.12,29.0
Dallas Cowboys,DAL,DST,16.0,37.29,2.33,9.71,0.6,9.86,0.61,13.38,0.83,0.05,0.0,0.81,0.05,0.81,0.05,101.9,6.37,4.93,6.02,6.34,6.71,2.76,2.0,1.81,2.71,0.4,0.21,5.26,101.9,6.37,4.93,6.02,6.34,6.71,2.76,2.0,1.81,2.71,0.4,0.21,5.26,101.9,6.37,4.93,6.02,6.34,6.52,2.71,2.24,1.05,3.48,0.4,0.28,5.35,3,6.95,118.11,19.0
Atlanta Falcons,ATL,DST,16.0,37.1,2.32,9.1,0.57,8.38,0.52,12.19,0.76,0.0,0.0,3.43,0.22,0.0,0.0,101.0,6.31,4.62,4.87,6.62,7.76,2.86,1.1,3.1,1.19,0.37,0.08,5.06,101.0,6.31,4.62,4.87,6.62,7.33,4.05,0.33,2.33,1.95,0.37,0.14,5.13,101.0,6.31,4.62,4.87,6.62,7.57,3.81,0.29,3.14,1.19,0.38,0.08,5.06,3,5.46,92.78,31.0
New York Giants,NYG,DST,16.0,28.33,1.77,13.86,0.86,6.67,0.42,11.67,0.73,0.81,0.05,2.29,0.14,0.29,0.02,98.67,6.17,4.17,6.59,5.97,8.33,1.81,1.43,1.71,2.71,0.39,0.22,4.81,98.67,6.17,4.17,6.59,5.97,8.14,2.19,1.29,1.67,2.71,0.38,0.22,4.8,98.67,6.17,4.17,6.59,5.97,8.33,2.0,1.29,1.67,2.71,0.38,0.22,4.8,3,6.39,108.62,23.0
Indianapolis Colts,IND,DST,16.0,27.0,1.69,12.24,0.76,7.43,0.47,11.81,0.74,1.57,0.09,1.19,0.07,0.19,0.01,86.71,5.42,4.83,3.41,6.26,5.52,4.33,4.33,1.52,0.29,0.14,0.02,4.65,86.71,5.42,4.83,3.41,6.26,5.71,4.33,3.38,2.29,0.29,0.2,0.02,4.72,86.71,5.42,4.83,3.41,6.26,5.52,4.33,4.38,1.48,0.29,0.14,0.02,4.64,3,5.83,99.16,28.0
Miami Dolphins,MIA,DST,16.0,30.62,1.92,10.52,0.66,6.43,0.41,8.57,0.54,1.52,0.09,2.62,0.17,0.62,0.04,92.48,5.78,4.83,7.53,5.43,7.86,3.1,2.62,0.24,2.19,0.18,0.16,4.55,92.48,5.78,4.83,7.53,5.43,7.67,3.29,2.62,0.05,2.38,0.18,0.18,4.57,92.48,5.78,4.83,7.53,5.43,7.86,2.52,3.19,0.05,2.38,0.18,0.18,4.57,3,5.87,99.8,27.0
Las Vegas Raiders,LV,DST,16.0,30.19,1.89,7.52,0.47,10.05,0.63,13.38,0.84,0.1,0.01,0.24,0.01,0.0,0.0,74.76,4.67,5.07,3.61,5.26,7.48,2.43,3.57,2.29,0.24,0.19,0.02,4.41,74.76,4.67,5.07,3.61,5.26,7.29,2.81,4.14,1.52,0.24,0.14,0.02,4.33,74.76,4.67,5.07,3.61,5.26,7.43,2.48,3.57,2.48,0.05,0.19,0.0,4.39,3,5.9,100.31,26.0
San Francisco 49ers,SF,DST,16.0,30.48,1.91,9.95,0.62,9.67,0.6,12.43,0.77,0.19,0.01,0.81,0.05,0.0,0.0,75.29,4.71,4.52,4.11,5.15,6.95,4.29,2.52,2.0,0.24,0.16,0.02,4.11,75.29,4.71,4.52,4.11,5.15,6.95,4.1,1.95,2.76,0.24,0.23,0.02,4.19,75.29,4.71,4.52,4.11,5.15,6.95,4.1,2.71,2.0,0.24,0.16,0.02,4.11,3,5.53,94.03,30.0
Houston Texans,HOU,DST,16.0,32.43,2.03,11.14,0.7,5.48,0.34,10.76,0.67,0.95,0.06,3.38,0.21,0.19,0.01,86.57,5.41,3.57,6.84,5.24,9.0,1.48,1.57,1.81,2.14,0.33,0.15,4.15,86.57,5.41,3.57,6.84,5.24,9.19,1.29,1.57,1.81,2.14,0.33,0.15,4.15,86.57,5.41,3.57,6.84,5.24,9.0,1.48,1.57,1.81,2.14,0.33,0.15,4.15,3,6.4,108.85,21.0
Cleveland Browns,CLE,DST,16.0,32.24,2.01,7.76,0.49,5.62,0.36,12.29,0.77,0.0,0.0,1.05,0.06,0.05,0.0,69.33,4.33,4.29,2.98,5.16,8.24,2.0,5.38,0.1,0.29,0.03,0.02,3.85,69.33,4.33,4.29,2.98,5.16,8.81,1.24,4.81,0.86,0.29,0.08,0.02,3.91,69.33,4.33,4.29,2.98,5.16,8.19,2.05,4.62,0.9,0.24,0.08,0.02,3.91,3,6.08,103.36,25.0
New York Jets,NYJ,DST,16.0,28.33,1.77,10.76,0.67,8.19,0.51,9.0,0.56,0.0,0.0,0.19,0.01,0.0,0.0,70.29,4.39,3.71,4.52,4.68,9.76,2.67,1.24,1.05,1.29,0.17,0.09,3.71,70.29,4.39,3.71,4.52,4.68,9.95,2.67,1.05,1.05,1.29,0.17,0.09,3.71,70.29,4.39,3.71,4.52,4.68,9.76,2.67,1.24,1.05,1.29,0.17,0.09,3.71,3,5.04,85.64,32.0
