Player,TEAM,POS,G,SACK,SACK_mean,INT,INT_mean,FR,FR_mean,FF,FF_mean,SFTY,SFTY_mean,D_TD,D_TD_mean,ST_TD,ST_TD_mean,FPTS,FPTS_mean,FPTS_median,FPTS_std,FPTS_adj,FPTS_bad,FPTS_poor,FPTS_okay,FPTS_good,FPTS_great,FPTS_QSRat,FPTS_GSRat,FPTS_Score,HALF,HALF_mean,HALF_median,HALF_std,HALF_adj,HALF_bad,HALF_poor,HALF_okay,HALF_good,HALF_great,HALF_QSRat,HALF_GSRat,HALF_Score,PPR,PPR_mean,PPR_median,PPR_std,PPR_adj,PPR_bad,PPR_poor,PPR_okay,PPR_good,PPR_great,PPR_QSRat,PPR_GSRat,PPR_Score,YOE,proj_HALF_mean,proj_HALF,proj_RANK
Jacksonville Jaguars,JAC,DST,16.0,49.9,3.12,17.76,1.11,10.71,0.67,15.14,0.94,0.0,0.0,5.67,0.36,1.0,0.06,168.1,10.51,9.5,7.89,9.61,3.71,2.71,1.0,3.71,4.86,1.35,0.48,9.36,168.1,10.51,9.5,7.89,9.61,3.9,2.52,1.0,4.48,4.1,1.35,0.36,9.26,168.1,10.51,9.5,7.89,9.61,3.9,2.52,1.0,4.67,3.9,1.35,0.35,9.25,3,8.36,142.19,8.0
Detroit Lions,DET,DST,16.0,33.67,2.11,16.81,1.05,11.1,0.69,12.05,0.75,0.48,0.03,4.1,0.25,1.9,0.11,128.24,8.01,9.48,5.35,8.16,3.95,2.81,0.9,5.05,3.29,1.33,0.27,8.54,128.24,8.01,9.48,5.35,8.16,3.95,3.19,1.29,4.24,3.33,1.04,0.27,8.37,128.24,8.01,9.48,5.35,8.16,4.14,2.62,0.9,5.81,2.52,1.33,0.19,8.45,3,8.68,147.56,3.0
Baltimore Ravens,BAL,DST,16.0,38.9,2.43,20.48,1.28,11.43,0.71,13.86,0.87,0.0,0.0,4.86,0.31,1.81,0.11,160.19,10.01,7.9,9.0,8.98,5.9,1.05,1.62,1.81,5.62,0.89,0.55,8.3,160.19,10.01,7.9,9.0,8.98,5.9,1.24,1.43,2.0,5.43,0.89,0.53,8.27,160.19,10.01,7.9,9.0,8.98,5.9,1.24,2.14,1.1,5.62,0.73,0.55,8.17,3,8.6,146.19,6.0
Philadelphia Eagles,PHI,DST,16.0,37.19,2.33,18.24,1.14,10.81,0.68,12.24,0.76,0.24,0.01,5.33,0.34,0.52,0.03,156.52,9.79,7.86,6.61,9.47,4.24,1.81,3.05,2.95,3.95,0.76,0.33,8.15,156.52,9.79,7.86,6.61,9.47,3.29,2.76,3.0,2.24,4.71,0.77,0.42,8.26,156.52,9.79,7.86,6.61,9.47,4.05,1.43,3.62,2.95,3.95,0.76,0.33,8.15,3,8.28,140.68,10.0
Carolina Panthers,CAR,DST,16.0,49.14,3.07,12.0,0.75,11.0,0.69,14.1,0.88,0.19,0.01,1.57,0.1,1.52,0.09,126.81,7.92,8.69,5.51,8.04,5.71,1.24,1.29,4.67,3.1,0.95,0.24,7.96,126.81,7.92,8.69,5.51,8.04,5.71,1.24,1.24,5.29,2.52,0.96,0.19,7.91,126.81,7.92,8.69,5.51,8.04,5.71,1.05,1.48,4.48,3.29,0.95,0.26,7.99,3,8.76,149.0,2.0
Los Angeles Chargers,LAC,DST,16.0,40.95,2.56,17.67,1.1,9.19,0.57,12.62,0.79,0.19,0.01,4.05,0.25,0.76,0.05,141.67,8.86,7.86,6.43,8.65,4.33,2.29,1.81,3.57,4.0,0.92,0.34,7.96,141.67,8.86,7.86,6.43,8.65,4.33,2.33,2.52,3.76,3.05,0.75,0.24,7.71,141.67,8.86,7.86,6.43,8.65,4.33,2.33,2.52,2.81,4.0,0.75,0.34,7.83,3,8.14,138.31,11.0
Los Angeles Rams,LAR,DST,16.0,44.43,2.78,16.24,1.01,9.76,0.61,15.9,0.99,1.57,0.09,2.62,0.17,2.33,0.15,146.29,9.14,7.0,7.21,8.63,5.43,2.0,1.81,1.67,5.1,0.74,0.49,7.61,146.29,9.14,7.0,7.21,8.63,5.67,1.76,1.81,1.9,4.86,0.74,0.48,7.59,146.29,9.14,7.0,7.21,8.63,5.48,1.95,1.81,1.67,5.1,0.74,0.49,7.61,3,8.67,147.38,4.0
Seattle Seahawks,SEA,DST,16.0,39.48,2.47,13.43,0.84,8.76,0.55,11.05,0.69,1.71,0.1,3.38,0.21,0.86,0.05,128.95,8.06,7.98,5.82,8.1,4.43,0.33,4.33,4.29,2.62,0.77,0.2,7.51,128.95,8.06,7.98,5.82,8.1,4.48,0.1,5.33,2.71,3.38,0.62,0.28,7.47,128.95,8.06,7.98,5.82,8.1,4.48,0.29,5.1,3.52,2.62,0.63,0.2,7.4,3,9.46,160.86,1.0
Kansas City Chiefs,KC,DST,16.0,31.19,1.95,16.67,1.04,10.81,0.67,11.48,0.72,0.24,0.01,3.52,0.22,1.33,0.08,126.48,7.91,7.69,6.94,7.56,6.19,1.0,1.81,4.0,3.0,0.88,0.24,7.27,126.48,7.91,7.69,6.94,7.56,5.81,1.38,1.05,4.76,3.0,1.02,0.24,7.39,126.48,7.91,7.69,6.94,7.56,6.19,1.0,1.81,4.0,3.0,0.88,0.24,7.27,3,8.6,146.22,5.0
Pittsburgh Steelers,PIT,DST,16.0,52.19,3.26,15.48,0.97,7.1,0.45,11.71,0.74,0.95,0.06,0.29,0.02,0.81,0.05,126.71,7.92,6.9,5.5,8.04,4.05,3.86,2.9,1.76,3.43,0.49,0.28,6.9,126.71,7.92,6.9,5.5,8.04,4.24,3.43,1.71,2.95,3.67,0.72,0.3,7.13,126.71,7.92,6.9,5.5,8.04,4.05,4.05,1.29,3.0,3.62,0.72,0.29,7.13,3,7.83,133.07,13.0
Minnesota Vikings,MIN,DST,16.0,38.05,2.38,13.95,0.88,6.71,0.42,6.76,0.42,0.95,0.06,1.67,0.1,0.71,0.05,121.43,7.59,7.21,5.19,7.83,5.19,1.05,5.14,1.24,3.38,0.42,0.27,6.87,121.43,7.59,7.21,5.19,7.83,5.19,0.86,6.1,0.48,3.38,0.35,0.27,6.78,121.43,7.59,7.21,5.19,7.83,5.19,1.05,5.14,1.24,3.38,0.42,0.27,6.87,3,8.38,142.41,7.0
New England Patriots,NE,DST,16.0,40.81,2.55,12.19,0.76,6.14,0.38,10.29,0.64,2.14,0.13,0.1,0.01,0.76,0.05,118.71,7.42,6.12,4.77,7.8,5.0,3.57,0.71,4.95,1.76,0.73,0.14,6.53,118.71,7.42,6.12,4.77,7.8,5.0,3.0,2.0,3.52,2.48,0.6,0.19,6.49,118.71,7.42,6.12,4.77,7.8,5.0,3.76,1.29,4.24,1.71,0.59,0.13,6.41,3,7.57,128.66,15.0
New Orleans Saints,NO,DST,16.0,39.19,2.45,17.38,1.09,6.71,0.42,14.24,0.89,0.19,0.01,2.33,0.15,1.62,0.1,123.48,7.72,6.79,7.45,7.2,5.81,1.19,4.29,0.67,4.05,0.42,0.36,6.53,123.48,7.72,6.79,7.45,7.2,6.0,1.19,4.1,1.43,3.29,0.42,0.27,6.43,123.48,7.72,6.79,7.45,7.2,5.81,1.19,4.29,0.67,4.05,0.42,0.36,6.53,3,8.33,141.55,9.0
